,date,open,high,low,close,volume,10,60,250
0,2020-03-03,3.94,4.0,3.89,3.92,7772310.0,,,
1,2020-03-04,3.9,4.09,3.89,4.09,15230095.0,,,
2,2020-03-05,4.12,4.3,4.12,4.22,19043884.0,,,
3,2020-03-20,4.22,4.22,3.9,4.05,24042198.0,,,
4,2020-03-23,3.94,3.94,3.66,3.67,15053848.0,,,
5,2020-03-24,3.73,3.76,3.59,3.69,8931365.0,,,
6,2020-03-25,3.76,3.78,3.69,3.74,7073829.0,,,
7,2020-03-26,3.73,3.73,3.64,3.64,5510146.0,,,
8,2020-03-27,3.68,3.78,3.66,3.71,6863480.0,,,
9,2020-03-30,3.72,3.72,3.58,3.61,5436062.0,3.8340000000000005,,
10,2020-03-31,3.64,3.67,3.62,3.62,3393052.0,3.804,,
11,2020-04-01,3.63,3.66,3.59,3.61,3211664.0,3.7560000000000002,,
12,2020-04-02,3.59,3.68,3.56,3.67,3105242.0,3.7010000000000005,,
13,2020-04-03,3.65,3.7,3.64,3.66,3337933.0,3.6620000000000004,,
14,2020-04-07,3.7,3.82,3.69,3.77,5690697.0,3.6720000000000006,,
15,2020-04-08,3.75,3.8,3.7,3.79,4023187.0,3.682000000000001,,
16,2020-04-09,3.81,3.89,3.79,3.85,5302218.0,3.6930000000000005,,
17,2020-04-10,3.87,3.89,3.75,3.77,4513706.0,3.706000000000001,,
18,2020-04-13,3.72,3.74,3.69,3.71,3202001.0,3.706000000000001,,
19,2020-04-14,3.69,3.75,3.68,3.75,3408409.0,3.720000000000001,,
20,2020-04-15,3.78,3.81,3.74,3.74,4087816.0,3.7320000000000015,,
21,2020-04-16,3.71,3.87,3.71,3.8,6893788.0,3.7510000000000012,,
22,2020-04-17,3.81,3.83,3.74,3.74,5152857.0,3.7580000000000013,,
23,2020-04-20,3.77,3.8,3.75,3.79,3531298.0,3.771000000000001,,
24,2020-04-21,3.79,4.17,3.78,4.03,22965143.0,3.7970000000000006,,
25,2020-04-22,3.98,4.07,3.85,3.91,15504866.0,3.809000000000001,,
26,2020-04-23,3.9,4.02,3.84,3.95,9959271.0,3.8190000000000013,,
27,2020-04-24,3.93,3.94,3.81,3.83,6891130.0,3.8250000000000006,,
28,2020-04-27,3.84,3.91,3.79,3.86,6970882.0,3.8400000000000007,,
29,2020-04-28,3.77,3.78,3.48,3.63,10554031.0,3.8280000000000007,,
30,2020-04-29,3.64,3.67,3.56,3.58,3666453.0,3.8120000000000003,,
31,2020-04-30,3.61,3.66,3.59,3.65,4259233.0,3.7970000000000006,,
32,2020-05-06,3.68,3.7,3.59,3.69,4781292.0,3.7920000000000003,,
33,2020-05-07,3.68,3.77,3.66,3.75,4207599.0,3.7880000000000003,,
34,2020-05-08,3.8,3.99,3.76,3.93,9514229.0,3.778,,
35,2020-05-11,4.04,4.08,3.9,3.93,7942691.0,3.78,,
36,2020-05-12,3.97,4.03,3.86,3.9,3885862.0,3.7749999999999995,,
37,2020-05-13,3.89,3.92,3.86,3.9,2298453.0,3.781999999999999,,
38,2020-05-14,3.88,3.94,3.86,3.9,2702007.0,3.785999999999999,,
39,2020-05-15,3.91,3.94,3.88,3.9,2639385.0,3.812999999999999,,
40,2020-05-18,3.94,3.94,3.86,3.88,3013596.0,3.842999999999999,,
41,2020-05-19,3.89,3.94,3.83,3.84,2956741.0,3.8619999999999997,,
42,2020-05-20,3.84,3.84,3.75,3.77,3263181.0,3.87,,
43,2020-05-21,3.84,3.84,3.68,3.69,3566700.0,3.864,,
44,2020-05-22,3.72,3.72,3.65,3.68,1992411.0,3.839,,
45,2020-05-25,3.67,3.77,3.66,3.77,2162162.0,3.8230000000000004,,
46,2020-05-26,3.79,3.8,3.75,3.76,1960683.0,3.809,,
47,2020-05-27,3.77,3.77,3.69,3.71,2046001.0,3.7900000000000005,,
48,2020-05-28,3.71,3.74,3.67,3.72,1790429.0,3.7720000000000007,,
49,2020-05-29,3.71,3.73,3.68,3.68,2302535.0,3.750000000000001,,
50,2020-06-01,3.71,3.82,3.7,3.81,3729253.0,3.7430000000000008,,
51,2020-06-02,3.81,3.87,3.8,3.82,2828760.0,3.741000000000001,,
52,2020-06-03,3.82,3.85,3.78,3.78,2491900.0,3.742000000000001,,
53,2020-06-04,3.78,3.82,3.77,3.82,2575830.0,3.7550000000000012,,
54,2020-06-05,3.83,3.83,3.74,3.78,2889013.0,3.7650000000000015,,
55,2020-06-08,3.79,3.89,3.79,3.88,6829936.0,3.776000000000001,,
56,2020-06-09,3.88,3.99,3.81,3.99,9118734.0,3.7990000000000017,,
57,2020-06-10,3.97,3.98,3.81,3.82,9544300.0,3.8100000000000014,,
58,2020-06-11,3.82,3.82,3.78,3.78,2517406.0,3.8160000000000016,,
59,2020-06-12,3.75,3.82,3.69,3.82,2388922.0,3.830000000000002,3.795833333333334,
60,2020-06-15,3.79,3.86,3.76,3.77,3021866.0,3.826000000000002,3.7933333333333343,
61,2020-06-16,3.78,3.81,3.77,3.8,2165200.0,3.8240000000000016,3.788500000000001,
62,2020-06-17,3.79,3.83,3.77,3.82,2767100.0,3.8280000000000016,3.781833333333334,
63,2020-06-18,3.84,3.85,3.8,3.84,2479730.0,3.830000000000002,3.778333333333334,
64,2020-06-19,3.86,3.87,3.82,3.86,3540213.0,3.838000000000002,3.781500000000001,
65,2020-06-22,3.86,3.95,3.85,3.88,4301665.0,3.838000000000002,3.7846666666666677,
66,2020-06-23,3.88,3.91,3.86,3.89,2965018.0,3.8280000000000016,3.7871666666666672,
67,2020-06-24,3.88,3.9,3.86,3.89,2187703.0,3.8350000000000017,3.791333333333334,
68,2020-06-29,3.89,3.89,3.81,3.83,3514310.0,3.840000000000001,3.7933333333333343,
69,2020-06-30,3.84,3.88,3.83,3.84,3260006.0,3.842000000000001,3.7971666666666675,
70,2020-07-01,3.95,3.95,3.84,3.87,4601691.0,3.8520000000000003,3.801333333333334,
71,2020-07-02,3.86,4.24,3.85,4.06,13692553.0,3.878000000000001,3.8088333333333337,
72,2020-07-03,4.1,4.18,4.04,4.13,18631222.0,3.909000000000001,3.8165000000000004,
73,2020-07-06,4.27,4.46,4.18,4.39,31742607.0,3.9640000000000013,3.8286666666666673,
74,2020-07-07,4.39,4.49,4.35,4.35,27234103.0,4.013000000000002,3.8383333333333334,
75,2020-07-08,4.34,4.48,4.29,4.46,16786521.0,4.0710000000000015,3.8495000000000004,
76,2020-07-09,4.44,4.52,4.36,4.4,16295930.0,4.122000000000002,3.858666666666667,
77,2020-07-10,4.39,4.43,4.3,4.3,12606590.0,4.163000000000001,3.8675000000000006,
78,2020-07-13,4.35,4.44,4.31,4.41,11310698.0,4.221000000000001,3.8791666666666673,
79,2020-07-14,4.41,4.45,4.31,4.37,9427285.0,4.274000000000001,3.8895000000000004,
80,2020-07-15,4.39,4.41,4.26,4.3,10453085.0,4.317000000000001,3.898833333333334,
81,2020-07-16,4.3,4.39,4.13,4.16,9907899.0,4.327000000000001,3.904833333333334,
82,2020-07-17,4.18,4.19,3.98,4.08,8517865.0,4.322000000000001,3.9105000000000003,
83,2020-07-20,4.1,4.26,4.1,4.23,7868547.0,4.306,3.9178333333333337,
84,2020-07-21,4.28,4.29,4.18,4.2,4248718.0,4.291,3.920666666666667,
85,2020-07-22,4.18,4.25,4.14,4.15,5074695.0,4.26,3.924666666666667,
