,date,open,high,low,close,volume,10,60,250
0,2020-03-04,5.41,5.48,5.3,5.39,11189600.0,,,
1,2020-03-05,5.43,5.67,5.38,5.58,18809228.0,,,
2,2020-03-06,5.56,5.75,5.5,5.71,18080920.0,,,
3,2020-03-09,5.67,6.2,5.61,5.97,40647675.0,,,
4,2020-03-10,5.77,5.87,5.49,5.83,27064458.0,,,
5,2020-03-11,5.95,5.97,5.6,5.66,16949060.0,,,
6,2020-03-12,5.59,5.6,5.38,5.41,13327911.0,,,
7,2020-03-13,5.1,5.28,5.03,5.21,12182063.0,,,
8,2020-03-16,5.28,5.31,5.06,5.09,9230760.0,,,
9,2020-03-17,5.05,5.17,4.8,5.01,8513603.0,5.485999999999999,,
10,2020-03-18,5.05,5.18,5.03,5.05,7366342.0,5.451999999999999,,
11,2020-03-19,5.02,5.12,4.97,5.12,6869840.0,5.405999999999999,,
12,2020-03-20,5.15,5.22,5.08,5.22,5028578.0,5.356999999999998,,
13,2020-03-23,5.15,5.15,5.01,5.05,6458303.0,5.264999999999999,,
14,2020-03-24,5.11,5.11,4.99,5.07,5548200.0,5.188999999999998,,
15,2020-03-25,5.14,5.16,5.06,5.11,7384400.0,5.133999999999999,,
16,2020-03-26,5.08,5.08,4.95,4.98,6938040.0,5.090999999999999,,
17,2020-03-27,5.03,5.14,4.97,4.97,9021803.0,5.066999999999999,,
18,2020-03-30,4.9,4.91,4.69,4.75,7266685.0,5.0329999999999995,,
19,2020-03-31,4.79,4.81,4.74,4.76,3525000.0,5.008,,
20,2020-04-01,4.71,4.82,4.68,4.75,3821385.0,4.978,,
21,2020-04-02,4.74,4.81,4.72,4.81,3547110.0,4.947000000000001,,
22,2020-04-03,4.83,4.9,4.81,4.84,3589120.0,4.909000000000001,,
23,2020-04-07,4.9,5.05,4.88,5.03,5903197.0,4.907000000000001,,
24,2020-04-08,5.04,5.32,5.02,5.21,10266112.0,4.921000000000001,,
25,2020-04-09,5.22,5.3,5.18,5.26,9621244.0,4.936000000000001,,
26,2020-04-10,5.26,5.27,5.16,5.16,6229720.0,4.954000000000001,,
27,2020-04-13,5.18,5.21,5.08,5.16,5938680.0,4.973000000000001,,
28,2020-04-14,5.3,5.31,5.15,5.2,4718537.0,5.018000000000001,,
29,2020-04-15,5.18,5.28,5.15,5.15,5098317.0,5.057,,
30,2020-04-16,5.12,5.27,5.11,5.26,6451994.0,5.1080000000000005,,
31,2020-04-17,5.23,5.34,5.23,5.3,6061903.0,5.157,,
32,2020-04-20,5.3,5.32,5.25,5.3,4728900.0,5.203,,
33,2020-04-21,5.32,5.34,5.24,5.26,4924643.0,5.226,,
34,2020-04-22,5.25,5.48,5.22,5.46,11321683.0,5.2509999999999994,,
35,2020-04-23,5.45,5.54,5.34,5.35,8345645.0,5.26,,
36,2020-04-24,5.4,5.4,5.21,5.22,4965818.0,5.266,,
37,2020-04-27,5.26,5.74,5.26,5.74,31396984.0,5.324,,
38,2020-04-28,5.93,5.95,5.34,5.57,41482382.0,5.360999999999999,,
39,2020-04-29,5.26,6.08,5.26,5.86,37588049.0,5.4319999999999995,,
40,2020-04-30,5.94,6.13,5.78,5.86,26964529.0,5.491999999999999,,
41,2020-05-06,5.79,6.05,5.75,6.02,18965813.0,5.564,,
42,2020-05-07,6.0,6.06,5.74,5.75,15375200.0,5.609,,
43,2020-05-08,5.8,5.89,5.7,5.87,9249900.0,5.67,,
44,2020-05-11,5.87,5.91,5.72,5.77,7276620.0,5.701,,
45,2020-05-12,5.81,5.84,5.67,5.82,5486120.0,5.747999999999999,,
46,2020-05-13,5.8,6.38,5.75,6.3,24553995.0,5.856,,
47,2020-05-14,6.25,6.65,6.21,6.48,25087222.0,5.929999999999999,,
48,2020-05-15,6.49,6.95,6.49,6.89,21959579.0,6.0619999999999985,,
49,2020-06-01,6.2,6.2,6.2,6.2,1722100.0,6.095999999999998,,
50,2020-06-02,6.0,6.21,5.72,5.75,49153163.0,6.084999999999998,,
51,2020-06-03,5.66,5.81,5.51,5.52,30808143.0,6.034999999999998,,
52,2020-06-04,5.58,5.63,5.39,5.47,16698311.0,6.006999999999998,,
53,2020-06-05,5.45,5.47,5.34,5.39,9859100.0,5.958999999999998,,
54,2020-06-08,5.39,5.61,5.37,5.55,17315161.0,5.936999999999999,,
55,2020-06-09,5.55,5.62,5.46,5.56,8336403.0,5.911,,
56,2020-06-10,5.54,5.56,5.41,5.43,7777329.0,5.824,,
57,2020-06-11,5.42,5.56,5.39,5.47,8727920.0,5.722999999999999,,
58,2020-06-12,5.37,5.44,5.3,5.42,7532019.0,5.575999999999999,,
59,2020-06-15,5.41,5.47,5.37,5.42,8605992.0,5.497999999999999,5.429500000000002,
60,2020-06-16,5.42,5.78,5.4,5.67,18992150.0,5.489999999999999,5.434166666666669,
61,2020-06-17,5.72,5.8,5.59,5.7,12411846.0,5.508,5.436166666666669,
62,2020-06-18,5.72,5.75,5.65,5.68,6394881.0,5.529,5.435666666666669,
63,2020-06-19,5.72,5.94,5.67,5.85,13815500.0,5.575,5.433666666666669,
64,2020-06-22,5.95,6.17,5.88,6.11,18294781.0,5.631,5.438333333333336,
65,2020-06-23,6.12,6.2,6.03,6.14,12912772.0,5.689,5.446333333333336,
66,2020-06-24,6.17,6.17,5.74,5.75,16840865.0,5.721,5.452000000000002,
67,2020-06-29,5.85,5.96,5.6,5.82,13481051.0,5.756,5.462166666666669,
68,2020-06-30,5.91,5.93,5.74,5.87,7962874.0,5.801,5.475166666666669,
69,2020-07-01,5.81,5.96,5.75,5.77,8234636.0,5.836,5.487833333333336,
70,2020-07-02,5.78,5.82,5.73,5.76,8070875.0,5.845000000000001,5.499666666666669,
71,2020-07-03,5.77,5.81,5.75,5.78,6943724.0,5.853,5.510666666666668,
72,2020-07-06,5.78,6.13,5.77,6.06,17695466.0,5.891,5.5246666666666675,
73,2020-07-07,6.07,6.67,5.94,6.38,28050499.0,5.944000000000001,5.546833333333335,
74,2020-07-08,6.28,6.37,6.21,6.32,17873080.0,5.965000000000001,5.567666666666668,
75,2020-07-09,6.48,6.68,6.29,6.59,20425996.0,6.010000000000001,5.592333333333333,
76,2020-07-10,6.58,6.7,6.3,6.34,21863064.0,6.069000000000001,5.614999999999999,
77,2020-07-13,6.32,6.78,6.32,6.73,27176382.0,6.160000000000002,5.644333333333333,
78,2020-07-14,6.69,6.92,6.62,6.69,14537559.0,6.242000000000003,5.676666666666666,
79,2020-07-15,6.75,7.36,6.75,7.36,34726866.0,6.401000000000003,5.72,
80,2020-07-16,7.32,7.46,6.64,6.74,34926895.0,6.499000000000002,5.753166666666667,
81,2020-07-17,6.9,7.41,6.88,7.41,10044063.0,6.662000000000002,5.7965,
82,2020-07-20,7.88,8.01,7.17,7.57,43222657.0,6.813000000000002,5.8420000000000005,
83,2020-07-21,7.26,7.49,7.26,7.37,20167939.0,6.9120000000000035,5.881000000000001,
84,2020-07-22,7.25,7.53,7.23,7.31,18457649.0,7.011000000000005,5.916000000000001,
85,2020-07-23,7.25,7.77,7.1,7.73,28864529.0,7.125000000000004,5.9571666666666685,
86,2020-07-24,7.68,8.16,7.64,7.83,26824932.0,7.274000000000004,6.001666666666668,
87,2020-07-27,7.7,8.22,7.6,7.86,19877073.0,7.387000000000003,6.046666666666668,
88,2020-07-28,8.08,8.09,7.66,7.79,11805991.0,7.497000000000004,6.089833333333335,
89,2020-07-29,7.87,8.52,7.87,8.44,19902885.0,7.605000000000004,6.1446666666666685,
90,2020-07-30,8.35,8.66,8.3,8.56,13744880.0,7.787000000000004,6.199666666666669,
