,date,open,high,low,close,volume,120,180,240
0,2018-11-13,39.73,40.64,39.59,40.52,4745813.0,,,
1,2018-11-14,40.82,41.71,40.08,41.26,5587512.0,,,
2,2018-11-15,41.85,43.22,40.83,42.79,7304771.0,,,
3,2018-11-16,42.52,42.8,41.88,41.91,4914563.0,,,
4,2018-11-19,41.92,42.39,41.3,42.17,3558062.0,,,
5,2018-11-20,41.34,42.55,41.14,41.59,3211893.0,,,
6,2018-11-21,41.42,42.33,40.83,41.97,3212113.0,,,
7,2018-11-22,42.42,42.74,41.14,41.16,3168348.0,,,
8,2018-11-23,41.39,42.01,38.68,38.84,3642677.0,,,
9,2018-11-26,37.96,38.84,36.27,36.45,4107195.0,,,
10,2018-11-27,36.77,37.13,35.88,36.28,2198424.0,,,
11,2018-11-28,36.23,36.71,35.43,36.71,2067006.0,,,
12,2018-11-29,36.71,36.84,34.36,34.36,2674408.0,,,
13,2018-11-30,34.06,34.55,32.92,34.45,2622486.0,,,
14,2018-12-03,35.3,36.55,34.9,35.83,3112808.0,,,
15,2018-12-04,35.83,36.65,35.41,36.31,3172905.0,,,
16,2018-12-05,35.4,35.61,34.87,35.09,2428758.0,,,
17,2018-12-06,35.01,35.55,34.28,34.4,2255129.0,,,
18,2018-12-07,34.4,34.81,33.87,34.66,1626620.0,,,
19,2018-12-10,34.67,34.68,33.61,33.72,1455807.0,,,
20,2018-12-11,33.71,34.29,33.62,34.28,1269279.0,,,
21,2018-12-12,34.63,36.23,34.33,35.63,3594347.0,,,
22,2018-12-13,35.35,35.6,34.67,35.34,2576104.0,,,
23,2018-12-14,35.37,35.83,34.76,35.09,2246048.0,,,
24,2018-12-17,36.35,38.44,36.05,36.73,4728411.0,,,
25,2018-12-18,36.17,36.63,35.14,35.59,3190953.0,,,
26,2018-12-19,35.35,35.98,34.57,34.58,1865454.0,,,
27,2018-12-20,34.38,35.14,34.36,35.12,1718985.0,,,
28,2018-12-21,34.85,35.86,34.66,35.78,2117754.0,,,
29,2018-12-24,35.84,36.86,35.7,36.85,3564458.0,,,
30,2018-12-25,36.22,36.49,34.92,36.37,3173120.0,,,
