,date,open,high,low,close,volume,10,60,250
0,2020-03-18,8.84,9.05,8.53,8.53,11679102.0,,,
1,2020-03-19,8.48,8.59,8.11,8.42,13049999.0,,,
2,2020-03-20,8.51,8.59,8.34,8.54,8682172.0,,,
3,2020-03-23,8.3,8.44,7.99,8.02,9159056.0,,,
4,2020-03-24,8.16,8.26,7.85,8.15,6856055.0,,,
5,2020-03-25,8.35,8.56,8.27,8.48,9084595.0,,,
6,2020-03-26,8.52,8.8,8.42,8.68,10773561.0,,,
7,2020-03-27,8.72,8.79,8.4,8.4,7088425.0,,,
8,2020-03-30,8.24,8.25,7.97,8.05,7068207.0,,,
9,2020-03-31,8.17,8.17,7.93,7.94,5210700.0,8.321,,
10,2020-04-01,7.94,8.06,7.87,7.91,4216349.0,8.258999999999999,,
11,2020-04-02,7.88,8.09,7.76,8.08,5436516.0,8.224999999999998,,
12,2020-04-03,8.1,8.25,7.99,8.04,5852387.0,8.175,,
13,2020-04-07,8.18,8.41,8.14,8.36,6872858.0,8.209,,
14,2020-04-08,8.35,8.89,8.29,8.6,8658844.0,8.254,,
15,2020-04-09,8.58,8.7,8.52,8.57,6677957.0,8.262999999999998,,
16,2020-04-10,8.58,8.65,8.25,8.28,6341620.0,8.222999999999999,,
17,2020-04-13,8.31,8.35,8.15,8.24,3277943.0,8.206999999999997,,
18,2020-04-14,8.27,8.42,8.25,8.41,3146307.0,8.242999999999999,,
19,2020-04-15,8.42,8.46,8.27,8.3,3428694.0,8.278999999999998,,
20,2020-04-16,8.29,8.29,8.14,8.27,3812400.0,8.314999999999998,,
21,2020-04-17,8.27,8.44,8.21,8.27,3826518.0,8.333999999999998,,
22,2020-04-20,8.22,8.49,8.12,8.33,4722443.0,8.362999999999996,,
23,2020-04-21,8.25,8.27,8.14,8.22,3474666.0,8.348999999999997,,
24,2020-04-22,8.19,8.26,8.12,8.23,3308166.0,8.311999999999998,,
25,2020-04-23,8.24,8.43,8.14,8.27,7179297.0,8.281999999999996,,
26,2020-04-24,8.18,8.23,7.95,7.99,5679263.0,8.252999999999997,,
27,2020-04-27,7.95,8.07,7.89,7.93,2817856.0,8.221999999999996,,
28,2020-04-28,7.93,7.93,7.24,7.41,7985329.0,8.121999999999996,,
29,2020-04-29,7.43,7.52,7.27,7.28,4402392.0,8.019999999999996,,
30,2020-04-30,7.31,7.51,7.24,7.48,4307674.0,7.940999999999997,,
31,2020-05-06,7.43,7.7,7.33,7.67,4482330.0,7.880999999999998,,
32,2020-05-07,7.7,7.85,7.62,7.64,4014840.0,7.811999999999998,,
33,2020-05-08,7.7,7.85,7.65,7.76,4825167.0,7.765999999999998,,
34,2020-05-11,7.78,7.85,7.65,7.69,4199071.0,7.711999999999998,,
35,2020-05-12,7.72,7.72,7.42,7.61,4579426.0,7.645999999999998,,
36,2020-05-13,7.63,7.72,7.58,7.63,3782500.0,7.609999999999998,,
37,2020-05-14,7.57,7.62,7.43,7.45,4110945.0,7.561999999999998,,
38,2020-05-15,7.51,7.51,7.37,7.4,3026842.0,7.560999999999998,,
39,2020-05-18,7.41,7.41,7.28,7.29,3551833.0,7.561999999999999,,
40,2020-05-19,7.32,7.39,7.29,7.31,2999938.0,7.544999999999999,,
41,2020-05-20,7.29,7.32,7.14,7.17,4351514.0,7.494999999999999,,
42,2020-05-21,7.23,7.25,7.1,7.11,3058200.0,7.441999999999998,,
43,2020-05-22,7.12,7.14,6.89,6.93,3741196.0,7.358999999999999,,
44,2020-05-25,6.9,6.93,6.75,6.76,3037500.0,7.266,,
45,2020-05-26,6.75,7.02,6.75,7.0,3515202.0,7.205,,
46,2020-05-27,7.0,7.08,6.92,6.93,2844800.0,7.135,,
47,2020-05-28,6.96,6.98,6.71,6.91,2935098.0,7.080999999999999,,
48,2020-05-29,6.88,7.03,6.83,7.02,2777500.0,7.0429999999999975,,
