,date,open,high,low,close,volume,120,180,240
0,2018-11-13,14.57,15.04,14.16,14.69,3179106.0,,,
1,2018-11-14,14.81,14.99,14.61,14.99,2811240.0,,,
2,2018-11-15,15.34,16.48,15.07,16.48,4913614.0,,,
3,2018-11-16,17.4,18.13,16.95,17.07,9692292.0,,,
4,2018-11-19,16.7,18.05,16.65,17.51,6000373.0,,,
5,2018-11-20,17.19,17.49,16.39,16.55,4261184.0,,,
6,2018-11-21,16.2,16.93,16.2,16.51,2981532.0,,,
7,2018-11-22,17.01,17.65,16.91,16.92,4596324.0,,,
8,2018-11-23,16.97,17.07,15.41,15.81,3831796.0,,,
9,2018-11-26,15.9,16.21,15.27,15.66,2701076.0,,,
10,2018-11-27,15.7,15.94,15.2,15.6,2386607.0,,,
11,2018-11-28,15.82,16.02,15.48,15.88,2976652.0,,,
12,2018-11-29,15.95,16.16,14.81,14.83,3215458.0,,,
13,2018-11-30,14.73,15.61,14.38,15.25,3531433.0,,,
14,2018-12-03,15.81,15.9,15.41,15.62,2936421.0,,,
15,2018-12-04,15.62,15.76,15.34,15.67,2116043.0,,,
16,2018-12-05,15.27,15.48,14.85,15.22,1803979.0,,,
17,2018-12-06,15.32,15.6,14.92,14.94,2224907.0,,,
18,2018-12-07,15.05,15.2,14.69,14.78,1766490.0,,,
19,2018-12-10,14.77,14.78,14.31,14.59,1629660.0,,,
20,2018-12-11,14.67,14.72,14.31,14.52,1395400.0,,,
21,2018-12-12,14.56,14.65,14.43,14.59,1064560.0,,,
22,2018-12-13,14.69,14.78,14.32,14.59,1719493.0,,,
23,2018-12-14,14.5,14.54,13.87,13.91,1954439.0,,,
24,2018-12-17,14.01,14.14,13.73,14.11,1114102.0,,,
25,2018-12-18,13.87,14.1,13.85,14.04,801580.0,,,
26,2018-12-19,14.07,14.15,13.71,13.72,793140.0,,,
27,2018-12-20,13.73,14.03,13.54,13.95,856580.0,,,
28,2018-12-21,13.83,13.94,13.56,13.84,924794.0,,,
29,2018-12-24,13.89,14.04,13.66,14.02,916120.0,,,
30,2018-12-25,13.97,13.97,13.1,13.54,1773980.0,,,
31,2018-12-26,13.4,13.58,13.24,13.28,1121539.0,,,
32,2018-12-27,13.44,13.56,12.96,12.96,1278458.0,,,
33,2018-12-28,13.27,14.21,13.18,13.82,3368133.0,,,
34,2019-01-02,13.82,13.93,13.34,13.52,2159942.0,,,
35,2019-01-03,13.52,13.55,13.08,13.12,1704145.0,,,
36,2019-01-04,12.93,13.53,12.64,13.46,1924900.0,,,
37,2019-01-07,13.53,13.89,13.52,13.72,1802057.0,,,
38,2019-01-08,13.7,14.36,13.69,14.05,2264602.0,,,
39,2019-01-09,13.96,14.26,13.77,14.03,2499949.0,,,
40,2019-01-10,14.02,14.06,13.69,13.71,1652440.0,,,
41,2019-01-11,13.7,13.89,13.62,13.84,1285400.0,,,
42,2019-01-14,14.0,14.0,13.45,13.54,1424637.0,,,
43,2019-01-15,13.68,14.22,13.52,14.19,2771643.0,,,
44,2019-01-16,14.92,15.62,14.4,14.6,5334778.0,,,
45,2019-01-17,14.52,16.03,14.52,15.21,6134053.0,,,
46,2019-01-18,15.06,15.26,14.65,15.05,3765678.0,,,
47,2019-01-21,14.99,15.32,14.98,15.15,2534524.0,,,
48,2019-01-22,15.15,15.44,14.75,14.88,2006117.0,,,
49,2019-01-23,14.78,15.09,14.77,15.04,1407980.0,,,
50,2019-01-24,15.19,15.51,14.99,15.21,2530380.0,,,
51,2019-01-25,15.29,15.89,15.13,15.89,3254376.0,,,
52,2019-01-28,15.97,16.09,15.06,15.13,3193080.0,,,
53,2019-01-29,14.74,15.03,13.8,14.18,3165851.0,,,
54,2019-01-30,14.15,14.15,13.52,13.56,2099124.0,,,
55,2019-01-31,13.66,13.99,13.59,13.72,1668619.0,,,
56,2019-02-01,13.87,14.08,13.73,14.03,1152753.0,,,
57,2019-02-11,14.04,14.48,13.94,14.41,1382260.0,,,
58,2019-02-12,14.36,14.92,14.34,14.68,1456747.0,,,
59,2019-02-13,14.68,15.06,14.5,14.93,2005378.0,,,
60,2019-02-14,14.9,14.97,14.73,14.81,1799501.0,,,
61,2019-02-15,14.73,15.07,14.71,14.94,1874241.0,,,
62,2019-02-18,14.94,15.55,14.87,15.55,3321620.0,,,
63,2019-02-19,15.55,17.1,15.27,17.1,6293886.0,,,
64,2019-02-20,17.65,18.22,16.18,17.79,7166350.0,,,
65,2019-02-21,17.55,18.9,17.02,18.35,5953442.0,,,
66,2019-02-22,18.1,18.9,17.72,18.31,4548999.0,,,
67,2019-02-25,18.59,19.26,18.12,18.98,4986132.0,,,
68,2019-02-26,18.84,19.05,18.17,18.24,5204618.0,,,
69,2019-02-27,18.21,18.49,17.69,18.34,3663699.0,,,
70,2019-02-28,18.23,18.47,17.98,18.08,1715897.0,,,
71,2019-03-01,18.15,18.52,18.01,18.28,1790698.0,,,
72,2019-03-04,18.57,18.75,18.14,18.18,4550598.0,,,
73,2019-03-05,17.97,18.23,17.75,18.23,2993400.0,,,
74,2019-03-06,18.49,18.57,17.94,18.44,3874801.0,,,
75,2019-03-07,18.43,19.76,18.43,19.23,6039031.0,,,
76,2019-03-08,18.75,18.8,17.59,17.59,3910532.0,,,
77,2019-03-11,17.64,18.84,17.63,18.55,3419281.0,,,
78,2019-03-12,18.66,19.1,18.21,18.64,3790933.0,,,
79,2019-03-13,18.91,19.45,17.94,18.14,4980195.0,,,
80,2019-03-14,18.45,19.08,18.05,18.45,3518784.0,,,
81,2019-03-15,18.07,18.18,17.37,17.86,5567008.0,,,
82,2019-03-18,17.93,17.98,17.42,17.87,2453879.0,,,
83,2019-03-19,17.91,18.2,17.67,17.94,2394553.0,,,
84,2019-03-20,18.02,18.07,17.3,17.77,1713986.0,,,
85,2019-03-21,17.91,18.53,17.68,18.15,2967959.0,,,
86,2019-03-22,18.22,19.25,17.95,18.69,3546134.0,,,
