,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.8,7.89,7.69,7.7,2515927.0,,,
1,2020-03-19,7.67,7.72,7.3,7.55,4029533.0,,,
2,2020-03-20,7.56,7.64,7.51,7.59,2294524.0,,,
3,2020-03-23,7.42,7.7,7.4,7.63,3628719.0,,,
4,2020-03-24,7.62,7.67,7.54,7.64,2846756.0,,,
5,2020-03-25,7.68,8.4,7.68,8.4,9628731.0,,,
6,2020-03-26,8.41,8.85,8.21,8.53,19908823.0,,,
7,2020-03-27,8.42,8.56,7.68,8.23,9131827.0,,,
8,2020-03-30,8.06,8.19,7.92,8.06,5596569.0,,,
9,2020-03-31,8.1,8.2,7.93,8.13,4405092.0,7.946,,
10,2020-04-01,8.06,8.52,7.95,8.25,7860899.0,8.001,,
11,2020-04-02,8.26,8.26,8.03,8.17,4579039.0,8.062999999999999,,
12,2020-04-03,8.16,8.28,7.97,7.97,4702564.0,8.100999999999999,,
13,2020-04-07,8.06,8.2,7.97,8.18,5410985.0,8.156,,
14,2020-04-08,8.14,8.68,8.01,8.52,9605369.0,8.244,,
15,2020-04-09,8.52,8.57,8.32,8.36,8580416.0,8.239999999999998,,
16,2020-04-10,8.35,9.2,8.25,9.2,35602673.0,8.306999999999999,,
17,2020-04-13,9.12,9.3,8.78,9.06,37164930.0,8.389999999999999,,
18,2020-04-14,8.9,9.25,8.87,9.1,31848157.0,8.493999999999998,,
19,2020-04-15,9.03,9.65,8.91,9.4,45471543.0,8.620999999999999,,
20,2020-04-16,9.21,9.23,8.81,8.87,31316575.0,8.683,,
21,2020-04-17,8.81,8.83,8.48,8.56,22772587.0,8.722,,
22,2020-04-20,8.56,8.75,8.47,8.64,17927663.0,8.789,,
23,2020-04-21,8.56,8.6,8.16,8.21,22066130.0,8.791999999999998,,
24,2020-04-22,8.19,8.19,7.99,8.14,15397479.0,8.754,,
25,2020-04-23,8.1,8.28,8.02,8.06,14368831.0,8.724,,
26,2020-04-24,8.06,8.06,7.75,7.8,12619271.0,8.584,,
27,2020-04-27,7.82,7.87,7.65,7.69,7159277.0,8.447,,
28,2020-04-28,7.72,7.78,7.32,7.61,9419363.0,8.297999999999998,,
29,2020-04-29,7.57,7.71,7.52,7.62,5595592.0,8.12,,
30,2020-04-30,7.64,7.85,7.64,7.78,7221989.0,8.011,,
31,2020-05-06,7.72,7.87,7.68,7.83,5304191.0,7.937999999999998,,
32,2020-05-07,7.89,7.89,7.53,7.65,11608050.0,7.838999999999999,,
33,2020-05-08,7.64,7.74,7.58,7.71,9997522.0,7.788999999999999,,
34,2020-05-11,7.71,7.71,7.57,7.59,8087810.0,7.733999999999999,,
35,2020-05-12,7.59,7.66,7.52,7.58,6129537.0,7.685999999999998,,
36,2020-05-13,7.59,7.61,7.49,7.54,6201284.0,7.659999999999999,,
37,2020-05-14,7.52,7.54,7.32,7.34,8886549.0,7.625,,
38,2020-05-15,7.36,7.42,7.32,7.35,5048268.0,7.598999999999999,,
39,2020-05-18,7.37,7.38,7.14,7.15,9561392.0,7.552,,
40,2020-05-19,7.18,7.24,7.15,7.21,6072619.0,7.494999999999999,,
41,2020-05-20,7.22,7.22,7.05,7.07,6105908.0,7.418999999999999,,
42,2020-05-21,7.07,7.13,7.0,7.05,5020580.0,7.358999999999997,,
