,date,open,high,low,close,volume,120,180,240
0,2018-11-13,2.04,2.19,2.04,2.16,21745184.0,,,
1,2018-11-14,2.17,2.21,2.11,2.13,16995871.0,,,
2,2018-11-15,2.14,2.23,2.13,2.19,16679203.0,,,
3,2018-11-16,2.2,2.22,2.16,2.18,12683641.0,,,
4,2018-11-19,2.18,2.19,2.13,2.17,8685335.0,,,
5,2018-11-20,2.16,2.17,2.12,2.12,7452516.0,,,
6,2018-11-21,2.11,2.15,2.11,2.15,7496877.0,,,
7,2018-11-22,2.15,2.17,2.13,2.17,5348010.0,,,
8,2018-11-23,2.16,2.16,2.04,2.05,10425680.0,,,
9,2018-11-26,2.05,2.07,2.03,2.05,4013308.0,,,
10,2018-11-27,2.05,2.07,2.05,2.06,4419394.0,,,
11,2018-11-28,2.06,2.11,2.05,2.1,6157412.0,,,
12,2018-11-29,2.1,2.12,2.07,2.07,7279500.0,,,
13,2018-11-30,2.06,2.09,2.04,2.08,5654720.0,,,
14,2018-12-03,2.1,2.16,2.09,2.15,11415540.0,,,
15,2018-12-04,2.14,2.17,2.13,2.16,7015194.0,,,
16,2018-12-05,2.13,2.17,2.12,2.15,6366190.0,,,
17,2018-12-06,2.14,2.21,2.13,2.16,8605971.0,,,
18,2018-12-07,2.15,2.17,2.12,2.13,4387712.0,,,
19,2018-12-10,2.13,2.13,2.09,2.11,3552150.0,,,
20,2018-12-11,2.12,2.12,2.1,2.12,3453439.0,,,
21,2018-12-12,2.12,2.12,2.1,2.11,2411920.0,,,
22,2018-12-13,2.11,2.14,2.1,2.12,2882827.0,,,
23,2018-12-14,2.12,2.13,2.08,2.09,3413889.0,,,
24,2018-12-17,2.07,2.09,2.07,2.09,2717450.0,,,
25,2018-12-18,2.09,2.09,2.04,2.05,3728060.0,,,
26,2018-12-19,2.05,2.06,2.01,2.02,3058650.0,,,
27,2018-12-20,2.02,2.04,2.0,2.02,3309930.0,,,
28,2018-12-21,2.01,2.02,1.98,1.99,3269998.0,,,
29,2018-12-24,1.99,2.01,1.98,2.0,1904502.0,,,
30,2018-12-25,1.99,1.99,1.94,1.97,4075074.0,,,
31,2018-12-26,2.0,2.09,1.98,2.04,13172959.0,,,
32,2018-12-27,2.04,2.05,1.95,1.95,8997813.0,,,
33,2018-12-28,1.95,1.97,1.93,1.95,5310195.0,,,
34,2019-01-02,1.95,1.96,1.93,1.96,3493826.0,,,
35,2019-01-03,1.98,2.02,1.97,2.02,10312644.0,,,
36,2019-01-04,2.0,2.23,1.99,2.23,36003704.0,,,
37,2019-01-07,2.45,2.45,2.45,2.45,8541845.0,,,
38,2019-01-08,2.7,2.7,2.61,2.7,161429112.0,,,
39,2019-01-09,2.71,2.97,2.59,2.94,202718030.0,,,
40,2019-01-10,2.76,3.03,2.74,2.84,162350529.0,,,
41,2019-01-11,2.77,3.13,2.69,3.13,180169610.0,,,
42,2019-01-14,3.14,3.28,2.91,2.94,158164948.0,,,
43,2019-01-15,2.89,3.14,2.81,3.0,120152798.0,,,
44,2019-01-16,2.96,3.13,2.9,3.0,102844202.0,,,
45,2019-01-17,2.94,3.01,2.86,2.89,94334769.0,,,
46,2019-01-18,2.92,2.92,2.66,2.69,93261646.0,,,
47,2019-01-21,2.71,2.72,2.61,2.68,46917127.0,,,
48,2019-01-22,2.67,2.71,2.63,2.66,41943640.0,,,
49,2019-01-23,2.67,2.68,2.61,2.67,34282800.0,,,
50,2019-01-24,2.66,2.66,2.6,2.61,31941500.0,,,
51,2019-01-25,2.6,2.62,2.48,2.49,47083083.0,,,
52,2019-01-28,2.53,2.54,2.44,2.46,26544876.0,,,
53,2019-01-29,2.47,2.47,2.32,2.37,32977120.0,,,
54,2019-01-30,2.38,2.44,2.34,2.35,27920619.0,,,
55,2019-01-31,2.34,2.37,2.23,2.27,32678346.0,,,
56,2019-02-01,2.27,2.44,2.27,2.41,36827282.0,,,
57,2019-02-11,2.46,2.5,2.38,2.49,39327520.0,,,
58,2019-02-12,2.5,2.53,2.46,2.52,37685945.0,,,
59,2019-02-13,2.5,2.59,2.47,2.55,39903406.0,,,
60,2019-02-14,2.53,2.66,2.5,2.61,59131879.0,,,
61,2019-02-15,2.57,2.64,2.54,2.55,42313425.0,,,
62,2019-02-18,2.54,2.63,2.54,2.62,44089919.0,,,
63,2019-02-19,2.64,2.84,2.57,2.8,87848020.0,,,
64,2019-02-20,2.75,2.84,2.71,2.76,61292626.0,,,
65,2019-02-21,2.77,2.82,2.71,2.73,53820608.0,,,
66,2019-02-22,2.72,2.77,2.65,2.75,50134143.0,,,
67,2019-02-25,2.75,2.94,2.75,2.89,82158234.0,,,
68,2019-02-26,2.9,2.94,2.81,2.84,77384321.0,,,
69,2019-02-27,2.81,2.87,2.76,2.78,48001378.0,,,
70,2019-02-28,2.79,2.91,2.78,2.84,42474126.0,,,
71,2019-03-01,2.87,2.89,2.78,2.81,34041830.0,,,
72,2019-03-04,2.82,2.88,2.8,2.83,52910611.0,,,
73,2019-03-05,2.81,2.87,2.79,2.87,43678557.0,,,
74,2019-03-06,2.92,3.12,2.92,3.04,86112627.0,,,
75,2019-03-07,3.06,3.09,2.99,3.05,72857748.0,,,
76,2019-03-08,3.01,3.02,2.76,2.79,64589534.0,,,
77,2019-03-11,2.77,3.08,2.77,3.08,66734012.0,,,
78,2019-03-12,3.38,3.38,3.38,3.38,17928480.0,,,
79,2019-03-13,3.68,3.68,3.34,3.45,196868790.0,,,
80,2019-03-14,3.3,3.31,3.11,3.12,96561471.0,,,
81,2019-03-15,3.12,3.22,3.03,3.1,56196727.0,,,
82,2019-03-18,3.21,3.21,3.11,3.16,46616333.0,,,
83,2019-03-19,3.16,3.41,3.11,3.3,59057081.0,,,
84,2019-03-20,3.24,3.27,3.15,3.19,43909561.0,,,
85,2019-03-21,3.19,3.24,3.15,3.19,40392273.0,,,
86,2019-03-22,3.17,3.18,3.09,3.13,34105787.0,,,
87,2019-03-25,3.07,3.13,3.03,3.09,26859067.0,,,
88,2019-03-26,3.09,3.12,2.96,2.97,32169710.0,,,
89,2019-03-27,2.98,3.03,2.9,2.99,29194790.0,,,
90,2019-03-28,2.98,3.03,2.94,2.94,18072350.0,,,
91,2019-03-29,2.94,3.0,2.89,2.99,24209968.0,,,
92,2019-04-01,3.01,3.2,3.01,3.12,38828910.0,,,
93,2019-04-02,3.14,3.17,3.09,3.1,30890288.0,,,
94,2019-04-03,3.09,3.12,3.05,3.1,22108831.0,,,
95,2019-04-04,3.12,3.24,3.1,3.16,43164553.0,,,
96,2019-04-08,3.16,3.17,3.06,3.11,31036054.0,,,
97,2019-04-09,3.11,3.13,3.08,3.11,18718135.0,,,
98,2019-04-10,3.09,3.22,3.06,3.17,44811971.0,,,
