,date,open,high,low,close,volume,120,180,240
0,2018-11-13,4.78,4.87,4.71,4.83,17244057.0,,,
1,2018-11-14,4.85,4.93,4.82,4.86,12248013.0,,,
2,2018-11-15,4.84,4.9,4.81,4.88,10720559.0,,,
3,2018-11-16,4.86,4.95,4.85,4.91,11102117.0,,,
4,2018-11-19,4.94,4.94,4.85,4.9,8228040.0,,,
5,2018-11-20,4.89,4.95,4.77,4.81,12494544.0,,,
6,2018-11-21,4.75,4.77,4.66,4.75,12152974.0,,,
7,2018-11-22,4.77,5.23,4.74,5.23,23306354.0,,,
8,2018-11-23,5.19,5.22,4.87,4.94,41085223.0,,,
9,2018-11-26,4.89,5.33,4.81,5.19,42651521.0,,,
10,2018-11-27,5.14,5.52,5.14,5.32,51179252.0,,,
11,2018-11-28,5.28,5.34,5.13,5.25,25885840.0,,,
12,2018-11-29,5.31,5.5,5.07,5.1,35343912.0,,,
13,2018-11-30,5.1,5.41,5.03,5.26,37525949.0,,,
14,2018-12-03,5.36,5.63,5.27,5.57,48121144.0,,,
15,2018-12-04,5.55,5.57,5.39,5.5,30588698.0,,,
16,2018-12-05,5.31,5.43,5.31,5.4,20226679.0,,,
17,2018-12-06,5.34,5.52,5.32,5.36,22351664.0,,,
18,2018-12-07,5.42,5.44,5.23,5.23,17456002.0,,,
19,2018-12-10,5.12,5.22,4.95,5.08,23969872.0,,,
20,2018-12-11,5.08,5.14,5.04,5.11,11845125.0,,,
21,2018-12-12,5.22,5.24,5.12,5.12,12838600.0,,,
22,2018-12-13,5.14,5.22,5.06,5.15,13654712.0,,,
23,2018-12-14,5.16,5.24,4.98,5.0,17178652.0,,,
24,2018-12-17,5.0,5.06,4.94,5.01,9383601.0,,,
25,2018-12-18,4.97,5.01,4.84,4.91,14294989.0,,,
26,2018-12-19,4.91,4.96,4.86,4.87,6841025.0,,,
27,2018-12-20,4.87,4.89,4.73,4.84,10992901.0,,,
28,2018-12-21,4.83,4.83,4.7,4.74,9617583.0,,,
29,2018-12-24,4.76,4.83,4.74,4.81,9408639.0,,,
30,2018-12-25,4.73,4.76,4.55,4.71,12815031.0,,,
31,2018-12-26,4.69,4.72,4.64,4.65,6085434.0,,,
32,2018-12-27,4.74,4.82,4.69,4.73,15890505.0,,,
33,2018-12-28,4.74,4.85,4.71,4.8,12673500.0,,,
34,2019-01-02,4.83,4.84,4.74,4.75,6581573.0,,,
35,2019-01-03,4.71,4.81,4.71,4.73,5673774.0,,,
36,2019-01-04,4.71,4.86,4.67,4.83,9773126.0,,,
37,2019-01-07,4.87,4.98,4.84,4.98,12696366.0,,,
38,2019-01-08,4.97,5.03,4.92,4.99,10575294.0,,,
39,2019-01-09,5.32,5.44,5.06,5.07,31809681.0,,,
40,2019-01-10,5.01,5.04,4.93,4.97,16385306.0,,,
41,2019-01-11,4.93,5.02,4.89,4.99,11358637.0,,,
42,2019-01-14,4.98,5.0,4.9,4.94,7492347.0,,,
43,2019-01-15,4.93,4.99,4.91,4.98,7861136.0,,,
44,2019-01-16,4.99,5.01,4.95,4.97,6898582.0,,,
45,2019-01-17,4.97,4.98,4.88,4.88,8741510.0,,,
46,2019-01-18,4.87,4.94,4.87,4.92,5754053.0,,,
47,2019-01-21,4.92,4.95,4.89,4.9,7332376.0,,,
48,2019-01-22,4.9,4.9,4.78,4.79,10681738.0,,,
49,2019-01-23,4.79,4.83,4.75,4.79,4443938.0,,,
50,2019-01-24,4.79,4.83,4.75,4.79,6973384.0,,,
51,2019-01-25,4.83,4.87,4.77,4.83,8676374.0,,,
52,2019-01-28,4.85,4.87,4.75,4.75,8530230.0,,,
53,2019-01-29,4.76,4.79,4.53,4.63,13446368.0,,,
54,2019-01-30,4.63,4.63,4.55,4.56,6446900.0,,,
55,2019-01-31,4.3,4.39,4.26,4.32,17976102.0,,,
56,2019-02-01,4.34,4.53,4.34,4.49,10739822.0,,,
57,2019-02-11,4.49,4.62,4.49,4.6,6613351.0,,,
58,2019-02-12,4.6,4.73,4.59,4.7,9122253.0,,,
59,2019-02-13,4.7,4.88,4.64,4.8,16681307.0,,,
60,2019-02-14,4.76,4.82,4.74,4.78,10625292.0,,,
61,2019-02-15,4.82,4.84,4.74,4.8,11112171.0,,,
62,2019-02-18,4.8,4.92,4.8,4.91,14502798.0,,,
63,2019-02-19,4.91,4.98,4.87,4.9,15117015.0,,,
64,2019-02-20,4.92,4.97,4.89,4.94,12124815.0,,,
65,2019-02-21,4.93,5.07,4.9,4.97,22854207.0,,,
66,2019-02-22,4.93,5.01,4.89,5.0,18064885.0,,,
67,2019-02-25,5.05,5.22,5.02,5.2,33783209.0,,,
68,2019-02-26,5.23,5.35,5.2,5.23,32929389.0,,,
69,2019-02-27,5.34,5.34,5.17,5.24,27230175.0,,,
70,2019-02-28,5.22,5.32,5.22,5.27,15320479.0,,,
71,2019-03-01,5.3,5.34,5.22,5.29,17002574.0,,,
72,2019-03-04,5.31,5.44,5.29,5.33,28158204.0,,,
73,2019-03-05,5.34,5.44,5.31,5.43,24647962.0,,,
74,2019-03-06,5.45,5.72,5.41,5.67,49125678.0,,,
75,2019-03-07,5.62,5.71,5.58,5.67,35543738.0,,,
76,2019-03-08,5.58,5.6,5.27,5.29,36338481.0,,,
77,2019-03-11,5.3,5.48,5.29,5.44,22325095.0,,,
78,2019-03-12,5.46,5.53,5.35,5.44,34156320.0,,,
79,2019-03-13,5.33,5.37,5.2,5.23,37232113.0,,,
80,2019-03-14,5.25,5.31,5.06,5.12,27209143.0,,,
81,2019-03-15,5.14,5.26,5.12,5.21,23637697.0,,,
82,2019-03-18,5.21,5.4,5.17,5.31,26359588.0,,,
83,2019-03-19,5.34,5.35,5.23,5.3,21479983.0,,,
