,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.23,7.3,6.9,6.9,29296641.0,,,
1,2020-03-19,6.82,6.99,6.66,6.95,28493494.0,,,
2,2020-03-20,6.98,7.25,6.86,7.22,38282111.0,,,
3,2020-03-23,7.06,7.35,6.9,6.93,31982078.0,,,
4,2020-03-24,6.98,7.08,6.65,6.92,27245376.0,,,
5,2020-03-25,7.06,7.25,6.93,7.13,31704278.0,,,
6,2020-03-26,7.06,7.4,7.01,7.27,42644263.0,,,
7,2020-03-27,7.27,7.27,7.03,7.07,26197326.0,,,
8,2020-03-30,6.96,7.15,6.81,6.82,21662990.0,,,
9,2020-03-31,6.87,6.89,6.61,6.63,19877144.0,6.984,,
10,2020-04-01,6.51,6.83,6.41,6.69,22015709.0,6.962999999999999,,
11,2020-04-02,6.61,6.78,6.5,6.77,20722039.0,6.9449999999999985,,
12,2020-04-03,6.77,6.96,6.73,6.84,25673546.0,6.906999999999999,,
13,2020-04-07,6.91,7.18,6.83,7.09,29475569.0,6.922999999999999,,
14,2020-04-08,7.06,7.36,7.02,7.19,38130566.0,6.949999999999998,,
15,2020-04-09,7.09,7.59,7.09,7.38,48954150.0,6.974999999999999,,
16,2020-04-10,7.34,7.45,7.06,7.1,30698335.0,6.957999999999998,,
17,2020-04-13,7.07,7.37,7.03,7.15,27319375.0,6.965999999999999,,
18,2020-04-14,7.13,7.27,6.97,7.23,28071788.0,7.007,,
19,2020-04-15,7.23,7.87,7.19,7.7,70883644.0,7.114,,
20,2020-04-16,7.55,7.67,7.41,7.46,44109295.0,7.191,,
21,2020-04-17,7.42,7.48,7.22,7.31,32773516.0,7.245,,
22,2020-04-20,7.32,7.36,7.22,7.29,17067781.0,7.290000000000001,,
23,2020-04-21,7.25,7.4,7.16,7.39,22064082.0,7.32,,
24,2020-04-22,7.35,7.35,7.19,7.24,16934105.0,7.325,,
25,2020-04-23,7.25,7.47,7.21,7.26,25016483.0,7.313000000000001,,
26,2020-04-24,7.26,7.28,6.76,6.84,33257867.0,7.287000000000002,,
27,2020-04-27,6.8,6.81,6.58,6.65,14847824.0,7.237000000000002,,
28,2020-04-28,6.69,6.76,6.13,6.37,16791638.0,7.151000000000002,,
29,2020-04-29,6.3,6.49,6.3,6.37,10148743.0,7.0180000000000025,,
30,2020-04-30,6.39,6.54,6.37,6.5,11692524.0,6.922000000000002,,
31,2020-05-06,6.48,6.6,6.42,6.6,10532835.0,6.851000000000002,,
32,2020-05-07,6.59,6.64,6.46,6.49,12123641.0,6.771000000000001,,
33,2020-05-08,6.5,6.54,6.46,6.5,10790764.0,6.682,,
34,2020-05-11,6.5,6.6,6.41,6.58,14596362.0,6.616000000000001,,
35,2020-05-12,6.57,6.63,6.5,6.53,9278305.0,6.543000000000001,,
36,2020-05-13,6.54,6.65,6.47,6.61,12621026.0,6.5200000000000005,,
37,2020-05-14,6.57,6.58,6.5,6.51,9486198.0,6.506,,
38,2020-05-15,6.56,6.57,6.5,6.55,7795692.0,6.523999999999999,,
39,2020-05-18,6.55,6.55,6.35,6.36,12216440.0,6.522999999999999,,
40,2020-05-19,6.39,6.42,6.28,6.32,9914212.0,6.504999999999998,,
41,2020-05-20,6.28,6.44,6.23,6.42,12548604.0,6.486999999999999,,
42,2020-05-21,6.41,6.42,6.21,6.22,9704632.0,6.459999999999999,,
43,2020-05-22,6.17,6.25,6.01,6.11,9132076.0,6.420999999999999,,
44,2020-05-25,6.04,6.24,6.04,6.19,8790720.0,6.382,,
45,2020-05-26,6.2,6.31,6.17,6.25,10012181.0,6.353999999999999,,
46,2020-05-27,6.25,6.28,6.13,6.17,7740598.0,6.31,,
47,2020-05-28,6.15,6.21,6.03,6.11,7801183.0,6.27,,
48,2020-05-29,6.1,6.23,6.05,6.18,6761478.0,6.233,,
49,2020-06-01,6.19,6.33,6.12,6.33,13771875.0,6.2299999999999995,,
50,2020-06-02,6.33,6.37,6.3,6.34,9734977.0,6.232,,
51,2020-06-03,6.36,6.52,6.32,6.39,15845940.0,6.228999999999999,,
52,2020-06-04,6.3,6.35,6.26,6.31,8673706.0,6.2379999999999995,,
53,2020-06-05,6.31,6.33,6.21,6.22,7230700.0,6.249,,
54,2020-06-08,6.22,6.55,6.18,6.36,18997088.0,6.266,,
55,2020-06-09,6.31,6.43,6.28,6.41,12956147.0,6.281999999999999,,
56,2020-06-10,6.42,6.47,6.31,6.36,9654274.0,6.300999999999999,,
57,2020-06-11,6.32,6.38,6.26,6.27,8495326.0,6.316999999999998,,
58,2020-06-12,6.14,6.44,6.1,6.32,11530073.0,6.330999999999998,,
59,2020-06-15,6.49,6.95,6.36,6.92,48786243.0,6.389999999999998,6.709833333333336,
60,2020-06-16,6.76,6.78,6.61,6.69,30372618.0,6.424999999999997,6.706333333333336,
61,2020-06-17,6.65,7.2,6.65,6.91,51104640.0,6.476999999999997,6.70566666666667,
62,2020-06-18,6.91,6.97,6.73,6.91,29028980.0,6.536999999999996,6.7005000000000035,
63,2020-06-19,6.8,6.83,6.71,6.76,16475894.0,6.590999999999997,6.697666666666669,
64,2020-06-22,6.75,6.79,6.63,6.74,15740015.0,6.628999999999996,6.694666666666669,
65,2020-06-23,6.73,6.78,6.6,6.62,12749818.0,6.649999999999997,6.6861666666666695,
66,2020-06-24,6.63,6.69,6.49,6.5,12732093.0,6.663999999999997,6.6733333333333364,
67,2020-06-29,6.48,6.66,6.4,6.55,11174579.0,6.6919999999999975,6.664666666666671,
68,2020-06-30,6.53,6.61,6.51,6.57,9102458.0,6.716999999999999,6.660500000000003,
69,2020-07-01,6.58,6.63,6.46,6.5,11388301.0,6.674999999999999,6.658333333333337,
70,2020-07-02,6.5,6.56,6.43,6.54,11217782.0,6.659999999999999,6.655833333333337,
71,2020-07-03,6.54,6.75,6.52,6.69,19319662.0,6.638,6.654500000000004,
72,2020-07-06,6.66,6.89,6.63,6.87,35102507.0,6.634,6.655000000000005,
73,2020-07-07,6.87,7.08,6.73,6.91,38721308.0,6.648999999999999,6.6520000000000055,
74,2020-07-08,6.9,7.04,6.78,7.02,36555111.0,6.677,6.649166666666672,
75,2020-07-09,7.04,7.38,6.97,7.32,50202987.0,6.747,6.648166666666672,
76,2020-07-10,7.3,7.45,7.1,7.16,48143726.0,6.813,6.649166666666672,
