,date,open,high,low,close,volume,120,180,240
0,2018-11-01,13.8,14.16,13.55,13.56,13222462.0,,,
1,2018-11-02,13.79,14.15,13.69,14.03,14217343.0,,,
2,2018-11-05,14.54,14.72,14.01,14.22,16359845.0,,,
3,2018-11-06,13.92,14.07,13.48,13.7,10837262.0,,,
4,2018-11-07,13.7,13.9,13.64,13.72,7525941.0,,,
5,2018-11-08,13.81,13.87,13.35,13.37,7651374.0,,,
6,2018-11-09,13.37,13.51,13.25,13.29,4950352.0,,,
7,2018-11-12,13.31,13.63,13.31,13.62,6707500.0,,,
8,2018-11-13,13.38,13.88,13.34,13.83,10871443.0,,,
9,2018-11-14,13.86,15.21,13.86,14.87,30271881.0,,,
10,2018-11-15,14.61,14.99,14.53,14.93,20259267.0,,,
11,2018-11-16,14.87,14.88,14.55,14.61,14452667.0,,,
12,2018-11-19,14.68,14.99,14.62,14.91,13291248.0,,,
13,2018-11-20,14.75,14.75,14.17,14.26,11170151.0,,,
14,2018-11-21,14.07,14.37,13.96,14.36,7025646.0,,,
15,2018-11-22,14.36,14.52,14.21,14.26,5444409.0,,,
16,2018-11-23,14.34,14.35,13.29,13.38,9555500.0,,,
17,2018-11-26,13.42,13.6,13.21,13.29,5223189.0,,,
18,2018-11-27,13.4,13.47,13.16,13.28,4145252.0,,,
19,2018-11-28,13.25,13.58,13.15,13.57,5981302.0,,,
20,2018-11-29,13.61,13.77,12.97,12.99,7609366.0,,,
21,2018-11-30,12.99,13.12,12.7,12.99,4870303.0,,,
22,2018-12-03,13.32,13.5,13.22,13.43,6378863.0,,,
23,2018-12-04,13.43,13.99,13.34,13.93,9678969.0,,,
24,2018-12-05,13.56,13.9,13.5,13.64,6255032.0,,,
25,2018-12-06,13.59,14.2,13.43,14.12,12911300.0,,,
26,2018-12-07,14.14,14.15,13.87,13.94,7008906.0,,,
27,2018-12-10,13.82,13.82,13.35,13.42,6105552.0,,,
28,2018-12-11,13.52,13.55,13.36,13.54,3716466.0,,,
29,2018-12-12,13.58,13.8,13.54,13.63,4355529.0,,,
30,2018-12-13,13.63,13.77,13.44,13.54,5333819.0,,,
31,2018-12-14,13.54,13.71,13.23,13.28,4903282.0,,,
32,2018-12-17,13.21,13.62,13.18,13.54,4740269.0,,,
33,2018-12-18,13.5,14.08,13.38,13.73,8985296.0,,,
34,2018-12-19,13.63,13.71,13.34,13.37,5278416.0,,,
35,2018-12-20,13.33,13.51,13.28,13.51,4146277.0,,,
36,2018-12-21,13.42,13.91,13.35,13.86,9645666.0,,,
37,2018-12-24,13.92,14.28,13.87,14.25,14356543.0,,,
38,2018-12-25,13.99,14.05,13.48,13.88,9865776.0,,,
39,2018-12-26,13.87,14.45,13.87,14.13,14541087.0,,,
40,2018-12-27,14.32,14.38,13.65,13.7,9808559.0,,,
41,2018-12-28,13.77,13.88,13.42,13.42,6651796.0,,,
42,2019-01-02,13.45,13.45,13.08,13.13,5333519.0,,,
43,2019-01-03,13.12,13.38,13.09,13.12,3715270.0,,,
44,2019-01-04,12.84,13.4,12.81,13.38,5528372.0,,,
45,2019-01-07,13.5,13.61,13.35,13.54,5545740.0,,,
46,2019-01-08,13.56,13.56,13.33,13.36,4105773.0,,,
47,2019-01-09,13.36,13.7,13.34,13.44,6485942.0,,,
48,2019-01-10,13.76,14.78,13.76,14.2,24471495.0,,,
49,2019-01-11,13.94,14.59,13.77,14.52,21906606.0,,,
50,2019-01-14,14.79,15.67,14.31,14.69,27191554.0,,,
51,2019-01-15,14.47,14.53,13.91,14.37,16363628.0,,,
52,2019-01-16,14.21,14.59,14.13,14.34,10598846.0,,,
53,2019-01-17,14.29,14.32,13.87,13.9,8832146.0,,,
54,2019-01-18,13.84,14.14,13.83,13.99,6894013.0,,,
55,2019-01-21,14.14,14.39,14.13,14.21,9312441.0,,,
56,2019-01-22,14.09,14.35,13.94,14.3,7965413.0,,,
57,2019-01-23,14.22,14.52,14.13,14.52,10190755.0,,,
58,2019-01-24,14.4,15.08,14.22,14.37,13931913.0,,,
59,2019-01-25,14.19,14.28,13.88,13.88,9215185.0,,,
60,2019-01-28,13.91,14.16,13.7,13.94,6197938.0,,,
61,2019-01-29,13.85,13.85,12.75,13.13,9411660.0,,,
62,2019-01-30,12.93,13.87,12.93,13.38,9076389.0,,,
63,2019-01-31,13.49,13.54,12.97,13.09,6808945.0,,,
64,2019-02-01,13.13,13.61,13.13,13.54,7226746.0,,,
65,2019-02-11,13.6,14.26,13.57,14.2,12122712.0,,,
66,2019-02-12,14.29,14.49,14.05,14.32,14188728.0,,,
67,2019-02-13,14.21,14.53,14.06,14.39,14885817.0,,,
68,2019-02-14,14.39,14.96,14.26,14.57,18320630.0,,,
69,2019-02-15,14.6,14.89,14.29,14.29,15198848.0,,,
70,2019-02-18,14.45,14.77,14.32,14.73,16785560.0,,,
71,2019-02-19,14.86,14.87,14.38,14.5,14026279.0,,,
72,2019-02-20,14.5,15.46,14.5,15.18,26750291.0,,,
73,2019-02-21,15.01,15.13,14.65,14.75,19875651.0,,,
74,2019-02-22,14.67,14.79,14.54,14.78,12016651.0,,,
75,2019-02-25,14.79,15.51,14.74,15.44,22928314.0,,,
76,2019-02-26,15.3,15.9,15.1,15.42,26398254.0,,,
77,2019-02-27,15.28,15.68,15.09,15.28,16151185.0,,,
78,2019-02-28,15.24,15.42,15.1,15.39,10898096.0,,,
79,2019-03-01,15.46,15.52,15.13,15.28,8867984.0,,,
80,2019-03-04,15.32,15.66,15.2,15.35,17032850.0,,,
81,2019-03-05,15.26,15.65,15.22,15.59,14618953.0,,,
82,2019-03-06,15.78,16.13,15.68,16.04,23604442.0,,,
83,2019-03-07,16.25,17.12,16.23,16.92,31692367.0,,,
84,2019-03-08,16.43,16.83,16.07,16.11,24843645.0,,,
85,2019-03-11,16.01,16.79,15.79,16.75,18655119.0,,,
86,2019-03-12,16.81,17.71,16.59,17.35,29032356.0,,,
87,2019-03-13,17.13,17.25,16.31,16.41,18517745.0,,,
88,2019-03-14,16.34,16.51,15.45,15.7,13565908.0,,,
89,2019-03-15,15.82,15.94,15.62,15.79,9824500.0,,,
90,2019-03-18,15.85,16.17,15.7,16.15,8323590.0,,,
91,2019-03-19,16.2,16.31,15.81,15.92,10244240.0,,,
92,2019-03-20,15.97,16.09,15.6,15.73,8812174.0,,,
93,2019-03-21,15.72,15.9,15.68,15.76,8806716.0,,,
94,2019-03-22,15.74,15.81,15.33,15.59,9070642.0,,,
95,2019-03-25,15.32,15.49,15.22,15.26,6746216.0,,,
96,2019-03-26,15.35,15.41,14.91,14.99,6652330.0,,,
97,2019-03-27,15.13,15.19,14.88,15.18,4993611.0,,,
98,2019-03-28,15.12,15.23,14.91,14.91,5275040.0,,,
99,2019-03-29,14.94,15.47,14.84,15.43,7739183.0,,,
100,2019-04-01,15.49,15.82,15.42,15.8,10641690.0,,,
101,2019-04-02,15.88,16.06,15.64,15.98,12659810.0,,,
102,2019-04-03,15.92,15.98,15.76,15.91,7610930.0,,,
103,2019-04-04,15.96,16.06,15.78,15.88,7991798.0,,,
104,2019-04-08,15.94,15.99,15.35,15.49,8587367.0,,,
