,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.13,5.73,5.11,5.73,10927743.0,,,
1,2018-11-14,5.8,5.91,5.53,5.55,13458420.0,,,
2,2018-11-15,5.48,5.59,5.45,5.52,6794306.0,,,
3,2018-11-16,5.54,5.76,5.5,5.55,9251979.0,,,
4,2018-11-19,5.57,5.68,5.47,5.59,6945658.0,,,
5,2018-11-20,5.55,5.55,5.31,5.33,4858237.0,,,
6,2018-11-21,5.28,5.39,5.25,5.39,3463148.0,,,
7,2018-11-22,5.4,5.47,5.36,5.41,2685138.0,,,
8,2018-11-23,5.41,5.41,5.06,5.06,4312517.0,,,
9,2018-11-26,5.07,5.13,5.03,5.08,1931500.0,,,
10,2018-11-27,5.14,5.16,5.07,5.11,1412800.0,,,
11,2018-11-28,5.13,5.16,5.03,5.15,1885600.0,,,
12,2018-11-29,5.16,5.21,5.01,5.01,2109110.0,,,
13,2018-11-30,5.03,5.14,4.99,5.14,2191185.0,,,
14,2018-12-03,5.38,5.59,5.31,5.35,6642702.0,,,
15,2018-12-04,5.3,5.37,5.26,5.32,3359164.0,,,
16,2018-12-05,5.2,5.27,5.18,5.21,2894802.0,,,
17,2018-12-06,5.2,5.2,5.07,5.1,2417400.0,,,
18,2018-12-07,5.15,5.15,5.07,5.12,1470153.0,,,
19,2018-12-10,5.06,5.1,5.02,5.06,1213000.0,,,
20,2018-12-11,5.06,5.09,5.04,5.07,825300.0,,,
21,2018-12-12,5.11,5.12,5.06,5.07,825401.0,,,
22,2018-12-13,5.09,5.15,5.03,5.12,1701801.0,,,
23,2018-12-14,5.11,5.13,4.92,4.97,1853799.0,,,
24,2018-12-17,4.97,4.97,4.83,4.9,1552900.0,,,
25,2018-12-18,4.91,4.92,4.81,4.85,1471602.0,,,
26,2018-12-19,4.9,4.9,4.81,4.82,720100.0,,,
27,2018-12-20,4.83,4.94,4.79,4.93,1564102.0,,,
28,2018-12-21,4.92,4.94,4.88,4.93,1081302.0,,,
29,2018-12-24,4.87,4.94,4.84,4.89,1055665.0,,,
30,2018-12-25,4.86,4.86,4.73,4.82,1364516.0,,,
31,2018-12-26,4.85,4.86,4.79,4.81,686000.0,,,
32,2018-12-27,4.9,4.91,4.7,4.7,1335400.0,,,
33,2018-12-28,4.73,4.76,4.68,4.72,792300.0,,,
34,2019-01-02,4.72,4.77,4.7,4.71,842000.0,,,
35,2019-01-03,4.73,4.79,4.72,4.76,957917.0,,,
36,2019-01-04,4.74,5.21,4.69,5.03,4718647.0,,,
37,2019-01-07,5.02,5.08,4.92,5.02,3353880.0,,,
38,2019-01-08,4.98,5.01,4.93,5.0,1711193.0,,,
39,2019-01-09,5.02,5.09,4.99,5.01,3157927.0,,,
40,2019-01-10,5.01,5.04,4.98,5.03,1857245.0,,,
41,2019-01-11,5.04,5.07,5.01,5.06,1651727.0,,,
42,2019-01-14,5.07,5.07,5.02,5.04,1269298.0,,,
43,2019-01-15,5.05,5.1,5.03,5.09,1618201.0,,,
44,2019-01-16,5.09,5.11,5.06,5.09,1399800.0,,,
45,2019-01-17,5.1,5.1,4.99,5.0,1537300.0,,,
46,2019-01-18,5.04,5.04,4.97,5.03,1311493.0,,,
47,2019-01-21,5.05,5.1,5.01,5.05,1397231.0,,,
48,2019-01-22,5.05,5.05,4.98,5.0,1020500.0,,,
49,2019-01-23,5.01,5.05,4.98,5.02,1087000.0,,,
50,2019-01-24,5.04,5.09,5.0,5.09,1896400.0,,,
51,2019-01-25,5.09,5.14,5.03,5.06,2427231.0,,,
52,2019-01-28,5.06,5.12,4.99,5.12,2624410.0,,,
53,2019-01-29,5.1,5.22,5.02,5.2,5108301.0,,,
54,2019-01-30,5.17,5.18,4.77,4.78,4611700.0,,,
55,2019-01-31,4.78,4.83,4.69,4.73,2785159.0,,,
56,2019-02-01,4.77,4.86,4.74,4.83,1620001.0,,,
57,2019-02-11,4.85,4.95,4.78,4.93,2083802.0,,,
58,2019-02-12,4.93,5.01,4.91,4.98,2206768.0,,,
59,2019-02-13,5.01,5.09,4.98,5.07,2993164.0,,,
60,2019-02-14,5.11,5.11,5.03,5.07,1860350.0,,,
61,2019-02-15,5.07,5.11,5.02,5.05,2610600.0,,,
62,2019-02-18,5.05,5.19,5.05,5.19,4817284.0,,,
63,2019-02-19,5.21,5.24,5.14,5.19,3758000.0,,,
64,2019-02-20,5.19,5.25,5.15,5.25,2743200.0,,,
65,2019-02-21,5.25,5.3,5.17,5.18,3627900.0,,,
66,2019-02-22,5.2,5.51,5.16,5.39,6933378.0,,,
67,2019-02-25,5.54,5.92,5.48,5.92,14190025.0,,,
68,2019-02-26,6.18,6.31,5.93,5.93,26434446.0,,,
69,2019-02-27,5.83,6.14,5.73,5.83,15782722.0,,,
70,2019-02-28,5.93,5.93,5.73,5.75,9300508.0,,,
71,2019-03-01,5.79,5.83,5.66,5.8,6909258.0,,,
72,2019-03-04,5.83,6.0,5.77,5.85,11397306.0,,,
73,2019-03-05,5.82,5.94,5.74,5.92,7414064.0,,,
74,2019-03-06,5.95,6.17,5.9,6.15,15503970.0,,,
75,2019-03-07,6.12,6.38,6.02,6.38,16498460.0,,,
76,2019-03-08,6.13,6.25,5.88,5.9,14377385.0,,,
77,2019-03-11,5.94,6.07,5.85,6.06,7821772.0,,,
78,2019-03-12,6.1,6.2,6.02,6.09,10608589.0,,,
79,2019-03-13,6.09,6.14,5.9,5.97,7852142.0,,,
80,2019-03-14,5.98,5.99,5.63,5.72,7416820.0,,,
81,2019-03-15,5.76,5.88,5.75,5.87,5805171.0,,,
82,2019-03-18,5.88,6.03,5.88,6.03,5803996.0,,,
83,2019-03-19,5.98,6.12,5.98,6.08,5630870.0,,,
84,2019-03-20,6.07,6.13,5.95,6.11,5008776.0,,,
85,2019-03-21,6.12,6.19,6.07,6.19,7362187.0,,,
