,date,open,high,low,close,volume,120,180,240
0,2018-11-13,17.88,18.35,17.78,18.05,11471247.0,,,
1,2018-11-14,18.05,18.25,17.85,18.11,6086859.0,,,
2,2018-11-15,17.97,18.45,17.9,18.35,5901951.0,,,
3,2018-11-16,18.4,18.92,18.4,18.57,9762165.0,,,
4,2018-11-19,18.4,18.85,18.4,18.5,7905464.0,,,
5,2018-11-20,18.41,18.76,17.95,18.05,12548597.0,,,
6,2018-11-21,17.87,19.86,17.78,19.86,21402094.0,,,
7,2018-11-22,19.97,20.68,19.53,19.65,26477915.0,,,
8,2018-11-23,19.84,19.87,19.17,19.19,14003995.0,,,
9,2018-11-26,19.29,19.41,17.58,17.97,22115519.0,,,
10,2018-11-27,18.21,19.37,18.21,19.07,16995367.0,,,
11,2018-11-28,19.28,19.34,18.73,18.84,10529094.0,,,
12,2018-11-29,19.17,19.17,18.48,18.51,7124498.0,,,
13,2018-11-30,18.5,18.83,18.12,18.67,8948541.0,,,
14,2018-12-03,19.32,19.74,18.98,19.11,12637470.0,,,
15,2018-12-04,19.21,19.41,18.92,19.21,11081961.0,,,
16,2018-12-05,18.86,19.92,18.76,19.7,15461507.0,,,
17,2018-12-06,19.55,19.97,19.39,19.73,10306476.0,,,
18,2018-12-07,19.57,19.57,18.76,18.97,20053233.0,,,
19,2018-12-10,18.95,19.14,18.87,18.96,7647640.0,,,
20,2018-12-11,19.13,19.27,18.98,19.25,5767023.0,,,
21,2018-12-12,19.35,19.49,19.09,19.32,6862753.0,,,
22,2018-12-13,19.46,20.05,19.37,19.97,15104005.0,,,
23,2018-12-14,19.97,20.24,19.46,19.62,20884151.0,,,
24,2018-12-17,19.3,19.44,18.65,19.02,14772664.0,,,
25,2018-12-18,18.89,19.22,18.67,18.85,5604850.0,,,
26,2018-12-19,18.96,18.96,18.32,18.38,6709049.0,,,
27,2018-12-20,18.17,18.74,17.9,18.68,6110218.0,,,
28,2018-12-21,18.69,18.88,18.41,18.57,4810504.0,,,
29,2018-12-24,18.59,18.93,18.3,18.32,6314551.0,,,
30,2018-12-25,18.31,18.63,18.09,18.58,7701247.0,,,
31,2018-12-26,18.61,19.63,18.61,19.23,9858836.0,,,
32,2018-12-27,19.57,19.62,18.77,18.84,6450814.0,,,
33,2018-12-28,18.94,19.12,18.65,19.07,6360357.0,,,
34,2019-01-02,18.79,18.97,18.22,18.4,7990700.0,,,
35,2019-01-03,18.41,18.46,17.67,17.89,7939400.0,,,
36,2019-01-04,17.87,18.22,17.66,18.05,5353003.0,,,
37,2019-01-07,18.17,18.68,18.02,18.61,9042397.0,,,
38,2019-01-08,18.66,18.76,18.46,18.58,4494644.0,,,
39,2019-01-09,18.67,19.01,18.52,18.82,5978500.0,,,
40,2019-01-10,18.79,18.89,18.62,18.85,3573768.0,,,
41,2019-01-11,18.97,18.97,18.67,18.67,2202800.0,,,
42,2019-01-14,18.67,18.89,18.34,18.69,6320858.0,,,
43,2019-01-15,18.68,18.69,18.19,18.57,8520411.0,,,
44,2019-01-16,18.58,19.75,18.5,19.48,11036416.0,,,
45,2019-01-17,19.42,19.46,18.97,18.98,5316943.0,,,
46,2019-01-18,18.85,19.22,18.69,19.17,5531391.0,,,
47,2019-01-21,19.19,19.24,18.82,19.03,3984444.0,,,
48,2019-01-22,19.07,19.12,18.83,18.94,3468545.0,,,
49,2019-01-23,18.96,19.13,18.78,18.89,2538536.0,,,
50,2019-01-24,19.06,19.06,18.67,18.79,2849410.0,,,
51,2019-01-25,18.95,18.96,18.52,18.56,4221960.0,,,
52,2019-01-28,18.9,19.14,18.65,18.67,3852801.0,,,
53,2019-01-29,18.68,18.76,18.36,18.65,4199057.0,,,
54,2019-01-30,18.63,18.8,18.55,18.56,2367952.0,,,
55,2019-01-31,18.71,18.75,18.19,18.36,5522078.0,,,
56,2019-02-01,18.51,19.0,18.32,18.85,5204344.0,,,
57,2019-02-11,18.85,19.24,18.63,19.15,5544815.0,,,
58,2019-02-12,19.09,19.55,19.08,19.27,6695784.0,,,
59,2019-02-13,19.33,19.36,19.09,19.3,7119459.0,,,
60,2019-02-14,19.32,19.62,19.17,19.38,6458090.0,,,
61,2019-02-15,19.38,19.46,18.9,19.13,7184311.0,,,
62,2019-02-18,19.17,19.57,19.11,19.57,10812316.0,,,
63,2019-02-19,19.51,19.96,19.4,19.6,11405895.0,,,
64,2019-02-20,19.46,19.65,19.2,19.37,6482104.0,,,
65,2019-02-21,19.47,19.53,19.18,19.35,8970550.0,,,
66,2019-02-22,19.48,19.73,19.21,19.46,12393812.0,,,
67,2019-02-25,19.59,20.08,19.38,20.03,26138509.0,,,
68,2019-02-26,19.95,21.77,19.87,21.37,31709407.0,,,
69,2019-02-27,21.12,21.12,20.48,20.67,21636141.0,,,
70,2019-02-28,20.69,21.15,20.58,20.97,11802996.0,,,
71,2019-03-01,21.41,21.77,21.11,21.25,12857952.0,,,
72,2019-03-04,21.51,21.65,21.27,21.55,23137611.0,,,
73,2019-03-05,21.54,22.75,21.53,22.49,23034224.0,,,
74,2019-03-06,22.41,22.91,22.05,22.49,18824762.0,,,
75,2019-03-07,22.7,23.03,22.09,22.47,24279374.0,,,
76,2019-03-08,22.05,22.35,21.47,21.62,20990515.0,,,
77,2019-03-11,21.47,22.01,20.62,21.81,21062191.0,,,
78,2019-03-12,21.87,22.07,21.25,21.41,20796006.0,,,
79,2019-03-13,21.38,21.59,20.98,21.19,13920351.0,,,
80,2019-03-14,21.17,21.44,20.51,20.72,18510919.0,,,
81,2019-03-15,20.73,21.33,20.48,21.07,12991057.0,,,
82,2019-03-18,21.2,21.55,20.89,21.49,12953550.0,,,
83,2019-03-19,21.42,21.59,21.18,21.25,9871917.0,,,
84,2019-03-20,21.25,21.38,20.77,20.98,9792082.0,,,
85,2019-03-21,21.04,21.15,20.67,20.69,15232339.0,,,
86,2019-03-22,20.57,22.76,20.57,22.62,40624191.0,,,
87,2019-03-25,22.19,23.25,22.04,22.12,28925909.0,,,
88,2019-03-26,22.07,22.96,21.69,22.53,24178227.0,,,
89,2019-03-27,23.07,24.55,23.07,23.56,25264983.0,,,
90,2019-03-28,23.71,25.92,23.38,25.05,36301417.0,,,
91,2019-03-29,25.16,25.8,24.61,25.46,29706265.0,,,
92,2019-04-01,25.61,25.76,25.05,25.36,30491121.0,,,
93,2019-04-02,25.24,27.34,24.27,27.2,43248350.0,,,
94,2019-04-03,26.84,28.38,26.43,27.56,32137190.0,,,
95,2019-04-04,27.96,29.46,27.96,29.21,38093180.0,,,
96,2019-04-08,28.95,29.9,28.19,28.49,25988442.0,,,
97,2019-04-09,28.77,28.77,27.29,27.8,22035714.0,,,
98,2019-04-10,27.91,28.73,27.39,27.57,21953683.0,,,
99,2019-04-11,27.76,27.76,26.46,26.5,20570462.0,,,
100,2019-04-12,26.5,27.02,26.01,26.41,16875620.0,,,
101,2019-04-15,26.96,27.03,25.85,25.88,16555232.0,,,
102,2019-04-16,26.14,26.97,25.29,26.8,25322437.0,,,
103,2019-04-17,26.56,28.76,26.49,28.16,33708258.0,,,
104,2019-04-18,28.21,28.63,27.81,28.16,16564827.0,,,
105,2019-04-19,28.26,28.26,27.29,27.6,15279296.0,,,
106,2019-04-22,27.46,28.14,26.9,27.1,14660834.0,,,
107,2019-04-23,26.71,27.76,26.7,26.96,12547522.0,,,
108,2019-04-24,26.91,28.55,26.53,28.26,18456596.0,,,
109,2019-04-25,28.4,28.4,27.16,27.18,17207675.0,,,
110,2019-04-26,27.19,27.36,26.44,26.63,15634689.0,,,
111,2019-04-29,26.64,27.04,25.71,26.46,15682571.0,,,
112,2019-04-30,26.42,27.24,26.01,27.21,14630434.0,,,
113,2019-05-06,26.06,26.46,24.49,24.49,22579493.0,,,
114,2019-05-07,24.27,25.04,23.34,24.16,21294324.0,,,
