,date,open,high,low,close,volume,10,60,250
0,2020-03-18,4.24,4.28,4.05,4.06,7344100.0,,,
1,2020-03-19,4.07,4.12,3.93,4.03,7555400.0,,,
2,2020-03-20,4.09,4.12,4.01,4.09,5449440.0,,,
3,2020-03-23,4.0,4.1,3.98,3.99,5046500.0,,,
4,2020-03-24,4.06,4.08,3.99,4.04,4313666.0,,,
5,2020-03-25,4.1,4.16,4.08,4.12,5587900.0,,,
6,2020-03-26,4.14,4.21,4.09,4.11,5840636.0,,,
7,2020-03-27,4.15,4.2,4.14,4.17,6571628.0,,,
8,2020-03-30,4.12,4.51,4.0,4.35,16483506.0,,,
9,2020-03-31,4.34,4.5,4.26,4.4,13745291.0,4.136,,
10,2020-04-01,4.33,4.4,4.19,4.2,9754100.0,4.15,,
11,2020-04-02,4.19,4.27,4.13,4.26,6516902.0,4.173,,
12,2020-04-03,4.26,4.42,4.22,4.34,8717524.0,4.197999999999999,,
13,2020-04-07,4.4,4.63,4.35,4.5,16053362.0,4.248999999999999,,
14,2020-04-08,4.56,4.67,4.41,4.42,12298587.0,4.286999999999999,,
15,2020-04-09,4.47,4.53,4.42,4.43,8897878.0,4.318,,
16,2020-04-10,4.44,4.44,4.25,4.28,7874982.0,4.334999999999999,,
17,2020-04-13,4.24,4.36,4.23,4.31,4501573.0,4.348999999999999,,
18,2020-04-14,4.33,4.37,4.28,4.36,4563498.0,4.35,,
19,2020-04-15,4.36,4.38,4.26,4.28,4060588.0,4.337999999999999,,
20,2020-04-16,4.27,4.28,4.22,4.24,3341650.0,4.342,,
21,2020-04-17,4.26,4.29,4.18,4.19,5121200.0,4.334999999999999,,
22,2020-04-20,4.21,4.24,4.17,4.24,3484853.0,4.325,,
23,2020-04-21,4.21,4.25,4.15,4.21,3406401.0,4.296,,
24,2020-04-22,4.18,4.31,4.16,4.27,6182600.0,4.281000000000001,,
25,2020-04-23,4.28,4.63,4.26,4.48,17760606.0,4.2860000000000005,,
26,2020-04-24,4.42,4.46,4.28,4.32,9152302.0,4.290000000000001,,
27,2020-04-27,4.32,4.5,4.2,4.4,10935137.0,4.299,,
28,2020-04-28,4.39,4.39,4.16,4.21,8779304.0,4.284000000000001,,
29,2020-04-29,4.25,4.27,4.16,4.18,4757300.0,4.274,,
30,2020-04-30,4.21,4.27,4.18,4.23,4572000.0,4.273,,
31,2020-05-06,4.12,4.27,4.12,4.25,4808215.0,4.279,,
32,2020-05-07,4.23,4.28,4.21,4.23,4173700.0,4.278,,
33,2020-05-08,4.23,4.35,4.23,4.28,6313833.0,4.284999999999999,,
34,2020-05-11,4.28,4.31,4.23,4.25,4615151.0,4.2829999999999995,,
35,2020-05-12,4.25,4.26,4.14,4.19,4403100.0,4.254,,
36,2020-05-13,4.19,4.33,4.16,4.3,6398148.0,4.251999999999999,,
37,2020-05-14,4.3,4.3,4.21,4.22,4929861.0,4.233999999999999,,
38,2020-05-15,4.23,4.28,4.22,4.24,3195300.0,4.236999999999999,,
39,2020-05-18,4.26,4.31,4.23,4.25,6794980.0,4.243999999999999,,
40,2020-05-19,4.28,4.31,4.23,4.3,6515921.0,4.2509999999999994,,
41,2020-05-20,4.31,4.38,4.26,4.27,6398100.0,4.252999999999998,,
42,2020-05-21,4.27,4.29,4.18,4.19,4667000.0,4.248999999999998,,
43,2020-05-22,4.18,4.22,4.12,4.14,3784150.0,4.234999999999998,,
44,2020-05-25,4.11,4.19,4.11,4.18,3265622.0,4.227999999999998,,
45,2020-05-26,4.18,4.21,4.16,4.2,2827366.0,4.228999999999998,,
46,2020-05-27,4.18,4.19,4.14,4.15,3393400.0,4.213999999999999,,
47,2020-05-28,4.15,4.19,4.09,4.14,3489901.0,4.205999999999999,,
48,2020-05-29,4.12,4.18,4.11,4.15,2575401.0,4.196999999999998,,
49,2020-06-01,4.13,4.23,4.13,4.21,5419656.0,4.192999999999999,,
50,2020-06-02,4.2,4.25,4.18,4.23,4669401.0,4.185999999999998,,
51,2020-06-03,4.24,4.26,4.19,4.2,4286911.0,4.178999999999999,,
52,2020-06-04,4.22,4.26,4.18,4.2,4411500.0,4.18,,
53,2020-06-05,4.21,4.36,4.21,4.27,9085800.0,4.193,,
54,2020-06-08,4.28,4.3,4.23,4.26,5478718.0,4.200999999999999,,
