,date,open,high,low,close,volume,10,60,250
0,2020-03-18,11.51,11.81,10.69,10.94,2833200.0,,,
1,2020-03-19,10.91,11.11,10.53,10.78,2270877.0,,,
2,2020-03-20,10.96,11.1,10.63,10.86,1517100.0,,,
3,2020-03-23,10.58,10.97,10.49,10.73,1713200.0,,,
4,2020-03-24,10.82,11.8,10.62,11.58,2187320.0,,,
5,2020-03-25,11.69,12.38,11.69,12.04,3385678.0,,,
6,2020-03-26,12.12,12.12,11.88,11.92,1935574.0,,,
7,2020-03-27,12.21,12.21,11.57,11.78,1648100.0,,,
8,2020-03-30,11.64,11.93,11.36,11.8,1770600.0,,,
9,2020-03-31,11.85,12.07,11.66,11.77,1362086.0,11.42,,
10,2020-04-01,11.62,12.01,11.52,11.57,2182006.0,11.483,,
11,2020-04-02,11.31,11.74,11.31,11.58,1495351.0,11.563,,
12,2020-04-03,11.59,12.25,11.42,12.02,2950097.0,11.679,,
13,2020-04-07,12.02,12.34,11.93,12.06,3417551.0,11.812,,
14,2020-04-08,12.05,12.08,11.62,11.67,2032905.0,11.821,,
15,2020-04-09,11.75,11.86,11.51,11.54,1730149.0,11.771,,
16,2020-04-10,11.54,11.62,10.95,11.18,2143500.0,11.697000000000001,,
17,2020-04-13,11.33,11.33,10.98,11.21,993749.0,11.64,,
18,2020-04-14,11.28,11.78,11.2,11.73,1970406.0,11.633,,
19,2020-04-15,11.68,11.88,11.46,11.47,1765206.0,11.603,,
20,2020-04-16,11.79,11.83,11.32,11.51,1628258.0,11.597,,
21,2020-04-17,11.6,12.66,11.45,11.98,10072027.0,11.637,,
22,2020-04-20,12.07,12.26,11.84,11.88,6395990.0,11.623000000000001,,
23,2020-04-21,11.79,12.07,11.44,12.0,4346800.0,11.617,,
24,2020-04-22,11.96,12.39,11.86,12.23,5287449.0,11.673,,
25,2020-04-23,12.15,13.08,12.14,12.55,9529004.0,11.774000000000001,,
26,2020-04-24,12.33,12.46,11.77,11.89,5718300.0,11.844999999999999,,
27,2020-04-27,12.01,12.01,10.98,11.04,5449686.0,11.827999999999998,,
28,2020-04-28,11.05,11.21,10.57,10.78,4690324.0,11.732999999999997,,
29,2020-04-29,10.83,11.07,10.66,10.98,2933544.0,11.683999999999997,,
30,2020-04-30,11.12,12.08,11.12,12.08,6420169.0,11.740999999999998,,
31,2020-05-06,12.38,13.14,12.25,12.8,12069923.0,11.822999999999997,,
32,2020-05-07,12.86,13.18,12.54,12.76,9415934.0,11.910999999999998,,
33,2020-05-08,12.82,13.18,12.42,13.08,8000020.0,12.019,,
34,2020-05-11,13.14,13.45,12.82,13.09,6936887.0,12.105,,
35,2020-05-12,13.08,13.23,12.68,13.01,5340780.0,12.151,,
36,2020-05-13,12.87,13.07,12.76,12.94,4095400.0,12.256000000000002,,
37,2020-05-14,12.94,13.01,12.66,12.75,4013651.0,12.427000000000001,,
38,2020-05-15,12.99,13.14,12.66,12.99,5109554.0,12.648000000000001,,
39,2020-05-18,13.04,13.37,12.78,12.8,6137454.0,12.830000000000004,,
40,2020-05-19,12.86,13.79,12.86,13.36,7392451.0,12.958000000000002,,
41,2020-05-20,13.23,13.93,13.11,13.57,7595251.0,13.035,,
42,2020-05-21,13.83,13.93,12.52,12.69,9514186.0,13.028,,
43,2020-05-22,12.56,12.82,12.11,12.17,5798500.0,12.936999999999998,,
44,2020-05-25,12.17,12.47,12.09,12.45,3266900.0,12.872999999999996,,
45,2020-05-26,12.38,12.79,12.05,12.73,6585186.0,12.844999999999995,,
46,2020-05-27,12.5,12.7,12.21,12.35,5248634.0,12.785999999999996,,
47,2020-05-28,12.35,12.64,12.0,12.44,3593200.0,12.754999999999995,,
48,2020-05-29,12.28,12.92,12.25,12.85,4422220.0,12.740999999999996,,
49,2020-06-01,12.8,13.3,12.8,13.23,3843051.0,12.783999999999995,,
50,2020-06-02,13.23,13.45,12.97,13.12,3967595.0,12.759999999999994,,
51,2020-06-03,13.24,13.3,12.93,13.15,3927276.0,12.717999999999995,,
52,2020-06-04,13.25,13.87,13.13,13.4,6052188.0,12.788999999999996,,
53,2020-06-05,13.37,13.65,13.0,13.34,4455824.0,12.905999999999997,,
54,2020-06-08,13.38,13.48,13.13,13.19,3445400.0,12.979999999999999,,
55,2020-06-09,13.16,13.22,12.87,12.96,3235424.0,13.003,,
56,2020-06-10,12.81,12.95,12.67,12.78,3510800.0,13.046000000000001,,
57,2020-06-11,12.95,13.85,12.88,13.33,8125600.0,13.135000000000002,,
58,2020-06-12,13.03,14.53,12.97,14.28,13843606.0,13.278000000000002,,
59,2020-06-15,14.22,14.84,14.09,14.34,11820612.0,13.389000000000005,12.285000000000004,
