,date,open,high,low,close,volume,120,180,240
0,2018-11-13,9.82,10.03,9.82,9.95,20708729.0,,,
1,2018-11-14,10.0,10.0,9.82,9.84,17998183.0,,,
2,2018-11-15,9.86,9.94,9.8,9.91,16580059.0,,,
3,2018-11-16,9.91,9.98,9.85,9.9,21394417.0,,,
4,2018-11-19,9.99,10.03,9.91,10.01,21384793.0,,,
5,2018-11-20,10.0,10.02,9.8,9.83,21883780.0,,,
6,2018-11-21,9.76,9.86,9.76,9.8,16027458.0,,,
7,2018-11-22,9.87,9.87,9.72,9.79,14008305.0,,,
8,2018-11-23,9.75,9.8,9.66,9.66,14715010.0,,,
9,2018-11-26,9.8,9.8,9.59,9.66,14377396.0,,,
10,2018-11-27,9.66,9.76,9.61,9.65,15084666.0,,,
11,2018-11-28,9.71,9.77,9.66,9.73,18339621.0,,,
12,2018-11-29,9.79,9.89,9.69,9.78,20685685.0,,,
13,2018-11-30,9.8,9.89,9.77,9.85,28572651.0,,,
14,2018-12-03,10.11,10.16,9.97,10.14,43049070.0,,,
15,2018-12-04,10.12,10.19,10.09,10.19,20811293.0,,,
16,2018-12-05,10.11,10.21,10.08,10.12,25491217.0,,,
17,2018-12-06,9.95,10.05,9.95,10.03,23597997.0,,,
18,2018-12-07,10.06,10.15,10.01,10.02,10580550.0,,,
19,2018-12-10,9.91,10.03,9.91,9.96,15927563.0,,,
20,2018-12-11,9.97,10.03,9.83,9.86,17234222.0,,,
21,2018-12-12,10.02,10.02,9.84,9.87,12448791.0,,,
22,2018-12-13,9.9,9.99,9.87,9.93,19792340.0,,,
23,2018-12-14,9.88,9.93,9.74,9.77,24163831.0,,,
24,2018-12-17,9.8,9.92,9.77,9.92,19746228.0,,,
25,2018-12-18,9.82,9.95,9.69,9.72,19451677.0,,,
26,2018-12-19,9.74,9.8,9.69,9.69,13603633.0,,,
27,2018-12-20,9.69,9.74,9.3,9.43,30069914.0,,,
28,2018-12-21,9.41,9.42,9.2,9.26,20885862.0,,,
29,2018-12-24,9.18,9.23,9.07,9.11,22779882.0,,,
30,2018-12-25,8.99,9.07,8.83,9.0,34810397.0,,,
31,2018-12-26,9.02,9.09,8.87,8.89,20569202.0,,,
32,2018-12-27,8.99,9.01,8.89,8.89,27347564.0,,,
33,2018-12-28,8.94,9.15,8.93,9.01,27404028.0,,,
34,2019-01-02,8.96,9.0,8.81,8.92,23762822.0,,,
35,2019-01-03,8.92,9.03,8.89,9.02,18654262.0,,,
36,2019-01-04,8.95,9.2,8.92,9.16,27172844.0,,,
37,2019-01-07,9.28,9.28,9.12,9.18,23597376.0,,,
38,2019-01-08,9.23,9.23,9.11,9.16,15104933.0,,,
39,2019-01-09,9.25,9.34,9.18,9.19,23163720.0,,,
40,2019-01-10,9.14,9.22,9.12,9.16,15923566.0,,,
41,2019-01-11,9.23,9.34,9.16,9.24,19069069.0,,,
42,2019-01-14,9.23,9.29,9.21,9.25,20352840.0,,,
43,2019-01-15,9.29,9.34,9.24,9.3,15632125.0,,,
44,2019-01-16,9.29,9.34,9.26,9.32,12988340.0,,,
45,2019-01-17,9.35,9.46,9.26,9.35,22766048.0,,,
46,2019-01-18,9.46,9.6,9.4,9.59,29087141.0,,,
47,2019-01-21,9.53,9.62,9.47,9.52,18947789.0,,,
48,2019-01-22,9.55,9.55,9.41,9.43,16250557.0,,,
49,2019-01-23,9.46,9.51,9.43,9.45,16520327.0,,,
50,2019-01-24,9.51,9.56,9.45,9.55,15006699.0,,,
51,2019-01-25,9.61,9.71,9.55,9.66,19696587.0,,,
52,2019-01-28,9.69,9.8,9.56,9.58,21769073.0,,,
53,2019-01-29,9.56,9.78,9.55,9.73,23768004.0,,,
54,2019-01-30,9.74,9.79,9.63,9.66,16054256.0,,,
55,2019-01-31,9.74,9.87,9.67,9.87,25131034.0,,,
56,2019-02-01,9.95,9.95,9.77,9.91,19119343.0,,,
57,2019-02-11,9.77,9.87,9.77,9.84,20216568.0,,,
58,2019-02-12,9.85,9.87,9.78,9.86,16769601.0,,,
59,2019-02-13,9.88,10.05,9.82,9.99,30248695.0,,,
60,2019-02-14,9.98,10.03,9.93,9.95,19815286.0,,,
61,2019-02-15,9.92,9.98,9.8,9.8,17758789.0,,,
62,2019-02-18,9.89,10.0,9.84,9.97,20102219.0,,,
63,2019-02-19,9.98,10.08,9.92,9.93,25952745.0,,,
64,2019-02-20,10.04,10.04,9.94,9.96,22286311.0,,,
65,2019-02-21,9.96,10.05,9.89,9.92,25402390.0,,,
66,2019-02-22,9.9,10.13,9.9,10.13,25907438.0,,,
67,2019-02-25,10.15,10.99,10.15,10.96,93712264.0,,,
68,2019-02-26,10.95,11.18,10.67,10.72,83643265.0,,,
69,2019-02-27,10.77,11.1,10.73,10.88,71201603.0,,,
70,2019-02-28,10.88,10.96,10.74,10.8,39393414.0,,,
71,2019-03-01,10.86,11.09,10.67,11.06,63254621.0,,,
72,2019-03-04,11.15,11.39,10.99,11.06,85024777.0,,,
73,2019-03-05,11.05,11.07,10.92,11.02,54564202.0,,,
74,2019-03-06,11.03,11.18,10.91,11.06,53693164.0,,,
75,2019-03-07,11.06,11.07,10.92,10.93,52618824.0,,,
76,2019-03-08,10.78,10.78,10.45,10.58,52670531.0,,,
77,2019-03-11,10.52,10.66,10.45,10.55,39922020.0,,,
78,2019-03-12,10.66,10.75,10.49,10.52,52211807.0,,,
79,2019-03-13,10.49,10.63,10.39,10.52,41373014.0,,,
80,2019-03-14,10.54,10.65,10.51,10.54,34337899.0,,,
81,2019-03-15,10.55,10.67,10.51,10.51,33769320.0,,,
82,2019-03-18,10.53,10.67,10.46,10.66,43879562.0,,,
83,2019-03-19,10.7,10.73,10.59,10.62,27500231.0,,,
84,2019-03-20,10.6,10.71,10.57,10.62,27325424.0,,,
85,2019-03-21,10.63,10.66,10.52,10.54,35037035.0,,,
86,2019-03-22,10.57,10.59,10.4,10.48,35436446.0,,,
87,2019-03-25,10.38,10.38,10.13,10.15,57716577.0,,,
88,2019-03-26,10.22,10.25,10.15,10.2,30795722.0,,,
89,2019-03-27,10.22,10.34,10.15,10.19,42124489.0,,,
90,2019-03-28,10.15,10.16,10.03,10.15,29296120.0,,,
91,2019-03-29,10.1,10.39,10.1,10.38,60526266.0,,,
92,2019-04-01,10.45,10.6,10.38,10.52,70637405.0,,,
93,2019-04-02,10.58,10.6,10.49,10.52,46714710.0,,,
94,2019-04-03,10.46,10.61,10.43,10.58,50271029.0,,,
95,2019-04-04,10.62,10.77,10.61,10.77,75232527.0,,,
96,2019-04-08,10.84,11.0,10.72,10.78,77870373.0,,,
97,2019-04-09,10.78,10.81,10.57,10.61,56895992.0,,,
98,2019-04-10,10.58,10.63,10.5,10.56,41027539.0,,,
99,2019-04-11,10.55,10.66,10.44,10.55,50172794.0,,,
100,2019-04-12,10.55,10.63,10.51,10.57,26273690.0,,,
101,2019-04-15,10.73,10.83,10.54,10.55,70509167.0,,,
102,2019-04-16,10.54,11.03,10.51,10.99,100665400.0,,,
103,2019-04-17,11.0,11.12,10.93,10.95,68157211.0,,,
104,2019-04-18,10.95,11.08,10.89,10.95,43048980.0,,,
105,2019-04-19,11.05,11.22,10.91,11.05,56013041.0,,,
106,2019-04-22,11.06,11.1,10.74,10.77,53389418.0,,,
107,2019-04-23,10.74,10.85,10.7,10.76,33847719.0,,,
108,2019-04-24,10.82,10.83,10.59,10.69,38201108.0,,,
109,2019-04-25,10.63,10.75,10.56,10.61,40876129.0,,,
110,2019-04-26,10.51,10.63,10.38,10.41,42469581.0,,,
111,2019-04-29,10.44,10.61,10.43,10.56,38586938.0,,,
112,2019-04-30,10.76,11.12,10.76,11.01,123474738.0,,,
113,2019-05-06,10.81,10.91,10.61,10.85,124545414.0,,,
114,2019-05-07,10.87,10.98,10.67,10.85,85489922.0,,,
115,2019-05-08,10.71,10.83,10.57,10.59,58500103.0,,,
116,2019-05-09,10.56,10.63,10.21,10.23,64128049.0,,,
117,2019-05-10,10.33,10.5,10.17,10.41,48550722.0,,,
118,2019-05-13,10.3,10.49,10.26,10.4,40284963.0,,,
119,2019-05-14,10.28,10.52,10.27,10.31,41888998.0,10.081833333333329,,
120,2019-05-15,10.38,10.5,10.33,10.41,34404465.0,10.085666666666663,,
121,2019-05-16,10.38,10.45,10.32,10.39,34141755.0,10.090249999999997,,
122,2019-05-17,10.41,10.44,10.3,10.34,38399831.0,10.093833333333329,,
123,2019-05-20,10.38,10.52,10.35,10.43,34904438.0,10.098249999999997,,
124,2019-05-21,10.42,10.53,10.4,10.41,32975873.0,10.10158333333333,,
125,2019-05-22,10.41,10.43,10.23,10.26,40000391.0,10.105166666666664,,
126,2019-05-23,10.23,10.26,10.07,10.21,36312689.0,10.108583333333332,,
127,2019-05-24,10.27,10.32,10.12,10.22,24160265.0,10.112166666666665,,
128,2019-05-27,10.2,10.36,10.08,10.32,35087915.0,10.117666666666663,,
129,2019-05-28,10.29,10.39,10.14,10.38,72278135.0,10.123666666666663,,
130,2019-05-29,10.27,10.38,10.18,10.23,40860970.0,10.128499999999997,,
131,2019-05-30,10.28,10.28,10.15,10.22,26650033.0,10.132583333333331,,
132,2019-05-31,10.22,10.33,10.16,10.24,36976728.0,10.136416666666664,,
133,2019-06-03,10.27,10.38,10.24,10.38,30492063.0,10.140833333333331,,
134,2019-06-04,10.38,10.46,10.36,10.44,25077393.0,10.143333333333333,,
135,2019-06-05,10.51,10.6,10.44,10.49,31423641.0,10.145833333333332,,
136,2019-06-06,10.59,10.59,10.47,10.55,26427215.0,10.149416666666665,,
