,date,open,high,low,close,volume,120,180,240
0,2021-01-13,65.5,75.88,61.63,64.0,10693863.0,,,
1,2021-01-14,66.0,82.89,65.98,77.01,8677151.0,,,
2,2021-01-15,71.85,79.11,68.33,70.0,5045541.0,,,
3,2021-01-18,65.99,74.8,61.68,73.5,5530860.0,,,
4,2021-01-19,69.9,72.68,67.75,67.83,2103496.0,,,
5,2021-01-20,68.9,75.5,65.94,73.65,2874662.0,,,
6,2021-01-21,74.0,83.93,70.0,78.45,2545885.0,,,
7,2021-01-22,77.69,91.0,77.45,91.0,2563205.0,,,
8,2021-01-25,92.0,95.99,85.2,92.6,3050375.0,,,
9,2021-01-26,91.79,95.6,85.0,86.85,1757488.0,,,
10,2021-01-27,86.86,94.8,83.5,92.5,2178547.0,,,
11,2021-01-28,93.0,93.9,86.0,89.59,1208332.0,,,
12,2021-01-29,89.6,92.6,86.3,86.8,1096125.0,,,
13,2021-02-01,86.8,87.79,78.51,81.15,2282481.0,,,
14,2021-02-02,80.7,84.33,77.02,78.35,1160317.0,,,
15,2021-02-03,77.12,78.63,71.18,73.45,2167210.0,,,
16,2021-02-04,73.14,79.0,73.14,76.52,1360701.0,,,
17,2021-02-05,76.52,79.66,75.25,77.03,1001057.0,,,
18,2021-02-08,80.0,80.11,73.5,77.0,651727.0,,,
19,2021-02-09,74.5,78.43,74.5,75.46,969823.0,,,
20,2021-02-10,75.98,77.27,75.0,76.5,553031.0,,,
21,2021-02-18,77.5,79.38,76.5,77.43,665618.0,,,
22,2021-02-19,78.6,85.65,77.0,84.08,743811.0,,,
23,2021-02-22,84.0,89.8,83.02,89.45,787512.0,,,
24,2021-02-23,89.45,90.48,83.58,89.11,703429.0,,,
25,2021-02-24,87.16,92.79,87.12,89.58,816808.0,,,
26,2021-02-25,89.58,90.95,88.01,89.8,439505.0,,,
27,2021-02-26,88.0,89.9,84.0,86.6,688635.0,,,
28,2021-03-01,87.56,102.98,87.56,101.71,2279047.0,,,
29,2021-03-02,101.42,101.99,86.36,89.98,2763716.0,,,
30,2021-03-03,86.9,91.88,84.0,89.88,1263819.0,,,
31,2021-03-04,87.83,89.74,84.4,86.58,908954.0,,,
32,2021-03-05,83.66,87.25,83.28,84.07,411782.0,,,
33,2021-03-08,84.74,86.38,78.35,78.5,784584.0,,,
34,2021-03-09,78.12,83.32,77.43,77.8,350339.0,,,
35,2021-03-10,78.89,80.0,72.52,73.94,555508.0,,,
36,2021-03-11,72.49,77.33,71.23,75.2,393627.0,,,
37,2021-03-12,75.74,76.48,74.0,75.2,188329.0,,,
38,2021-03-15,74.46,74.88,71.5,72.18,198729.0,,,
39,2021-03-16,72.7,74.88,72.41,74.3,180150.0,,,
40,2021-03-17,73.6,75.31,73.05,74.98,133953.0,,,
41,2021-03-18,74.36,78.99,73.58,78.6,209797.0,,,
42,2021-03-19,78.6,79.99,76.53,77.45,303540.0,,,
43,2021-03-22,76.81,78.88,75.7,75.81,161872.0,,,
44,2021-03-23,76.0,76.0,73.0,73.0,198170.0,,,
45,2021-03-24,72.71,73.35,60.58,63.85,877749.0,,,
46,2021-03-25,64.84,70.5,62.26,69.77,459633.0,,,
47,2021-03-26,69.66,69.95,64.56,68.1,513361.0,,,
48,2021-03-29,67.98,68.75,64.5,65.62,212432.0,,,
49,2021-03-30,65.8,66.01,63.16,63.6,291119.0,,,
50,2021-03-31,64.5,65.5,62.4,64.96,169229.0,,,
51,2021-04-01,66.0,66.28,62.82,65.97,263156.0,,,
52,2021-04-02,65.32,67.45,64.97,67.34,348488.0,,,
53,2021-04-06,68.0,69.65,66.36,68.99,293616.0,,,
54,2021-04-07,68.32,70.0,68.31,68.5,190968.0,,,
55,2021-04-08,68.58,69.59,68.19,69.59,195959.0,,,
56,2021-04-09,70.0,70.0,67.6,68.98,109556.0,,,
57,2021-04-12,68.0,68.68,65.33,65.72,111361.0,,,
58,2021-04-13,64.15,68.36,64.15,66.0,191200.0,,,
59,2021-04-14,66.7,71.91,66.15,70.0,314849.0,,,
60,2021-04-15,70.0,70.0,66.03,66.71,237910.0,,,
61,2021-04-16,66.17,68.5,66.01,66.92,177062.0,,,
62,2021-04-19,66.36,67.83,64.91,67.34,268960.0,,,
63,2021-04-20,67.0,73.99,67.0,69.41,465138.0,,,
64,2021-04-21,68.22,76.55,68.22,74.52,738564.0,,,
65,2021-04-22,77.0,79.8,73.21,74.3,686946.0,,,
66,2021-04-23,74.3,81.77,72.27,79.47,1047073.0,,,
67,2021-04-26,80.87,83.8,78.33,78.93,960978.0,,,
68,2021-04-27,78.93,81.86,77.3,79.41,488667.0,,,
69,2021-04-28,78.61,82.97,78.35,81.33,580699.0,,,
70,2021-04-29,80.99,82.82,77.88,77.95,504898.0,,,
71,2021-04-30,78.11,80.78,77.63,78.55,449698.0,,,
