,date,open,high,low,close,volume,120,180,240
0,2018-11-13,3.58,3.7,3.56,3.67,9265709.0,,,
1,2018-11-14,3.66,3.95,3.65,3.89,17770395.0,,,
2,2018-11-15,3.85,3.89,3.79,3.88,8734284.0,,,
3,2018-11-16,3.88,3.93,3.8,3.9,8267004.0,,,
4,2018-11-19,3.91,3.92,3.79,3.87,5507888.0,,,
5,2018-11-20,3.85,3.88,3.76,3.78,4495200.0,,,
6,2018-11-21,3.71,3.83,3.71,3.8,3829750.0,,,
7,2018-11-22,3.81,3.83,3.79,3.8,2540225.0,,,
8,2018-11-23,3.8,3.81,3.64,3.66,7434035.0,,,
9,2018-11-26,3.65,3.78,3.64,3.74,6370061.0,,,
10,2018-11-27,3.79,3.79,3.71,3.75,1590750.0,,,
11,2018-11-28,3.73,3.75,3.7,3.73,3365033.0,,,
12,2018-11-29,3.76,3.76,3.62,3.62,4431074.0,,,
13,2018-11-30,3.62,3.67,3.5,3.58,7305825.0,,,
14,2018-12-03,3.65,3.87,3.63,3.74,12813398.0,,,
15,2018-12-04,3.74,3.76,3.69,3.71,4374039.0,,,
16,2018-12-05,3.66,3.7,3.63,3.66,3486229.0,,,
17,2018-12-06,3.69,3.71,3.56,3.58,5129750.0,,,
18,2018-12-07,3.58,3.61,3.56,3.61,2016750.0,,,
19,2018-12-10,3.6,3.6,3.53,3.56,4120655.0,,,
20,2018-12-11,3.57,3.57,3.53,3.55,3243813.0,,,
21,2018-12-12,3.57,3.58,3.52,3.54,2276653.0,,,
22,2018-12-13,3.54,3.61,3.52,3.59,3645464.0,,,
23,2018-12-14,3.58,3.6,3.54,3.54,2668263.0,,,
24,2018-12-17,3.56,3.56,3.5,3.54,2923796.0,,,
25,2018-12-18,3.54,3.54,3.47,3.48,2790146.0,,,
26,2018-12-19,3.51,3.51,3.37,3.43,2770508.0,,,
27,2018-12-20,3.44,3.44,3.38,3.42,2048009.0,,,
28,2018-12-21,3.43,3.47,3.37,3.41,4462100.0,,,
29,2018-12-24,3.41,3.44,3.37,3.4,4401122.0,,,
30,2018-12-25,3.38,3.44,3.29,3.44,5146585.0,,,
31,2018-12-26,3.44,3.45,3.4,3.41,2874698.0,,,
32,2018-12-27,3.46,3.49,3.41,3.41,2475880.0,,,
33,2018-12-28,3.4,3.45,3.39,3.41,2982393.0,,,
34,2019-01-02,3.41,3.45,3.38,3.42,1981470.0,,,
35,2019-01-03,3.4,3.44,3.32,3.36,4599468.0,,,
36,2019-01-04,3.32,3.45,3.31,3.44,8767879.0,,,
37,2019-01-07,3.45,3.5,3.44,3.48,4011467.0,,,
38,2019-01-08,3.49,3.49,3.45,3.45,1960218.0,,,
