,date,open,high,low,close,volume,10,60,250
0,2020-03-18,49.81,51.67,49.51,49.57,47970875.0,,,
1,2020-03-19,49.32,50.4,45.98,48.3,57758546.0,,,
2,2020-03-20,49.05,51.19,48.07,50.98,51326788.0,,,
3,2020-03-23,48.7,51.11,48.68,49.88,44988549.0,,,
4,2020-03-24,51.23,52.7,50.69,52.7,45918537.0,,,
5,2020-03-25,54.48,55.15,52.77,53.38,43503443.0,,,
6,2020-03-26,52.37,54.22,52.3,52.39,23976392.0,,,
7,2020-03-27,53.04,54.48,52.34,53.83,36329150.0,,,
8,2020-03-30,53.01,54.66,52.58,53.85,35020170.0,,,
9,2020-03-31,54.37,54.48,52.95,53.13,24043848.0,51.801,,
10,2020-04-01,52.84,54.07,52.67,52.84,21899528.0,52.128,,
11,2020-04-02,52.16,52.83,51.56,52.77,22836674.0,52.575,,
12,2020-04-03,52.27,53.43,52.27,52.67,17589934.0,52.74399999999999,,
13,2020-04-07,53.89,56.47,53.87,55.74,61942729.0,53.33,,
14,2020-04-08,54.98,56.23,54.73,55.54,25989752.0,53.61399999999999,,
15,2020-04-09,55.81,56.5,55.26,55.88,22552394.0,53.86399999999999,,
16,2020-04-10,56.32,56.8,55.16,55.81,22532575.0,54.20599999999998,,
17,2020-04-13,55.64,57.88,55.27,57.18,27619273.0,54.540999999999976,,
18,2020-04-14,56.8,57.55,56.57,57.53,23227351.0,54.90899999999997,,
19,2020-04-15,57.24,57.24,55.56,55.74,29085376.0,55.16999999999997,,
20,2020-04-16,55.17,55.68,54.85,55.24,18284441.0,55.40999999999997,,
21,2020-04-17,55.69,57.26,55.31,56.13,30411081.0,55.74599999999997,,
22,2020-04-20,56.87,58.06,56.85,57.43,30218350.0,56.221999999999966,,
23,2020-04-21,56.89,57.7,55.98,57.04,21053894.0,56.35199999999996,,
24,2020-04-22,56.61,57.46,56.27,57.41,16842866.0,56.538999999999966,,
25,2020-04-23,57.53,57.71,55.85,55.85,23800649.0,56.535999999999966,,
26,2020-04-24,55.85,56.22,55.26,55.97,18248439.0,56.55199999999998,,
27,2020-04-27,56.51,57.24,56.17,56.33,19467545.0,56.466999999999985,,
28,2020-04-28,56.88,56.91,55.56,56.64,19541288.0,56.377999999999986,,
29,2020-04-29,56.65,58.63,56.64,57.86,25441059.0,56.58999999999999,,
30,2020-04-30,58.1,58.2,57.28,57.82,20835334.0,56.84799999999999,,
31,2020-05-06,57.18,57.78,56.59,57.46,36527055.0,56.980999999999995,,
32,2020-05-07,57.57,58.77,57.57,58.73,29534639.0,57.111000000000004,,
33,2020-05-08,58.83,59.14,58.19,58.68,21437648.0,57.275,,
34,2020-05-11,59.03,60.63,59.0,59.74,32316440.0,57.508,,
35,2020-05-12,59.79,60.02,58.39,59.23,22324274.0,57.846000000000004,,
36,2020-05-13,59.12,59.21,58.16,59.01,19317910.0,58.15,,
37,2020-05-14,58.8,58.98,56.9,57.07,35695494.0,58.224000000000004,,
38,2020-05-15,57.1,57.38,56.09,56.75,22594174.0,58.235,,
39,2020-05-18,57.43,57.84,56.96,57.27,21229373.0,58.176,,
40,2020-05-19,57.96,58.32,57.06,57.28,18026014.0,58.12199999999999,,
41,2020-05-20,57.28,57.44,56.19,56.51,24077392.0,58.02699999999999,,
42,2020-05-21,56.68,56.87,55.54,56.44,21427564.0,57.79799999999998,,
43,2020-05-22,56.03,56.19,54.82,54.96,25239789.0,57.42599999999999,,
44,2020-05-25,54.87,54.95,53.89,54.69,20428940.0,56.92099999999998,,
45,2020-05-26,55.23,55.89,54.97,55.37,19786111.0,56.53499999999998,,
46,2020-05-27,55.48,55.81,54.85,54.92,16242028.0,56.125999999999976,,
47,2020-05-28,54.93,55.93,54.77,55.47,17318156.0,55.96599999999997,,
48,2020-05-29,54.93,55.32,54.25,54.77,23580179.0,55.76799999999997,,
49,2020-06-01,55.38,56.39,54.95,56.27,33150294.0,55.66799999999997,,
50,2020-06-02,55.96,56.14,55.18,55.6,23515951.0,55.49999999999998,,
51,2020-06-03,55.81,56.28,55.45,55.52,20045260.0,55.400999999999975,,
52,2020-06-04,55.88,55.88,54.39,54.61,25203134.0,55.21799999999998,,
53,2020-06-05,54.58,54.6,53.21,54.14,35289213.0,55.13599999999998,,
54,2020-06-08,54.3,54.77,53.54,54.01,27068670.0,55.067999999999984,,
55,2020-06-09,53.91,54.94,53.83,54.54,24519753.0,54.98499999999998,,
56,2020-06-10,54.83,55.91,54.51,55.76,35808920.0,55.06899999999998,,
57,2020-06-11,55.75,55.75,54.02,54.73,34589696.0,54.99499999999998,,
58,2020-06-12,53.91,54.59,53.69,54.0,27697112.0,54.917999999999985,,
59,2020-06-15,53.8,54.52,53.23,53.62,22382801.0,54.652999999999984,55.343,
60,2020-06-16,54.38,54.39,53.57,54.02,28782346.0,54.49499999999998,55.41716666666667,
