,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.86,7.01,6.8,6.92,8509550.0,,,
1,2018-11-14,6.92,7.06,6.83,6.99,8605475.0,,,
2,2018-11-15,6.98,7.04,6.85,7.03,8241756.0,,,
3,2018-11-16,6.96,6.98,6.82,6.82,10783800.0,,,
4,2018-11-19,6.75,6.81,6.63,6.72,6179526.0,,,
5,2018-11-20,6.68,6.8,6.61,6.65,5109399.0,,,
6,2018-11-21,6.51,6.65,6.49,6.61,3504550.0,,,
7,2018-11-22,6.61,6.67,6.59,6.61,2597450.0,,,
8,2018-11-23,6.63,6.64,5.96,5.98,6488300.0,,,
9,2018-11-26,5.99,6.06,5.94,5.97,2351000.0,,,
10,2018-11-27,6.06,6.24,6.02,6.12,3163499.0,,,
11,2018-11-28,6.12,6.39,6.03,6.29,4604051.0,,,
12,2018-11-29,6.34,6.39,5.98,5.98,4431250.0,,,
13,2018-11-30,5.97,6.1,5.89,6.08,2881625.0,,,
14,2018-12-03,6.28,6.34,6.13,6.23,4211571.0,,,
15,2018-12-04,6.22,6.27,6.16,6.24,2760088.0,,,
16,2018-12-05,6.12,6.23,6.05,6.16,2464200.0,,,
17,2018-12-06,6.1,6.26,6.04,6.07,3277750.0,,,
18,2018-12-07,6.1,6.24,5.99,6.0,2868700.0,,,
19,2018-12-10,5.95,6.08,5.92,5.99,2287600.0,,,
20,2018-12-11,6.02,6.14,5.99,6.14,2685450.0,,,
21,2018-12-12,6.14,6.27,6.07,6.12,3193900.0,,,
22,2018-12-13,6.05,6.23,6.02,6.22,6213300.0,,,
23,2018-12-14,6.16,6.18,5.94,5.96,5152500.0,,,
24,2018-12-17,5.94,5.96,5.79,5.92,2201250.0,,,
25,2018-12-18,5.87,5.92,5.83,5.91,1522924.0,,,
26,2018-12-19,5.91,5.95,5.82,5.83,2277774.0,,,
27,2018-12-20,5.82,5.91,5.78,5.89,1820349.0,,,
28,2018-12-21,5.85,5.96,5.83,5.96,3082701.0,,,
29,2018-12-24,5.92,6.22,5.91,6.15,4815551.0,,,
30,2018-12-25,6.04,6.39,5.95,6.28,11540638.0,,,
31,2018-12-26,6.27,6.3,6.12,6.15,7050000.0,,,
32,2018-12-27,6.24,6.39,6.06,6.06,6125574.0,,,
33,2018-12-28,6.0,6.12,5.91,6.03,4419250.0,,,
34,2019-01-02,6.04,6.3,6.03,6.21,7438892.0,,,
35,2019-01-03,6.18,6.26,5.98,5.99,6138150.0,,,
36,2019-01-04,5.89,6.15,5.83,6.14,5397725.0,,,
37,2019-01-07,6.18,6.37,6.14,6.28,7837700.0,,,
38,2019-01-08,6.24,6.37,6.22,6.24,5903073.0,,,
39,2019-01-09,6.21,6.52,6.2,6.35,10388758.0,,,
40,2019-01-10,6.32,6.47,6.22,6.45,8336085.0,,,
41,2019-01-11,6.45,6.6,6.39,6.41,8868974.0,,,
42,2019-01-14,6.36,6.67,6.32,6.61,10383584.0,,,
43,2019-01-15,6.53,6.65,6.48,6.61,7184459.0,,,
44,2019-01-16,6.58,6.59,6.39,6.4,6018900.0,,,
45,2019-01-17,6.41,6.43,6.22,6.25,4561850.0,,,
46,2019-01-18,6.25,6.35,6.16,6.35,3824875.0,,,
47,2019-01-21,6.37,6.52,6.31,6.49,6087750.0,,,
48,2019-01-22,6.48,6.53,6.39,6.51,3745439.0,,,
49,2019-01-23,6.67,6.71,6.37,6.38,10918948.0,,,
50,2019-01-24,6.39,6.59,5.92,6.49,12195848.0,,,
51,2019-01-25,6.58,6.95,6.53,6.55,15259398.0,,,
52,2019-01-28,6.41,7.05,6.22,6.69,13757559.0,,,
53,2019-01-29,6.57,6.59,6.17,6.19,9928699.0,,,
54,2019-01-30,6.1,6.18,5.85,5.88,6685600.0,,,
55,2019-01-31,5.83,5.98,5.63,5.64,4646200.0,,,
56,2019-02-01,5.71,5.82,5.65,5.81,3053950.0,,,
57,2019-02-11,5.83,6.06,5.83,5.98,3491825.0,,,
58,2019-02-12,5.96,6.1,5.96,6.02,3977100.0,,,
59,2019-02-13,6.04,6.3,5.96,6.23,7225179.0,,,
60,2019-02-14,6.21,6.28,6.12,6.18,4849450.0,,,
61,2019-02-15,6.15,6.48,6.13,6.48,9130308.0,,,
62,2019-02-18,6.61,7.13,6.43,7.13,14527649.0,,,
63,2019-02-19,7.35,7.47,6.94,7.06,17155525.0,,,
64,2019-02-20,6.96,7.27,6.8,7.08,13939408.0,,,
65,2019-02-21,7.0,7.43,6.88,7.16,15531858.0,,,
66,2019-02-22,7.15,7.42,7.15,7.34,13067745.0,,,
67,2019-02-25,7.41,7.67,7.26,7.6,19265872.0,,,
68,2019-02-26,7.54,7.62,7.33,7.39,17534473.0,,,
69,2019-02-27,7.34,7.47,7.06,7.19,12663010.0,,,
70,2019-02-28,7.1,7.22,7.05,7.12,6517450.0,,,
71,2019-03-01,7.1,7.16,6.93,7.08,6444100.0,,,
72,2019-03-04,7.08,7.39,7.06,7.17,10080840.0,,,
73,2019-03-05,7.2,7.54,7.14,7.54,15538099.0,,,
74,2019-03-06,7.53,8.29,7.33,7.82,20036328.0,,,
75,2019-03-07,7.78,8.37,7.61,8.37,25852226.0,,,
76,2019-03-08,8.95,9.03,7.95,8.01,29194898.0,,,
77,2019-03-11,8.17,8.51,8.0,8.28,17594155.0,,,
78,2019-03-12,8.31,8.37,8.05,8.34,18205155.0,,,
79,2019-03-13,8.29,8.29,7.78,7.86,13369721.0,,,
80,2019-03-14,7.8,7.82,7.27,7.42,10144900.0,,,
81,2019-03-15,7.49,7.64,7.35,7.5,7452938.0,,,
82,2019-03-18,7.51,7.7,7.42,7.68,7432820.0,,,
83,2019-03-19,7.41,7.58,7.35,7.47,11070060.0,,,
84,2019-03-20,7.47,7.49,7.16,7.37,7639691.0,,,
85,2019-03-21,7.4,7.57,7.35,7.53,8811975.0,,,
86,2019-03-22,7.52,7.57,7.3,7.49,9002624.0,,,
87,2019-03-25,7.34,7.57,7.28,7.47,8679971.0,,,
88,2019-03-26,7.53,7.65,7.36,7.44,9472950.0,,,
89,2019-03-27,7.47,7.51,7.08,7.31,6417650.0,,,
90,2019-03-28,7.29,7.45,7.16,7.19,6439011.0,,,
91,2019-03-29,7.15,7.37,6.98,7.35,8379900.0,,,
92,2019-04-01,7.4,7.6,7.38,7.6,8562646.0,,,
93,2019-04-02,7.6,7.79,7.53,7.65,8891685.0,,,
94,2019-04-03,7.56,7.74,7.53,7.73,6888583.0,,,
95,2019-04-04,7.76,7.84,7.56,7.66,7183057.0,,,
96,2019-04-08,7.66,7.71,7.28,7.32,7674600.0,,,
97,2019-04-09,7.33,7.56,7.31,7.53,5500300.0,,,
98,2019-04-10,7.45,7.47,7.34,7.38,4325050.0,,,
99,2019-04-11,7.38,7.42,7.17,7.17,4781064.0,,,
100,2019-04-12,7.2,7.33,7.16,7.3,2951950.0,,,
101,2019-04-15,7.38,7.5,7.27,7.29,5125900.0,,,
102,2019-04-16,7.27,7.7,7.14,7.68,10909018.0,,,
103,2019-04-17,7.73,8.13,7.59,8.04,21422631.0,,,
104,2019-04-18,7.69,7.9,7.66,7.71,14446554.0,,,
105,2019-04-19,7.67,7.78,7.51,7.74,8668440.0,,,
106,2019-04-22,7.76,7.88,7.53,7.58,8098113.0,,,
107,2019-04-23,7.54,7.54,7.27,7.31,6247816.0,,,
108,2019-04-24,7.33,7.48,7.29,7.46,5275460.0,,,
109,2019-04-25,7.41,7.72,7.29,7.31,10471900.0,,,
110,2019-04-26,7.25,7.79,7.25,7.61,13905634.0,,,
111,2019-04-29,7.49,7.62,6.85,6.85,13660350.0,,,
112,2019-04-30,6.76,6.95,6.59,6.71,6378606.0,,,
113,2019-05-06,6.53,6.53,6.04,6.04,6843152.0,,,
114,2019-05-07,6.07,6.2,6.02,6.15,4257450.0,,,
115,2019-05-08,6.02,6.43,5.94,6.2,5389250.0,,,
116,2019-05-09,6.28,6.78,6.26,6.42,8194666.0,,,
117,2019-05-10,6.39,6.8,6.28,6.72,13621250.0,,,
118,2019-05-13,6.58,6.78,6.55,6.59,7300150.0,,,
119,2019-05-14,6.45,6.86,6.45,6.73,8916150.0,6.784416666666667,,
120,2019-05-15,6.82,6.95,6.68,6.87,7913300.0,6.784000000000001,,
121,2019-05-16,6.82,6.94,6.77,6.9,6324563.0,6.78325,,
122,2019-05-17,6.88,7.59,6.88,7.59,28771018.0,6.787916666666667,,
123,2019-05-20,7.97,8.19,7.47,7.63,31367681.0,6.794666666666667,,
124,2019-05-21,7.46,7.74,7.27,7.49,19865393.0,6.801083333333334,,
125,2019-05-22,7.51,8.0,7.39,7.7,22158756.0,6.809833333333334,,
126,2019-05-23,8.13,8.48,8.13,8.48,23352730.0,6.825416666666667,,
127,2019-05-24,8.48,8.78,7.63,7.63,32402509.0,6.833916666666667,,
128,2019-05-27,7.31,8.39,7.31,8.39,34821561.0,6.854,,
129,2019-05-28,8.55,9.23,8.21,8.81,57245211.0,6.877666666666666,,
130,2019-05-29,8.61,9.26,8.5,8.95,44886549.0,6.90125,,
131,2019-05-30,8.66,8.83,8.05,8.44,53195383.0,6.919166666666667,,
