,date,open,high,low,close,volume,10,60,250
0,2020-03-18,21.78,22.39,21.31,21.39,2203808.0,,,
1,2020-03-19,21.38,21.81,21.04,21.67,2082500.0,,,
2,2020-03-20,21.89,22.15,21.56,21.96,2071300.0,,,
3,2020-03-23,21.21,21.58,20.69,20.79,2002700.0,,,
4,2020-03-24,21.26,21.34,20.42,21.12,2330700.0,,,
5,2020-03-25,21.58,21.67,21.32,21.51,2163108.0,,,
6,2020-03-26,21.38,21.6,21.09,21.15,1519170.0,,,
7,2020-03-27,21.53,21.53,20.94,21.04,1218900.0,,,
8,2020-03-30,20.73,20.73,19.87,20.07,2383270.0,,,
9,2020-03-31,20.24,20.32,19.88,20.01,1444900.0,21.070999999999998,,
10,2020-04-01,20.08,20.37,19.84,19.91,1356685.0,20.922999999999995,,
11,2020-04-02,19.82,20.41,19.67,20.39,1693400.0,20.794999999999995,,
12,2020-04-03,20.37,20.47,19.96,20.08,1413300.0,20.606999999999992,,
13,2020-04-07,20.64,21.14,20.39,20.87,2436900.0,20.61499999999999,,
14,2020-04-08,20.87,21.8,20.75,21.52,2686302.0,20.654999999999994,,
15,2020-04-09,21.52,21.82,21.24,21.34,1839500.0,20.637999999999995,,
16,2020-04-10,21.51,21.51,20.64,20.76,1683185.0,20.598999999999993,,
17,2020-04-13,20.62,20.67,20.09,20.21,1436800.0,20.515999999999995,,
18,2020-04-14,20.42,20.68,20.23,20.63,1241657.0,20.571999999999996,,
19,2020-04-15,21.0,21.03,20.48,20.78,1673600.0,20.648999999999994,,
20,2020-04-16,20.81,20.81,20.3,20.56,1580530.0,20.713999999999995,,
21,2020-04-17,20.61,21.08,20.61,20.75,1787900.0,20.749999999999993,,
22,2020-04-20,20.73,21.09,20.47,21.03,1417800.0,20.84499999999999,,
23,2020-04-21,21.04,21.04,20.45,20.6,1522200.0,20.81799999999999,,
24,2020-04-22,20.32,20.69,20.22,20.66,1235100.0,20.731999999999992,,
25,2020-04-23,20.72,20.75,20.32,20.32,1482200.0,20.62999999999999,,
26,2020-04-24,20.32,20.43,19.78,19.85,1791800.0,20.53899999999999,,
27,2020-04-27,19.85,20.09,19.55,19.66,1069000.0,20.483999999999988,,
28,2020-04-28,19.74,19.8,18.27,18.83,2344813.0,20.30399999999999,,
29,2020-04-29,18.83,19.04,18.62,18.82,1143800.0,20.10799999999999,,
30,2020-04-30,19.14,19.54,18.94,19.31,1556100.0,19.98299999999999,,
31,2020-05-06,19.3,21.24,18.94,21.24,2636800.0,20.03199999999999,,
32,2020-05-07,21.53,23.21,21.51,21.74,7624935.0,20.10299999999999,,
33,2020-05-08,21.73,22.12,21.53,21.73,3356585.0,20.21599999999999,,
34,2020-05-11,21.76,22.57,21.58,21.9,3499300.0,20.339999999999993,,
35,2020-05-12,21.79,22.33,21.3,21.75,2092700.0,20.482999999999993,,
36,2020-05-13,21.83,22.15,21.55,22.04,1913829.0,20.70199999999999,,
37,2020-05-14,21.9,22.31,21.63,21.91,1587200.0,20.926999999999992,,
38,2020-05-15,22.0,22.31,21.59,22.2,2550600.0,21.263999999999992,,
39,2020-05-18,22.2,22.93,21.94,22.34,3769309.0,21.615999999999993,,
40,2020-05-19,22.12,23.18,21.9,23.08,4464113.0,21.992999999999995,,
41,2020-05-20,22.61,23.08,21.81,21.99,3530035.0,22.067999999999994,,
42,2020-05-21,21.94,22.13,21.24,21.35,2183900.0,22.028999999999993,,
43,2020-05-22,21.39,21.58,20.55,20.62,2243347.0,21.917999999999996,,
44,2020-05-25,20.76,20.76,20.24,20.34,1090347.0,21.761999999999993,,
45,2020-05-26,20.56,20.92,20.41,20.77,1179700.0,21.663999999999994,,
46,2020-05-27,20.77,20.95,20.57,20.72,1423047.0,21.531999999999996,,
47,2020-05-28,20.61,20.82,20.02,20.33,1494400.0,21.374,,
48,2020-05-29,20.2,20.51,20.1,20.28,956800.0,21.182,,
49,2020-06-01,20.49,20.98,20.33,20.88,1628099.0,21.035999999999998,,
50,2020-06-02,20.91,21.44,20.81,21.34,1888800.0,20.862000000000002,,
51,2020-06-03,21.37,21.45,21.07,21.08,1373980.0,20.770999999999997,,
52,2020-06-04,21.11,21.24,20.88,20.92,1026300.0,20.728,,
53,2020-06-05,20.88,20.96,20.66,20.9,1020000.0,20.756,,
54,2020-06-08,21.04,21.62,20.92,21.62,2041600.0,20.884,,
55,2020-06-09,21.59,21.69,21.14,21.25,1707400.0,20.932,,
56,2020-06-10,21.19,21.19,20.64,20.72,1452347.0,20.932,,
57,2020-06-11,20.68,20.94,20.53,20.73,1027500.0,20.971999999999998,,
58,2020-06-12,20.46,20.46,20.02,20.26,2484000.0,20.969999999999995,,
