,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.52,5.64,5.47,5.6,13067734.0,,,
1,2018-11-14,5.62,5.69,5.58,5.66,15786603.0,,,
2,2018-11-15,5.75,5.92,5.73,5.9,26618276.0,,,
3,2018-11-16,5.81,5.83,5.73,5.78,17825336.0,,,
4,2018-11-19,5.81,5.83,5.74,5.83,10601890.0,,,
5,2018-11-20,5.79,5.8,5.65,5.67,9607340.0,,,
6,2018-11-21,5.59,5.65,5.49,5.63,11297971.0,,,
7,2018-11-22,5.62,5.73,5.56,5.69,8060447.0,,,
8,2018-11-23,5.65,5.67,5.48,5.51,8108769.0,,,
9,2018-11-26,5.51,5.54,5.37,5.38,6288873.0,,,
10,2018-11-27,5.41,5.43,5.36,5.39,3985702.0,,,
11,2018-11-28,5.39,5.48,5.35,5.46,4415607.0,,,
12,2018-11-29,5.53,5.54,5.38,5.39,4497930.0,,,
13,2018-11-30,5.38,5.39,5.29,5.38,5731710.0,,,
14,2018-12-03,5.5,5.55,5.45,5.49,9010642.0,,,
15,2018-12-04,5.48,5.66,5.46,5.59,10576327.0,,,
16,2018-12-05,5.5,5.52,5.42,5.46,11810889.0,,,
17,2018-12-06,5.42,5.51,5.39,5.41,7749509.0,,,
18,2018-12-07,5.39,5.43,5.37,5.4,4943160.0,,,
19,2018-12-10,5.37,5.48,5.37,5.42,4768745.0,,,
20,2018-12-11,5.42,5.44,5.37,5.44,3234574.0,,,
21,2018-12-12,5.47,5.51,5.39,5.43,4062195.0,,,
22,2018-12-13,5.46,5.52,5.46,5.5,9894586.0,,,
23,2018-12-14,5.49,5.51,5.38,5.38,7999187.0,,,
24,2018-12-17,5.37,5.39,5.2,5.35,7678101.0,,,
25,2018-12-18,5.3,5.35,5.26,5.32,4233584.0,,,
26,2018-12-19,5.36,5.36,5.26,5.28,5117426.0,,,
27,2018-12-20,5.28,5.31,5.21,5.25,3960149.0,,,
28,2018-12-21,5.21,5.23,5.18,5.2,3645610.0,,,
29,2018-12-24,5.23,5.27,5.2,5.27,2314932.0,,,
30,2018-12-25,5.21,5.24,5.1,5.14,5858907.0,,,
31,2018-12-26,5.15,5.17,5.04,5.09,4855568.0,,,
32,2018-12-27,5.18,5.19,5.07,5.09,5057959.0,,,
33,2018-12-28,5.13,5.13,5.05,5.09,3562834.0,,,
34,2019-01-02,5.09,5.14,5.06,5.1,3536401.0,,,
35,2019-01-03,5.1,5.16,5.08,5.1,4433686.0,,,
36,2019-01-04,5.06,5.18,5.02,5.17,5319514.0,,,
37,2019-01-07,5.18,5.22,5.15,5.21,5165906.0,,,
38,2019-01-08,5.21,5.42,5.16,5.31,14883213.0,,,
39,2019-01-09,5.34,5.37,5.26,5.27,12592587.0,,,
40,2019-01-10,5.26,5.3,5.23,5.23,5358914.0,,,
41,2019-01-11,5.23,5.26,5.19,5.24,5764039.0,,,
42,2019-01-14,5.25,5.29,5.23,5.24,4031538.0,,,
43,2019-01-15,5.28,5.31,5.22,5.27,4321460.0,,,
44,2019-01-16,5.24,5.28,5.19,5.2,7366709.0,,,
