,date,open,high,low,close,volume,10,60,250
0,2020-03-18,18.56,19.24,18.39,18.7,1746598.0,,,
1,2020-03-19,18.69,18.94,18.4,18.72,1406806.0,,,
2,2020-03-20,18.81,19.33,18.68,19.23,1927783.0,,,
3,2020-03-23,18.83,19.17,18.55,18.64,963250.0,,,
4,2020-03-24,18.94,20.13,18.94,19.41,2237861.0,,,
5,2020-03-25,19.89,21.22,19.55,20.96,4420804.0,,,
6,2020-03-26,20.74,21.57,20.39,21.35,4463364.0,,,
7,2020-03-27,21.38,21.54,21.08,21.31,3586662.0,,,
8,2020-03-30,20.99,20.99,19.17,19.53,3624360.0,,,
9,2020-03-31,19.59,19.8,19.05,19.05,1350490.0,19.69,,
10,2020-04-01,19.21,19.47,18.93,19.14,980970.0,19.734,,
11,2020-04-02,18.85,19.44,18.7,19.34,1241348.0,19.796000000000003,,
12,2020-04-03,19.34,19.44,19.07,19.1,1051950.0,19.783000000000005,,
13,2020-04-07,19.31,19.89,19.21,19.8,1403517.0,19.899000000000008,,
14,2020-04-08,19.65,20.03,19.52,19.62,967227.0,19.92000000000001,,
15,2020-04-09,19.68,20.84,19.63,20.3,1546809.0,19.854000000000006,,
16,2020-04-10,20.39,20.68,19.98,20.44,2250500.0,19.76300000000001,,
17,2020-04-13,19.68,19.74,18.84,19.34,2044205.0,19.56600000000001,,
18,2020-04-14,19.34,19.44,19.14,19.32,958000.0,19.54500000000001,,
19,2020-04-15,21.26,21.26,19.32,19.83,2328560.0,19.623000000000008,,
20,2020-04-16,19.76,19.76,19.15,19.27,1388720.0,19.636000000000006,,
21,2020-04-17,19.45,19.61,19.06,19.34,1821667.0,19.636000000000006,,
22,2020-04-20,19.25,19.45,19.2,19.32,1144080.0,19.65800000000001,,
23,2020-04-21,19.44,19.44,18.69,18.71,1354539.0,19.549000000000007,,
24,2020-04-22,18.54,18.8,18.24,18.73,1670662.0,19.460000000000004,,
25,2020-04-23,18.59,18.84,18.59,18.7,737920.0,19.300000000000004,,
26,2020-04-24,18.7,19.01,18.27,18.49,801980.0,19.105000000000004,,
27,2020-04-27,18.28,18.55,18.23,18.36,665802.0,19.007,,
28,2020-04-28,18.45,18.45,17.39,18.26,1032780.0,18.901000000000003,,
29,2020-04-29,18.08,18.43,17.83,17.94,823960.0,18.712,,
30,2020-04-30,18.15,19.23,18.01,19.2,2115512.0,18.705,,
31,2020-05-06,18.95,19.47,18.88,19.44,1128030.0,18.714999999999996,,
32,2020-05-07,19.44,19.98,19.2,19.22,1281130.0,18.705,,
33,2020-05-08,19.3,19.73,19.22,19.54,1822420.0,18.787999999999997,,
34,2020-05-11,19.64,20.09,19.59,19.61,896510.0,18.875999999999998,,
35,2020-05-12,19.63,19.79,19.24,19.73,1218550.0,18.978999999999996,,
36,2020-05-13,19.72,19.81,19.35,19.54,763476.0,19.083999999999996,,
37,2020-05-14,19.66,19.72,19.33,19.66,1158250.0,19.21399999999999,,
38,2020-05-15,19.44,19.69,19.29,19.6,1081509.0,19.347999999999992,,
39,2020-05-18,19.38,20.16,19.02,19.98,2036290.0,19.551999999999992,,
40,2020-05-19,19.55,20.54,19.55,20.42,2184130.0,19.673999999999996,,
41,2020-05-20,20.13,20.9,20.13,20.36,3062973.0,19.766,,
42,2020-05-21,20.67,20.7,20.23,20.44,1705790.0,19.887999999999998,,
43,2020-05-22,20.43,20.79,20.19,20.62,1796197.0,19.996,,
44,2020-05-25,20.67,21.76,20.38,21.46,4295838.0,20.181,,
45,2020-05-26,21.41,21.47,20.94,21.13,2886226.0,20.321,,
46,2020-05-27,21.13,21.26,20.8,20.92,1515080.0,20.459,,
47,2020-05-28,20.99,21.72,20.84,21.08,3298040.0,20.601000000000003,,
48,2020-05-29,20.68,21.41,20.53,21.39,2292700.0,20.780000000000005,,
49,2020-06-01,21.42,21.62,21.12,21.44,1959230.0,20.926000000000005,,
50,2020-06-02,21.44,22.16,21.43,21.99,3248469.0,21.083000000000006,,
51,2020-06-03,21.99,22.16,21.34,21.51,2433769.0,21.198,,
52,2020-06-04,21.53,21.53,20.81,21.11,1448190.0,21.265000000000004,,
53,2020-06-05,21.27,21.81,21.12,21.24,1409044.0,21.327000000000005,,
54,2020-06-08,21.39,21.88,21.0,21.62,1803167.0,21.343000000000004,,
55,2020-06-09,21.71,21.74,21.16,21.26,1330200.0,21.356,,
56,2020-06-10,21.4,21.4,20.71,21.02,1444500.0,21.366000000000003,,
57,2020-06-11,21.25,21.63,21.01,21.23,1670780.0,21.381,,
58,2020-06-12,21.0,22.0,20.71,21.73,2073030.0,21.415,,
59,2020-06-15,22.3,22.31,21.68,21.85,2071739.0,21.455999999999996,19.993166666666664,
60,2020-06-16,22.25,23.28,21.95,23.05,5056852.0,21.561999999999998,20.065666666666665,
61,2020-06-17,23.0,23.28,22.61,23.13,3655878.0,21.723999999999997,20.139166666666664,
62,2020-06-18,23.45,23.45,22.12,22.5,3568380.0,21.863,20.193666666666665,
63,2020-06-19,22.5,22.73,22.22,22.37,1969270.0,21.976,20.255833333333328,
64,2020-06-22,22.4,22.55,21.74,21.93,2612597.0,22.006999999999998,20.297833333333326,
65,2020-06-23,21.98,22.22,21.77,22.2,2059880.0,22.101,20.318499999999993,
66,2020-06-24,22.2,22.3,21.67,22.0,1707587.0,22.198999999999998,20.32933333333333,
67,2020-06-29,21.8,22.01,21.39,21.65,1496965.0,22.241,20.334999999999997,
68,2020-06-30,21.54,22.8,21.54,22.34,3232645.0,22.302,20.38183333333333,
69,2020-07-01,22.35,22.84,22.2,22.74,2659090.0,22.391000000000002,20.44333333333333,
70,2020-07-02,22.74,23.64,22.43,23.48,4140943.0,22.434,20.515666666666664,
71,2020-07-03,23.32,23.8,23.05,23.39,3674917.0,22.46,20.583166666666667,
72,2020-07-06,23.4,24.03,23.24,23.79,4655284.0,22.589000000000002,20.661333333333335,
73,2020-07-07,24.0,24.0,22.98,23.05,5378634.0,22.657000000000004,20.715500000000002,
74,2020-07-08,23.05,23.46,22.85,23.33,4809646.0,22.797000000000004,20.777333333333335,
75,2020-07-09,23.45,23.57,23.09,23.25,4720218.0,22.902000000000005,20.826500000000003,
76,2020-07-10,23.32,23.47,22.39,22.42,5700317.0,22.944000000000006,20.859500000000004,
77,2020-07-13,22.53,24.0,22.52,23.98,11909180.0,23.177000000000003,20.936833333333336,
78,2020-07-14,24.0,24.08,22.8,23.2,6958991.0,23.263,21.001500000000007,
79,2020-07-15,23.1,23.23,22.39,22.65,3447274.0,23.254,21.048500000000008,
80,2020-07-16,22.77,22.9,21.27,21.58,3876173.0,23.064,21.087000000000007,
81,2020-07-17,21.58,21.99,21.05,21.95,2546127.0,22.919999999999998,21.13050000000001,
82,2020-07-20,22.0,22.47,21.73,22.36,2478644.0,22.777,21.181166666666677,
83,2020-07-21,22.35,22.65,22.1,22.12,2072855.0,22.684,21.238000000000007,
84,2020-07-22,22.12,22.36,21.89,22.0,1568249.0,22.551,21.292500000000008,
85,2020-07-23,21.86,22.28,21.15,22.24,1998185.0,22.45,21.351500000000005,
86,2020-07-24,22.22,22.5,21.71,21.8,2076337.0,22.387999999999998,21.406666666666673,
87,2020-07-27,21.91,21.91,21.0,21.34,1940048.0,22.124000000000002,21.45633333333334,
88,2020-07-28,21.34,21.68,21.14,21.3,1467067.0,21.934000000000005,21.507000000000005,
89,2020-07-29,21.19,22.06,21.07,21.89,1454780.0,21.858,21.57283333333334,
90,2020-07-30,21.95,22.12,21.72,21.75,910460.0,21.875,21.61533333333334,
91,2020-07-31,21.75,22.07,21.55,22.02,1339233.0,21.882,21.65833333333334,
92,2020-08-03,22.02,23.96,22.02,23.43,5429794.0,21.989000000000004,21.728500000000004,
93,2020-08-04,23.35,23.88,23.1,23.58,4578509.0,22.135,21.795833333333338,
94,2020-08-05,23.41,24.8,23.41,24.38,5231128.0,22.373,21.87533333333334,
95,2020-08-06,24.52,25.34,24.28,24.96,4775755.0,22.645000000000003,21.96250000000001,
96,2020-08-07,25.0,25.79,24.2,25.51,4083331.0,23.016,22.06200000000001,
97,2020-08-10,25.66,25.8,24.0,24.36,5381750.0,23.317999999999998,22.140333333333338,
98,2020-08-11,24.51,26.5,24.51,25.39,6141182.0,23.726999999999997,22.23683333333334,
99,2020-08-12,25.5,25.87,24.26,25.21,4104876.0,24.058999999999997,22.32400000000001,
