,date,open,high,low,close,volume,10,60,250
0,2020-03-18,40.35,41.0,38.86,38.96,1054900.0,,,
1,2020-03-19,38.72,40.26,38.72,40.22,1025800.0,,,
2,2020-03-20,40.58,40.64,39.28,40.15,901700.0,,,
3,2020-03-23,39.3,39.51,37.89,38.04,807200.0,,,
4,2020-03-24,38.54,39.18,37.32,39.0,824590.0,,,
5,2020-03-25,39.41,39.98,39.22,39.47,743800.0,,,
6,2020-03-26,39.0,39.47,38.63,38.88,652889.0,,,
7,2020-03-27,39.31,39.88,38.6,38.86,665701.0,,,
8,2020-03-30,37.9,37.9,36.16,36.74,809200.0,,,
9,2020-03-31,37.17,37.37,35.96,36.03,563246.0,38.635000000000005,,
10,2020-04-01,35.97,37.16,35.61,36.3,591190.0,38.36900000000001,,
11,2020-04-02,36.0,37.5,35.3,37.5,636590.0,38.097,,
12,2020-04-03,37.44,37.44,36.36,36.96,677246.0,37.778000000000006,,
13,2020-04-07,37.15,38.15,37.15,38.06,792400.0,37.78,,
14,2020-04-08,38.01,38.56,37.63,38.4,641800.0,37.72,,
15,2020-04-09,38.58,38.85,38.21,38.65,506900.0,37.638,,
16,2020-04-10,38.6,38.87,36.52,37.1,693000.0,37.46,,
17,2020-04-13,36.38,36.49,35.54,35.64,628443.0,37.138,,
18,2020-04-14,35.65,36.16,35.46,36.1,662800.0,37.074,,
19,2020-04-15,36.4,36.4,35.72,36.04,552300.0,37.075,,
20,2020-04-16,36.25,37.65,35.11,37.21,795700.0,37.166,,
21,2020-04-17,37.25,37.8,36.51,36.61,801400.0,37.077,,
22,2020-04-20,37.0,37.48,36.59,37.22,540100.0,37.103,,
23,2020-04-21,37.22,37.43,36.01,36.49,593300.0,36.946000000000005,,
24,2020-04-22,36.19,36.98,35.84,36.82,511964.0,36.788000000000004,,
25,2020-04-23,36.81,37.32,36.09,36.37,526564.0,36.56000000000001,,
26,2020-04-24,36.37,36.48,35.09,35.15,585600.0,36.365,,
27,2020-04-27,34.58,34.58,32.5,33.01,1187789.0,36.102000000000004,,
28,2020-04-28,33.1,33.25,30.0,31.53,973300.0,35.645,,
29,2020-04-29,31.52,32.65,31.01,31.66,590600.0,35.20700000000001,,
30,2020-04-30,31.66,33.42,31.66,33.27,644700.0,34.813,,
31,2020-05-06,32.8,34.26,32.8,34.21,666440.0,34.573,,
32,2020-05-07,34.21,34.82,33.75,33.96,628840.0,34.247,,
33,2020-05-08,34.4,35.47,34.02,34.9,918600.0,34.088,,
34,2020-05-11,35.0,35.89,35.0,35.59,672500.0,33.965,,
35,2020-05-12,35.59,35.79,34.58,35.24,483600.0,33.852000000000004,,
36,2020-05-13,35.24,35.45,34.7,35.09,399100.0,33.846000000000004,,
37,2020-05-14,35.33,38.09,34.7,36.75,1442400.0,34.220000000000006,,
38,2020-05-15,35.02,37.23,35.02,36.94,1273069.0,34.761,,
39,2020-05-18,36.4,37.38,35.7,35.98,827155.0,35.193,,
40,2020-05-19,36.48,36.48,35.8,36.24,487855.0,35.49,,
41,2020-05-20,36.04,36.24,35.3,35.59,551800.0,35.628,,
42,2020-05-21,35.84,35.84,34.62,34.84,486000.0,35.716,,
43,2020-05-22,35.09,35.3,33.98,34.02,533600.0,35.628,,
44,2020-05-25,34.04,34.49,33.2,34.28,411446.0,35.497,,
45,2020-05-26,34.29,35.19,34.2,34.86,540401.0,35.459,,
46,2020-05-27,34.79,35.38,34.53,34.68,525455.0,35.418000000000006,,
47,2020-05-28,34.68,35.15,34.22,34.83,485400.0,35.226000000000006,,
48,2020-05-29,34.75,35.32,34.38,34.84,480500.0,35.016000000000005,,
49,2020-06-01,35.19,36.24,35.01,35.91,555900.0,35.009,,
50,2020-06-02,35.83,37.45,35.83,37.37,1209300.0,35.122,,
51,2020-06-03,37.0,37.2,36.4,36.55,997999.0,35.218,,
52,2020-06-04,36.58,36.96,36.06,36.26,512500.0,35.36,,
53,2020-06-05,36.27,36.45,35.75,36.07,388800.0,35.565000000000005,,
54,2020-06-08,36.85,36.85,35.71,35.85,466500.0,35.722,,
55,2020-06-09,35.95,36.42,35.66,36.39,482400.0,35.875,,
56,2020-06-10,36.02,36.33,32.75,35.8,564700.0,35.987,,
57,2020-06-11,36.0,36.87,35.72,36.07,649100.0,36.111000000000004,,
58,2020-06-12,35.01,35.47,34.84,35.05,517401.0,36.132000000000005,,
59,2020-06-15,34.96,35.67,34.67,35.01,505100.0,36.04200000000001,36.19350000000001,
60,2020-06-16,35.45,35.48,35.01,35.37,454600.0,35.842000000000006,36.13366666666668,
61,2020-06-17,35.32,35.41,34.6,34.92,634700.0,35.67900000000001,36.045333333333346,
62,2020-06-18,34.9,34.99,34.41,34.74,418500.0,35.52700000000001,35.95516666666667,
63,2020-06-19,34.74,35.19,34.53,35.0,446100.0,35.42000000000001,35.904500000000006,
64,2020-06-22,35.0,35.79,34.71,35.35,608500.0,35.37000000000001,35.84366666666667,
65,2020-06-23,35.25,35.52,34.71,34.73,476700.0,35.204000000000015,35.76466666666668,
66,2020-06-24,34.98,34.98,34.6,34.75,345399.0,35.09900000000001,35.69583333333334,
67,2020-06-29,34.76,34.76,33.62,33.84,498900.0,34.87600000000002,35.612166666666674,
68,2020-06-30,33.7,35.37,33.7,34.93,677800.0,34.86400000000002,35.58200000000001,
69,2020-07-01,34.9,35.5,34.71,35.0,419400.0,34.863000000000014,35.56483333333334,
70,2020-07-02,35.19,36.25,34.66,36.17,908500.0,34.94300000000002,35.56266666666667,
71,2020-07-03,36.17,36.26,35.72,35.96,607000.0,35.04700000000001,35.537000000000006,
72,2020-07-06,35.96,37.96,35.95,37.75,1267750.0,35.34800000000001,35.55016666666667,
73,2020-07-07,38.2,41.53,38.2,41.53,1439101.0,36.00100000000001,35.60800000000001,
74,2020-07-08,42.77,43.55,40.38,42.41,3049128.0,36.70700000000001,35.67483333333334,
75,2020-07-09,41.55,42.48,41.54,42.04,2257999.0,37.438,35.73133333333333,
76,2020-07-10,41.94,41.95,40.74,40.87,1453335.0,38.050000000000004,35.79416666666667,
77,2020-07-13,40.71,41.59,40.71,41.55,1342564.0,38.821000000000005,35.89266666666667,
78,2020-07-14,41.52,41.53,39.8,40.69,1467280.0,39.397000000000006,35.96916666666667,
79,2020-07-15,40.69,41.5,40.06,40.78,1165647.0,39.975,36.04816666666668,
80,2020-07-16,40.79,41.45,39.28,39.28,1225253.0,40.285999999999994,36.08266666666668,
81,2020-07-17,39.9,39.9,37.9,38.04,886821.0,40.494,36.10650000000001,
82,2020-07-20,38.3,41.84,38.3,41.84,2285680.0,40.903,36.183500000000016,
83,2020-07-21,42.85,44.71,41.2,43.22,3351508.0,41.072,36.29566666666668,
84,2020-07-22,44.0,44.0,38.9,42.38,2004299.0,41.069,36.38833333333335,
85,2020-07-23,42.94,42.94,40.8,41.9,1160500.0,41.055,36.48050000000002,
86,2020-07-24,41.54,43.82,41.4,41.96,2000980.0,41.164,36.59400000000002,
87,2020-07-27,41.9,41.96,40.21,41.75,924290.0,41.184,36.739666666666686,
88,2020-07-28,41.74,42.77,40.9,41.21,724600.0,41.236,36.90100000000002,
89,2020-07-29,40.69,45.33,40.69,44.35,2187713.0,41.592999999999996,37.11250000000002,
90,2020-07-30,43.76,45.24,43.3,43.81,1181535.0,42.04599999999999,37.28816666666668,
91,2020-07-31,43.81,44.96,43.15,43.99,1136571.0,42.64099999999999,37.45116666666668,
92,2020-08-03,44.11,44.98,43.56,44.64,1373100.0,42.92099999999999,37.62916666666668,
93,2020-08-04,44.88,44.97,42.55,42.73,1181788.0,42.87199999999999,37.759666666666675,
94,2020-08-05,42.87,47.0,42.87,47.0,1525970.0,43.33399999999999,37.94983333333334,
95,2020-08-06,48.98,50.38,44.96,45.44,4753090.0,43.687999999999995,38.11983333333334,
96,2020-08-07,44.68,44.69,41.12,41.63,2717937.0,43.654999999999994,38.22883333333334,
97,2020-08-10,41.68,42.42,41.1,41.1,1360591.0,43.589999999999996,38.30133333333334,
98,2020-08-11,41.5,41.52,38.7,38.81,1910539.0,43.35,38.3325,
99,2020-08-12,38.5,39.4,38.42,39.31,1027539.0,42.846,38.388000000000005,
100,2020-08-13,39.31,39.67,38.97,39.0,796000.0,42.364999999999995,38.434000000000005,
101,2020-08-14,38.99,39.45,38.57,39.29,589300.0,41.894999999999996,38.49566666666667,
102,2020-08-17,39.29,40.85,39.23,40.5,1089700.0,41.481,38.59,
103,2020-08-18,40.29,42.1,40.21,40.49,759600.0,41.257,38.69783333333333,
104,2020-08-19,40.49,40.68,38.88,38.95,749739.0,40.452,38.77566666666666,
105,2020-08-20,38.08,39.41,37.98,38.99,508508.0,39.807,38.84449999999999,
106,2020-08-21,39.0,39.71,38.93,39.1,476000.0,39.554,38.91816666666666,
107,2020-08-24,39.57,42.1,38.5,40.82,1088200.0,39.525999999999996,39.017999999999994,
108,2020-08-25,40.51,41.9,40.51,41.09,840700.0,39.754000000000005,39.12216666666666,
109,2020-08-26,41.49,41.97,40.56,41.26,948900.0,39.949,39.21133333333333,
110,2020-08-27,41.09,42.0,40.21,41.82,1157011.0,40.231,39.2855,
111,2020-08-28,41.83,42.13,41.31,41.83,799200.0,40.485,39.3735,
112,2020-08-31,41.94,43.73,41.5,41.5,950436.0,40.584999999999994,39.460833333333326,
113,2020-09-01,41.51,41.6,40.8,41.4,677600.0,40.675999999999995,39.54966666666666,
114,2020-09-02,41.63,42.41,40.8,41.98,906500.0,40.979,39.65183333333333,
115,2020-09-03,41.62,41.77,40.58,40.81,756200.0,41.160999999999994,39.7255,
116,2020-09-04,40.48,43.57,39.82,43.23,2221100.0,41.574,39.84933333333333,
117,2020-09-07,44.91,48.0,43.77,44.22,3096323.0,41.913999999999994,39.98516666666665,
118,2020-09-08,45.73,47.0,43.06,45.5,2239562.0,42.355,40.159333333333315,
119,2020-09-09,44.58,45.85,42.1,42.45,2131600.0,42.474,40.28333333333331,
120,2020-09-10,41.96,42.97,38.25,38.28,1976500.0,42.12,40.331833333333314,
121,2020-09-11,36.04,39.3,36.04,39.0,1176100.0,41.837,40.39983333333331,
122,2020-09-14,40.0,41.39,38.96,40.7,1170500.0,41.757,40.499166666666646,
123,2020-09-15,41.19,41.48,40.2,40.85,938100.0,41.702000000000005,40.59666666666665,
124,2020-09-16,41.35,41.35,39.5,40.81,769923.0,41.585,40.68766666666665,
125,2020-09-17,40.83,41.45,40.13,40.95,831612.0,41.599000000000004,40.79133333333331,
126,2020-09-18,41.46,42.29,40.67,42.22,1038600.0,41.498000000000005,40.91583333333331,
127,2020-09-21,42.64,42.67,40.74,41.16,1129060.0,41.19199999999999,41.0378333333333,
128,2020-09-22,40.5,41.27,39.71,40.13,691200.0,40.654999999999994,41.124499999999976,
129,2020-09-23,40.13,40.79,40.13,40.43,515900.0,40.452999999999996,41.21499999999997,
130,2020-09-24,40.11,40.16,38.9,39.3,664100.0,40.55499999999999,41.26716666666664,
131,2020-09-25,39.79,40.26,38.88,39.0,556900.0,40.55499999999999,41.317833333333304,
132,2020-09-28,39.08,39.37,37.56,37.73,491200.0,40.257999999999996,41.317499999999974,
133,2020-09-29,37.93,38.48,37.5,37.7,444400.0,39.943,41.25366666666663,
134,2020-09-30,37.58,38.1,37.29,37.33,345100.0,39.59499999999999,41.16899999999997,
135,2020-10-09,37.78,39.0,37.78,38.91,344300.0,39.39099999999999,41.1168333333333,
136,2020-10-12,39.0,40.43,38.99,40.3,579400.0,39.19899999999999,41.1073333333333,
137,2020-10-13,40.9,41.18,40.18,40.34,563600.0,39.117,41.08716666666664,
138,2020-10-14,40.35,40.44,39.65,39.87,440223.0,39.090999999999994,41.07349999999997,
139,2020-10-15,39.7,40.65,39.7,40.5,610000.0,39.098,41.068833333333295,
140,2020-10-16,40.49,40.59,39.52,40.4,466639.0,39.20799999999999,41.08749999999996,
141,2020-10-19,40.54,40.89,40.19,40.39,471500.0,39.346999999999994,41.12666666666663,
142,2020-10-20,41.69,48.47,41.69,48.47,2909587.0,40.42099999999999,41.237166666666624,
143,2020-10-21,50.98,51.44,45.13,45.42,6282607.0,41.193,41.27383333333329,
144,2020-10-22,44.05,51.1,44.04,49.01,6117907.0,42.361,41.384333333333295,
145,2020-10-23,48.23,48.89,45.94,46.02,3970835.0,43.07199999999999,41.45299999999996,
146,2020-10-26,45.02,45.58,43.48,44.48,3182700.0,43.489999999999995,41.49499999999996,
147,2020-10-27,44.01,44.29,42.7,42.88,2417000.0,43.74399999999999,41.513833333333295,
148,2020-10-28,43.21,45.22,42.21,44.62,2765200.0,44.218999999999994,41.570666666666625,
149,2020-10-29,43.47,44.78,43.0,43.98,1630000.0,44.56699999999999,41.56449999999996,
150,2020-10-30,44.38,46.8,42.09,42.5,2271000.0,44.777,41.542666666666626,
151,2020-11-02,42.05,44.98,42.05,44.13,2036972.0,45.150999999999996,41.544999999999966,
152,2020-11-03,44.55,45.77,44.34,45.0,2620372.0,44.803999999999995,41.550999999999966,
153,2020-11-04,45.44,46.3,44.61,44.83,2491372.0,44.74499999999999,41.58599999999997,
154,2020-11-05,47.23,51.0,46.33,48.26,4088584.0,44.669999999999995,41.60699999999997,
155,2020-11-06,48.51,53.56,47.11,49.7,5139800.0,45.038,41.67799999999997,
156,2020-11-09,51.51,59.64,51.3,59.64,5998442.0,46.55399999999999,41.97816666666663,
157,2020-11-10,60.84,62.63,56.01,56.2,8428251.0,47.88599999999999,42.229833333333296,
158,2020-11-11,56.18,57.57,49.8,50.5,5496451.0,48.47399999999999,42.42466666666663,
159,2020-11-12,51.14,51.8,47.12,47.92,3950581.0,48.86799999999998,42.568166666666635,
160,2020-11-13,47.92,48.54,46.78,48.07,2658600.0,49.42499999999999,42.7193333333333,
161,2020-11-16,48.2,48.35,45.88,46.3,2441800.0,49.64199999999998,42.836166666666635,
162,2020-11-17,47.15,48.25,45.2,48.25,2936400.0,49.966999999999985,42.965333333333305,
163,2020-11-18,47.83,49.46,47.5,48.85,2786781.0,50.368999999999986,43.10466666666664,
164,2020-11-19,48.0,50.79,47.28,49.18,3364032.0,50.46099999999999,43.27516666666664,
165,2020-11-20,50.2,58.5,50.2,54.52,5826640.0,50.94299999999999,43.53399999999998,
166,2020-11-23,53.17,55.16,51.19,55.16,4889691.0,50.49499999999999,43.80166666666664,
167,2020-11-24,53.8,54.0,51.3,51.3,3491000.0,50.00499999999999,43.97633333333331,
168,2020-11-25,51.32,57.86,51.32,55.03,5354650.0,50.45799999999999,44.208666666666645,
169,2020-11-26,53.17,55.66,52.65,53.3,3680799.0,50.99599999999999,44.40933333333331,
170,2020-11-27,53.2,54.67,51.76,52.58,2621642.0,51.44699999999998,44.58866666666664,
171,2020-11-30,52.17,52.59,50.21,50.62,2689200.0,51.878999999999984,44.735166666666636,
172,2020-12-01,51.01,51.49,49.73,51.26,2187951.0,52.179999999999986,44.89783333333331,
173,2020-12-02,51.2,56.58,51.2,53.49,3953300.0,52.643999999999984,45.099333333333306,
174,2020-12-03,53.75,54.27,51.1,51.98,2703400.0,52.92399999999999,45.26599999999997,
175,2020-12-04,51.87,52.39,49.59,49.81,2403174.0,52.452999999999996,45.41599999999997,
176,2020-12-07,49.7,50.73,48.6,48.79,1613774.0,51.815999999999995,45.508666666666635,
177,2020-12-08,48.3,49.1,47.78,48.76,1379274.0,51.562,45.58433333333331,
178,2020-12-09,48.8,49.31,46.06,46.18,1916874.0,50.677,45.59566666666664,
179,2020-12-10,45.8,47.68,45.48,46.93,1451700.0,50.03999999999999,45.67033333333331,
180,2020-12-11,46.71,46.71,44.91,45.83,1063100.0,49.364999999999995,45.796166666666636,
181,2020-12-14,46.53,47.77,45.5,47.36,1240200.0,49.03899999999999,45.93549999999997,
182,2020-12-15,47.35,47.75,46.44,47.07,933500.0,48.61999999999999,46.04166666666664,
183,2020-12-16,47.33,47.33,44.0,44.38,1504400.0,47.70899999999999,46.10049999999998,
