,date,open,high,low,close,volume,10,60,250
0,2020-06-08,67.66,68.66,60.58,60.88,22636939.0,,,
1,2020-06-09,61.69,61.89,56.15,58.35,14452543.0,,,
2,2020-06-10,57.48,57.48,55.01,55.23,9317234.0,,,
3,2020-06-11,55.67,57.48,55.3,56.18,9096789.0,,,
4,2020-06-12,53.06,55.91,52.62,53.77,8160558.0,,,
5,2020-06-15,53.33,55.22,51.96,52.14,6705928.0,,,
6,2020-06-16,52.78,53.21,51.54,52.73,5567850.0,,,
7,2020-06-17,52.86,52.9,50.31,51.93,6691099.0,,,
8,2020-06-18,51.84,54.31,51.54,52.83,7358566.0,,,
9,2020-06-19,52.42,53.85,51.76,52.44,5071980.0,54.648,,
10,2020-06-22,52.05,53.9,52.05,53.13,5150995.0,53.873000000000005,,
11,2020-06-23,52.55,53.13,51.86,52.2,3775922.0,53.258,,
12,2020-06-24,52.09,55.2,52.09,54.15,7230851.0,53.15,,
13,2020-06-29,53.76,55.08,53.02,54.53,4317972.0,52.985,,
14,2020-06-30,54.28,55.38,53.76,54.43,4339229.0,53.051,,
15,2020-07-01,54.59,54.93,52.24,52.81,4478988.0,53.117999999999995,,
16,2020-07-02,52.74,53.41,52.35,52.93,3354262.0,53.13799999999999,,
17,2020-07-03,53.06,53.23,52.35,52.94,3048720.0,53.239,,
18,2020-07-06,53.45,55.03,52.78,54.71,5866999.0,53.427,,
19,2020-07-07,55.1,56.75,54.24,55.57,7013282.0,53.74000000000001,,
20,2020-07-08,55.22,55.97,54.24,55.31,4751525.0,53.958000000000006,,
21,2020-07-09,56.02,58.48,55.32,57.59,6662215.0,54.497,,
22,2020-07-10,57.56,57.56,55.83,56.08,4761383.0,54.69000000000001,,
23,2020-07-13,56.52,57.75,56.29,57.4,4242256.0,54.97700000000001,,
24,2020-07-14,57.04,58.0,54.96,55.92,4693562.0,55.12600000000001,,
25,2020-07-15,56.22,56.55,52.84,53.04,3970251.0,55.149,,
26,2020-07-16,53.13,53.55,49.84,50.08,3179832.0,54.86400000000001,,
27,2020-07-17,50.06,50.52,48.01,48.59,2768702.0,54.429000000000016,,
28,2020-07-20,48.59,49.38,46.52,49.38,2377521.0,53.896000000000015,,
29,2020-07-21,49.44,50.24,48.79,49.62,1558318.0,53.30100000000001,,
30,2020-07-22,49.46,49.9,48.57,49.09,1692835.0,52.679000000000016,,
31,2020-07-23,48.44,48.62,46.38,47.59,2331628.0,51.679000000000016,,
32,2020-07-24,47.43,47.58,44.31,44.37,2217538.0,50.508000000000024,,
33,2020-07-27,44.57,45.05,42.46,42.76,1953742.0,49.044000000000025,,
34,2020-07-28,42.79,44.59,42.79,43.9,1411204.0,47.84200000000003,,
35,2020-07-29,43.8,45.29,43.71,45.29,1451149.0,47.06700000000002,,
36,2020-07-30,45.65,45.69,44.41,44.72,1241638.0,46.53100000000002,,
37,2020-07-31,45.12,48.25,45.12,47.2,2750105.0,46.39200000000002,,
38,2020-08-03,47.63,48.49,46.78,48.03,2354166.0,46.25700000000002,,
39,2020-08-04,48.08,48.25,46.18,46.61,1990416.0,45.95600000000002,,
40,2020-08-05,46.77,47.03,46.07,46.9,1120977.0,45.73700000000001,,
41,2020-08-06,46.91,47.12,45.53,46.18,1191065.0,45.59600000000002,,
42,2020-08-07,46.32,46.32,43.94,44.29,1314017.0,45.588000000000015,,
43,2020-08-10,43.7,45.12,43.7,44.79,879373.0,45.79100000000002,,
44,2020-08-11,44.79,45.11,43.31,43.48,759985.0,45.749000000000024,,
45,2020-08-12,43.43,48.98,42.42,48.56,3489054.0,46.07600000000002,,
46,2020-08-13,49.06,49.06,46.77,46.92,2263393.0,46.29600000000003,,
47,2020-08-14,46.92,48.57,46.54,47.78,2056007.0,46.35400000000003,,
48,2020-08-17,47.79,48.06,46.65,47.43,1644934.0,46.294000000000025,,
49,2020-08-18,46.78,48.41,46.78,47.32,1142592.0,46.36500000000002,,
50,2020-08-19,47.37,47.45,44.73,44.94,1592692.0,46.169000000000025,,
51,2020-08-20,44.55,47.15,44.55,45.43,1134964.0,46.09400000000003,,
52,2020-08-21,45.18,46.74,45.11,46.25,766944.0,46.29000000000003,,
53,2020-08-24,46.27,47.56,45.39,47.02,1269366.0,46.51300000000002,,
54,2020-08-25,47.74,48.74,46.52,46.76,1609478.0,46.84100000000002,,
55,2020-08-26,46.27,46.44,43.67,43.94,1768109.0,46.37900000000001,,
56,2020-08-27,43.78,44.58,42.9,44.23,1059665.0,46.110000000000014,,
57,2020-08-28,43.83,44.37,43.57,44.18,574963.0,45.750000000000014,,
58,2020-08-31,44.22,44.77,43.98,44.15,602427.0,45.42200000000001,,
59,2020-09-01,44.15,44.46,43.69,44.2,461280.0,45.11000000000001,49.853333333333325,
60,2020-09-02,44.23,44.45,43.38,43.78,645991.0,44.994000000000014,49.56833333333332,
61,2020-09-03,43.65,44.08,43.33,43.5,476740.0,44.80100000000001,49.320833333333326,
