,date,open,high,low,close,volume,10,60,250
0,2020-03-18,20.53,22.12,20.26,21.27,54716888.0,,,
1,2020-03-19,21.27,21.57,20.48,21.23,34881795.0,,,
2,2020-03-20,21.88,22.03,20.48,20.98,24607780.0,,,
3,2020-03-23,19.99,20.36,19.58,19.84,19499223.0,,,
4,2020-03-24,20.58,20.97,19.68,20.52,19145571.0,,,
5,2020-03-25,21.55,21.74,21.05,21.34,28442408.0,,,
6,2020-03-26,21.21,21.38,20.29,20.34,20645951.0,,,
7,2020-03-27,20.68,20.85,19.94,20.06,14766377.0,,,
8,2020-03-30,19.54,20.35,19.04,19.7,17945908.0,,,
9,2020-03-31,19.93,20.28,19.44,19.5,11409903.0,20.478,,
10,2020-04-01,19.98,20.95,19.83,19.98,22818273.0,20.348999999999997,,
11,2020-04-02,19.83,20.87,19.68,20.7,16561906.0,20.296,,
12,2020-04-03,20.67,20.67,20.01,20.14,14511253.0,20.211999999999996,,
13,2020-04-07,20.51,20.88,20.31,20.76,17916986.0,20.303999999999995,,
14,2020-04-08,20.5,20.6,20.16,20.26,14046698.0,20.277999999999995,,
15,2020-04-09,20.42,20.66,20.21,20.38,12788040.0,20.181999999999995,,
16,2020-04-10,21.08,21.33,20.2,20.57,29602427.0,20.20499999999999,,
17,2020-04-13,19.85,19.88,18.52,18.52,38895672.0,20.050999999999995,,
18,2020-04-14,18.52,19.67,18.07,19.45,32251793.0,20.025999999999993,,
19,2020-04-15,19.57,19.76,19.21,19.26,21552690.0,20.001999999999992,,
20,2020-04-16,19.15,20.12,18.88,19.85,23934090.0,19.988999999999994,,
21,2020-04-17,20.16,20.27,19.46,19.5,20634484.0,19.868999999999993,,
22,2020-04-20,19.65,19.73,19.38,19.64,12074237.0,19.818999999999996,,
23,2020-04-21,19.48,19.48,18.91,19.2,13301311.0,19.662999999999993,,
24,2020-04-22,19.04,19.64,18.91,19.48,11292508.0,19.584999999999994,,
25,2020-04-23,19.53,19.72,19.13,19.22,10921939.0,19.468999999999994,,
26,2020-04-24,19.08,19.58,18.83,18.91,11813752.0,19.302999999999994,,
27,2020-04-27,18.79,19.29,18.78,18.89,8278546.0,19.339999999999996,,
28,2020-04-28,19.03,19.23,18.25,18.98,13723899.0,19.292999999999996,,
29,2020-04-29,18.85,19.08,18.1,18.26,17453663.0,19.192999999999994,,
30,2020-04-30,18.49,19.88,18.49,19.42,27935521.0,19.15,,
31,2020-05-06,19.58,20.04,19.44,20.02,18822354.0,19.201999999999998,,
32,2020-05-07,20.04,20.12,19.51,19.59,18005360.0,19.196999999999996,,
33,2020-05-08,19.74,20.28,19.49,19.93,19076713.0,19.27,,
34,2020-05-11,19.93,20.22,19.66,19.85,13113193.0,19.307,,
35,2020-05-12,19.85,19.85,19.41,19.71,8796114.0,19.356,,
36,2020-05-13,19.91,20.45,19.71,20.05,19626346.0,19.470000000000002,,
37,2020-05-14,19.85,20.86,19.58,20.4,21279209.0,19.621000000000002,,
38,2020-05-15,20.48,20.76,20.09,20.37,17941649.0,19.760000000000005,,
39,2020-05-18,20.28,20.76,20.05,20.4,16725927.0,19.974000000000007,,
40,2020-05-19,20.67,20.67,20.06,20.13,17243434.0,20.045000000000005,,
41,2020-05-20,20.14,21.13,20.14,20.51,25356087.0,20.094,,
42,2020-05-21,21.78,22.27,20.98,21.29,42086965.0,20.264000000000003,,
43,2020-05-22,21.2,21.5,20.33,20.67,24390955.0,20.338,,
44,2020-05-25,20.75,20.84,20.0,20.13,14057734.0,20.366,,
45,2020-05-26,20.3,20.57,20.19,20.51,12610969.0,20.445999999999998,,
46,2020-05-27,20.47,20.5,19.82,19.85,14474290.0,20.425999999999995,,
47,2020-05-28,19.79,19.99,19.28,19.67,9757327.0,20.352999999999994,,
48,2020-05-29,19.11,20.06,19.11,19.48,9190153.0,20.263999999999992,,
49,2020-06-01,19.66,20.28,19.58,20.1,12552508.0,20.23399999999999,,
50,2020-06-02,20.18,20.71,20.03,20.22,13119935.0,20.24299999999999,,
51,2020-06-03,20.28,20.47,20.01,20.16,10880991.0,20.20799999999999,,
52,2020-06-04,20.34,21.48,20.29,20.81,23410258.0,20.159999999999993,,
53,2020-06-05,20.62,20.93,20.36,20.6,12428332.0,20.15299999999999,,
54,2020-06-08,20.93,21.07,20.32,20.38,10143438.0,20.17799999999999,,
55,2020-06-09,20.55,21.33,20.41,21.06,17499143.0,20.232999999999993,,
56,2020-06-10,20.99,21.45,20.88,21.36,14231828.0,20.383999999999993,,
