,date,open,high,low,close,volume,10,60,250
0,2020-11-12,70.0,83.6,70.0,76.6,18679406.0,,,
1,2020-11-13,70.6,81.6,70.03,74.26,14877507.0,,,
2,2020-11-16,71.66,73.48,67.99,71.26,11654928.0,,,
3,2020-11-17,70.0,77.76,69.2,74.66,13228719.0,,,
4,2020-11-18,73.0,74.38,68.88,69.9,11577803.0,,,
5,2020-11-19,68.38,68.88,65.3,66.2,8970363.0,,,
6,2020-11-20,65.4,67.21,63.81,66.93,8394441.0,,,
7,2020-11-23,66.18,66.18,63.87,64.02,5835110.0,,,
8,2020-11-24,63.88,66.22,63.88,64.82,5653038.0,,,
9,2020-11-25,65.02,65.34,61.71,61.89,5990709.0,69.05399999999999,,
10,2020-11-26,61.5,62.87,61.31,61.95,4113245.0,67.58899999999998,,
11,2020-11-27,62.0,62.3,58.82,60.78,5389700.0,66.24099999999999,,
12,2020-11-30,60.36,61.0,59.67,60.1,3042134.0,65.12499999999999,,
13,2020-12-01,60.29,60.91,59.85,60.35,3135183.0,63.693999999999996,,
14,2020-12-02,60.35,62.49,60.03,61.36,4394637.0,62.839999999999996,,
15,2020-12-03,61.15,61.15,58.21,58.21,4894884.0,62.041,,
16,2020-12-04,58.17,59.28,57.6,58.41,2983556.0,61.188999999999986,,
17,2020-12-07,58.39,58.87,57.72,58.69,2303441.0,60.65599999999999,,
18,2020-12-08,58.6,58.99,56.5,56.61,3161241.0,59.834999999999994,,
19,2020-12-09,56.66,56.94,54.58,55.55,3663888.0,59.200999999999986,,
20,2020-12-10,54.97,55.47,53.51,54.05,3308444.0,58.41099999999998,,
21,2020-12-11,53.8,54.3,51.0,51.52,3448906.0,57.48499999999998,,
22,2020-12-14,51.33,51.93,50.05,51.12,2609669.0,56.586999999999975,,
23,2020-12-15,51.09,52.89,50.66,51.49,3072753.0,55.70099999999998,,
24,2020-12-16,51.68,51.88,48.35,48.48,3965867.0,54.412999999999975,,
25,2020-12-17,48.9,50.1,47.36,49.87,4083036.0,53.57899999999997,,
26,2020-12-18,49.77,50.39,48.52,48.56,2475792.0,52.59399999999997,,
27,2020-12-21,48.11,49.08,48.0,48.48,1908581.0,51.57299999999998,,
28,2020-12-22,48.65,48.65,45.73,45.87,3175555.0,50.49899999999998,,
29,2020-12-23,45.69,46.2,45.24,45.51,2138148.0,49.494999999999976,,
30,2020-12-24,45.6,46.35,44.0,44.28,2882430.0,48.51799999999998,,
31,2020-12-25,44.28,45.68,44.01,44.82,2169503.0,47.84799999999998,,
32,2020-12-28,44.61,44.61,42.3,42.5,2866871.0,46.985999999999976,,
33,2020-12-29,42.45,43.27,41.79,42.03,2366904.0,46.03999999999998,,
34,2020-12-30,42.03,45.0,41.28,43.28,3785723.0,45.51999999999997,,
35,2020-12-31,42.56,44.37,42.4,43.68,2781699.0,44.90099999999997,,
36,2021-01-04,43.74,47.55,43.53,45.68,3814091.0,44.61299999999997,,
37,2021-01-05,45.2,45.56,44.5,44.72,2729298.0,44.236999999999966,,
38,2021-01-06,44.86,45.47,42.36,42.37,2936232.0,43.886999999999965,,
39,2021-01-07,42.13,42.43,39.06,39.2,3812949.0,43.255999999999965,,
40,2021-01-08,39.56,39.98,38.08,38.44,2632231.0,42.67199999999997,,
