,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.57,5.73,5.51,5.7,3358259.0,,,
1,2018-11-14,5.73,5.8,5.6,5.65,3273093.0,,,
2,2018-11-15,5.69,5.82,5.66,5.81,3086550.0,,,
3,2018-11-16,5.81,6.07,5.8,5.96,4899881.0,,,
4,2018-11-19,5.95,6.04,5.94,5.98,2333031.0,,,
5,2018-11-20,5.92,6.08,5.84,5.88,2552877.0,,,
6,2018-11-21,5.9,6.17,5.8,6.06,3189837.0,,,
7,2018-11-22,6.06,6.2,6.03,6.14,2514750.0,,,
8,2018-11-23,6.14,6.14,5.69,5.69,3353402.0,,,
9,2018-11-26,5.72,5.87,5.67,5.72,2374650.0,,,
10,2018-11-27,5.78,5.83,5.7,5.74,2447500.0,,,
11,2018-11-28,5.79,5.82,5.57,5.82,2179600.0,,,
12,2018-11-29,5.85,5.9,5.69,5.71,2337900.0,,,
13,2018-11-30,5.75,5.75,5.61,5.71,1947150.0,,,
14,2018-12-03,5.89,5.98,5.85,5.91,2598975.0,,,
15,2018-12-04,5.91,6.14,5.9,6.08,3305600.0,,,
16,2018-12-05,5.99,6.24,5.94,6.12,3039400.0,,,
17,2018-12-06,6.13,6.2,5.95,6.04,2397600.0,,,
18,2018-12-07,6.09,6.1,5.9,5.93,2280342.0,,,
19,2018-12-10,5.92,5.92,5.8,5.83,1399042.0,,,
20,2018-12-11,5.9,5.9,5.79,5.84,1398952.0,,,
21,2018-12-12,5.84,5.86,5.8,5.84,1233174.0,,,
22,2018-12-13,5.86,5.99,5.82,5.99,2202633.0,,,
23,2018-12-14,5.97,6.01,5.82,5.85,1776179.0,,,
24,2018-12-17,5.86,5.86,5.74,5.81,1216012.0,,,
25,2018-12-18,5.75,5.81,5.6,5.72,1885365.0,,,
26,2018-12-19,5.75,5.75,5.55,5.55,1142585.0,,,
27,2018-12-20,5.59,5.6,5.5,5.53,1295000.0,,,
28,2018-12-21,5.46,5.53,5.44,5.5,807853.0,,,
29,2018-12-24,5.43,5.64,5.43,5.61,1005403.0,,,
30,2018-12-25,5.55,5.66,5.48,5.64,1084844.0,,,
31,2018-12-26,5.64,5.65,5.58,5.59,439155.0,,,
32,2018-12-27,5.69,5.75,5.59,5.65,1005273.0,,,
33,2018-12-28,5.65,5.71,5.53,5.54,530362.0,,,
34,2019-01-02,5.55,5.58,5.37,5.42,978161.0,,,
35,2019-01-03,5.42,5.5,5.32,5.32,765877.0,,,
36,2019-01-04,5.32,5.51,5.32,5.45,891100.0,,,
37,2019-01-07,5.51,5.58,5.47,5.53,966887.0,,,
38,2019-01-08,5.53,5.69,5.51,5.69,1195200.0,,,
