,date,open,high,low,close,volume,10,60,250
0,2020-07-31,46.12,55.34,46.12,55.34,106998.0,,,
1,2020-08-03,60.87,60.87,60.87,60.87,30695.0,,,
2,2020-08-04,66.96,66.96,66.96,66.96,33364.0,,,
3,2020-08-05,73.65,73.65,73.65,73.65,50574.0,,,
4,2020-08-06,81.02,81.02,81.02,81.02,156828.0,,,
5,2020-08-07,89.12,89.12,89.12,89.12,137031.0,,,
6,2020-08-10,98.03,98.03,98.03,98.03,280549.0,,,
7,2020-08-11,107.84,107.84,107.84,107.84,150531.0,,,
8,2020-08-12,118.63,118.63,118.63,118.63,199192.0,,,
9,2020-08-13,130.49,130.49,130.49,130.49,164200.0,88.19500000000001,,
10,2020-08-14,143.54,143.54,136.31,143.54,18330760.0,97.015,,
11,2020-08-17,146.76,157.42,138.83,146.82,12157336.0,105.61000000000001,,
12,2020-08-18,143.78,148.73,136.9,148.24,10002883.0,113.73800000000001,,
13,2020-08-19,143.71,146.75,135.54,135.54,5867750.0,119.92699999999999,,
14,2020-08-20,139.82,143.36,135.4,136.52,5493796.0,125.477,,
15,2020-08-21,134.85,148.73,134.85,146.45,6986693.0,131.20999999999998,,
16,2020-08-24,143.28,144.27,136.56,139.96,4460675.0,135.403,,
17,2020-08-25,138.13,142.29,136.02,137.82,3269587.0,138.401,,
18,2020-08-26,140.3,140.58,124.04,124.99,5218250.0,139.03699999999998,,
19,2020-08-27,127.21,137.5,125.23,137.5,4847571.0,139.738,,
20,2020-08-28,142.58,142.78,135.35,141.69,3862689.0,139.553,,
21,2020-08-31,138.94,139.14,130.93,133.41,4029544.0,138.21200000000002,,
22,2020-09-01,132.88,136.61,132.08,134.35,3524953.0,136.823,,
23,2020-09-02,134.77,138.81,131.46,136.42,3136674.0,136.911,,
24,2020-09-03,135.05,150.06,133.36,150.06,5470843.0,138.26500000000001,,
25,2020-09-04,145.72,149.92,140.31,145.64,3890988.0,138.184,,
26,2020-09-07,143.77,146.41,136.85,137.92,2844326.0,137.98,,
27,2020-09-08,136.04,136.78,124.13,131.78,4167998.0,137.376,,
28,2020-09-09,127.41,128.42,124.03,125.43,2172042.0,137.42000000000002,,
29,2020-09-10,127.1,129.5,120.0,121.0,1862005.0,135.77,,
30,2020-09-11,118.5,124.39,114.57,123.9,2126247.0,133.991,,
31,2020-09-14,122.37,124.18,120.1,121.0,1595454.0,132.75,,
32,2020-09-15,121.98,124.8,118.52,123.3,1646750.0,131.645,,
33,2020-09-16,122.01,124.99,120.8,123.78,1231933.0,130.381,,
34,2020-09-17,122.59,127.0,122.21,124.91,1557687.0,127.86600000000001,,
35,2020-09-18,123.18,130.99,123.1,127.82,1663227.0,126.08400000000002,,
36,2020-09-21,127.61,129.01,125.0,127.6,850067.0,125.05199999999999,,
37,2020-09-22,126.32,128.55,123.5,124.99,651770.0,124.373,,
38,2020-09-23,125.18,127.1,123.2,125.02,895335.0,124.332,,
39,2020-09-24,123.76,124.24,119.8,121.13,1073263.0,124.34499999999998,,
