,date,open,high,low,close,volume,120,180,240
0,2018-11-13,2.01,2.24,1.99,2.13,61447116.0,,,
1,2018-11-14,2.12,2.18,2.08,2.11,36190870.0,,,
2,2018-11-15,2.11,2.13,2.09,2.1,19523872.0,,,
3,2018-11-16,2.11,2.18,2.11,2.14,24231485.0,,,
4,2018-11-19,2.13,2.14,2.06,2.07,22092335.0,,,
5,2018-11-20,2.05,2.09,2.02,2.03,16131361.0,,,
6,2018-11-21,2.03,2.14,2.01,2.1,16016285.0,,,
7,2018-11-22,2.09,2.11,2.07,2.08,11374204.0,,,
8,2018-11-23,2.06,2.08,1.97,1.98,16511125.0,,,
9,2018-11-26,1.98,2.01,1.97,1.98,6456157.0,,,
10,2018-11-27,2.01,2.01,1.97,1.97,5225600.0,,,
11,2018-11-28,1.97,2.0,1.95,1.99,12110765.0,,,
12,2018-11-29,1.99,2.01,1.96,1.96,11010043.0,,,
13,2018-11-30,1.95,1.96,1.92,1.94,7323442.0,,,
14,2018-12-03,1.99,2.13,1.97,2.12,62859015.0,,,
15,2018-12-04,2.05,2.09,2.02,2.07,51216895.0,,,
16,2018-12-05,2.02,2.04,2.0,2.04,20287169.0,,,
17,2018-12-06,2.03,2.03,2.01,2.01,10326722.0,,,
18,2018-12-07,2.0,2.03,2.0,2.01,7119500.0,,,
19,2018-12-10,2.01,2.01,1.96,1.98,9656720.0,,,
20,2018-12-11,1.98,2.0,1.97,1.99,6035000.0,,,
21,2018-12-12,1.99,2.01,1.98,1.99,6347060.0,,,
22,2018-12-13,1.99,2.02,1.97,2.0,7900641.0,,,
23,2018-12-14,2.0,2.0,1.95,1.96,6905481.0,,,
24,2018-12-17,1.96,1.99,1.95,1.98,8030691.0,,,
25,2018-12-18,1.97,1.97,1.94,1.96,5204600.0,,,
26,2018-12-19,1.97,1.97,1.93,1.94,4788013.0,,,
27,2018-12-20,1.94,1.96,1.93,1.95,4670017.0,,,
28,2018-12-21,1.95,1.96,1.93,1.94,3428000.0,,,
29,2018-12-24,1.94,1.96,1.93,1.95,3523642.0,,,
30,2018-12-25,1.94,1.95,1.87,1.93,8464740.0,,,
31,2018-12-26,1.93,1.94,1.91,1.92,3465740.0,,,
32,2018-12-27,1.95,1.96,1.89,1.89,5758560.0,,,
33,2018-12-28,1.9,1.91,1.88,1.89,3822406.0,,,
34,2019-01-02,1.89,1.91,1.87,1.88,3117700.0,,,
35,2019-01-03,1.88,1.9,1.86,1.86,4620700.0,,,
36,2019-01-04,1.85,1.91,1.83,1.91,6579150.0,,,
