,date,open,high,low,close,volume,10,60,250
0,2020-03-18,17.4,17.64,17.18,17.31,3785606.0,,,
1,2020-03-19,17.29,17.39,16.68,16.93,7335766.0,,,
2,2020-03-20,17.1,17.15,16.64,16.8,5862798.0,,,
3,2020-03-23,16.52,16.55,16.04,16.05,4533113.0,,,
4,2020-03-24,16.29,16.37,15.84,16.11,5914334.0,,,
5,2020-03-25,16.45,16.7,16.23,16.58,6560325.0,,,
6,2020-03-26,16.48,16.64,16.25,16.25,4971572.0,,,
7,2020-03-27,16.51,16.56,16.28,16.35,4505691.0,,,
8,2020-03-30,16.13,16.3,15.98,16.2,3520643.0,,,
9,2020-03-31,16.4,17.61,16.22,17.37,15524116.0,16.595,,
10,2020-04-01,16.9,17.34,16.77,16.88,6875402.0,16.552,,
11,2020-04-02,16.7,16.95,16.61,16.91,4044649.0,16.549999999999997,,
12,2020-04-03,16.92,17.2,16.81,16.87,4304749.0,16.556999999999995,,
13,2020-04-07,17.2,17.34,17.01,17.25,5364507.0,16.676999999999996,,
14,2020-04-08,17.16,17.22,17.0,17.1,3284892.0,16.775999999999993,,
15,2020-04-09,17.16,17.33,17.05,17.14,3410457.0,16.831999999999994,,
16,2020-04-10,17.2,17.23,16.81,16.83,3111602.0,16.889999999999993,,
17,2020-04-13,16.79,16.79,16.51,16.65,2515819.0,16.919999999999995,,
18,2020-04-14,16.76,16.87,16.5,16.64,7565085.0,16.96399999999999,,
19,2020-04-15,16.4,16.6,16.38,16.52,5018744.0,16.878999999999994,,
20,2020-04-16,16.54,16.54,16.3,16.36,4000230.0,16.82699999999999,,
21,2020-04-17,16.5,16.78,16.45,16.6,7011488.0,16.795999999999992,,
22,2020-04-20,16.7,16.7,16.23,16.45,6900262.0,16.75399999999999,,
23,2020-04-21,16.4,16.4,16.14,16.24,3991108.0,16.65299999999999,,
24,2020-04-22,16.24,16.42,16.09,16.4,3216700.0,16.58299999999999,,
25,2020-04-23,16.41,16.68,16.39,16.56,6611528.0,16.524999999999995,,
26,2020-04-24,16.55,16.55,16.2,16.25,4156442.0,16.466999999999995,,
27,2020-04-27,16.26,16.6,16.23,16.4,5113729.0,16.441999999999997,,
28,2020-04-28,16.47,16.47,15.61,16.04,5512329.0,16.381999999999994,,
29,2020-04-29,15.97,16.18,15.81,16.1,4564219.0,16.339999999999993,,
30,2020-04-30,16.02,16.6,16.02,16.41,6311917.0,16.34499999999999,,
31,2020-05-06,16.34,16.66,16.21,16.62,5319747.0,16.346999999999994,,
32,2020-05-07,16.61,17.06,16.6,16.9,7470588.0,16.391999999999996,,
33,2020-05-08,17.01,17.06,16.75,16.82,4138781.0,16.449999999999996,,
34,2020-05-11,16.91,17.17,16.81,16.96,6187933.0,16.505999999999993,,
35,2020-05-12,16.87,17.02,16.73,16.88,3631052.0,16.537999999999993,,
36,2020-05-13,16.96,17.47,16.79,17.4,9314114.0,16.652999999999995,,
37,2020-05-14,17.42,17.56,17.12,17.22,5254502.0,16.734999999999992,,
38,2020-05-15,17.2,17.94,17.15,17.6,10265155.0,16.890999999999995,,
39,2020-05-18,17.71,19.36,17.7,19.36,29994514.0,17.21699999999999,,
40,2020-05-19,19.4,19.4,18.77,19.01,15236043.0,17.476999999999993,,
41,2020-05-20,19.04,19.29,18.64,18.69,12607271.0,17.68399999999999,,
42,2020-05-21,18.74,18.94,18.14,18.27,9374855.0,17.82099999999999,,
