,date,open,high,low,close,volume,120,180,240
0,2018-11-13,18.36,18.89,18.27,18.7,2413985.0,,,
1,2018-11-14,18.68,18.72,18.45,18.49,1646622.0,,,
2,2018-11-15,18.45,20.22,18.45,20.07,5494506.0,,,
3,2018-11-16,20.08,20.27,19.72,20.14,4011897.0,,,
4,2018-11-19,20.07,20.26,19.66,19.87,2361751.0,,,
5,2018-11-20,19.67,19.79,19.37,19.4,1816246.0,,,
6,2018-11-21,19.4,19.63,19.18,19.57,1434931.0,,,
7,2018-11-22,19.66,19.92,19.53,19.66,1521158.0,,,
8,2018-11-23,19.65,19.72,18.53,18.56,2309871.0,,,
9,2018-11-26,18.68,18.69,18.06,18.17,1269120.0,,,
10,2018-11-27,18.32,18.63,18.28,18.47,1265457.0,,,
11,2018-11-28,18.42,18.72,18.2,18.7,1294080.0,,,
12,2018-11-29,18.83,19.02,17.97,18.06,1462777.0,,,
13,2018-11-30,17.88,18.28,17.73,18.18,1091380.0,,,
14,2018-12-03,18.45,19.73,18.45,19.28,2208640.0,,,
15,2018-12-04,19.18,19.63,19.12,19.53,1977020.0,,,
16,2018-12-05,19.24,19.52,19.05,19.35,1507707.0,,,
17,2018-12-06,19.17,19.63,18.78,18.99,1569041.0,,,
18,2018-12-07,19.05,19.37,18.89,19.15,1349512.0,,,
19,2018-12-10,19.0,19.02,18.49,18.6,1277092.0,,,
20,2018-12-11,18.63,19.88,18.63,19.81,4022126.0,,,
21,2018-12-12,20.05,20.19,19.45,19.53,2251581.0,,,
22,2018-12-13,19.79,19.82,19.52,19.67,1997006.0,,,
23,2018-12-14,19.69,19.9,18.93,18.95,2291426.0,,,
24,2018-12-17,18.72,19.17,18.54,19.13,1219082.0,,,
25,2018-12-18,19.0,19.32,18.67,18.84,1014931.0,,,
26,2018-12-19,18.85,19.67,18.75,19.37,2472666.0,,,
27,2018-12-20,19.18,20.16,19.02,20.12,4506665.0,,,
28,2018-12-21,19.84,20.15,19.7,20.08,2635082.0,,,
29,2018-12-24,20.08,20.94,20.08,20.82,4490303.0,,,
30,2018-12-25,20.56,22.26,20.21,21.79,5730212.0,,,
31,2018-12-26,21.5,22.15,21.26,21.27,4992385.0,,,
32,2018-12-27,21.43,22.02,21.04,21.04,3726188.0,,,
33,2018-12-28,21.24,21.27,20.5,20.79,2930185.0,,,
34,2019-01-02,21.02,22.02,20.77,21.44,4326373.0,,,
35,2019-01-03,21.28,21.55,20.23,20.25,3796245.0,,,
36,2019-01-04,20.23,21.71,20.0,21.39,3503427.0,,,
37,2019-01-07,21.7,22.45,21.22,22.29,5109639.0,,,
38,2019-01-08,22.1,22.29,21.55,21.7,3432106.0,,,
39,2019-01-09,21.75,22.62,21.49,21.8,3838656.0,,,
40,2019-01-10,21.85,23.45,21.74,22.98,6694975.0,,,
41,2019-01-11,22.99,23.26,22.5,23.0,4296124.0,,,
42,2019-01-14,22.99,22.99,21.96,22.27,3518180.0,,,
43,2019-01-15,22.17,22.57,21.88,22.5,2527260.0,,,
44,2019-01-16,22.49,22.5,21.67,21.71,2986686.0,,,
45,2019-01-17,21.71,22.01,21.54,21.66,1852572.0,,,
46,2019-01-18,21.75,21.82,21.27,21.62,2106368.0,,,
47,2019-01-21,21.58,22.1,21.46,21.8,2228073.0,,,
48,2019-01-22,21.73,22.02,21.26,21.3,1796826.0,,,
49,2019-01-23,21.05,21.46,21.02,21.32,1389500.0,,,
50,2019-01-24,21.36,22.01,21.06,21.75,1972960.0,,,
51,2019-01-25,21.52,21.52,19.84,19.96,5517715.0,,,
52,2019-01-28,19.98,20.29,19.89,20.12,1852325.0,,,
53,2019-01-29,20.01,20.01,18.83,19.38,2144192.0,,,
54,2019-01-30,19.14,19.6,18.92,19.08,1212742.0,,,
55,2019-01-31,19.35,19.55,19.07,19.18,981332.0,,,
56,2019-02-01,19.21,19.82,19.21,19.71,1241746.0,,,
57,2019-02-11,19.75,20.47,19.75,20.43,1456180.0,,,
58,2019-02-12,20.46,20.82,20.3,20.56,1548432.0,,,
59,2019-02-13,20.66,22.07,20.48,21.76,3869511.0,,,
60,2019-02-14,22.1,22.1,21.44,21.68,2619985.0,,,
61,2019-02-15,21.81,21.92,21.59,21.79,2695807.0,,,
62,2019-02-18,21.87,22.39,21.8,22.31,4333214.0,,,
63,2019-02-19,22.31,22.34,21.75,21.84,3473584.0,,,
64,2019-02-20,21.88,22.03,21.32,21.72,2460094.0,,,
65,2019-02-21,21.71,22.86,21.52,22.04,6367159.0,,,
66,2019-02-22,22.37,24.25,22.15,24.25,10531746.0,,,
67,2019-02-25,25.5,26.67,24.79,26.67,9708949.0,,,
68,2019-02-26,27.14,28.91,26.18,26.31,11909215.0,,,
69,2019-02-27,25.95,26.66,24.69,25.37,7030671.0,,,
70,2019-02-28,25.15,25.83,24.74,24.95,4125811.0,,,
71,2019-03-01,25.16,25.61,24.86,25.61,4761300.0,,,
72,2019-03-04,25.72,28.17,25.72,28.04,10583835.0,,,
73,2019-03-05,27.45,29.43,27.27,28.47,8473540.0,,,
74,2019-03-06,28.6,28.65,27.08,28.12,6352255.0,,,
75,2019-03-07,27.66,27.98,27.28,27.87,6102094.0,,,
76,2019-03-08,27.07,28.29,26.53,26.99,5042779.0,,,
77,2019-03-11,26.4,28.36,26.39,28.09,6468441.0,,,
78,2019-03-12,28.31,28.61,27.37,27.79,6156283.0,,,
79,2019-03-13,27.55,27.78,26.05,26.31,6084310.0,,,
80,2019-03-14,26.44,26.86,25.79,26.7,4165455.0,,,
81,2019-03-15,26.85,27.04,26.38,26.83,3206167.0,,,
82,2019-03-18,26.98,27.83,26.42,27.8,5347275.0,,,
83,2019-03-19,27.94,27.94,26.99,27.25,3340760.0,,,
84,2019-03-20,27.26,27.36,26.29,26.69,2221644.0,,,
85,2019-03-21,26.68,27.22,26.57,26.86,2450063.0,,,
86,2019-03-22,26.89,26.89,26.0,26.47,2666873.0,,,
87,2019-03-25,26.15,27.13,25.77,27.04,3710212.0,,,
88,2019-03-26,27.04,27.23,26.1,26.18,2793916.0,,,
89,2019-03-27,26.31,26.52,25.47,25.84,2154550.0,,,
90,2019-03-28,25.63,26.98,25.56,26.06,2399897.0,,,
91,2019-03-29,26.06,26.84,25.66,26.81,2604370.0,,,
92,2019-04-01,27.45,29.49,27.45,29.03,8776083.0,,,
93,2019-04-02,28.75,30.34,28.69,28.91,7545949.0,,,
94,2019-04-03,28.94,29.19,28.64,28.94,4389750.0,,,
95,2019-04-04,28.59,28.96,27.91,28.82,6992515.0,,,
96,2019-04-08,28.55,28.81,27.77,28.04,3157444.0,,,
97,2019-04-09,28.07,28.97,27.69,28.27,2400563.0,,,
98,2019-04-10,27.37,28.13,27.04,27.66,3153078.0,,,
99,2019-04-11,27.66,28.97,27.45,28.67,4521845.0,,,
100,2019-04-12,28.63,31.03,28.63,30.43,7260327.0,,,
101,2019-04-15,31.03,32.18,30.45,31.06,6270289.0,,,
102,2019-04-16,30.93,33.91,30.38,33.47,7019731.0,,,
103,2019-04-17,34.12,36.49,31.65,32.13,12220063.0,,,
104,2019-04-18,32.93,34.69,32.41,33.79,7085680.0,,,
105,2019-04-19,33.25,36.26,32.82,35.75,6774768.0,,,
106,2019-04-22,36.6,36.6,34.36,34.7,4048229.0,,,
107,2019-04-23,34.7,34.96,32.94,33.41,4268707.0,,,
108,2019-04-24,33.62,33.91,31.26,32.94,5362076.0,,,
109,2019-04-25,33.24,33.7,31.53,31.54,4530744.0,,,
110,2019-04-26,30.73,33.0,30.73,31.57,3881437.0,,,
111,2019-04-29,32.9,32.94,30.19,30.77,3360566.0,,,
112,2019-04-30,30.88,32.4,30.38,31.79,2641413.0,,,
113,2019-05-06,30.5,30.5,28.62,28.62,3053617.0,,,
114,2019-05-07,28.55,28.97,25.93,27.2,4539349.0,,,
115,2019-05-08,25.92,27.61,25.84,26.8,2241627.0,,,
116,2019-05-09,26.86,27.24,25.94,26.08,2242627.0,,,
117,2019-05-10,26.69,27.83,25.92,27.51,2753736.0,,,
118,2019-05-13,27.07,28.12,26.72,27.07,2290006.0,,,
119,2019-05-14,26.95,27.4,26.24,27.02,1544180.0,24.015416666666656,,
120,2019-05-15,26.98,27.57,26.92,27.24,2045092.0,24.08658333333332,,
121,2019-05-16,27.14,27.2,25.92,26.29,3478473.0,24.151583333333324,,
122,2019-05-17,26.45,26.84,25.05,25.21,2470130.0,24.194416666666655,,
123,2019-05-20,25.77,25.77,23.98,24.83,4327270.0,24.23349999999999,,
124,2019-05-21,24.5,25.89,24.5,25.27,4173370.0,24.27849999999999,,
125,2019-05-22,25.64,26.29,25.32,25.78,3352480.0,24.331666666666656,,
126,2019-05-23,25.46,25.54,23.2,23.2,5725180.0,24.361916666666655,,
127,2019-05-24,22.94,24.37,22.87,24.06,5504028.0,24.39858333333332,,
128,2019-05-27,24.73,24.73,23.38,24.44,4200377.0,24.447583333333323,,
129,2019-05-28,24.44,24.92,23.66,23.8,4230363.0,24.49449999999999,,
130,2019-05-29,24.22,24.67,23.93,24.5,4573561.0,24.54474999999999,,
131,2019-05-30,24.78,24.8,22.95,23.77,5696659.0,24.586999999999993,,
132,2019-05-31,23.64,24.22,23.52,23.75,3542129.0,24.63441666666666,,
133,2019-06-03,23.72,24.25,23.11,23.87,4070294.0,24.681833333333326,,
134,2019-06-04,23.87,26.19,23.56,25.74,8646878.0,24.735666666666656,,
135,2019-06-05,25.81,28.21,24.86,26.62,8726520.0,24.794749999999986,,
136,2019-06-06,25.86,26.11,24.52,24.82,6801862.0,24.840333333333323,,
137,2019-06-10,24.72,26.45,24.72,26.23,8122336.0,24.90066666666666,,
138,2019-06-11,25.88,26.83,25.37,26.6,9472365.0,24.96274999999999,,
139,2019-06-12,26.36,26.82,26.17,26.43,5473170.0,25.027999999999988,,
140,2019-06-13,26.16,26.43,25.71,25.9,4040647.0,25.078749999999992,,
141,2019-06-14,25.86,26.22,24.94,25.01,4183655.0,25.124416666666658,,
142,2019-06-17,24.88,25.36,24.8,25.03,1965433.0,25.169083333333326,,
143,2019-06-18,25.05,25.34,24.43,24.62,2409074.0,25.216333333333328,,
144,2019-06-19,25.86,26.36,25.41,25.69,7677990.0,25.270999999999994,,
145,2019-06-20,25.96,26.26,25.24,25.91,4594281.0,25.329916666666655,,
146,2019-06-21,26.27,26.76,26.13,26.35,5381679.0,25.388083333333324,,
147,2019-06-24,26.55,26.55,25.67,25.83,3046226.0,25.435666666666656,,
148,2019-06-25,25.58,25.96,24.52,25.07,4197709.0,25.47724999999999,,
149,2019-06-26,25.03,25.72,24.72,25.41,4190519.0,25.51549999999999,,
150,2019-06-27,25.65,27.19,25.39,26.91,9240687.0,25.558166666666654,,
151,2019-06-28,27.14,28.22,26.19,27.71,11898551.0,25.611833333333323,,
152,2019-07-01,30.49,30.49,30.49,30.49,4225939.0,25.690583333333322,,
153,2019-07-02,31.33,32.08,29.18,29.27,18161825.0,25.761249999999986,,
154,2019-07-03,27.9,28.63,27.45,28.32,9753000.0,25.818583333333322,,
155,2019-07-04,28.32,28.34,27.23,27.44,6044099.0,25.87849999999999,,
156,2019-07-05,27.65,29.28,27.45,28.87,9740497.0,25.940833333333323,,
157,2019-07-08,28.68,29.78,28.27,28.79,9101658.0,25.99499999999999,,
158,2019-07-09,28.84,29.51,27.24,28.34,7451842.0,26.050333333333324,,
159,2019-07-10,28.75,29.12,27.36,27.48,6129502.0,26.097666666666658,,
160,2019-07-11,27.95,29.04,27.81,28.67,8101628.0,26.145083333333325,,
161,2019-07-12,28.39,28.39,27.22,27.73,7153381.0,26.184499999999993,,
162,2019-07-15,27.25,28.82,26.67,28.3,6167499.0,26.234749999999995,,
163,2019-07-16,28.77,28.91,28.14,28.58,5574811.0,26.28541666666666,,
164,2019-07-17,28.25,30.93,28.15,30.0,10782978.0,26.35449999999999,,
165,2019-07-18,29.86,30.3,29.12,29.32,5560709.0,26.41833333333333,,
