,date,open,high,low,close,volume,10,60,250
0,2020-03-18,8.16,8.3,7.97,7.98,2018381.0,,,
1,2020-03-19,7.98,8.15,7.88,8.1,2241781.0,,,
2,2020-03-20,8.13,8.2,8.05,8.18,1843400.0,,,
3,2020-03-23,7.97,8.12,7.93,7.98,2053300.0,,,
4,2020-03-24,8.06,8.18,7.99,8.16,1955970.0,,,
5,2020-03-25,8.31,8.45,8.25,8.38,2741400.0,,,
6,2020-03-26,8.34,8.37,8.23,8.26,1828500.0,,,
7,2020-03-27,8.35,8.37,8.24,8.25,1665500.0,,,
8,2020-03-30,8.22,8.35,7.86,8.27,2871500.0,,,
9,2020-03-31,8.33,8.62,8.24,8.46,4346800.0,8.201999999999998,,
10,2020-04-01,8.4,8.43,8.14,8.17,2844100.0,8.220999999999998,,
11,2020-04-02,8.15,8.25,8.08,8.25,1746400.0,8.235999999999999,,
12,2020-04-03,8.25,8.25,8.1,8.15,1597800.0,8.232999999999999,,
13,2020-04-07,8.24,8.4,8.24,8.37,2616757.0,8.271999999999998,,
14,2020-04-08,8.38,8.52,8.36,8.46,3246600.0,8.301999999999998,,
15,2020-04-09,8.52,8.54,8.42,8.44,2837300.0,8.307999999999998,,
16,2020-04-10,8.44,8.45,8.15,8.19,2713300.0,8.300999999999998,,
17,2020-04-13,8.14,8.2,8.04,8.12,1655925.0,8.287999999999998,,
18,2020-04-14,8.16,8.28,8.14,8.28,1285225.0,8.288999999999998,,
19,2020-04-15,8.26,8.33,8.17,8.17,1116300.0,8.26,,
20,2020-04-16,8.14,8.21,8.07,8.18,946800.0,8.261,,
21,2020-04-17,8.17,8.33,8.12,8.16,1426500.0,8.251999999999999,,
22,2020-04-20,8.16,8.37,8.12,8.3,2139000.0,8.267,,
23,2020-04-21,8.28,8.43,8.18,8.22,2540300.0,8.251999999999999,,
24,2020-04-22,8.2,8.41,8.14,8.35,2557725.0,8.240999999999996,,
25,2020-04-23,8.3,8.5,8.29,8.45,3242000.0,8.241999999999997,,
26,2020-04-24,8.41,8.43,8.2,8.24,2134025.0,8.246999999999996,,
27,2020-04-27,8.25,8.29,8.16,8.18,1331900.0,8.252999999999997,,
28,2020-04-28,8.2,8.22,7.88,8.06,2284099.0,8.230999999999998,,
29,2020-04-29,8.05,8.39,7.99,8.32,2909999.0,8.245999999999997,,
30,2020-04-30,8.32,8.45,8.32,8.41,3808400.0,8.268999999999997,,
31,2020-05-06,8.33,8.58,8.32,8.56,3906608.0,8.308999999999997,,
32,2020-05-07,8.56,8.6,8.47,8.51,2626500.0,8.329999999999998,,
33,2020-05-08,8.54,8.59,8.51,8.57,2332600.0,8.364999999999998,,
34,2020-05-11,8.6,8.71,8.52,8.57,2744300.0,8.386999999999997,,
35,2020-05-12,8.53,8.57,8.4,8.55,2020600.0,8.396999999999997,,
36,2020-05-13,8.54,8.8,8.46,8.78,4055700.0,8.450999999999997,,
37,2020-05-14,8.76,8.8,8.65,8.65,2702000.0,8.498,,
38,2020-05-15,8.66,8.77,8.65,8.67,1824700.0,8.559,,
39,2020-05-18,8.66,8.69,8.55,8.61,2091600.0,8.588,,
40,2020-05-19,8.69,8.78,8.66,8.75,2010525.0,8.622,,
41,2020-05-20,8.69,8.88,8.69,8.7,3009025.0,8.636,,
42,2020-05-21,8.74,8.94,8.72,8.92,5210425.0,8.677,,
