,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.32,5.64,5.32,5.57,6272808.0,,,
1,2018-11-14,5.55,5.87,5.52,5.85,10333693.0,,,
2,2018-11-15,5.8,5.99,5.74,5.83,5561906.0,,,
3,2018-11-16,5.83,5.97,5.78,5.92,4453419.0,,,
4,2018-11-19,5.98,6.15,5.84,5.86,9073292.0,,,
5,2018-11-20,5.9,6.0,5.79,5.9,6548242.0,,,
6,2018-11-21,5.93,5.93,5.71,5.84,5271219.0,,,
7,2018-11-22,5.94,6.07,5.88,5.91,4418096.0,,,
8,2018-11-23,5.98,6.4,5.97,6.15,11532663.0,,,
9,2018-11-26,6.09,6.09,5.54,5.54,10896950.0,,,
10,2018-11-27,5.56,5.7,5.49,5.57,6298297.0,,,
11,2018-11-28,5.6,5.76,5.56,5.6,6560071.0,,,
12,2018-11-29,5.58,5.69,5.37,5.38,6204959.0,,,
13,2018-11-30,5.32,5.51,5.15,5.47,5661250.0,,,
14,2018-12-03,5.52,5.59,5.31,5.36,9916500.0,,,
15,2018-12-04,5.33,5.53,5.17,5.47,10053447.0,,,
16,2018-12-05,5.36,5.44,5.31,5.36,7051133.0,,,
17,2018-12-06,5.34,5.48,4.99,5.04,11295403.0,,,
18,2018-12-07,5.14,5.38,5.1,5.29,9725123.0,,,
19,2018-12-10,5.37,5.57,5.24,5.26,8140972.0,,,
20,2018-12-11,5.36,5.37,5.2,5.23,4660309.0,,,
21,2018-12-12,5.27,5.29,5.18,5.21,2864973.0,,,
22,2018-12-13,5.19,5.26,5.06,5.2,4361857.0,,,
23,2018-12-14,5.17,5.18,4.94,4.97,5346747.0,,,
24,2018-12-17,4.93,5.03,4.79,4.99,3438302.0,,,
25,2018-12-18,4.93,5.04,4.87,4.91,2803480.0,,,
26,2018-12-19,4.86,4.97,4.74,4.77,3836592.0,,,
27,2018-12-20,4.81,5.0,4.77,4.99,5148081.0,,,
28,2018-12-21,4.95,5.07,4.9,4.95,3832931.0,,,
29,2018-12-24,4.98,5.09,4.94,5.09,3953376.0,,,
30,2018-12-25,5.03,5.12,4.97,5.07,5218238.0,,,
31,2018-12-26,5.06,5.12,4.89,4.89,5562373.0,,,
32,2018-12-27,4.91,5.03,4.8,4.89,5647545.0,,,
33,2018-12-28,4.86,4.86,4.62,4.68,6227143.0,,,
34,2019-01-02,4.68,4.84,4.68,4.82,4461892.0,,,
35,2019-01-03,4.83,4.88,4.7,4.71,3364085.0,,,
36,2019-01-04,4.64,4.81,4.61,4.78,3714777.0,,,
37,2019-01-07,4.8,4.93,4.79,4.92,4080682.0,,,
38,2019-01-08,5.03,5.1,4.9,4.97,6525651.0,,,
39,2019-01-09,4.94,5.01,4.89,4.92,4334147.0,,,
40,2019-01-10,4.93,4.94,4.81,4.82,3700304.0,,,
41,2019-01-11,4.83,4.84,4.69,4.82,5176267.0,,,
42,2019-01-14,4.83,4.98,4.8,4.9,5423930.0,,,
43,2019-01-15,4.98,5.06,4.93,5.04,6951996.0,,,
44,2019-01-16,5.05,5.1,4.99,5.06,3959918.0,,,
45,2019-01-17,5.05,5.05,4.94,4.99,4226865.0,,,
46,2019-01-18,4.97,5.02,4.93,5.02,3888279.0,,,
47,2019-01-21,5.05,5.1,4.97,5.05,5259514.0,,,
48,2019-01-22,5.02,5.39,4.98,5.26,11246409.0,,,
49,2019-01-23,5.26,5.67,5.25,5.61,12071122.0,,,
50,2019-01-24,5.54,6.17,5.5,5.83,13434364.0,,,
51,2019-01-25,5.8,6.0,5.72,5.81,8684242.0,,,
52,2019-01-28,5.85,6.02,5.77,5.91,9279996.0,,,
53,2019-01-29,5.87,5.95,5.63,5.68,12294389.0,,,
54,2019-01-30,5.68,5.74,5.39,5.44,11867686.0,,,
55,2019-01-31,5.46,5.76,5.46,5.55,9100328.0,,,
56,2019-02-01,5.61,5.75,5.55,5.64,9004266.0,,,
57,2019-02-11,5.68,6.0,5.68,5.95,8127327.0,,,
58,2019-02-12,5.97,6.06,5.93,5.98,6154746.0,,,
59,2019-02-13,5.98,6.03,5.81,5.97,8762209.0,,,
60,2019-02-14,5.96,6.16,5.92,6.13,7998094.0,,,
61,2019-02-15,6.14,6.74,6.06,6.59,14225370.0,,,
62,2019-02-18,6.69,7.25,6.69,7.25,11546522.0,,,
63,2019-02-19,7.67,7.76,7.31,7.72,16921995.0,,,
64,2019-02-20,8.5,8.5,8.5,8.5,2726414.0,,,
65,2019-02-21,9.34,9.34,8.86,9.34,31678469.0,,,
66,2019-02-22,9.37,10.22,9.06,9.76,28625185.0,,,
67,2019-02-25,9.5,10.73,9.43,10.32,27016537.0,,,
68,2019-02-26,10.14,11.36,10.14,11.36,16882744.0,,,
69,2019-02-27,12.07,12.14,10.44,10.91,31018898.0,,,
70,2019-02-28,10.8,11.22,10.71,11.03,14539059.0,,,
71,2019-03-01,11.13,12.14,11.05,12.14,18206653.0,,,
72,2019-03-04,12.61,13.35,12.44,13.35,19297692.0,,,
73,2019-03-05,13.07,14.56,13.07,13.97,28511188.0,,,
74,2019-03-06,12.99,13.7,12.69,13.48,36118152.0,,,
75,2019-03-07,13.35,14.17,13.06,13.47,27102761.0,,,
76,2019-03-08,12.76,14.36,12.76,13.43,25866751.0,,,
77,2019-03-11,14.12,14.78,13.56,14.78,25622943.0,,,
78,2019-03-12,15.01,16.25,15.01,16.25,9870432.0,,,
79,2019-03-13,17.46,17.88,14.69,15.76,30792201.0,,,
80,2019-03-14,14.92,15.16,14.18,14.18,20647343.0,,,
81,2019-03-15,14.37,14.65,13.67,13.89,18896333.0,,,
82,2019-03-18,14.04,14.12,12.5,13.14,34471779.0,,,
83,2019-03-19,12.92,13.53,12.65,13.42,25520842.0,,,
84,2019-03-20,13.23,13.32,12.53,13.14,25844580.0,,,
85,2019-03-21,12.97,14.46,12.88,14.01,31104303.0,,,
86,2019-03-22,13.73,13.87,12.76,13.18,23499457.0,,,
87,2019-03-25,12.6,13.6,12.57,13.39,19954853.0,,,
88,2019-03-26,13.35,13.54,12.59,12.73,18346514.0,,,
89,2019-03-27,12.73,12.73,11.46,11.46,28600815.0,,,
90,2019-03-28,10.88,11.37,10.73,11.02,27419001.0,,,
91,2019-03-29,11.06,11.67,10.91,11.48,24651545.0,,,
92,2019-04-01,12.01,12.63,11.85,12.63,26467851.0,,,
93,2019-04-02,12.76,13.27,12.46,12.67,31468101.0,,,
94,2019-04-03,12.45,12.98,12.08,12.84,21259325.0,,,
95,2019-04-04,12.86,12.89,12.48,12.69,19483082.0,,,
96,2019-04-08,12.88,13.37,12.48,13.02,26185935.0,,,
97,2019-04-09,12.83,13.15,11.84,12.45,37362374.0,,,
98,2019-04-10,12.48,12.95,12.1,12.55,29616716.0,,,
99,2019-04-11,12.54,13.66,12.27,13.08,46153236.0,,,
100,2019-04-12,13.05,14.39,12.95,14.39,34039649.0,,,
101,2019-04-15,15.45,15.83,13.88,14.09,73650359.0,,,
102,2019-04-16,13.8,14.05,12.95,14.05,49791728.0,,,
103,2019-04-17,13.66,15.04,13.51,14.47,53330148.0,,,
104,2019-04-18,14.25,15.27,14.0,14.49,44054261.0,,,
105,2019-04-19,14.25,14.67,13.86,13.94,34494785.0,,,
106,2019-04-22,13.89,14.56,13.89,14.17,30556270.0,,,
107,2019-04-23,14.17,14.99,13.61,14.73,49752942.0,,,
108,2019-04-24,14.73,15.64,14.25,15.61,53594530.0,,,
109,2019-04-25,15.34,17.17,15.17,15.95,91489835.0,,,
110,2019-04-26,15.35,16.29,14.44,14.66,67001255.0,,,
111,2019-04-29,14.66,15.0,13.95,14.07,44207721.0,,,
112,2019-04-30,14.03,15.22,13.66,14.94,48794163.0,,,
113,2019-05-06,14.05,15.27,13.89,14.49,43973819.0,,,
