,date,open,high,low,close,volume,120,180,240
0,2019-10-25,23.65,28.38,23.65,28.38,82237.0,,,
1,2019-10-28,31.21,31.21,31.21,31.21,33483.0,,,
2,2019-10-29,34.33,34.33,34.33,34.33,36100.0,,,
3,2019-10-30,37.77,37.77,37.77,37.77,117674.0,,,
4,2019-10-31,41.54,41.54,34.08,34.47,18438534.0,,,
5,2019-11-01,32.35,34.38,31.93,32.7,11503533.0,,,
6,2019-11-04,32.88,35.64,32.7,35.25,12525414.0,,,
7,2019-11-05,34.21,35.16,33.77,33.92,10256258.0,,,
8,2019-11-06,34.07,36.21,34.05,35.24,12592959.0,,,
9,2019-11-07,34.54,37.59,34.28,36.36,13992048.0,,,
10,2019-11-08,36.65,38.02,35.7,36.34,13907763.0,,,
11,2019-11-11,35.67,35.7,34.24,34.66,9085706.0,,,
12,2019-11-12,34.63,36.64,34.58,36.5,11720667.0,,,
13,2019-11-13,35.89,37.18,35.41,37.17,11689774.0,,,
14,2019-11-14,37.06,37.33,36.04,36.24,9560199.0,,,
15,2019-11-15,35.92,36.16,32.98,33.46,10690987.0,,,
16,2019-11-18,33.7,34.95,33.49,33.84,6892135.0,,,
17,2019-11-19,33.39,37.22,32.96,37.22,11311970.0,,,
18,2019-11-20,37.9,40.82,37.22,37.55,20823568.0,,,
19,2019-11-21,36.87,38.59,36.13,37.49,13755641.0,,,
20,2019-11-22,36.74,37.85,35.52,37.19,11401351.0,,,
21,2019-11-25,36.78,37.15,34.48,35.32,7987732.0,,,
22,2019-11-26,34.96,35.61,33.45,33.93,7969721.0,,,
23,2019-11-27,33.5,34.75,33.5,34.69,6366783.0,,,
24,2019-11-28,34.34,34.72,33.2,33.4,6076348.0,,,
25,2019-11-29,33.02,33.92,32.4,33.69,5861159.0,,,
26,2019-12-02,33.57,33.78,32.79,33.69,5446558.0,,,
27,2019-12-03,33.19,33.56,32.58,33.44,4478356.0,,,
28,2019-12-04,33.02,34.18,32.89,33.64,5171311.0,,,
29,2019-12-05,33.86,35.17,33.59,34.45,7641665.0,,,
30,2019-12-06,34.26,34.43,33.22,33.53,6607126.0,,,
31,2019-12-09,33.59,33.89,33.22,33.89,5055880.0,,,
32,2019-12-10,33.79,34.27,33.3,34.22,5792465.0,,,
33,2019-12-11,34.03,34.16,33.3,33.32,5081552.0,,,
34,2019-12-12,33.21,33.24,31.72,31.75,7593678.0,,,
35,2019-12-13,31.85,32.25,31.4,31.57,5123657.0,,,
36,2019-12-16,31.85,32.43,31.75,32.26,4350344.0,,,
37,2019-12-17,32.36,32.66,32.08,32.45,4687913.0,,,
38,2019-12-18,32.43,32.88,32.22,32.65,4916746.0,,,
39,2019-12-19,32.59,32.71,31.83,32.35,4689427.0,,,
40,2019-12-20,32.39,33.15,32.27,32.52,5095352.0,,,
41,2019-12-23,32.34,33.34,31.61,32.92,6156017.0,,,
42,2019-12-24,32.74,33.86,32.74,33.69,6563825.0,,,
43,2019-12-25,33.88,34.33,33.22,34.11,7474633.0,,,
44,2019-12-26,34.26,34.78,33.79,34.5,7163719.0,,,
45,2019-12-27,34.3,34.76,33.8,34.51,6229479.0,,,
46,2019-12-30,34.35,36.22,34.13,34.89,7795853.0,,,
47,2019-12-31,35.47,37.33,35.03,36.65,10241996.0,,,
48,2020-01-02,36.61,38.14,36.03,36.28,12047559.0,,,
49,2020-01-03,36.31,36.51,35.3,35.37,8661865.0,,,
50,2020-01-06,35.01,38.15,35.01,37.1,12406432.0,,,
51,2020-01-07,36.66,37.23,35.99,36.51,8728629.0,,,
52,2020-01-08,36.66,37.85,36.38,36.51,9994837.0,,,
53,2020-01-09,37.14,37.43,35.77,36.0,7518073.0,,,
54,2020-01-10,35.67,35.87,34.53,34.91,6559146.0,,,
55,2020-01-13,35.03,35.9,34.86,35.85,5542706.0,,,
56,2020-01-14,36.36,39.43,36.06,39.43,15031579.0,,,
57,2020-01-15,37.95,38.63,37.23,37.57,11379295.0,,,
58,2020-01-16,37.35,38.81,37.17,37.85,8946067.0,,,
59,2020-01-17,37.95,38.6,36.79,36.91,7074738.0,,,
60,2020-01-20,36.9,37.39,36.06,37.3,4582253.0,,,
61,2020-01-21,37.06,37.17,35.5,35.56,5488576.0,,,
62,2020-01-22,35.42,37.33,35.22,36.58,5232628.0,,,
63,2020-01-23,35.99,36.43,33.19,33.93,6718950.0,,,
64,2020-02-03,30.55,31.2,30.55,30.55,5255896.0,,,
65,2020-02-04,30.72,33.24,30.72,32.79,6315334.0,,,
66,2020-02-05,32.98,34.65,32.3,33.32,6103399.0,,,
67,2020-02-06,32.49,33.94,32.21,33.54,5283417.0,,,
68,2020-02-07,33.49,34.12,33.09,33.88,4182706.0,,,
69,2020-02-10,33.89,35.25,33.77,35.04,4783365.0,,,
70,2020-02-11,35.43,35.45,33.89,34.27,3875784.0,,,
