,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.35,5.49,5.3,5.45,2586800.0,,,
1,2018-11-14,5.44,5.55,5.43,5.52,2030872.0,,,
2,2018-11-15,5.5,5.56,5.47,5.56,1872841.0,,,
3,2018-11-16,5.56,5.65,5.55,5.59,2436175.0,,,
4,2018-11-19,5.59,5.61,5.42,5.59,2245100.0,,,
5,2018-11-20,5.58,5.58,5.42,5.43,1789620.0,,,
6,2018-11-21,5.4,5.52,5.37,5.46,1475160.0,,,
7,2018-11-22,5.51,5.66,5.46,5.58,2122655.0,,,
8,2018-11-23,5.57,5.59,5.25,5.26,2536301.0,,,
9,2018-11-26,5.26,5.43,5.22,5.31,1921841.0,,,
10,2018-11-27,5.37,5.39,5.28,5.35,1359233.0,,,
11,2018-11-28,5.38,5.41,5.25,5.39,1583810.0,,,
12,2018-11-29,5.41,5.54,5.34,5.38,2465327.0,,,
13,2018-11-30,5.38,5.44,5.14,5.29,1917932.0,,,
14,2018-12-03,5.41,5.57,5.34,5.52,3032975.0,,,
15,2018-12-04,5.56,5.61,5.49,5.58,2644640.0,,,
16,2018-12-05,5.48,5.6,5.43,5.56,1868400.0,,,
17,2018-12-06,5.56,5.57,5.49,5.51,1797260.0,,,
18,2018-12-07,5.5,5.64,5.47,5.49,1644732.0,,,
19,2018-12-10,5.47,5.51,5.4,5.48,1407320.0,,,
20,2018-12-11,5.48,5.5,5.33,5.38,1678420.0,,,
21,2018-12-12,5.38,5.44,5.37,5.42,1075000.0,,,
22,2018-12-13,5.42,5.63,5.34,5.51,2133660.0,,,
23,2018-12-14,5.53,5.53,5.24,5.28,2298880.0,,,
24,2018-12-17,5.21,5.34,5.21,5.26,1217840.0,,,
25,2018-12-18,5.23,5.31,5.14,5.18,1394600.0,,,
26,2018-12-19,5.2,5.22,5.06,5.18,1078650.0,,,
27,2018-12-20,5.13,5.18,5.07,5.14,1033217.0,,,
28,2018-12-21,5.1,5.18,5.06,5.09,1014108.0,,,
29,2018-12-24,5.09,5.13,5.04,5.13,527380.0,,,
30,2018-12-25,5.09,5.09,4.9,5.02,1328900.0,,,
31,2018-12-26,4.98,5.07,4.85,4.98,995540.0,,,
32,2018-12-27,5.04,5.04,4.87,4.9,1013140.0,,,
33,2018-12-28,4.95,4.96,4.85,4.87,1274840.0,,,
34,2019-01-02,4.87,4.94,4.85,4.91,982100.0,,,
35,2019-01-03,4.95,5.04,4.88,4.89,789220.0,,,
36,2019-01-04,4.86,5.21,4.83,5.08,1773340.0,,,
37,2019-01-07,5.12,5.31,5.07,5.27,2783460.0,,,
38,2019-01-08,5.27,5.31,5.16,5.19,2024200.0,,,
39,2019-01-09,5.2,5.32,5.12,5.22,2138400.0,,,
40,2019-01-10,5.24,5.42,5.21,5.25,1410260.0,,,
41,2019-01-11,5.24,5.28,5.17,5.28,1144338.0,,,
42,2019-01-14,5.3,5.32,5.21,5.24,1313900.0,,,
