,date,open,high,low,close,volume,120,180,240
0,2018-10-30,19.35,19.57,18.55,19.37,2213200.0,,,
1,2018-10-31,19.33,20.28,19.33,19.96,2891906.0,,,
2,2018-11-01,20.05,20.84,19.89,20.34,3771026.0,,,
3,2018-11-02,20.62,20.96,20.44,20.74,3507942.0,,,
4,2018-11-05,21.14,21.48,20.43,21.01,4192587.0,,,
5,2018-11-06,20.6,21.01,19.96,20.52,2700171.0,,,
6,2018-11-07,20.55,21.42,20.26,21.28,4062472.0,,,
7,2018-11-08,21.07,21.2,20.44,20.57,2772076.0,,,
8,2018-11-09,20.52,22.63,20.3,21.67,6272360.0,,,
9,2018-11-12,21.42,22.56,21.21,22.24,5468540.0,,,
10,2018-11-13,21.71,22.34,21.64,22.04,3812688.0,,,
11,2018-11-14,21.78,22.03,21.4,21.6,2763329.0,,,
12,2018-11-15,22.31,23.39,21.94,22.87,6041373.0,,,
13,2018-11-16,22.56,22.83,22.25,22.52,4241187.0,,,
14,2018-11-19,22.38,22.38,21.64,21.94,3188069.0,,,
15,2018-11-20,21.64,21.95,21.01,21.1,2414369.0,,,
16,2018-11-21,18.99,19.75,18.99,19.29,4761412.0,,,
17,2018-11-22,19.29,19.43,18.9,19.01,2675984.0,,,
18,2018-11-23,18.94,19.36,18.45,18.47,2423652.0,,,
19,2018-11-26,18.35,18.62,17.91,18.23,1514300.0,,,
20,2018-11-27,18.39,19.08,18.39,18.84,2103038.0,,,
21,2018-11-28,18.91,19.5,18.74,19.46,2745400.0,,,
22,2018-11-29,19.54,19.54,18.36,18.36,2468303.0,,,
23,2018-11-30,18.45,18.77,18.03,18.68,1434129.0,,,
24,2018-12-03,19.01,19.43,18.7,19.24,2553429.0,,,
25,2018-12-04,19.24,19.32,18.66,19.03,1821300.0,,,
26,2018-12-05,18.52,18.77,18.15,18.6,1386500.0,,,
27,2018-12-06,18.31,18.54,18.02,18.21,1327905.0,,,
