,date,open,high,low,close,volume,120,180,240
0,2020-07-27,31.28,34.13,31.28,34.13,55194.0,,,
1,2020-07-28,37.54,37.54,37.54,37.54,12478.0,,,
2,2020-07-29,41.29,41.29,41.29,41.29,10210.0,,,
3,2020-07-30,45.42,45.42,45.42,45.42,22405.0,,,
4,2020-07-31,49.96,49.96,49.96,49.96,44519.0,,,
5,2020-08-03,54.96,54.96,54.96,54.96,28184.0,,,
6,2020-08-04,60.46,60.46,60.46,60.46,144883.0,,,
7,2020-08-05,66.51,66.51,66.51,66.51,145800.0,,,
8,2020-08-06,73.16,73.16,73.16,73.16,109780.0,,,
9,2020-08-07,80.48,80.48,78.18,80.48,7896623.0,,,
10,2020-08-10,80.99,88.53,78.66,85.58,12643950.0,,,
11,2020-08-11,85.2,94.14,82.94,94.14,6866852.0,,,
12,2020-08-12,96.99,97.99,84.73,86.21,8386221.0,,,
13,2020-08-13,87.0,90.79,82.97,85.24,6022680.0,,,
14,2020-08-14,87.01,93.76,87.01,93.76,7485744.0,,,
15,2020-08-17,97.2,103.14,91.8,103.14,6103306.0,,,
16,2020-08-18,100.0,102.0,93.98,95.9,4878970.0,,,
17,2020-08-19,94.51,99.2,90.51,91.39,4827691.0,,,
18,2020-08-20,88.0,91.96,86.08,88.0,3122188.0,,,
19,2020-08-21,88.66,96.8,85.08,95.05,4370867.0,,,
20,2020-08-24,91.5,93.14,83.3,89.1,3357713.0,,,
21,2020-08-25,87.01,91.77,87.0,87.92,3170956.0,,,
22,2020-08-26,87.98,87.98,81.55,83.24,3230006.0,,,
23,2020-08-27,81.25,87.5,76.63,84.55,4471125.0,,,
24,2020-08-28,84.0,85.49,79.6,84.85,2898524.0,,,
25,2020-08-31,84.11,89.9,84.11,85.9,3297432.0,,,
26,2020-09-01,85.91,88.68,83.67,84.01,1711541.0,,,
27,2020-09-02,84.05,84.76,80.59,82.76,1594272.0,,,
28,2020-09-03,83.0,83.0,79.3,79.52,1989558.0,,,
29,2020-09-04,77.35,78.78,75.59,76.61,2107066.0,,,
30,2020-09-07,76.76,77.7,70.36,71.12,2017037.0,,,
31,2020-09-08,72.01,76.56,71.12,72.98,2008392.0,,,
32,2020-09-09,71.0,71.93,67.71,67.88,2018306.0,,,
33,2020-09-10,68.53,69.86,64.33,65.6,1307021.0,,,
34,2020-09-11,65.95,72.2,64.16,70.08,2495693.0,,,
