,date,open,high,low,close,volume,10,60,250
0,2020-03-18,10.32,10.54,9.8,9.87,10544676.0,,,
1,2020-03-19,9.83,10.1,9.65,9.97,9297723.0,,,
2,2020-03-20,10.08,10.26,9.85,9.97,6695952.0,,,
3,2020-03-23,9.67,9.79,9.15,9.27,9544021.0,,,
4,2020-03-24,9.55,10.08,9.34,9.68,13241996.0,,,
5,2020-03-25,10.1,10.11,9.8,10.03,10284739.0,,,
6,2020-03-26,9.92,9.96,9.7,9.77,4902230.0,,,
7,2020-03-27,9.83,9.95,9.48,9.6,5535904.0,,,
8,2020-03-30,9.31,9.45,8.83,9.14,9602475.0,,,
9,2020-03-31,9.3,9.43,9.13,9.17,5667782.0,9.647,,
10,2020-04-01,9.17,9.44,9.09,9.15,4598860.0,9.575,,
11,2020-04-02,9.23,9.75,9.05,9.62,7398120.0,9.540000000000001,,
12,2020-04-03,9.68,9.69,9.31,9.42,4994975.0,9.485000000000001,,
13,2020-04-07,9.6,10.0,9.6,9.91,7620511.0,9.549000000000001,,
14,2020-04-08,9.95,10.08,9.8,9.98,5584229.0,9.579000000000002,,
15,2020-04-09,10.0,10.22,9.99,10.0,4408480.0,9.576000000000002,,
16,2020-04-10,10.15,10.15,9.81,9.99,5555261.0,9.598000000000003,,
17,2020-04-13,9.93,9.93,9.55,9.66,4555811.0,9.604000000000003,,
18,2020-04-14,9.77,9.79,9.56,9.69,5110236.0,9.659000000000002,,
19,2020-04-15,9.75,10.05,9.67,9.98,7290369.0,9.740000000000002,,
20,2020-04-16,9.92,10.16,9.66,10.04,7438910.0,9.829000000000002,,
21,2020-04-17,10.26,10.94,10.21,10.56,12229545.0,9.923000000000002,,
22,2020-04-20,10.45,10.7,10.39,10.67,4660353.0,10.048000000000002,,
23,2020-04-21,10.55,10.64,10.32,10.51,3786447.0,10.108000000000002,,
24,2020-04-22,10.34,10.84,10.33,10.68,4600906.0,10.178,,
25,2020-04-23,10.64,10.85,10.55,10.7,3023654.0,10.248000000000001,,
26,2020-04-24,10.7,10.75,10.4,10.6,2604396.0,10.309000000000001,,
27,2020-04-27,10.46,10.66,10.37,10.6,3237990.0,10.403000000000002,,
28,2020-04-28,10.65,10.65,9.81,10.29,4844462.0,10.463000000000003,,
29,2020-04-29,10.29,11.0,10.29,10.68,6094654.0,10.533000000000003,,
30,2020-04-30,10.71,11.22,10.71,11.13,5586862.0,10.642000000000001,,
31,2020-05-06,11.08,11.52,11.05,11.51,5686708.0,10.737000000000002,,
