,date,open,high,low,close,volume,10,60,250
0,2020-03-04,6.12,6.24,6.05,6.24,4581835.0,,,
1,2020-03-05,6.27,6.42,6.26,6.39,6519969.0,,,
2,2020-03-06,6.32,6.59,6.28,6.53,7900640.0,,,
3,2020-03-09,6.47,6.53,6.21,6.25,6292400.0,,,
4,2020-03-10,6.11,6.45,6.05,6.43,5484671.0,,,
5,2020-03-11,6.43,6.54,6.42,6.45,6236424.0,,,
6,2020-03-12,6.41,6.41,6.16,6.26,4664292.0,,,
7,2020-03-13,5.86,6.23,5.85,6.15,4428712.0,,,
8,2020-03-16,6.23,6.38,5.94,5.95,4289547.0,,,
9,2020-03-17,5.95,6.05,5.62,5.92,3758065.0,6.257,,
10,2020-03-18,6.0,6.09,5.71,5.71,5431287.0,6.204,,
11,2020-03-19,5.68,5.89,5.65,5.78,4153990.0,6.142999999999999,,
12,2020-03-20,5.82,6.02,5.81,6.0,3761234.0,6.089999999999999,,
13,2020-03-23,5.84,6.03,5.75,5.77,3607335.0,6.041999999999999,,
14,2020-03-24,5.88,5.98,5.76,5.95,3431190.0,5.993999999999999,,
15,2020-03-25,6.05,6.09,5.99,6.07,3353057.0,5.955999999999999,,
16,2020-03-26,6.07,6.07,5.94,5.95,2344600.0,5.924999999999999,,
17,2020-03-27,5.99,6.13,5.98,6.07,3596422.0,5.917,,
18,2020-03-30,5.98,6.07,5.81,6.05,3290866.0,5.927,,
19,2020-03-31,6.08,6.12,5.98,6.02,2813951.0,5.936999999999999,,
20,2020-04-01,6.03,6.04,5.85,5.9,2351700.0,5.9559999999999995,,
21,2020-04-02,5.87,5.97,5.76,5.97,2120742.0,5.975,,
22,2020-04-03,5.95,6.08,5.89,5.97,2194957.0,5.9719999999999995,,
23,2020-04-07,6.02,6.19,6.02,6.17,3071703.0,6.0120000000000005,,
24,2020-04-08,6.17,6.26,6.14,6.26,3139334.0,6.043000000000001,,
25,2020-04-09,6.27,6.31,6.17,6.18,2558645.0,6.054000000000001,,
26,2020-04-10,6.18,6.18,5.95,5.99,3153053.0,6.058000000000002,,
27,2020-04-13,5.99,6.0,5.86,5.9,1596609.0,6.041000000000002,,
28,2020-04-14,6.03,6.1,5.93,6.09,2171841.0,6.045000000000002,,
29,2020-04-15,6.16,6.16,5.93,5.95,2135011.0,6.038000000000002,,
30,2020-04-16,5.9,5.98,5.85,5.93,1572112.0,6.041000000000003,,
31,2020-04-17,5.94,5.99,5.81,5.82,2147936.0,6.026000000000003,,
32,2020-04-20,5.83,5.9,5.76,5.85,1851595.0,6.014000000000003,,
33,2020-04-21,5.88,5.88,5.74,5.81,1854900.0,5.978000000000003,,
34,2020-04-22,5.81,5.92,5.7,5.91,2218807.0,5.943000000000003,,
35,2020-04-23,5.92,5.94,5.82,5.84,1689805.0,5.9090000000000025,,
36,2020-04-24,5.81,5.85,5.68,5.69,2377550.0,5.879000000000003,,
37,2020-04-27,5.76,5.76,5.53,5.53,2325000.0,5.842000000000002,,
38,2020-04-28,5.56,5.56,5.15,5.29,2793632.0,5.762000000000002,,
39,2020-04-29,5.25,5.37,5.23,5.23,1741765.0,5.690000000000002,,
40,2020-04-30,5.31,5.38,5.25,5.35,1821656.0,5.632000000000002,,
41,2020-05-06,5.31,5.55,5.28,5.53,2167741.0,5.603000000000002,,
42,2020-05-07,5.55,5.58,5.49,5.55,2033075.0,5.573000000000002,,
43,2020-05-08,5.54,5.66,5.54,5.63,1419903.0,5.5550000000000015,,
44,2020-05-11,5.63,5.68,5.5,5.53,1790418.0,5.517000000000001,,
45,2020-05-12,5.51,5.59,5.48,5.54,1438081.0,5.487000000000002,,
46,2020-05-13,5.52,5.58,5.51,5.55,1201078.0,5.473000000000002,,
47,2020-05-14,5.62,5.64,5.55,5.59,1370100.0,5.479000000000002,,
48,2020-05-15,5.57,5.63,5.53,5.54,1637809.0,5.504000000000002,,
49,2020-05-18,5.58,5.6,5.52,5.54,1329312.0,5.535000000000002,,
50,2020-05-19,5.58,5.62,5.55,5.6,1282459.0,5.560000000000002,,
51,2020-05-20,5.6,5.6,5.48,5.52,1392893.0,5.559000000000002,,
