,date,open,high,low,close,volume,10,60,250
0,2020-03-18,45.62,46.99,44.63,45.01,3100135.0,,,
1,2020-03-19,44.87,46.07,44.5,45.76,2047619.0,,,
2,2020-03-20,45.94,46.43,45.36,45.61,1451464.0,,,
3,2020-03-23,44.9,45.26,43.35,43.49,1465336.0,,,
4,2020-03-24,44.34,44.97,43.51,44.58,1706327.0,,,
5,2020-03-25,45.67,47.12,45.11,46.87,2694700.0,,,
6,2020-03-26,46.83,47.74,46.44,46.87,2209091.0,,,
7,2020-03-27,47.55,48.05,47.15,47.52,1987374.0,,,
8,2020-03-30,46.81,49.3,46.68,48.65,2802620.0,,,
9,2020-03-31,48.12,51.22,48.12,50.85,4021934.0,46.521,,
10,2020-04-01,50.73,51.1,48.97,49.56,3345322.0,46.976,,
11,2020-04-02,49.54,49.91,48.75,49.37,2095992.0,47.337,,
12,2020-04-03,49.3,50.72,49.3,49.8,2100572.0,47.75599999999999,,
13,2020-04-07,50.31,51.98,50.16,51.4,3202659.0,48.54699999999999,,
14,2020-04-08,47.02,48.58,46.4,46.81,5593957.0,48.769999999999996,,
15,2020-04-09,47.35,47.41,46.19,46.61,2408923.0,48.74399999999999,,
16,2020-04-10,46.46,47.11,46.05,46.46,1813372.0,48.702999999999996,,
17,2020-04-13,45.98,46.34,44.82,44.99,1544105.0,48.45,,
18,2020-04-14,45.13,46.04,45.13,45.76,1116631.0,48.161,,
19,2020-04-15,45.87,46.2,45.15,45.18,1320233.0,47.593999999999994,,
20,2020-04-16,45.16,45.56,44.69,45.07,1197873.0,47.144999999999996,,
21,2020-04-17,45.46,46.04,45.07,45.46,1758712.0,46.754,,
22,2020-04-20,45.66,46.0,45.36,45.57,1167733.0,46.331,,
23,2020-04-21,45.56,45.57,44.39,44.8,1651081.0,45.67100000000001,,
24,2020-04-22,44.79,46.29,44.52,46.2,1825097.0,45.61,,
25,2020-04-23,46.25,47.37,45.96,46.8,2217764.0,45.629000000000005,,
26,2020-04-24,45.36,45.81,43.91,44.19,3063477.0,45.402,,
