,date,open,high,low,close,volume,120,180,240
0,2018-11-12,9.23,9.48,9.19,9.43,1417614.0,,,
1,2018-11-13,9.27,9.54,9.27,9.48,1732976.0,,,
2,2018-11-14,9.49,10.04,9.49,9.66,2290391.0,,,
3,2018-11-15,10.2,10.62,10.2,10.62,1546014.0,,,
4,2018-11-16,11.68,11.68,10.92,10.93,6921473.0,,,
5,2018-11-19,10.57,10.73,10.29,10.48,4898993.0,,,
6,2018-11-20,10.39,11.01,10.39,10.67,4579304.0,,,
7,2018-11-21,10.39,10.6,10.37,10.55,2122589.0,,,
8,2018-11-22,10.77,11.13,10.56,10.8,3333301.0,,,
9,2018-11-23,10.9,11.38,10.71,10.86,4208100.0,,,
10,2018-11-26,10.52,11.63,10.51,11.33,4957976.0,,,
11,2018-11-27,11.37,11.68,10.9,11.49,5134588.0,,,
12,2018-11-28,11.12,11.29,10.9,11.22,4872452.0,,,
13,2018-11-30,10.96,10.96,10.1,10.18,3846477.0,,,
14,2018-12-03,10.39,10.71,10.28,10.57,2819199.0,,,
15,2018-12-04,10.51,10.57,10.34,10.43,2128300.0,,,
16,2018-12-05,10.43,11.48,10.13,10.89,6197981.0,,,
17,2018-12-06,10.64,10.64,10.25,10.25,4244889.0,,,
18,2018-12-07,10.37,10.37,10.06,10.15,2169100.0,,,
19,2018-12-10,10.03,10.26,9.8,9.87,1746237.0,,,
20,2018-12-11,9.87,10.1,9.87,9.96,1181100.0,,,
21,2018-12-12,9.97,10.08,9.68,9.78,1849837.0,,,
22,2018-12-13,9.79,9.91,9.69,9.85,1470037.0,,,
23,2018-12-14,9.8,9.87,9.15,9.23,2396000.0,,,
24,2018-12-17,9.14,9.38,9.05,9.26,1383937.0,,,
25,2018-12-18,9.23,9.5,9.08,9.18,962037.0,,,
26,2018-12-19,9.28,9.34,9.09,9.09,865700.0,,,
27,2018-12-20,9.13,9.3,9.06,9.3,984340.0,,,
28,2018-12-21,9.3,9.38,9.07,9.22,998100.0,,,
29,2018-12-24,9.23,9.46,9.17,9.44,1310937.0,,,
30,2018-12-25,9.27,9.38,8.88,9.35,1973428.0,,,
31,2018-12-26,9.29,9.77,9.27,9.68,3787296.0,,,
32,2018-12-27,9.61,9.73,9.39,9.4,2328178.0,,,
33,2018-12-28,9.5,9.5,8.95,9.29,1646221.0,,,
34,2019-01-02,9.28,9.79,9.28,9.69,2884083.0,,,
35,2019-01-03,9.63,9.67,8.95,8.95,2275450.0,,,
36,2019-01-04,8.88,9.85,8.78,9.85,4213750.0,,,
37,2019-01-07,10.12,10.22,9.89,9.91,7019835.0,,,
38,2019-01-08,9.78,10.71,9.74,10.21,6293473.0,,,
39,2019-01-09,10.08,10.34,9.93,9.97,4516276.0,,,
40,2019-01-10,9.95,10.46,9.74,10.11,4520951.0,,,
41,2019-01-11,10.25,10.25,9.89,10.03,3346041.0,,,
42,2019-01-14,10.08,10.08,9.59,9.73,2668616.0,,,
43,2019-01-15,9.69,9.88,9.57,9.83,2120678.0,,,
44,2019-01-16,10.0,10.22,9.83,9.83,2678578.0,,,
45,2019-01-17,9.75,10.15,9.75,10.08,3529054.0,,,
46,2019-01-18,9.97,10.03,9.69,9.76,2581977.0,,,
47,2019-01-21,9.76,9.91,9.5,9.54,2064032.0,,,
48,2019-01-22,9.47,9.66,9.44,9.46,1391059.0,,,
49,2019-01-23,9.38,9.8,9.37,9.68,2331625.0,,,
50,2019-01-24,9.94,10.16,9.85,9.85,4810539.0,,,
51,2019-01-25,9.92,10.1,9.77,10.0,3431102.0,,,
52,2019-01-28,10.04,10.11,9.46,9.5,2955288.0,,,
53,2019-01-29,9.62,9.68,8.57,8.98,2848342.0,,,
54,2019-01-30,8.76,8.99,8.6,8.6,1544302.0,,,
55,2019-01-31,8.61,8.79,7.91,8.08,2509852.0,,,
56,2019-02-01,8.1,8.7,8.1,8.66,2336785.0,,,
57,2019-02-11,8.68,8.9,8.67,8.83,1619477.0,,,
58,2019-02-12,8.92,9.06,8.82,8.88,1793546.0,,,
59,2019-02-13,8.88,9.25,8.8,9.11,2650519.0,,,
60,2019-02-14,9.16,9.73,9.16,9.35,3103909.0,,,
61,2019-02-15,9.25,9.68,9.19,9.52,3345931.0,,,
62,2019-02-18,9.62,9.92,9.5,9.9,3713956.0,,,
63,2019-02-19,9.81,10.42,9.76,10.19,5177441.0,,,
64,2019-02-20,10.16,10.36,10.01,10.13,3082939.0,,,
65,2019-02-21,10.08,10.51,9.96,9.99,3805834.0,,,
66,2019-02-22,10.12,10.43,10.1,10.26,3607922.0,,,
67,2019-02-25,10.55,11.11,10.34,10.9,5539447.0,,,
68,2019-02-26,10.83,11.37,10.6,10.75,5079993.0,,,
69,2019-02-27,10.66,11.37,10.66,10.92,4555685.0,,,
70,2019-02-28,10.78,10.89,10.41,10.41,3889824.0,,,
71,2019-03-01,10.57,11.13,10.55,10.8,4223864.0,,,
72,2019-03-04,11.15,11.61,10.86,10.95,5270664.0,,,
73,2019-03-05,11.15,11.78,11.08,11.72,6944434.0,,,
74,2019-03-06,11.6,12.26,11.33,11.72,7789309.0,,,
75,2019-03-07,11.72,12.38,11.49,12.01,7766571.0,,,
76,2019-03-08,11.68,12.81,11.48,12.1,8687088.0,,,
77,2019-03-11,12.15,12.65,11.84,12.65,7042384.0,,,
78,2019-03-12,12.59,12.68,12.18,12.41,6509236.0,,,
79,2019-03-13,12.52,12.79,11.89,11.99,6749651.0,,,
80,2019-03-14,12.02,12.26,10.93,11.15,5867023.0,,,
81,2019-03-15,11.29,11.36,10.94,11.15,3462097.0,,,
82,2019-03-18,11.26,11.45,11.13,11.41,2794116.0,,,
83,2019-03-19,11.41,11.63,11.24,11.41,3148699.0,,,
84,2019-03-20,11.48,12.18,11.37,12.05,7578571.0,,,
85,2019-03-21,11.54,11.78,11.4,11.63,6796666.0,,,
86,2019-03-22,11.5,11.59,11.12,11.33,4226542.0,,,
87,2019-03-25,10.92,11.27,10.9,11.17,2452934.0,,,
88,2019-03-26,11.29,11.31,10.61,10.63,2922005.0,,,
89,2019-03-27,10.82,10.92,10.51,10.69,2025479.0,,,
90,2019-03-28,10.7,11.0,10.43,10.75,2239119.0,,,
91,2019-03-29,10.75,11.04,10.63,11.04,2337688.0,,,
92,2019-04-01,11.17,11.47,11.08,11.47,3170756.0,,,
93,2019-04-02,11.39,11.64,11.33,11.34,3271324.0,,,
94,2019-04-03,11.43,11.75,11.34,11.59,3536527.0,,,
95,2019-04-04,11.7,11.96,11.5,11.92,3754343.0,,,
96,2019-04-08,11.92,12.36,11.79,12.24,4762296.0,,,
97,2019-04-09,12.19,13.0,12.03,12.65,5668700.0,,,
98,2019-04-10,12.46,12.53,11.93,12.07,5100239.0,,,
99,2019-04-11,12.03,12.22,11.48,11.79,3464212.0,,,
100,2019-04-12,11.78,11.84,11.53,11.76,2337888.0,,,
101,2019-04-15,11.96,11.99,11.49,11.49,2135176.0,,,
102,2019-04-16,11.49,11.66,11.26,11.61,2909876.0,,,
103,2019-04-17,11.56,11.75,11.45,11.46,2482700.0,,,
104,2019-04-18,11.43,11.58,11.27,11.47,2276237.0,,,
105,2019-04-19,11.37,11.53,11.19,11.33,2115690.0,,,
106,2019-04-22,11.51,11.73,11.39,11.6,2562159.0,,,
107,2019-04-23,11.6,11.62,11.1,11.14,1897837.0,,,
108,2019-04-24,11.17,11.4,11.1,11.39,1282420.0,,,
109,2019-04-25,11.57,11.66,11.01,11.03,2202920.0,,,
110,2019-04-26,11.12,11.99,11.03,11.78,4827776.0,,,
111,2019-04-29,11.78,11.84,10.84,10.89,4173164.0,,,
112,2019-04-30,10.75,11.04,10.67,10.9,1958500.0,,,
113,2019-05-06,10.51,10.68,9.81,9.81,2268200.0,,,
114,2019-05-07,9.87,10.04,9.5,9.85,1974430.0,,,
115,2019-05-08,9.64,10.18,9.5,10.0,2439614.0,,,
116,2019-05-09,9.83,10.32,9.83,9.97,1843207.0,,,
117,2019-05-10,10.09,10.43,9.94,10.39,2615720.0,,,
118,2019-05-13,10.38,10.62,10.24,10.41,1973156.0,,,
119,2019-05-14,10.27,10.73,10.27,10.6,2143755.0,10.467000000000002,,
120,2019-05-15,10.71,10.8,10.55,10.65,2114700.0,10.477166666666669,,
121,2019-05-16,10.66,10.82,10.59,10.72,1542500.0,10.487500000000002,,
122,2019-05-17,10.73,10.96,10.36,10.39,2168700.0,10.493583333333335,,
123,2019-05-20,10.43,10.78,10.32,10.75,1993683.0,10.494666666666669,,
124,2019-05-21,10.75,10.84,10.64,10.71,2245264.0,10.492833333333335,,
125,2019-05-22,10.75,10.89,10.68,10.76,1685698.0,10.49516666666667,,
126,2019-05-23,10.76,10.82,10.29,10.36,2116524.0,10.492583333333334,,
127,2019-05-24,10.26,10.56,10.26,10.32,1564920.0,10.490666666666668,,
128,2019-05-27,10.21,10.81,10.13,10.73,1882052.0,10.490083333333335,,
129,2019-05-28,10.71,10.98,10.71,10.92,1969869.0,10.490583333333337,,
130,2019-05-29,10.92,11.02,10.74,10.9,1944256.0,10.487000000000004,,
131,2019-05-30,10.89,10.97,10.63,10.89,1698184.0,10.482000000000005,,
132,2019-05-31,10.89,11.11,10.88,11.03,2066809.0,10.480416666666672,,
133,2019-06-03,10.99,11.09,10.62,10.9,1867256.0,10.486416666666672,,
134,2019-06-04,10.92,11.15,10.87,10.89,1916311.0,10.489083333333339,,
135,2019-06-05,10.97,11.98,10.91,11.98,4033892.0,10.502000000000006,,
136,2019-06-06,12.34,12.37,11.33,11.35,6616173.0,10.505833333333337,,
137,2019-06-10,11.4,12.49,11.4,12.49,10588004.0,10.524500000000005,,
138,2019-06-11,12.19,12.94,11.91,12.7,12946333.0,10.545750000000004,,
139,2019-06-12,12.42,12.96,12.31,12.69,9269105.0,10.569250000000006,,
140,2019-06-13,12.46,12.79,12.07,12.26,5552536.0,10.58841666666667,,
141,2019-06-14,12.18,12.45,11.85,11.95,3848127.0,10.606500000000006,,
142,2019-06-17,11.79,12.58,11.76,12.36,5121828.0,10.627416666666672,,
143,2019-06-18,12.3,12.53,12.12,12.51,4118263.0,10.654750000000005,,
144,2019-06-19,12.78,13.07,12.34,12.85,7628933.0,10.68466666666667,,
145,2019-06-20,12.64,12.79,12.46,12.58,4780527.0,10.713000000000003,,
146,2019-06-21,12.75,13.33,12.62,12.73,7224367.0,10.743333333333338,,
147,2019-06-24,12.54,12.9,12.49,12.61,3703788.0,10.77091666666667,,
148,2019-06-25,12.54,12.58,11.8,12.01,4227066.0,10.794166666666671,,
149,2019-06-26,12.02,12.78,11.91,12.73,5567657.0,10.821583333333336,,
150,2019-06-27,12.84,12.85,12.42,12.61,5921170.0,10.848750000000003,,
151,2019-06-28,12.61,13.11,11.95,11.97,8536769.0,10.867833333333335,,
152,2019-07-01,12.28,13.17,12.2,13.17,6308165.0,10.899250000000002,,
153,2019-07-02,13.81,14.48,12.88,12.88,27396348.0,10.92916666666667,,
154,2019-07-03,12.0,12.73,11.68,12.46,18476606.0,10.952250000000003,,
155,2019-07-04,12.5,12.6,11.93,12.06,9001942.0,10.97816666666667,,
156,2019-07-05,12.01,12.32,12.0,12.2,6609679.0,10.997750000000003,,
157,2019-07-08,12.14,12.14,10.98,10.98,11665980.0,11.00666666666667,,
158,2019-07-09,10.95,11.26,10.85,11.17,6064382.0,11.01466666666667,,
159,2019-07-10,11.17,11.35,10.99,11.08,4767502.0,11.02391666666667,,
160,2019-07-11,11.17,11.74,11.03,11.54,8306092.0,11.035833333333336,,
161,2019-07-12,11.41,11.55,11.21,11.4,4890375.0,11.047250000000004,,
162,2019-07-15,11.35,11.66,10.9,11.47,7303240.0,11.061750000000005,,
163,2019-07-16,11.53,11.68,11.35,11.41,5095890.0,11.074916666666672,,
164,2019-07-17,11.3,11.42,11.13,11.19,5448021.0,11.086250000000007,,
165,2019-07-18,11.17,11.23,10.99,11.09,3849706.0,11.094666666666674,,
166,2019-07-19,11.09,11.35,11.09,11.16,4624607.0,11.10633333333334,,
167,2019-07-22,11.17,11.25,10.13,10.6,4711834.0,11.115166666666674,,
168,2019-07-23,10.58,10.74,10.49,10.68,2738898.0,11.12533333333334,,
169,2019-07-24,10.82,11.13,10.81,11.01,4748121.0,11.136416666666673,,
170,2019-07-25,10.97,11.14,10.81,11.05,4869535.0,11.146416666666674,,
171,2019-07-26,11.01,11.05,10.91,10.94,3213615.0,11.154250000000008,,
172,2019-07-29,10.97,11.12,10.89,11.11,3781854.0,11.167666666666673,,
173,2019-07-30,11.11,11.61,11.11,11.61,8663282.0,11.189583333333339,,
174,2019-07-31,11.58,11.72,11.42,11.43,5708947.0,11.213166666666673,,
175,2019-08-01,11.33,11.7,11.22,11.7,7091090.0,11.243333333333341,,
176,2019-08-02,11.41,12.07,11.23,11.88,9295667.0,11.270166666666675,,
177,2019-08-05,11.77,12.0,11.66,11.72,6495927.0,11.294250000000009,,
178,2019-08-06,11.43,11.49,10.6,11.07,8435845.0,11.312500000000007,,
179,2019-08-07,11.08,11.24,10.6,10.63,5156582.0,11.325166666666677,10.822388888888893,
180,2019-08-08,10.63,10.92,10.63,10.78,3711329.0,11.337083333333343,10.829888888888894,
181,2019-08-09,10.94,11.06,10.73,10.77,4228860.0,11.347500000000009,10.83705555555556,
182,2019-08-12,10.74,11.24,10.74,11.19,4560159.0,11.358250000000009,10.84555555555556,
183,2019-08-13,11.02,11.02,10.79,10.89,3569702.0,11.364083333333344,10.84705555555556,
184,2019-08-14,11.09,11.21,10.89,10.93,3838986.0,11.37075000000001,10.84705555555556,
185,2019-08-15,10.37,10.82,10.31,10.79,4605598.0,11.377416666666676,10.848777777777782,
