,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.54,6.66,6.51,6.62,4199277.0,,,
1,2018-11-14,6.61,6.71,6.6,6.62,1981368.0,,,
2,2018-11-15,6.63,6.7,6.61,6.63,3041557.0,,,
3,2018-11-16,6.64,6.71,6.61,6.66,4448893.0,,,
4,2018-11-19,6.69,6.69,6.6,6.68,3370160.0,,,
5,2018-11-20,6.68,6.68,6.58,6.62,2449222.0,,,
6,2018-11-21,6.61,6.71,6.57,6.67,1936658.0,,,
7,2018-11-22,6.7,6.77,6.66,6.7,2576434.0,,,
8,2018-11-23,6.72,6.72,6.53,6.56,2261291.0,,,
9,2018-11-26,6.59,6.66,6.51,6.6,1348501.0,,,
10,2018-11-27,6.57,6.66,6.56,6.66,1567120.0,,,
11,2018-11-28,6.67,6.77,6.56,6.74,2120940.0,,,
12,2018-11-29,6.76,6.79,6.74,6.76,2615017.0,,,
13,2018-11-30,6.74,6.74,6.64,6.66,1769400.0,,,
14,2018-12-03,6.75,6.76,6.68,6.74,1615024.0,,,
15,2018-12-04,6.78,6.81,6.72,6.8,1206981.0,,,
16,2018-12-05,6.77,6.86,6.72,6.8,1559088.0,,,
17,2018-12-06,6.79,6.83,6.73,6.78,1404531.0,,,
18,2018-12-07,6.74,6.87,6.74,6.77,2544181.0,,,
19,2018-12-10,6.68,6.86,6.68,6.84,2815741.0,,,
20,2018-12-11,6.87,6.88,6.8,6.81,1602129.0,,,
21,2018-12-12,6.81,6.91,6.81,6.89,2036017.0,,,
22,2018-12-13,6.9,6.93,6.88,6.89,1521892.0,,,
23,2018-12-14,6.87,6.94,6.69,6.69,3461090.0,,,
24,2018-12-17,6.72,6.92,6.72,6.89,6434365.0,,,
25,2018-12-18,6.89,7.03,6.84,6.92,6150132.0,,,
26,2018-12-19,6.96,7.19,6.89,7.18,9445752.0,,,
27,2018-12-20,7.15,7.35,7.07,7.31,10145763.0,,,
28,2018-12-21,7.27,7.45,7.1,7.36,7448463.0,,,
29,2018-12-24,7.34,7.4,7.19,7.27,5088957.0,,,
30,2018-12-25,7.29,7.37,7.21,7.33,5338138.0,,,
31,2018-12-26,7.31,7.38,7.2,7.3,3528253.0,,,
32,2018-12-27,7.35,7.36,7.27,7.34,3868387.0,,,
33,2018-12-28,7.34,7.42,7.3,7.42,3424992.0,,,
34,2019-01-02,7.44,7.44,7.27,7.34,2919630.0,,,
35,2019-01-03,7.32,7.42,7.14,7.2,4552162.0,,,
36,2019-01-04,7.3,7.53,7.27,7.42,5015310.0,,,
37,2019-01-07,7.47,7.56,7.37,7.46,4128655.0,,,
38,2019-01-08,7.5,7.58,7.42,7.57,3881010.0,,,
39,2019-01-09,7.57,7.62,7.42,7.58,4141861.0,,,
40,2019-01-10,7.51,7.53,7.35,7.42,4081586.0,,,
41,2019-01-11,7.45,7.52,7.29,7.4,4447258.0,,,
42,2019-01-14,7.42,7.61,7.4,7.48,3144734.0,,,
43,2019-01-15,7.48,7.54,7.3,7.4,4186739.0,,,
44,2019-01-16,7.36,7.43,7.36,7.4,3322632.0,,,
45,2019-01-17,7.4,7.55,7.27,7.5,4819696.0,,,
46,2019-01-18,7.47,7.47,7.27,7.34,5673590.0,,,
47,2019-01-21,7.34,7.34,7.16,7.19,4534195.0,,,
48,2019-01-22,7.19,7.36,7.17,7.31,4800884.0,,,
49,2019-01-23,7.28,7.47,7.26,7.47,4592829.0,,,
50,2019-01-24,7.49,7.55,7.42,7.51,3968239.0,,,
51,2019-01-25,7.5,7.61,7.47,7.51,3435545.0,,,
52,2019-01-28,7.55,7.65,7.53,7.58,4312220.0,,,
53,2019-01-29,7.56,7.68,7.53,7.67,5196678.0,,,
54,2019-01-30,7.65,7.65,7.53,7.64,2685256.0,,,
55,2019-01-31,7.63,7.69,7.54,7.68,3462383.0,,,
56,2019-02-01,7.74,7.82,7.61,7.81,5014708.0,,,
57,2019-02-11,7.78,7.87,7.71,7.84,4031126.0,,,
58,2019-02-12,7.7,7.94,7.7,7.86,3905629.0,,,
59,2019-02-13,7.86,7.91,7.81,7.85,4581877.0,,,
60,2019-02-14,7.84,7.89,7.8,7.87,4164049.0,,,
61,2019-02-15,7.88,7.9,7.77,7.8,4687145.0,,,
62,2019-02-18,7.84,7.89,7.77,7.87,8845365.0,,,
63,2019-02-19,8.14,8.64,7.88,8.16,33097699.0,,,
64,2019-02-20,8.08,8.08,7.71,8.03,13583959.0,,,
65,2019-02-21,7.95,7.95,7.8,7.82,9190161.0,,,
66,2019-02-22,7.83,7.84,7.7,7.8,8425262.0,,,
67,2019-02-25,7.84,8.02,7.71,7.97,18118838.0,,,
68,2019-02-26,7.97,7.98,7.79,7.82,14642483.0,,,
69,2019-02-27,7.8,7.85,7.66,7.74,10134242.0,,,
70,2019-02-28,7.74,7.79,7.7,7.75,5427432.0,,,
71,2019-03-01,7.8,7.8,7.72,7.77,5456075.0,,,
72,2019-03-04,7.76,7.86,7.75,7.83,10045404.0,,,
73,2019-03-05,7.81,7.9,7.78,7.85,10166479.0,,,
74,2019-03-06,7.85,7.87,7.78,7.84,10808045.0,,,
75,2019-03-07,7.82,7.88,7.8,7.83,11796415.0,,,
76,2019-03-08,7.82,7.85,7.65,7.65,15556679.0,,,
77,2019-03-11,7.65,7.72,7.59,7.63,12738903.0,,,
78,2019-03-12,7.65,7.71,7.62,7.66,9042412.0,,,
79,2019-03-13,7.66,7.7,7.56,7.58,7646731.0,,,
80,2019-03-14,7.58,7.63,7.54,7.61,5977805.0,,,
81,2019-03-15,7.6,7.79,7.58,7.71,8121494.0,,,
82,2019-03-18,7.71,7.85,7.71,7.84,11917500.0,,,
83,2019-03-19,7.86,7.89,7.78,7.82,5746103.0,,,
84,2019-03-20,7.8,7.87,7.75,7.82,6316419.0,,,
85,2019-03-21,7.82,7.85,7.78,7.82,6358696.0,,,
86,2019-03-22,7.81,7.84,7.77,7.8,6350949.0,,,
87,2019-03-25,7.75,7.8,7.69,7.76,6768204.0,,,
88,2019-03-26,7.72,7.8,7.72,7.78,7308658.0,,,
89,2019-03-27,7.77,7.86,7.72,7.86,9936332.0,,,
90,2019-03-28,7.89,8.09,7.85,8.08,16213597.0,,,
91,2019-03-29,8.12,8.13,7.89,8.03,15610826.0,,,
92,2019-04-01,8.01,8.06,7.97,8.05,18219294.0,,,
93,2019-04-02,8.06,8.09,7.98,8.0,11246091.0,,,
94,2019-04-03,8.0,8.02,7.95,7.99,9290468.0,,,
95,2019-04-04,7.98,8.08,7.97,8.05,15161679.0,,,
