,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.01,6.2,6.01,6.2,2530796.0,,,
1,2018-11-14,6.15,6.3,6.15,6.25,2689600.0,,,
2,2018-11-15,6.25,6.38,6.19,6.35,3001000.0,,,
3,2018-11-16,6.36,6.52,6.25,6.29,5609884.0,,,
4,2018-11-19,6.31,6.76,6.19,6.38,6305800.0,,,
5,2018-11-20,6.33,6.35,6.06,6.07,4281145.0,,,
6,2018-11-21,6.04,6.38,6.01,6.33,5383330.0,,,
7,2018-11-22,6.35,6.46,6.29,6.44,3943040.0,,,
8,2018-11-23,6.36,6.59,6.35,6.42,4539642.0,,,
9,2018-11-26,6.36,6.48,6.22,6.4,2679609.0,,,
10,2018-11-27,6.39,6.4,6.25,6.28,1309894.0,,,
11,2018-11-28,6.26,6.28,6.1,6.16,1815800.0,,,
12,2018-11-29,6.15,6.21,6.04,6.05,1385150.0,,,
13,2018-11-30,6.08,6.1,5.96,6.09,1031521.0,,,
14,2018-12-03,6.13,6.32,6.13,6.28,1548900.0,,,
15,2018-12-04,6.33,6.33,6.19,6.25,1388935.0,,,
16,2018-12-05,6.18,6.27,6.14,6.19,893300.0,,,
17,2018-12-06,6.14,6.25,6.06,6.12,1092378.0,,,
18,2018-12-07,6.12,6.13,5.95,5.98,2149365.0,,,
19,2018-12-10,5.97,5.97,5.87,5.93,885150.0,,,
20,2018-12-11,5.88,5.98,5.88,5.9,905500.0,,,
21,2018-12-12,5.89,5.96,5.89,5.91,588900.0,,,
22,2018-12-13,5.93,6.0,5.89,5.96,1088356.0,,,
23,2018-12-14,5.95,5.95,5.81,5.84,674900.0,,,
24,2018-12-17,5.74,5.84,5.73,5.77,819200.0,,,
25,2018-12-18,5.79,5.85,5.72,5.76,553106.0,,,
26,2018-12-19,5.8,5.82,5.73,5.74,522473.0,,,
27,2018-12-20,5.71,6.09,5.7,5.86,1894478.0,,,
28,2018-12-21,5.82,5.89,5.76,5.79,975900.0,,,
29,2018-12-24,5.8,5.9,5.73,5.78,1100650.0,,,
30,2018-12-25,5.78,5.78,5.6,5.69,888550.0,,,
31,2018-12-26,5.69,5.75,5.66,5.71,407866.0,,,
32,2018-12-27,5.8,5.84,5.6,5.61,915278.0,,,
33,2018-12-28,5.57,5.79,5.57,5.68,758600.0,,,
34,2019-01-02,5.68,5.8,5.68,5.8,919928.0,,,
35,2019-01-03,5.77,6.11,5.73,6.11,2440814.0,,,
36,2019-01-04,6.15,6.19,5.94,6.05,4385850.0,,,
37,2019-01-07,6.02,6.06,5.96,6.05,2108400.0,,,
38,2019-01-08,6.0,6.06,5.91,5.93,1673700.0,,,
39,2019-01-09,5.93,6.02,5.89,5.94,1098806.0,,,
40,2019-01-10,5.92,6.01,5.9,5.93,873200.0,,,
41,2019-01-11,5.9,5.98,5.9,5.94,703500.0,,,
42,2019-01-14,5.95,6.01,5.91,6.01,1080684.0,,,
43,2019-01-15,6.01,6.01,5.92,5.98,1007700.0,,,
44,2019-01-16,5.95,6.02,5.92,5.92,854584.0,,,
45,2019-01-17,5.88,5.97,5.88,5.88,662284.0,,,
46,2019-01-18,5.88,5.95,5.87,5.93,732524.0,,,
47,2019-01-21,5.91,5.98,5.91,5.95,729924.0,,,
48,2019-01-22,5.94,6.05,5.92,5.98,1489121.0,,,
49,2019-01-23,5.93,6.0,5.91,5.98,540971.0,,,
50,2019-01-24,5.99,6.06,5.97,6.06,2145541.0,,,
51,2019-01-25,6.05,6.07,5.92,5.95,1622502.0,,,
52,2019-01-28,5.97,5.99,5.75,5.75,2098400.0,,,
53,2019-01-29,5.75,5.78,5.6,5.66,790550.0,,,
54,2019-01-30,5.64,5.71,5.63,5.63,621900.0,,,
55,2019-01-31,5.63,5.68,5.58,5.6,683100.0,,,
56,2019-02-01,5.6,5.73,5.6,5.73,783550.0,,,
57,2019-02-11,5.71,5.83,5.68,5.82,765710.0,,,
58,2019-02-12,5.86,6.09,5.86,6.05,3931262.0,,,
59,2019-02-13,6.05,6.05,5.92,6.05,2865612.0,,,
60,2019-02-14,6.0,6.04,5.97,6.03,1664750.0,,,
61,2019-02-15,6.01,6.04,5.98,5.99,1350404.0,,,
62,2019-02-18,6.05,6.32,6.05,6.26,4845116.0,,,
63,2019-02-19,6.31,6.43,6.16,6.25,4440288.0,,,
64,2019-02-20,6.22,6.28,6.13,6.22,2620945.0,,,
65,2019-02-21,6.22,6.31,6.17,6.23,2144700.0,,,
66,2019-02-22,6.18,6.3,6.16,6.28,2382420.0,,,
67,2019-02-25,6.28,6.56,6.25,6.49,5744992.0,,,
68,2019-02-26,6.5,6.7,6.39,6.51,5072592.0,,,
69,2019-02-27,6.47,6.57,6.36,6.41,3378285.0,,,
70,2019-02-28,6.42,6.55,6.38,6.45,2941484.0,,,
71,2019-03-01,6.46,6.52,6.42,6.5,2439052.0,,,
72,2019-03-04,6.53,6.65,6.51,6.54,5429866.0,,,
73,2019-03-05,6.48,6.65,6.48,6.65,4014046.0,,,
74,2019-03-06,6.65,6.82,6.64,6.75,7373960.0,,,
75,2019-03-07,6.75,6.79,6.66,6.75,7253982.0,,,
76,2019-03-08,6.65,6.79,6.31,6.4,7775660.0,,,
77,2019-03-11,6.46,7.03,6.45,6.93,11179623.0,,,
78,2019-03-12,6.93,6.99,6.79,6.92,10108151.0,,,
79,2019-03-13,6.92,6.92,6.75,6.78,6473224.0,,,
80,2019-03-14,6.75,6.83,6.53,6.58,5256328.0,,,
81,2019-03-15,6.6,6.73,6.59,6.64,3775308.0,,,
82,2019-03-18,6.68,6.82,6.65,6.8,5378978.0,,,
83,2019-03-19,6.86,6.86,6.75,6.79,3467460.0,,,
84,2019-03-20,6.78,6.84,6.71,6.8,3754070.0,,,
85,2019-03-21,6.78,7.18,6.77,7.04,8884450.0,,,
86,2019-03-22,7.0,7.0,6.84,6.97,6160004.0,,,
87,2019-03-25,6.79,6.86,6.68,6.83,5812016.0,,,
88,2019-03-26,6.83,6.87,6.61,6.65,3869471.0,,,
89,2019-03-27,6.71,6.75,6.6,6.72,3283689.0,,,
90,2019-03-28,6.69,6.81,6.6,6.69,3329716.0,,,
91,2019-03-29,6.73,6.8,6.63,6.78,3879050.0,,,
92,2019-04-01,6.81,6.98,6.8,6.94,6222403.0,,,
93,2019-04-02,6.98,7.0,6.85,6.88,5833354.0,,,
