,date,open,high,low,close,volume,120,180,240
0,2018-11-01,24.84,25.73,24.7,24.78,5223217.0,,,
1,2018-11-02,24.9,25.52,24.9,25.3,3887482.0,,,
2,2018-11-05,25.14,25.41,24.73,25.37,2008732.0,,,
3,2018-11-06,25.21,25.85,24.79,25.66,2633672.0,,,
4,2018-11-07,25.62,25.83,24.87,25.48,2210899.0,,,
5,2018-11-08,25.48,25.67,25.12,25.2,1642802.0,,,
6,2018-11-09,25.2,26.33,24.96,26.13,2930744.0,,,
7,2018-11-12,25.89,26.63,25.37,26.6,3613836.0,,,
8,2018-11-13,26.34,26.48,25.71,26.2,1877599.0,,,
9,2018-11-14,26.09,26.38,25.78,26.12,1782500.0,,,
10,2018-11-15,26.01,26.36,25.78,26.27,1983270.0,,,
11,2018-11-16,26.3,27.02,26.13,26.48,2911163.0,,,
12,2018-11-19,26.38,26.38,25.18,25.86,2111181.0,,,
13,2018-11-20,25.46,26.33,25.46,25.8,1784012.0,,,
14,2018-11-21,25.47,25.73,24.98,25.19,1828579.0,,,
15,2018-11-22,25.22,25.72,24.98,25.05,1101347.0,,,
16,2018-11-23,25.28,25.28,23.89,24.14,2011277.0,,,
17,2018-11-26,24.37,25.13,23.93,24.42,1673469.0,,,
18,2018-11-27,24.28,25.42,24.28,24.96,2413622.0,,,
19,2018-11-28,24.88,25.33,24.74,25.23,1380391.0,,,
20,2018-11-29,25.43,25.5,24.16,24.22,1611549.0,,,
21,2018-11-30,24.35,25.09,24.3,25.03,2651695.0,,,
22,2018-12-03,26.24,26.33,25.2,25.36,3803117.0,,,
23,2018-12-04,25.33,25.98,24.99,25.24,2067403.0,,,
24,2018-12-05,24.96,25.04,24.5,24.73,1547165.0,,,
25,2018-12-06,24.5,24.7,23.89,24.27,1670555.0,,,
26,2018-12-07,24.46,24.67,23.86,23.88,1827449.0,,,
27,2018-12-10,24.0,24.07,23.42,23.81,2331405.0,,,
28,2018-12-11,23.69,24.17,23.5,23.93,1404976.0,,,
29,2018-12-12,23.84,24.1,23.51,23.59,1437340.0,,,
30,2018-12-13,23.84,24.33,23.59,23.7,2919955.0,,,
31,2018-12-14,24.02,24.08,22.85,23.35,3481505.0,,,
32,2018-12-17,22.87,23.3,22.06,22.51,2832481.0,,,
33,2018-12-18,22.48,22.66,21.78,22.04,2140561.0,,,
34,2018-12-19,22.07,22.58,21.94,22.08,2112062.0,,,
35,2018-12-20,21.81,22.54,21.71,22.48,1772767.0,,,
36,2018-12-21,22.75,23.04,22.35,22.6,1793192.0,,,
37,2018-12-24,22.6,22.99,22.43,22.81,1815699.0,,,
38,2018-12-25,22.55,22.85,22.35,22.73,1239901.0,,,
39,2018-12-26,22.59,23.02,22.42,22.86,1230638.0,,,
40,2018-12-27,23.0,23.17,22.24,22.26,1874442.0,,,
41,2018-12-28,22.35,22.95,22.28,22.77,1913484.0,,,
42,2019-01-02,22.85,23.09,21.87,22.37,1318092.0,,,
43,2019-01-03,22.48,23.05,22.37,22.37,1515117.0,,,
44,2019-01-04,22.16,23.08,22.16,22.95,1498957.0,,,
45,2019-01-07,22.97,23.51,22.75,23.05,2162958.0,,,
46,2019-01-08,22.88,23.1,22.65,22.76,1167679.0,,,
47,2019-01-09,22.68,24.8,22.6,24.43,5885520.0,,,
48,2019-01-10,24.84,25.22,24.24,24.99,5145521.0,,,
49,2019-01-11,24.92,24.92,24.34,24.7,2138019.0,,,
50,2019-01-14,24.55,24.67,24.14,24.44,1094186.0,,,
51,2019-01-15,24.44,25.02,24.24,24.83,2202036.0,,,
52,2019-01-16,24.83,24.99,24.49,24.83,1134839.0,,,
53,2019-01-17,24.77,24.9,24.29,24.47,1506693.0,,,
54,2019-01-18,24.46,24.69,24.24,24.44,1594527.0,,,
55,2019-01-21,24.44,24.78,24.44,24.65,1299593.0,,,
56,2019-01-22,24.72,24.72,23.67,23.91,2065727.0,,,
57,2019-01-23,23.62,24.04,23.01,23.53,2936576.0,,,
58,2019-01-24,23.53,24.69,23.42,24.52,2978350.0,,,
59,2019-01-25,24.27,24.79,24.14,24.35,1729900.0,,,
60,2019-01-28,24.67,25.06,24.13,24.43,1696800.0,,,
61,2019-01-29,24.42,24.56,23.53,23.89,1438768.0,,,
62,2019-01-30,23.89,24.08,23.53,23.6,1175250.0,,,
63,2019-01-31,23.6,23.73,22.65,22.86,2624211.0,,,
64,2019-02-01,22.86,23.94,22.86,23.71,1630910.0,,,
65,2019-02-11,23.64,24.54,23.64,24.43,1951277.0,,,
66,2019-02-12,24.43,24.82,24.1,24.78,1790432.0,,,
67,2019-02-13,24.63,25.24,24.58,25.04,2879596.0,,,
68,2019-02-14,24.92,25.56,24.83,25.03,1839608.0,,,
69,2019-02-15,25.22,25.38,24.63,24.64,1818989.0,,,
70,2019-02-18,24.75,25.5,24.65,25.33,3528446.0,,,
71,2019-02-19,25.53,26.97,25.4,25.68,5812634.0,,,
72,2019-02-20,25.63,25.63,24.75,25.02,3181758.0,,,
73,2019-02-21,25.14,25.47,24.86,25.14,3413912.0,,,
74,2019-02-22,25.15,25.33,24.59,25.31,3036168.0,,,
75,2019-02-25,25.64,27.5,25.43,27.27,9815105.0,,,
76,2019-02-26,27.22,27.22,26.12,26.34,5419454.0,,,
77,2019-02-27,26.43,26.51,25.37,25.6,7446660.0,,,
78,2019-02-28,25.99,26.28,24.94,25.12,6418427.0,,,
79,2019-03-01,25.24,25.65,25.03,25.35,6034993.0,,,
80,2019-03-04,25.73,26.09,25.43,25.63,7129376.0,,,
81,2019-03-05,25.42,26.53,25.14,26.36,7938108.0,,,
