,date,open,high,low,close,volume,10,60,250
0,2020-03-18,10.73,11.37,10.68,10.76,3600046.0,,,
1,2020-03-19,10.77,11.17,10.69,11.16,3177820.0,,,
2,2020-03-20,11.31,11.43,11.06,11.32,2706680.0,,,
3,2020-03-23,11.12,11.6,10.93,11.13,3309614.0,,,
4,2020-03-24,11.35,11.97,11.25,11.83,5022126.0,,,
5,2020-03-25,12.0,12.07,11.65,11.7,5428722.0,,,
6,2020-03-26,11.52,11.88,11.3,11.31,3517482.0,,,
7,2020-03-27,11.35,11.67,11.22,11.37,2705713.0,,,
8,2020-03-30,11.2,11.23,10.78,10.83,3047510.0,,,
9,2020-03-31,11.0,11.14,10.73,10.75,2619873.0,11.216000000000001,,
10,2020-04-01,10.66,11.09,10.66,10.83,2052717.0,11.223,,
11,2020-04-02,10.77,11.1,10.63,11.1,1951837.0,11.217,,
12,2020-04-03,11.09,11.1,10.81,10.82,1515340.0,11.167000000000002,,
13,2020-04-07,10.98,11.17,10.94,11.16,1889230.0,11.170000000000002,,
14,2020-04-08,11.19,11.35,11.07,11.27,1783140.0,11.114,,
15,2020-04-09,11.29,12.4,11.29,11.85,4870431.0,11.129000000000001,,
16,2020-04-10,11.86,12.04,11.44,11.84,3517703.0,11.182,,
17,2020-04-13,11.64,11.91,11.54,11.68,2133570.0,11.213,,
18,2020-04-14,11.68,11.77,11.36,11.55,1699556.0,11.285,,
19,2020-04-15,11.55,11.66,11.35,11.37,1408760.0,11.347,,
20,2020-04-16,11.27,11.34,11.1,11.18,1680457.0,11.382000000000001,,
21,2020-04-17,11.25,11.37,11.02,11.07,2349951.0,11.379000000000001,,
22,2020-04-20,11.04,11.42,10.89,11.42,2447897.0,11.439000000000002,,
23,2020-04-21,11.39,11.48,11.21,11.41,1788438.0,11.464000000000002,,
24,2020-04-22,11.38,11.54,11.31,11.48,1696480.0,11.485000000000003,,
25,2020-04-23,11.46,11.58,11.12,11.19,2258720.0,11.419000000000002,,
26,2020-04-24,11.11,11.18,10.68,10.72,2499848.0,11.307000000000002,,
27,2020-04-27,10.69,10.9,10.64,10.71,1772164.0,11.210000000000003,,
28,2020-04-28,10.87,11.16,10.64,11.02,2691624.0,11.157000000000002,,
29,2020-04-29,10.99,11.35,10.99,11.22,2320960.0,11.142000000000001,,
30,2020-04-30,11.21,11.37,11.16,11.33,1970285.0,11.157000000000002,,
31,2020-05-06,11.32,11.69,11.25,11.51,2492059.0,11.201000000000002,,
32,2020-05-07,11.52,11.61,11.43,11.49,1641001.0,11.208000000000002,,
33,2020-05-08,11.54,11.77,11.54,11.69,1912370.0,11.236,,
34,2020-05-11,11.85,11.85,11.58,11.7,2126532.0,11.258000000000001,,
35,2020-05-12,11.72,11.8,11.36,11.6,2071340.0,11.299000000000001,,
36,2020-05-13,11.52,11.63,11.41,11.47,1824850.0,11.374,,
37,2020-05-14,11.44,11.52,11.35,11.37,1541975.0,11.440000000000001,,
38,2020-05-15,11.42,11.55,11.37,11.4,1355640.0,11.478000000000002,,
39,2020-05-18,11.52,12.07,11.37,11.95,3877949.0,11.551000000000002,,
40,2020-05-19,11.95,12.37,11.77,12.19,5264333.0,11.637000000000002,,
41,2020-05-20,12.1,12.14,11.78,11.81,2612794.0,11.667,,
42,2020-05-21,11.91,12.23,11.72,12.15,3602896.0,11.733,,
43,2020-05-22,12.05,12.08,11.54,11.56,2877150.0,11.719999999999999,,
44,2020-05-25,11.55,11.71,11.49,11.62,1450230.0,11.712,,
45,2020-05-26,11.71,12.02,11.62,11.91,2533344.0,11.743,,
46,2020-05-27,11.88,12.27,11.81,12.01,3469479.0,11.797,,
47,2020-05-28,12.1,13.02,12.01,12.48,5799974.0,11.907999999999998,,
48,2020-05-29,12.4,13.28,12.25,13.04,6460920.0,12.071999999999997,,
49,2020-06-01,13.0,13.29,12.86,13.09,6459191.0,12.185999999999996,,
50,2020-06-02,12.96,13.02,12.61,12.66,5491891.0,12.232999999999999,,
51,2020-06-03,12.77,12.91,12.52,12.84,3470600.0,12.335999999999999,,
