,date,open,high,low,close,volume,10,60,250
0,2020-09-17,70.0,73.0,59.05,60.0,17864622.0,,,
1,2020-09-18,61.9,67.63,59.88,60.0,14263238.0,,,
2,2020-09-21,60.1,65.72,55.55,63.12,11672117.0,,,
3,2020-09-22,60.66,62.5,57.7,60.55,9633583.0,,,
4,2020-09-23,58.0,59.88,57.01,58.28,7943904.0,,,
5,2020-09-24,56.0,58.95,54.5,54.91,7413947.0,,,
6,2020-09-25,55.0,56.5,51.79,51.8,6710702.0,,,
7,2020-09-28,50.8,52.43,47.0,47.3,6295265.0,,,
8,2020-09-29,48.75,49.9,47.3,47.39,5224306.0,,,
9,2020-09-30,46.5,51.5,46.5,48.95,6460756.0,55.230000000000004,,
10,2020-10-09,51.78,56.32,51.25,53.5,8552230.0,54.580000000000005,,
11,2020-10-12,56.89,59.11,54.59,55.91,8667643.0,54.17100000000001,,
12,2020-10-13,55.91,57.8,53.57,56.85,7315054.0,53.544000000000004,,
13,2020-10-14,57.0,61.88,54.81,58.6,7748174.0,53.34900000000001,,
14,2020-10-15,58.6,64.75,57.0,59.0,9528500.0,53.421000000000014,,
15,2020-10-16,57.01,58.33,53.68,54.5,7887726.0,53.38000000000002,,
16,2020-10-19,55.05,55.85,53.61,53.61,4880161.0,53.56100000000002,,
17,2020-10-20,53.2,62.0,53.15,58.96,9167638.0,54.72700000000003,,
18,2020-10-21,57.8,60.33,57.18,57.92,7843834.0,55.78000000000003,,
19,2020-10-22,59.0,63.8,57.51,59.53,8652168.0,56.83800000000002,,
20,2020-10-23,61.0,63.5,57.88,59.6,8138620.0,57.44800000000002,,
21,2020-10-26,61.0,63.38,58.88,62.17,7340146.0,58.07400000000003,,
22,2020-10-27,60.3,61.09,56.3,58.89,6902528.0,58.27800000000002,,
23,2020-10-28,59.0,64.69,58.0,62.29,10232363.0,58.64700000000001,,
24,2020-10-29,59.17,62.28,58.07,61.29,8213213.0,58.87600000000001,,
25,2020-10-30,61.29,61.9,54.8,55.06,7226306.0,58.932000000000016,,
26,2020-11-02,54.03,56.58,54.03,56.0,4360357.0,59.171000000000014,,
27,2020-11-03,56.9,57.79,54.46,55.4,4495545.0,58.81500000000001,,
28,2020-11-04,55.65,57.59,55.03,55.82,4823251.0,58.60500000000002,,
29,2020-11-05,57.01,66.98,56.12,66.98,9832099.0,59.35000000000002,,
30,2020-11-06,71.03,72.79,62.26,64.22,11769041.0,59.812000000000026,,
31,2020-11-09,64.22,66.77,62.66,66.69,9113043.0,60.264000000000024,,
32,2020-11-10,66.01,76.11,64.0,69.0,11757212.0,61.27500000000002,,
33,2020-11-11,74.91,79.0,69.58,71.5,12881534.0,62.196000000000026,,
34,2020-11-12,70.01,72.87,67.06,68.3,9629795.0,62.89700000000003,,
35,2020-11-13,70.0,72.3,65.5,69.2,8899802.0,64.31100000000004,,
36,2020-11-16,67.02,68.95,64.52,67.67,6814145.0,65.47800000000004,,
37,2020-11-17,67.6,71.0,63.6,65.25,7877843.0,66.46300000000004,,
38,2020-11-18,63.39,65.96,63.0,63.99,5829863.0,67.28000000000003,,
39,2020-11-19,64.5,64.82,61.88,62.32,4647372.0,66.81400000000004,,
40,2020-11-20,62.37,64.85,62.36,63.99,5209745.0,66.79100000000003,,
41,2020-11-23,64.14,70.0,63.4,67.77,7601416.0,66.89900000000003,,
42,2020-11-24,67.0,68.36,64.6,64.83,5665366.0,66.48200000000003,,
43,2020-11-25,67.1,74.47,67.1,71.0,11082495.0,66.43200000000003,,
44,2020-11-26,69.0,72.85,65.0,65.88,9096678.0,66.19000000000003,,
45,2020-11-27,65.7,65.7,60.8,61.9,6600931.0,65.46000000000002,,
46,2020-11-30,61.36,61.9,60.0,60.95,3554315.0,64.78800000000004,,
47,2020-12-01,61.1,63.28,60.3,63.0,4385420.0,64.56300000000003,,
48,2020-12-02,64.15,65.3,61.58,62.0,4281425.0,64.36400000000003,,
49,2020-12-03,60.29,60.53,58.43,59.04,4303457.0,64.03600000000003,,
50,2020-12-04,58.51,59.7,58.37,59.3,2335264.0,63.56700000000002,,
51,2020-12-07,59.0,60.5,58.11,59.33,2322097.0,62.72300000000003,,
52,2020-12-08,59.75,62.3,59.51,61.83,4252726.0,62.42300000000002,,
53,2020-12-09,61.19,62.49,57.28,57.92,3966334.0,61.11500000000002,,
54,2020-12-10,57.92,58.97,56.29,56.99,2927887.0,60.22600000000002,,
55,2020-12-11,55.9,57.68,54.68,56.43,2509387.0,59.679000000000016,,
56,2020-12-14,56.12,59.2,54.87,58.6,3349660.0,59.44400000000002,,
57,2020-12-15,58.0,58.9,56.25,57.53,2238262.0,58.89700000000001,,
58,2020-12-16,57.7,58.35,55.22,55.39,2037917.0,58.23600000000001,,
59,2020-12-17,55.01,56.63,53.88,56.4,2640977.0,57.972000000000016,60.03999999999999,
60,2020-12-18,56.41,59.8,55.38,58.02,3817391.0,57.844000000000015,60.00699999999999,
61,2020-12-21,58.23,61.8,58.23,60.51,4852690.0,57.96200000000001,60.015499999999996,
62,2020-12-22,59.8,59.93,56.9,56.9,3626982.0,57.46900000000001,59.911833333333334,
63,2020-12-23,56.07,59.0,56.07,56.96,3019147.0,57.37300000000001,59.852,
64,2020-12-24,56.5,56.88,53.0,53.14,3292572.0,56.988000000000014,59.76633333333333,
65,2020-12-25,52.5,54.44,52.0,54.24,2256265.0,56.76900000000002,59.75516666666666,
66,2020-12-28,54.28,55.5,52.88,54.96,2090695.0,56.405000000000015,59.80783333333332,
67,2020-12-29,54.78,54.78,50.0,51.0,3094157.0,55.752000000000024,59.86949999999999,
68,2020-12-30,50.93,52.66,50.63,52.0,2248953.0,55.413000000000025,59.94633333333332,
69,2020-12-31,51.99,53.86,51.0,53.09,2375250.0,55.08200000000003,60.015333333333324,
70,2021-01-04,60.0,63.71,57.84,63.71,6622555.0,55.65100000000003,60.1855,
71,2021-01-05,68.18,71.86,64.5,65.7,11929912.0,56.17000000000004,60.34866666666666,
72,2021-01-06,63.71,65.4,59.67,61.97,7615700.0,56.67700000000004,60.43399999999999,
