,date,open,high,low,close,volume,10,60,250
0,2020-03-18,4.54,4.59,4.4,4.42,3965681.0,,,
1,2020-03-19,4.38,4.53,4.36,4.5,3733882.0,,,
2,2020-03-20,4.53,4.67,4.51,4.66,5407471.0,,,
3,2020-03-23,4.6,4.6,4.4,4.43,4899800.0,,,
4,2020-03-24,4.5,4.54,4.43,4.52,2592176.0,,,
5,2020-03-25,4.59,4.67,4.57,4.65,3680715.0,,,
6,2020-03-26,4.67,4.67,4.58,4.59,2407300.0,,,
7,2020-03-27,4.66,4.72,4.61,4.66,4292600.0,,,
8,2020-03-30,4.64,4.69,4.51,4.69,3794592.0,,,
9,2020-03-31,4.69,4.81,4.69,4.72,4756700.0,4.584,,
10,2020-04-01,4.72,4.81,4.67,4.69,3210470.0,4.610999999999999,,
11,2020-04-02,4.7,4.79,4.63,4.78,2811890.0,4.638999999999999,,
12,2020-04-03,4.79,4.81,4.67,4.73,2967200.0,4.645999999999999,,
13,2020-04-07,4.78,4.84,4.76,4.83,4194149.0,4.685999999999999,,
14,2020-04-08,4.81,4.87,4.77,4.83,3122800.0,4.716999999999999,,
15,2020-04-09,4.85,4.86,4.77,4.78,3647700.0,4.729999999999999,,
16,2020-04-10,4.82,4.83,4.64,4.66,5658461.0,4.736999999999999,,
17,2020-04-13,4.65,4.79,4.59,4.78,4643000.0,4.749,,
18,2020-04-14,4.78,4.86,4.77,4.84,3381100.0,4.764,,
19,2020-04-15,4.85,5.03,4.76,4.87,6326961.0,4.779,,
20,2020-04-16,4.82,4.82,4.72,4.74,4523600.0,4.784000000000001,,
21,2020-04-17,4.73,4.8,4.71,4.72,2924400.0,4.7780000000000005,,
22,2020-04-20,4.75,4.77,4.68,4.7,3269468.0,4.775,,
23,2020-04-21,4.67,4.7,4.59,4.68,3430119.0,4.76,,
24,2020-04-22,4.6,4.68,4.59,4.65,3085411.0,4.742,,
25,2020-04-23,4.67,4.68,4.58,4.59,3773000.0,4.723000000000001,,
26,2020-04-24,4.57,4.62,4.48,4.5,3283900.0,4.707000000000001,,
27,2020-04-27,4.5,4.57,4.49,4.53,2745100.0,4.682,,
28,2020-04-28,4.53,4.6,4.42,4.54,3715159.0,4.652000000000001,,
29,2020-04-29,4.54,4.6,4.54,4.6,2078259.0,4.625000000000002,,
30,2020-04-30,4.57,4.58,4.49,4.57,5560759.0,4.608000000000001,,
31,2020-05-06,4.5,4.53,4.39,4.41,8307800.0,4.577000000000001,,
32,2020-05-07,4.4,4.41,4.37,4.38,3111832.0,4.545000000000001,,
33,2020-05-08,4.4,4.43,4.38,4.42,2966268.0,4.519000000000001,,
34,2020-05-11,4.42,4.51,4.41,4.45,4257600.0,4.499000000000001,,
35,2020-05-12,4.45,4.45,4.33,4.36,3227191.0,4.476000000000002,,
36,2020-05-13,4.34,4.36,4.3,4.34,2662191.0,4.460000000000003,,
37,2020-05-14,4.32,4.34,4.25,4.25,2837200.0,4.432000000000002,,
38,2020-05-15,4.25,4.3,4.25,4.25,1775400.0,4.403000000000002,,
39,2020-05-18,4.27,4.33,4.26,4.31,4141675.0,4.374000000000002,,
40,2020-05-19,4.33,4.4,4.3,4.37,2647300.0,4.354000000000002,,
41,2020-05-20,4.37,4.37,4.28,4.3,2890000.0,4.343000000000002,,
42,2020-05-21,4.29,4.35,4.29,4.34,3676404.0,4.339000000000002,,
43,2020-05-22,4.34,4.34,4.25,4.25,2246700.0,4.322000000000002,,
44,2020-05-25,4.25,4.38,4.2,4.36,3307432.0,4.3130000000000015,,
45,2020-05-26,4.38,4.4,4.32,4.35,3068275.0,4.312000000000002,,
46,2020-05-27,4.34,4.37,4.29,4.37,2630360.0,4.315000000000002,,
47,2020-05-28,4.36,4.36,4.29,4.31,3078600.0,4.321000000000002,,
48,2020-05-29,4.31,4.39,4.29,4.37,3671600.0,4.333000000000002,,
49,2020-06-01,4.37,4.48,4.37,4.47,5341623.0,4.349000000000002,,
50,2020-06-02,4.45,4.47,4.41,4.44,4144536.0,4.356000000000002,,
51,2020-06-03,4.44,4.49,4.43,4.45,3230001.0,4.371000000000002,,
52,2020-06-04,4.45,4.55,4.41,4.54,6153570.0,4.391000000000003,,
53,2020-06-05,4.55,4.55,4.46,4.49,1746800.0,4.415000000000003,,
54,2020-06-08,4.52,4.52,4.44,4.45,2033300.0,4.424000000000003,,
55,2020-06-09,4.47,4.47,4.4,4.45,2065530.0,4.434000000000003,,
56,2020-06-10,4.42,4.45,4.39,4.44,1745700.0,4.441000000000003,,
57,2020-06-11,4.42,4.47,4.41,4.44,1489549.0,4.454000000000002,,
58,2020-06-12,4.39,4.45,4.38,4.44,1328000.0,4.461000000000003,,
59,2020-06-15,4.45,4.45,4.34,4.36,3178829.0,4.450000000000003,4.526833333333333,
60,2020-06-16,4.37,4.41,4.36,4.38,1855100.0,4.4440000000000035,4.526166666666667,
61,2020-06-17,4.37,4.39,4.35,4.38,1641300.0,4.437000000000003,4.524166666666667,
62,2020-06-18,4.37,4.39,4.35,4.37,1759600.0,4.4200000000000035,4.519333333333333,
63,2020-06-19,4.37,4.43,4.37,4.42,2494682.0,4.413000000000003,4.519166666666666,
64,2020-06-22,4.42,4.45,4.39,4.43,2014510.0,4.411000000000003,4.517666666666667,
65,2020-06-23,4.42,4.42,4.35,4.38,1540101.0,4.404000000000003,4.513166666666667,
66,2020-06-24,4.39,4.4,4.37,4.39,1382511.0,4.399000000000003,4.509833333333334,
67,2020-06-29,4.38,4.48,4.33,4.44,3399996.0,4.399000000000003,4.506166666666667,
68,2020-06-30,4.43,4.54,4.41,4.43,5945200.0,4.398000000000003,4.501833333333334,
69,2020-07-01,4.43,4.44,4.36,4.42,4910310.0,4.4040000000000035,4.496833333333333,
70,2020-07-02,4.42,4.51,4.39,4.48,4343000.0,4.414000000000003,4.493333333333334,
71,2020-07-03,4.47,4.54,4.44,4.51,4939901.0,4.427000000000003,4.488833333333334,
72,2020-07-06,4.54,4.71,4.54,4.67,8110877.0,4.457000000000003,4.487833333333334,
73,2020-07-07,4.67,4.74,4.61,4.61,7535400.0,4.4760000000000035,4.484166666666668,
74,2020-07-08,4.62,4.68,4.57,4.65,6680089.0,4.498000000000003,4.481166666666668,
75,2020-07-09,4.65,4.75,4.62,4.73,8434884.0,4.533000000000003,4.480333333333335,
76,2020-07-10,4.74,5.2,4.67,4.94,22925102.0,4.588000000000003,4.485000000000001,
77,2020-07-13,4.88,5.05,4.85,5.03,16084625.0,4.647000000000004,4.489166666666668,
78,2020-07-14,4.98,5.08,4.88,4.95,11358991.0,4.699000000000003,4.491000000000001,
79,2020-07-15,4.94,4.97,4.74,4.78,9316510.0,4.735000000000004,4.489500000000001,
80,2020-07-16,4.79,4.99,4.65,4.65,8878500.0,4.752000000000004,4.488,
81,2020-07-17,4.7,4.8,4.63,4.75,6406714.0,4.776000000000004,4.4885,
82,2020-07-20,4.78,4.98,4.75,4.95,9579613.0,4.804000000000004,4.492666666666667,
83,2020-07-21,4.97,5.03,4.91,4.96,9784500.0,4.839000000000004,4.497333333333333,
84,2020-07-22,5.07,5.09,4.95,5.02,18384577.0,4.876000000000004,4.5035,
85,2020-07-23,4.93,4.96,4.83,4.93,12562006.0,4.8960000000000035,4.509166666666667,
86,2020-07-24,4.93,4.99,4.71,4.75,7590001.0,4.877000000000004,4.513333333333334,
87,2020-07-27,4.8,4.93,4.74,4.78,5749800.0,4.852000000000004,4.5175,
88,2020-07-28,4.76,4.81,4.68,4.72,4964073.0,4.829000000000003,4.5205,
89,2020-07-29,4.72,4.81,4.64,4.8,4657700.0,4.831000000000003,4.523833333333333,
90,2020-07-30,4.79,4.87,4.77,4.78,4333010.0,4.844000000000003,4.527333333333333,
91,2020-07-31,4.79,4.86,4.75,4.84,5269610.0,4.853000000000003,4.534499999999999,
92,2020-08-03,4.88,5.01,4.88,5.01,13572423.0,4.859000000000003,4.544999999999999,
93,2020-08-04,5.06,5.28,5.02,5.11,19668621.0,4.874000000000002,4.556499999999999,
94,2020-08-05,5.07,5.12,5.01,5.08,12748529.0,4.880000000000003,4.566999999999998,
95,2020-08-06,5.08,5.29,5.06,5.17,15580404.0,4.904000000000003,4.580499999999999,
96,2020-08-07,5.19,5.24,4.97,5.18,12269505.0,4.947000000000003,4.594499999999999,
97,2020-08-10,5.14,5.21,5.07,5.11,9803329.0,4.980000000000002,4.608833333333333,
98,2020-08-11,5.22,5.35,5.13,5.2,19259531.0,5.028000000000003,4.624666666666666,
99,2020-08-12,5.1,5.27,4.95,5.09,14454058.0,5.057000000000004,4.637666666666665,
100,2020-08-13,5.05,5.12,5.0,5.05,6399501.0,5.084000000000003,4.648999999999999,
101,2020-08-14,5.02,5.09,4.92,5.05,7608296.0,5.105000000000002,4.661499999999999,
102,2020-08-17,5.04,5.14,5.01,5.12,7470542.0,5.116000000000002,4.674499999999999,
103,2020-08-18,5.13,5.17,5.1,5.13,5033067.0,5.118000000000003,4.689166666666666,
104,2020-08-19,5.14,5.14,5.04,5.05,5227000.0,5.115000000000003,4.700666666666666,
105,2020-08-20,5.04,5.04,4.95,4.95,4177600.0,5.093000000000003,4.710666666666666,
106,2020-08-21,4.94,5.01,4.92,4.95,3870373.0,5.070000000000003,4.720333333333332,
107,2020-08-24,4.95,4.96,4.86,4.91,4046858.0,5.0500000000000025,4.730333333333332,
108,2020-08-25,4.93,4.95,4.9,4.95,4366200.0,5.025000000000003,4.739999999999998,
109,2020-08-26,4.96,4.96,4.78,4.84,4203400.0,5.000000000000003,4.746166666666665,
110,2020-08-27,4.84,4.88,4.82,4.86,3983801.0,4.981000000000003,4.753166666666664,
111,2020-08-28,4.85,4.96,4.81,4.95,4391901.0,4.971000000000004,4.761499999999998,
112,2020-08-31,4.98,5.04,4.93,4.96,6305259.0,4.955000000000004,4.768499999999998,
113,2020-09-01,4.94,4.94,4.84,4.88,4299701.0,4.930000000000004,4.774999999999997,
114,2020-09-02,4.88,4.91,4.83,4.86,3087702.0,4.911000000000004,4.7818333333333305,
115,2020-09-03,4.88,4.93,4.83,4.84,3867400.0,4.900000000000004,4.78833333333333,
116,2020-09-04,4.76,4.8,4.68,4.77,4333840.0,4.882000000000003,4.79383333333333,
117,2020-09-07,4.77,4.82,4.7,4.72,3886200.0,4.863000000000004,4.798499999999998,
118,2020-09-08,4.71,4.79,4.68,4.78,3447536.0,4.846000000000004,4.804166666666664,
119,2020-09-09,4.75,4.79,4.71,4.72,3656300.0,4.834000000000003,4.810166666666664,
120,2020-09-10,4.74,4.76,4.54,4.58,4873702.0,4.806000000000003,4.813499999999997,
121,2020-09-11,4.58,4.61,4.52,4.58,2197521.0,4.769000000000003,4.816833333333331,
122,2020-09-14,4.58,4.65,4.55,4.6,2869701.0,4.733000000000002,4.820666666666664,
