,date,open,high,low,close,volume,120,180,240
0,2018-11-13,9.26,9.68,9.16,9.58,5948809.0,,,
1,2018-11-14,9.54,9.75,9.17,9.21,7321590.0,,,
2,2018-11-15,9.31,9.39,9.21,9.34,6331909.0,,,
3,2018-11-16,9.34,9.64,9.29,9.5,4267064.0,,,
4,2018-11-19,9.5,9.5,9.13,9.2,6900526.0,,,
5,2018-11-20,9.28,9.35,9.06,9.09,5925685.0,,,
6,2018-11-21,9.06,9.27,9.02,9.26,4775424.0,,,
7,2018-11-22,9.27,9.27,9.06,9.13,3815785.0,,,
8,2018-11-23,9.13,9.16,8.69,8.92,5995263.0,,,
9,2018-11-26,8.92,9.03,8.85,8.88,6190009.0,,,
10,2018-11-27,8.88,9.46,8.88,9.24,6846428.0,,,
11,2018-11-28,9.34,9.52,9.21,9.41,6462617.0,,,
12,2018-11-29,9.45,9.52,9.31,9.34,5867120.0,,,
13,2018-11-30,9.34,9.46,9.21,9.25,5628133.0,,,
14,2018-12-03,9.42,9.73,9.42,9.67,7417715.0,,,
15,2018-12-04,9.59,9.66,9.34,9.34,6283087.0,,,
16,2018-12-05,9.26,9.62,9.26,9.45,7127517.0,,,
17,2018-12-06,9.42,9.43,9.21,9.27,4632091.0,,,
18,2018-12-07,9.27,9.45,9.27,9.35,4036265.0,,,
19,2018-12-10,9.31,9.87,9.21,9.69,10461590.0,,,
20,2018-12-11,9.81,10.04,9.52,9.66,7495009.0,,,
21,2018-12-12,9.66,9.81,9.64,9.69,3985299.0,,,
22,2018-12-13,9.61,9.86,9.52,9.74,3578651.0,,,
23,2018-12-14,9.83,9.88,9.36,9.47,4728453.0,,,
24,2018-12-17,9.37,9.66,9.37,9.58,4042274.0,,,
25,2018-12-18,9.48,9.73,9.42,9.66,3868517.0,,,
26,2018-12-19,9.66,9.68,9.21,9.3,4942554.0,,,
27,2018-12-20,9.16,9.5,9.16,9.43,3912686.0,,,
28,2018-12-21,9.48,9.61,9.37,9.5,3384467.0,,,
29,2018-12-24,9.5,9.55,9.24,9.4,3780122.0,,,
30,2018-12-25,9.38,9.38,9.01,9.3,5019986.0,,,
31,2018-12-26,9.31,9.37,9.13,9.31,2939888.0,,,
32,2018-12-27,9.31,9.43,9.11,9.21,3629729.0,,,
33,2018-12-28,9.15,9.5,9.01,9.39,6119837.0,,,
34,2019-01-02,9.34,9.35,8.98,9.0,4108315.0,,,
35,2019-01-03,9.02,9.05,8.52,8.62,5584182.0,,,
36,2019-01-04,8.58,8.82,8.56,8.74,4839098.0,,,
37,2019-01-07,8.83,9.11,8.77,9.04,6478034.0,,,
38,2019-01-08,9.06,9.14,8.87,8.94,3446950.0,,,
39,2019-01-09,8.89,9.19,8.89,9.03,3370519.0,,,
40,2019-01-10,9.03,9.14,8.98,8.99,2074432.0,,,
41,2019-01-11,9.01,9.11,8.93,9.06,1973843.0,,,
42,2019-01-14,8.99,9.14,8.92,9.02,2588562.0,,,
43,2019-01-15,8.98,9.1,8.91,9.06,4044343.0,,,
44,2019-01-16,9.04,9.1,8.96,9.04,3429331.0,,,
45,2019-01-17,9.04,9.06,8.87,8.87,3627972.0,,,
46,2019-01-18,8.95,9.01,8.73,8.87,6456672.0,,,
47,2019-01-21,8.85,9.41,8.85,9.29,7662930.0,,,
48,2019-01-22,9.35,9.58,9.25,9.32,4946384.0,,,
49,2019-01-23,9.44,9.5,9.32,9.4,6109383.0,,,
50,2019-01-24,9.4,9.44,9.25,9.34,5761215.0,,,
51,2019-01-25,9.37,9.56,9.26,9.38,8814057.0,,,
52,2019-01-28,9.4,9.53,9.32,9.36,4531353.0,,,
53,2019-01-29,9.35,9.45,9.24,9.36,5315344.0,,,
54,2019-01-30,9.41,9.41,9.14,9.17,4096397.0,,,
55,2019-01-31,9.24,9.44,9.22,9.34,4711582.0,,,
56,2019-02-01,9.34,9.78,9.33,9.78,8080532.0,,,
57,2019-02-11,9.81,10.01,9.69,9.99,8202821.0,,,
58,2019-02-12,9.95,10.17,9.76,9.86,9527737.0,,,
59,2019-02-13,9.91,9.91,9.74,9.87,9578103.0,,,
60,2019-02-14,9.89,9.98,9.76,9.86,7314131.0,,,
61,2019-02-15,9.81,9.95,9.69,9.87,7909881.0,,,
62,2019-02-18,9.91,10.09,9.79,9.96,17030759.0,,,
63,2019-02-19,9.98,10.44,9.89,10.43,16997236.0,,,
64,2019-02-20,10.41,10.54,10.2,10.45,11001717.0,,,
65,2019-02-21,10.47,10.92,10.34,10.36,23476424.0,,,
66,2019-02-22,10.26,10.54,10.25,10.43,12513432.0,,,
67,2019-02-25,10.37,10.72,10.24,10.63,22239900.0,,,
68,2019-02-26,10.86,11.17,9.97,10.18,35022613.0,,,
69,2019-02-27,10.22,10.53,10.06,10.11,33653554.0,,,
70,2019-02-28,10.25,10.7,10.17,10.42,17057123.0,,,
71,2019-03-01,10.49,10.74,10.36,10.62,15275522.0,,,
72,2019-03-04,10.62,10.84,10.4,10.65,20967891.0,,,
73,2019-03-05,10.6,10.75,10.5,10.72,9631840.0,,,
74,2019-03-06,10.73,11.07,10.52,11.04,17192867.0,,,
75,2019-03-07,10.97,10.99,10.71,10.79,12345099.0,,,
76,2019-03-08,10.64,10.87,10.42,10.56,13282420.0,,,
77,2019-03-11,10.63,10.83,10.47,10.81,9966127.0,,,
78,2019-03-12,10.96,11.89,10.76,11.6,37386759.0,,,
79,2019-03-13,11.49,12.0,11.47,11.66,16339516.0,,,
80,2019-03-14,11.61,12.25,11.5,11.67,21712590.0,,,
81,2019-03-15,11.8,12.11,11.53,11.61,17746337.0,,,
82,2019-03-18,11.77,12.72,11.62,12.6,21412344.0,,,
83,2019-03-19,12.49,12.59,12.14,12.19,20926706.0,,,
84,2019-03-20,12.23,12.61,12.05,12.54,14614580.0,,,
85,2019-03-21,12.44,12.8,12.35,12.57,11357504.0,,,
86,2019-03-22,11.32,11.32,11.32,11.32,8245500.0,,,
87,2019-03-25,10.18,10.96,10.18,10.54,103135348.0,,,
88,2019-03-26,10.31,10.7,10.18,10.36,57901284.0,,,
89,2019-03-27,10.46,10.67,10.12,10.32,47047340.0,,,
90,2019-03-28,10.33,10.33,9.72,9.86,46446710.0,,,
91,2019-03-29,9.9,10.36,9.84,10.32,43416223.0,,,
92,2019-04-01,10.3,11.05,10.14,10.73,46526064.0,,,
93,2019-04-02,10.76,11.09,10.56,10.92,32806979.0,,,
94,2019-04-03,10.91,10.94,10.65,10.75,22506036.0,,,
95,2019-04-04,10.68,10.99,10.6,10.78,24773638.0,,,
96,2019-04-08,9.7,9.7,9.7,9.7,18456600.0,,,
97,2019-04-09,10.18,10.67,9.78,9.97,84885857.0,,,
98,2019-04-10,9.77,10.26,9.75,10.04,48161232.0,,,
99,2019-04-11,9.81,9.81,9.15,9.48,60363005.0,,,
100,2019-04-12,9.38,9.47,9.19,9.34,22690414.0,,,
101,2019-04-15,9.41,9.58,9.34,9.4,24552557.0,,,
102,2019-04-16,9.71,10.34,9.67,10.15,52809515.0,,,
