,date,open,high,low,close,volume,120,180,240
0,2020-03-12,18.08,21.7,18.08,21.7,71325.0,,,
1,2020-03-13,23.87,23.87,23.87,23.87,28535.0,,,
2,2020-03-16,26.26,26.26,26.26,26.26,46636.0,,,
3,2020-03-17,28.89,28.89,28.89,28.89,43399.0,,,
4,2020-03-18,31.78,31.78,31.78,31.78,57129.0,,,
5,2020-03-19,34.96,34.96,34.96,34.96,184377.0,,,
6,2020-03-20,38.46,38.46,38.46,38.46,219845.0,,,
7,2020-03-23,40.0,40.0,34.61,36.3,16083877.0,,,
8,2020-03-24,34.11,34.5,32.67,32.67,11230222.0,,,
9,2020-03-25,32.0,34.01,31.54,32.9,9922670.0,,,
10,2020-03-26,31.3,31.69,29.62,29.62,9336994.0,,,
11,2020-03-27,29.95,31.29,29.4,29.96,7927130.0,,,
12,2020-03-30,29.98,31.87,29.98,30.7,7544644.0,,,
13,2020-03-31,29.5,29.94,28.33,28.54,7675566.0,,,
14,2020-04-01,28.4,28.97,27.74,28.0,5631739.0,,,
15,2020-04-02,27.8,28.75,27.64,28.66,5544984.0,,,
16,2020-04-03,28.18,31.53,28.06,30.22,11851004.0,,,
17,2020-04-07,30.5,31.4,29.3,30.69,10850918.0,,,
18,2020-04-08,30.01,30.8,29.51,29.76,6889822.0,,,
19,2020-04-09,29.7,29.7,28.63,28.63,5950989.0,,,
20,2020-04-10,27.09,27.33,25.77,25.77,7880167.0,,,
21,2020-04-13,25.41,28.0,25.41,27.08,7154934.0,,,
22,2020-04-14,27.06,27.36,25.85,26.46,4921046.0,,,
23,2020-04-15,26.23,26.79,25.56,25.7,4334564.0,,,
24,2020-04-16,25.7,26.18,25.11,26.13,4048618.0,,,
25,2020-04-17,25.88,26.13,25.45,25.47,3606459.0,,,
26,2020-04-20,25.53,25.77,25.11,25.72,2880164.0,,,
27,2020-04-21,25.39,26.39,25.25,25.9,3851542.0,,,
28,2020-04-22,25.46,25.67,25.24,25.61,2714389.0,,,
29,2020-04-23,25.6,26.5,25.45,26.05,4650926.0,,,
30,2020-04-24,25.55,25.9,24.0,24.35,4960574.0,,,
31,2020-04-27,24.33,24.58,23.38,23.46,2827357.0,,,
32,2020-04-28,23.6,23.65,21.12,21.73,4364186.0,,,
33,2020-04-29,21.47,22.39,21.33,21.95,2810903.0,,,
34,2020-04-30,22.2,22.63,22.2,22.33,2557194.0,,,
35,2020-05-06,22.4,22.85,22.01,22.84,2469549.0,,,
36,2020-05-07,23.2,23.88,22.7,23.42,4460719.0,,,
37,2020-05-08,23.3,23.95,23.15,23.75,4056136.0,,,
38,2020-05-11,23.75,25.29,23.75,24.25,5277042.0,,,
39,2020-05-12,23.99,26.14,23.8,25.98,7862495.0,,,
40,2020-05-13,25.4,25.62,24.83,25.03,5080569.0,,,
41,2020-05-14,24.93,25.25,24.12,24.19,3802023.0,,,
42,2020-05-15,24.3,24.78,24.15,24.18,2433289.0,,,
43,2020-05-18,24.25,24.55,23.8,24.03,2109840.0,,,
44,2020-05-19,24.25,24.83,24.04,24.78,3059765.0,,,
45,2020-05-20,24.84,25.28,24.7,25.07,4318301.0,,,
46,2020-05-21,24.94,24.94,24.03,24.15,3153900.0,,,
47,2020-05-22,23.98,25.58,23.07,24.87,5358800.0,,,
48,2020-05-25,24.88,25.76,24.43,24.67,4553439.0,,,
49,2020-05-26,24.28,25.95,24.28,25.85,5849650.0,,,
50,2020-05-27,25.6,25.78,24.88,25.31,4519874.0,,,
51,2020-05-28,25.34,25.64,24.21,24.6,3538421.0,,,
52,2020-05-29,24.1,24.6,23.63,23.76,3074275.0,,,
53,2020-06-01,23.86,24.68,23.81,24.48,2642005.0,,,
54,2020-06-02,24.69,25.05,24.24,24.94,2801992.0,,,
55,2020-06-03,24.98,25.55,24.6,24.62,3303169.0,,,
56,2020-06-04,24.7,25.37,24.44,25.23,2986320.0,,,
57,2020-06-05,25.12,25.26,24.39,24.62,2870728.0,,,
58,2020-06-08,24.55,25.3,24.55,25.2,2907050.0,,,
59,2020-06-09,25.08,25.19,24.43,24.53,2710175.0,,,
60,2020-06-10,24.53,24.53,23.6,23.73,2871802.0,,,
61,2020-06-11,23.75,23.98,23.0,23.53,1786541.0,,,
62,2020-06-12,22.94,23.59,22.82,23.48,1668789.0,,,
63,2020-06-15,23.6,24.78,23.6,24.71,3648830.0,,,
64,2020-06-16,24.63,24.64,24.09,24.35,2396675.0,,,
65,2020-06-17,24.49,25.55,24.38,24.83,4294826.0,,,
66,2020-06-18,24.74,27.31,24.74,26.5,9815424.0,,,
67,2020-06-19,25.73,26.1,25.28,25.51,6063989.0,,,
68,2020-06-22,25.61,25.93,25.01,25.39,3409802.0,,,
69,2020-06-23,25.31,25.8,25.03,25.16,2335415.0,,,
70,2020-06-24,25.06,25.3,24.87,25.16,2095788.0,,,
71,2020-06-29,25.13,25.14,23.77,23.86,3094139.0,,,
72,2020-06-30,23.89,24.16,23.82,23.91,1812382.0,,,
73,2020-07-01,24.05,24.3,23.6,23.92,1647923.0,,,
74,2020-07-02,23.92,24.06,23.61,23.98,1850909.0,,,
75,2020-07-03,24.06,24.32,23.91,24.12,1797843.0,,,
76,2020-07-06,24.3,24.98,24.1,24.89,3326033.0,,,
77,2020-07-07,25.06,25.8,24.56,25.4,4719966.0,,,
78,2020-07-08,25.11,25.57,25.03,25.42,3500091.0,,,
79,2020-07-09,25.41,26.3,25.31,26.14,4790570.0,,,
80,2020-07-10,26.01,27.27,25.67,26.54,6285766.0,,,
81,2020-07-13,26.54,29.15,26.5,28.3,7847436.0,,,
82,2020-07-14,28.0,28.0,26.8,27.09,5612324.0,,,
83,2020-07-15,27.12,27.28,25.84,25.9,3602788.0,,,
84,2020-07-16,26.01,26.21,24.78,24.8,3047005.0,,,
85,2020-07-17,24.89,25.3,24.42,24.98,1698494.0,,,
86,2020-07-20,25.1,25.72,25.01,25.65,1958657.0,,,
87,2020-07-21,25.6,25.86,25.22,25.46,1616265.0,,,
88,2020-07-22,25.57,25.76,25.08,25.4,1546783.0,,,
89,2020-07-23,25.2,25.35,24.43,25.02,1963634.0,,,
90,2020-07-24,24.88,25.58,24.09,24.36,2133660.0,,,
91,2020-07-27,24.44,24.67,24.03,24.36,1298294.0,,,
92,2020-07-28,24.5,25.45,24.37,25.45,1841386.0,,,
93,2020-07-29,25.1,26.06,25.1,26.01,2584791.0,,,
94,2020-07-30,25.84,25.9,25.36,25.51,1825805.0,,,
95,2020-07-31,25.58,25.78,25.21,25.49,1431494.0,,,
96,2020-08-03,25.55,26.12,25.55,26.1,2250745.0,,,
97,2020-08-04,26.0,27.43,25.55,26.49,3685765.0,,,
98,2020-08-05,26.08,26.34,25.57,25.95,2638167.0,,,
99,2020-08-06,25.9,26.42,25.84,26.29,2356954.0,,,
100,2020-08-07,26.26,26.26,25.26,25.4,1997823.0,,,
101,2020-08-10,25.3,25.85,25.24,25.62,1161058.0,,,
102,2020-08-11,25.73,25.97,24.8,24.84,1544782.0,,,
103,2020-08-12,24.84,25.43,24.25,25.36,1748593.0,,,
104,2020-08-13,25.35,25.82,25.18,25.53,1409496.0,,,
105,2020-08-14,25.42,26.18,25.36,25.99,1990701.0,,,
106,2020-08-17,26.19,26.19,25.68,26.15,1790865.0,,,
107,2020-08-18,26.38,26.39,25.86,25.97,1227194.0,,,
108,2020-08-19,25.81,25.95,25.3,25.43,1640883.0,,,
109,2020-08-20,25.2,25.65,24.88,25.36,1090770.0,,,
110,2020-08-21,25.5,25.95,25.42,25.81,1711229.0,,,
111,2020-08-24,25.8,27.06,25.54,26.36,4397977.0,,,
112,2020-08-25,26.15,28.27,25.95,27.4,5530599.0,,,
113,2020-08-26,27.24,28.9,26.82,27.79,6221577.0,,,
114,2020-08-27,27.85,27.85,26.64,27.42,4235538.0,,,
115,2020-08-28,27.86,28.67,26.61,27.89,4415292.0,,,
116,2020-08-31,27.66,27.89,26.77,26.81,3286629.0,,,
117,2020-09-01,26.68,27.25,26.2,27.22,2277302.0,,,
118,2020-09-02,27.02,28.05,26.78,27.98,3747037.0,,,
119,2020-09-03,27.82,30.0,27.73,28.68,5799097.0,26.073166666666673,,
120,2020-09-04,27.59,30.2,27.59,29.65,6075478.0,26.139416666666673,,
121,2020-09-07,29.29,30.5,28.6,30.02,6043225.0,26.190666666666676,,
122,2020-09-08,30.01,30.15,28.66,29.42,4616368.0,26.217000000000006,,
123,2020-09-09,28.97,33.88,28.6,30.4,7913349.0,26.22958333333334,,
124,2020-09-10,30.64,30.64,26.3,26.49,5418905.0,26.185500000000005,,
125,2020-09-11,25.96,27.15,25.17,26.73,3007600.0,26.116916666666672,,
126,2020-09-14,26.9,29.03,26.5,28.61,4419684.0,26.03483333333334,,
127,2020-09-15,29.19,29.19,27.7,28.05,2692111.0,25.96608333333334,,
128,2020-09-16,28.05,28.3,27.08,27.57,2347470.0,25.92358333333334,,
129,2020-09-17,27.58,29.86,27.23,29.08,5097289.0,25.891750000000005,,
130,2020-09-18,29.1,29.75,28.61,28.79,3482001.0,25.88483333333334,,
131,2020-09-21,28.57,29.57,28.33,29.49,2915380.0,25.88091666666667,,
132,2020-09-22,29.27,29.8,28.25,28.4,3277276.0,25.861750000000008,,
133,2020-09-23,28.15,28.88,27.7,28.75,2620280.0,25.863500000000005,,
134,2020-09-24,28.67,28.67,27.2,27.32,2344680.0,25.857833333333343,,
135,2020-09-25,27.55,27.77,26.56,26.75,1448900.0,25.841916666666677,,
