,date,open,high,low,close,volume,10,60,250
0,2020-03-18,15.14,15.28,14.39,14.41,3217850.0,,,
1,2020-03-19,14.57,14.7,14.0,14.55,3422394.0,,,
2,2020-03-20,14.77,14.9,14.42,14.8,2265586.0,,,
3,2020-03-23,14.49,14.54,14.01,14.1,2107449.0,,,
4,2020-03-24,14.49,14.53,14.01,14.49,1987174.0,,,
5,2020-03-25,14.81,14.84,14.5,14.73,2544434.0,,,
6,2020-03-26,14.64,14.74,14.51,14.52,1524360.0,,,
7,2020-03-27,14.64,14.76,14.31,14.33,1634853.0,,,
8,2020-03-30,14.11,14.31,13.69,14.08,2387611.0,,,
9,2020-03-31,14.21,14.27,13.87,13.92,1319109.0,14.393,,
10,2020-04-01,13.93,14.04,13.54,13.6,3083796.0,14.312000000000001,,
11,2020-04-02,13.49,13.97,13.46,13.96,1988010.0,14.253,,
12,2020-04-03,13.96,14.06,13.66,13.7,1456801.0,14.142999999999997,,
13,2020-04-07,13.94,14.7,13.94,14.54,3674212.0,14.186999999999998,,
14,2020-04-08,14.52,14.94,14.41,14.84,3052255.0,14.221999999999998,,
15,2020-04-09,14.92,15.19,14.74,14.81,2830145.0,14.229999999999999,,
16,2020-04-10,14.78,14.83,14.39,14.46,2653089.0,14.223999999999998,,
17,2020-04-13,14.48,14.48,14.01,14.13,1613517.0,14.203999999999997,,
18,2020-04-14,14.25,14.3,14.09,14.28,1707777.0,14.223999999999995,,
19,2020-04-15,14.29,14.39,14.14,14.17,1618889.0,14.248999999999995,,
20,2020-04-16,14.01,14.2,13.9,14.08,2318930.0,14.296999999999997,,
21,2020-04-17,14.14,14.26,13.91,13.94,2391604.0,14.294999999999996,,
22,2020-04-20,13.82,14.25,13.81,14.13,2082032.0,14.337999999999997,,
23,2020-04-21,14.18,14.22,13.92,14.07,2057629.0,14.290999999999997,,
24,2020-04-22,14.0,14.14,13.88,14.12,1708114.0,14.218999999999998,,
25,2020-04-23,14.1,14.53,14.05,14.33,3637479.0,14.170999999999998,,
26,2020-04-24,14.29,14.31,13.91,14.09,2066467.0,14.133999999999997,,
27,2020-04-27,14.1,14.3,13.81,13.83,1906174.0,14.104,,
28,2020-04-28,13.8,13.8,12.97,13.26,2889512.0,14.001999999999999,,
29,2020-04-29,13.17,13.49,13.11,13.34,1249859.0,13.919,,
30,2020-04-30,13.34,13.87,13.34,13.79,2570052.0,13.889999999999997,,
31,2020-05-06,13.65,14.52,13.62,14.43,3312606.0,13.938999999999998,,
32,2020-05-07,14.57,14.57,14.29,14.31,2321308.0,13.956999999999999,,
33,2020-05-08,14.48,14.65,14.31,14.52,2078892.0,14.002,,
34,2020-05-11,14.44,14.81,14.28,14.39,1629866.0,14.029000000000002,,
35,2020-05-12,14.32,14.42,14.03,14.19,2502121.0,14.015,,
36,2020-05-13,14.24,14.45,14.1,14.4,1750632.0,14.046000000000001,,
37,2020-05-14,14.29,14.57,14.17,14.45,1878717.0,14.107999999999999,,
38,2020-05-15,14.47,14.64,14.32,14.36,1239363.0,14.218,,
39,2020-05-18,14.29,14.98,14.29,14.6,3307518.0,14.344,,
40,2020-05-19,14.65,14.73,14.44,14.72,1995570.0,14.437000000000001,,
41,2020-05-20,14.53,14.83,14.37,14.48,1749532.0,14.441999999999998,,
42,2020-05-21,14.35,14.44,13.93,14.17,2263574.0,14.427999999999997,,
43,2020-05-22,14.04,14.22,13.7,13.81,1400805.0,14.356999999999996,,
44,2020-05-25,13.81,13.92,13.34,13.39,1895026.0,14.257,,
45,2020-05-26,13.52,13.74,13.47,13.63,1531549.0,14.200999999999999,,
46,2020-05-27,13.63,13.84,13.51,13.71,1540307.0,14.132,,
47,2020-05-28,13.63,13.81,13.56,13.78,1113497.0,14.065000000000001,,
48,2020-05-29,13.78,13.88,13.57,13.78,1137098.0,14.007,,
