,date,open,high,low,close,volume,120,180,240
0,2018-11-13,22.29,22.35,21.74,22.19,1067989.0,,,
1,2018-11-14,22.19,22.47,21.91,22.15,892749.0,,,
2,2018-11-15,22.15,22.46,21.91,22.28,848130.0,,,
3,2018-11-16,22.27,22.45,22.19,22.38,1154561.0,,,
4,2018-11-19,22.38,22.47,21.95,22.09,1012456.0,,,
5,2018-11-20,21.92,22.3,21.49,21.49,911581.0,,,
6,2018-11-21,21.42,21.77,20.44,20.78,2012523.0,,,
7,2018-11-22,20.78,21.12,20.62,20.92,807408.0,,,
8,2018-11-23,20.92,21.28,20.45,20.45,844133.0,,,
9,2018-11-26,20.61,20.71,20.13,20.21,746765.0,,,
10,2018-11-27,20.26,20.6,20.15,20.36,481375.0,,,
11,2018-11-28,20.44,20.55,19.95,20.36,772827.0,,,
12,2018-11-29,20.36,20.71,19.18,19.31,1947349.0,,,
13,2018-11-30,19.37,19.89,19.27,19.74,1385621.0,,,
14,2018-12-03,20.39,20.96,20.17,20.73,1372867.0,,,
15,2018-12-04,20.87,21.33,20.49,21.24,1234650.0,,,
16,2018-12-05,21.24,21.41,20.81,21.09,776839.0,,,
17,2018-12-06,21.32,21.42,20.89,21.07,577130.0,,,
18,2018-12-07,21.07,21.26,20.68,20.76,506620.0,,,
19,2018-12-10,20.75,21.05,20.54,20.95,440438.0,,,
20,2018-12-11,20.9,20.99,20.64,20.9,358765.0,,,
21,2018-12-12,20.98,21.19,20.69,21.14,397150.0,,,
22,2018-12-13,21.14,21.16,20.71,20.8,783860.0,,,
23,2018-12-14,20.84,20.95,20.32,20.61,530705.0,,,
24,2018-12-17,20.59,20.59,19.76,19.8,793725.0,,,
25,2018-12-18,20.2,20.8,19.67,20.61,1608115.0,,,
26,2018-12-19,20.39,20.39,19.67,19.83,1023850.0,,,
27,2018-12-20,19.83,20.17,19.65,20.05,743772.0,,,
28,2018-12-21,20.25,20.26,19.78,19.92,554640.0,,,
29,2018-12-24,19.92,20.29,19.66,20.04,358640.0,,,
30,2018-12-25,20.04,20.32,19.54,20.17,772963.0,,,
31,2018-12-26,20.13,20.37,19.91,19.93,669130.0,,,
32,2018-12-27,20.24,20.24,19.57,19.59,537136.0,,,
33,2018-12-28,19.66,19.86,19.47,19.6,626350.0,,,
34,2019-01-02,20.09,20.15,18.74,19.0,1091857.0,,,
35,2019-01-03,19.01,19.12,18.25,18.36,1253775.0,,,
36,2019-01-04,18.17,19.15,18.1,18.9,1239168.0,,,
37,2019-01-07,18.87,19.36,18.87,19.08,1121075.0,,,
38,2019-01-08,19.11,19.42,18.69,19.37,1306115.0,,,
39,2019-01-09,19.14,19.63,19.01,19.01,1223147.0,,,
40,2019-01-10,19.01,19.24,18.65,18.81,948043.0,,,
41,2019-01-11,18.82,19.35,18.72,19.27,932443.0,,,
42,2019-01-14,19.03,19.25,18.26,18.46,1608676.0,,,
43,2019-01-15,18.49,18.98,18.4,18.93,1683285.0,,,
44,2019-01-16,18.98,19.16,18.86,19.0,836699.0,,,
45,2019-01-17,19.0,19.14,18.3,18.49,1438970.0,,,
46,2019-01-18,18.48,18.81,18.36,18.59,1549625.0,,,
47,2019-01-21,18.54,18.92,18.41,18.56,1700410.0,,,
48,2019-01-22,18.56,18.63,18.32,18.49,770415.0,,,
49,2019-01-23,18.32,18.45,18.21,18.4,1092460.0,,,
50,2019-01-24,18.35,18.35,17.47,18.0,3272663.0,,,
51,2019-01-25,17.9,18.0,17.26,17.45,2498877.0,,,
52,2019-01-28,17.42,18.31,17.28,18.12,2638472.0,,,
53,2019-01-29,18.11,18.11,17.16,17.53,1853255.0,,,
54,2019-01-30,17.44,17.5,17.04,17.07,950971.0,,,
55,2019-01-31,17.29,17.4,17.03,17.13,1069175.0,,,
56,2019-02-01,17.13,17.72,17.09,17.66,1350101.0,,,
57,2019-02-11,17.71,18.35,17.64,18.2,1374261.0,,,
58,2019-02-12,18.21,18.94,18.04,18.85,1686989.0,,,
59,2019-02-13,18.87,19.3,18.87,19.17,1538557.0,,,
60,2019-02-14,19.24,19.59,19.02,19.39,1287337.0,,,
61,2019-02-15,18.88,19.66,18.88,19.09,874058.0,,,
62,2019-02-18,19.33,19.95,19.33,19.84,1385914.0,,,
63,2019-02-19,20.01,20.05,19.51,19.71,1024068.0,,,
64,2019-02-20,19.56,19.93,19.49,19.64,1036516.0,,,
65,2019-02-21,19.6,20.3,19.37,19.81,1631952.0,,,
66,2019-02-22,19.68,20.24,19.68,20.16,1109700.0,,,
67,2019-02-25,20.19,21.4,20.19,20.87,1817964.0,,,
68,2019-02-26,20.89,21.16,20.44,20.64,1886224.0,,,
69,2019-02-27,20.64,20.88,19.85,19.86,2757011.0,,,
70,2019-02-28,19.91,21.03,19.91,20.48,2283663.0,,,
71,2019-03-01,20.83,20.83,19.77,20.0,2170410.0,,,
72,2019-03-04,20.14,21.07,20.02,20.51,2797011.0,,,
73,2019-03-05,20.83,21.2,20.45,21.2,1973276.0,,,
74,2019-03-06,21.16,21.38,20.7,21.06,2049340.0,,,
75,2019-03-07,21.02,21.42,20.76,21.11,2380572.0,,,
76,2019-03-08,21.01,21.45,20.45,21.42,3577239.0,,,
77,2019-03-11,21.55,22.24,21.07,21.43,4358540.0,,,
78,2019-03-12,21.6,22.08,21.3,21.78,3416850.0,,,
79,2019-03-13,21.85,21.9,20.83,20.98,2346281.0,,,
80,2019-03-14,20.91,21.2,20.18,20.3,1620329.0,,,
81,2019-03-15,20.32,21.23,20.32,21.21,2546920.0,,,
82,2019-03-18,21.31,21.39,20.73,21.12,2031776.0,,,
83,2019-03-19,21.11,21.4,20.89,21.05,1489498.0,,,
84,2019-03-20,21.17,21.21,20.49,20.78,1776664.0,,,
85,2019-03-21,20.69,21.19,20.69,20.86,1800456.0,,,
86,2019-03-22,20.92,21.44,20.65,21.4,2624781.0,,,
87,2019-03-25,21.26,21.37,20.84,20.91,1830318.0,,,
88,2019-03-26,21.14,21.14,20.05,20.23,2284278.0,,,
89,2019-03-27,20.38,20.39,19.76,19.97,1587281.0,,,
90,2019-03-28,19.94,20.1,19.68,19.76,1549648.0,,,
91,2019-03-29,19.84,20.32,19.53,20.25,1523574.0,,,
92,2019-04-01,20.15,20.74,20.15,20.68,4442328.0,,,
93,2019-04-02,20.65,20.97,20.35,20.93,3989726.0,,,
94,2019-04-03,20.93,21.12,20.68,21.03,2969464.0,,,
95,2019-04-04,21.03,21.11,20.8,21.01,2407265.0,,,
96,2019-04-08,20.98,21.13,20.17,20.43,3220360.0,,,
97,2019-04-09,20.47,20.66,20.25,20.59,1794137.0,,,
98,2019-04-10,20.63,20.88,20.13,20.81,2226416.0,,,
99,2019-04-11,20.81,20.81,20.18,20.25,2012632.0,,,
100,2019-04-12,20.3,20.32,19.85,19.96,1471124.0,,,
101,2019-04-15,20.08,20.49,19.87,19.95,1669845.0,,,
102,2019-04-16,19.88,20.29,19.43,20.19,2237505.0,,,
103,2019-04-17,20.09,20.62,20.0,20.37,2551785.0,,,
104,2019-04-18,20.18,20.5,20.14,20.25,1392402.0,,,
105,2019-04-19,20.25,20.31,19.81,20.2,1117303.0,,,
106,2019-04-22,20.27,20.27,19.64,19.83,1460616.0,,,
107,2019-04-23,19.91,19.91,19.35,19.38,1904387.0,,,
108,2019-04-24,19.48,19.57,19.18,19.57,1273480.0,,,
109,2019-04-25,19.49,19.61,18.77,18.77,1427160.0,,,
110,2019-04-26,18.75,18.88,18.4,18.4,1499461.0,,,
111,2019-04-29,18.57,18.57,18.2,18.32,1476276.0,,,
112,2019-04-30,18.37,18.67,18.33,18.45,925572.0,,,
113,2019-05-06,18.44,18.44,17.33,17.43,2322172.0,,,
114,2019-05-07,17.57,17.84,17.43,17.65,945696.0,,,
115,2019-05-08,17.5,18.0,17.1,17.75,1093380.0,,,
116,2019-05-09,17.52,17.9,17.52,17.59,1151710.0,,,
117,2019-05-10,17.6,18.06,17.29,17.95,2032206.0,,,
118,2019-05-13,17.62,17.85,17.56,17.63,916668.0,,,
119,2019-05-14,17.51,17.67,17.47,17.49,686730.0,19.85933333333333,,
120,2019-05-15,17.58,17.88,17.56,17.76,1094597.0,19.822416666666662,,
121,2019-05-16,17.76,18.11,17.7,18.08,1506855.0,19.788499999999996,,
122,2019-05-17,18.1,18.15,17.4,17.54,1343539.0,19.74899999999999,,
