,date,open,high,low,close,volume,120,180,240
0,2020-07-22,102.0,163.7,101.0,132.35,18610079.0,,,
1,2020-07-23,129.0,151.0,129.0,143.35,10294940.0,,,
2,2020-07-24,137.0,147.58,121.01,127.0,8107492.0,,,
3,2020-07-27,127.0,129.91,115.69,129.8,6998298.0,,,
4,2020-07-28,128.0,133.5,120.1,123.99,5498300.0,,,
5,2020-07-29,120.88,129.75,117.8,128.1,5279515.0,,,
6,2020-07-30,128.0,153.72,121.88,153.72,9231541.0,,,
7,2020-07-31,150.5,156.5,146.0,156.0,6847060.0,,,
8,2020-08-03,156.88,163.5,148.58,155.0,6540933.0,,,
9,2020-08-04,154.33,156.0,139.57,141.57,5390475.0,,,
10,2020-08-05,149.6,165.0,142.0,152.68,7576988.0,,,
11,2020-08-06,147.0,151.99,144.0,146.8,4104167.0,,,
12,2020-08-07,145.0,151.0,137.77,138.5,4335290.0,,,
13,2020-08-10,135.5,137.6,127.05,133.18,3270617.0,,,
14,2020-08-11,133.55,138.6,130.9,133.34,2769934.0,,,
15,2020-08-12,133.9,139.68,133.0,137.57,2909975.0,,,
16,2020-08-13,135.7,142.9,134.5,136.59,2711292.0,,,
17,2020-08-14,138.75,138.75,130.01,136.0,1532555.0,,,
18,2020-08-17,136.0,138.49,131.5,135.8,1814820.0,,,
19,2020-08-18,133.1,136.98,129.01,130.56,2703320.0,,,
20,2020-08-19,129.7,129.76,119.96,119.96,2409147.0,,,
21,2020-08-20,117.87,122.8,116.66,119.6,1421819.0,,,
22,2020-08-21,120.8,121.0,111.12,112.76,2030485.0,,,
23,2020-08-24,111.0,112.96,106.08,109.42,1806007.0,,,
24,2020-08-25,109.86,111.9,105.0,106.31,1519065.0,,,
25,2020-08-26,106.94,108.81,101.0,101.39,1672883.0,,,
26,2020-08-27,100.5,121.67,99.8,114.0,3856838.0,,,
27,2020-08-28,111.5,112.0,102.62,107.91,3339752.0,,,
28,2020-08-31,109.0,118.4,108.0,115.35,3566221.0,,,
29,2020-09-01,113.66,117.8,112.7,114.2,1567004.0,,,
30,2020-09-02,115.41,116.98,107.28,110.06,1939430.0,,,
31,2020-09-03,107.12,114.3,107.09,113.33,1581329.0,,,
32,2020-09-04,111.11,118.8,110.11,114.7,2506185.0,,,
33,2020-09-07,113.0,116.0,105.01,106.01,2035226.0,,,
34,2020-09-08,105.45,107.7,102.0,104.79,1203755.0,,,
35,2020-09-09,103.0,113.3,100.09,106.0,1790807.0,,,
36,2020-09-10,107.0,111.11,102.3,103.48,1477377.0,,,
37,2020-09-11,103.0,109.51,100.01,106.67,1462997.0,,,
38,2020-09-14,109.0,111.5,106.45,107.9,1732316.0,,,
39,2020-09-15,107.35,113.83,104.11,109.45,1996634.0,,,
40,2020-09-16,108.01,110.78,107.59,109.99,1323427.0,,,
41,2020-09-17,110.01,118.0,108.6,115.96,2798286.0,,,
42,2020-09-18,116.1,117.3,113.8,115.99,1743065.0,,,
43,2020-09-21,114.51,116.0,110.5,110.7,1541361.0,,,
44,2020-09-22,110.0,111.99,107.85,107.88,1186980.0,,,
45,2020-09-23,108.53,112.48,108.53,110.93,1222032.0,,,
46,2020-09-24,109.0,110.25,106.2,107.4,855574.0,,,
47,2020-09-25,108.78,108.95,104.38,104.99,868238.0,,,
48,2020-09-28,104.18,106.0,102.21,103.1,805161.0,,,
49,2020-09-29,104.8,106.5,103.5,103.58,773552.0,,,
50,2020-09-30,104.75,104.9,101.52,101.71,753869.0,,,
51,2020-10-09,104.0,112.57,103.5,110.5,2060927.0,,,
52,2020-10-12,111.56,116.6,111.56,115.34,2169757.0,,,
53,2020-10-13,113.99,115.5,113.1,113.2,1088304.0,,,
54,2020-10-14,113.37,114.62,108.8,109.6,1225356.0,,,
55,2020-10-15,108.99,110.62,102.28,103.6,2785230.0,,,
56,2020-10-16,104.78,105.47,99.8,101.66,2642589.0,,,
57,2020-10-19,102.0,104.4,101.13,103.99,1660839.0,,,
58,2020-10-20,102.88,103.52,101.11,103.52,963189.0,,,
59,2020-10-21,104.39,104.4,100.0,100.69,1074918.0,,,
60,2020-10-22,100.69,101.0,97.26,98.1,1202515.0,,,
61,2020-10-23,98.9,99.02,92.3,93.64,1620321.0,,,
62,2020-10-26,94.7,101.89,94.68,97.76,1645113.0,,,
63,2020-10-27,97.7,99.8,96.25,99.1,818198.0,,,
64,2020-10-28,100.3,100.3,97.6,98.8,790702.0,,,
65,2020-10-29,97.15,101.8,97.05,101.1,1432320.0,,,
66,2020-10-30,101.21,106.68,100.01,101.3,1915934.0,,,
67,2020-11-02,103.0,106.68,101.42,106.2,1923411.0,,,
68,2020-11-03,106.35,113.4,106.35,111.88,3007657.0,,,
69,2020-11-04,110.48,112.0,109.0,111.0,1409175.0,,,
70,2020-11-05,114.0,115.0,109.3,111.8,1709667.0,,,
71,2020-11-06,111.59,112.0,108.02,109.9,1279938.0,,,
72,2020-11-09,116.0,131.88,115.0,131.88,4996583.0,,,
73,2020-11-10,134.4,134.4,127.0,132.97,4396177.0,,,
74,2020-11-11,128.72,131.79,123.8,124.6,2404001.0,,,
75,2020-11-12,126.8,128.0,118.19,119.95,2534309.0,,,
