,date,open,high,low,close,volume,10,60,250
0,2020-03-04,11.69,12.26,11.66,12.26,3241676.0,,,
1,2020-03-05,12.25,12.55,12.18,12.41,3185884.0,,,
2,2020-03-06,12.32,12.52,12.22,12.41,1375491.0,,,
3,2020-03-09,12.22,12.35,11.89,11.89,1568340.0,,,
4,2020-03-10,11.87,12.12,11.53,12.12,1969593.0,,,
5,2020-03-11,12.08,12.35,11.98,11.98,2287200.0,,,
6,2020-03-12,11.95,12.12,11.56,11.62,2649900.0,,,
7,2020-03-13,11.2,11.84,11.08,11.63,1891483.0,,,
8,2020-03-16,11.83,12.47,11.5,11.52,6014550.0,,,
9,2020-03-17,11.37,11.71,10.59,11.12,2481182.0,11.895999999999999,,
10,2020-03-18,11.18,11.97,11.15,11.5,2827700.0,11.819999999999997,,
11,2020-03-19,11.47,11.68,10.99,11.5,1694100.0,11.729,,
12,2020-03-20,11.52,11.64,11.32,11.43,1095764.0,11.631,,
13,2020-03-23,11.15,11.29,10.85,10.97,1157100.0,11.539,,
14,2020-03-24,11.05,11.25,10.8,11.07,2362800.0,11.434000000000001,,
15,2020-03-25,11.2,11.42,11.13,11.3,1528400.0,11.366,,
16,2020-03-26,11.3,11.37,11.1,11.14,910900.0,11.318,,
17,2020-03-27,11.34,11.34,11.07,11.12,1064803.0,11.267,,
18,2020-03-30,11.03,11.12,10.65,10.76,1093468.0,11.191,,
19,2020-03-31,10.85,10.91,10.64,10.76,840400.0,11.155000000000001,,
20,2020-04-01,10.67,10.9,10.61,10.83,1488772.0,11.088000000000001,,
21,2020-04-02,10.82,11.03,10.73,11.0,666257.0,11.038,,
22,2020-04-03,11.0,11.28,10.87,11.28,1015152.0,11.023000000000001,,
23,2020-04-07,11.33,12.0,11.33,11.84,3998258.0,11.110000000000003,,
24,2020-04-08,11.81,12.31,11.74,12.27,2533174.0,11.23,,
25,2020-04-09,12.33,12.81,12.18,12.71,2862062.0,11.371000000000002,,
26,2020-04-10,12.63,12.8,11.97,12.3,2929515.0,11.487000000000002,,
27,2020-04-13,12.31,12.6,11.94,11.96,1548400.0,11.571000000000002,,
28,2020-04-14,11.96,12.21,11.9,12.05,1574926.0,11.7,,
29,2020-04-15,11.93,12.13,11.89,11.91,1100400.0,11.815,,
30,2020-04-16,11.9,12.04,11.77,11.92,1076626.0,11.924,,
31,2020-04-17,12.04,12.19,11.72,11.77,1105151.0,12.001,,
32,2020-04-20,11.77,11.84,11.6,11.71,844000.0,12.044,,
33,2020-04-21,11.69,11.76,11.53,11.71,919325.0,12.031,,
34,2020-04-22,11.79,12.26,11.5,12.08,1811932.0,12.012000000000002,,
35,2020-04-23,11.97,12.27,11.83,11.86,1926600.0,11.927000000000001,,
36,2020-04-24,11.83,12.09,11.57,11.76,867800.0,11.873000000000001,,
37,2020-04-27,11.67,11.95,11.58,11.87,1191748.0,11.863999999999999,,
38,2020-04-28,11.88,12.14,11.28,11.66,2159901.0,11.825,,
39,2020-04-29,11.62,11.62,11.2,11.35,1088200.0,11.769,,
40,2020-04-30,11.97,12.22,11.25,11.57,1940145.0,11.733999999999998,,
41,2020-05-06,11.37,11.77,11.35,11.7,1260110.0,11.727,,
42,2020-05-07,11.71,12.07,11.62,12.03,2550700.0,11.758999999999997,,
43,2020-05-08,11.88,12.57,11.81,12.48,2463144.0,11.835999999999995,,
44,2020-05-11,12.55,12.9,12.33,12.63,2552790.0,11.890999999999995,,
45,2020-05-12,12.65,12.95,12.5,12.63,1702200.0,11.967999999999996,,
46,2020-05-13,12.53,12.75,12.47,12.59,1452300.0,12.050999999999995,,
47,2020-05-14,12.62,12.62,12.37,12.37,671300.0,12.100999999999994,,
48,2020-05-15,12.29,12.47,12.13,12.13,922900.0,12.147999999999993,,
49,2020-05-18,12.12,12.21,11.92,12.15,809700.0,12.227999999999994,,
50,2020-05-19,12.07,12.84,12.07,12.39,1165000.0,12.309999999999997,,
51,2020-05-20,12.35,13.35,12.32,13.21,4246590.0,12.460999999999997,,
52,2020-05-21,13.23,13.8,13.23,13.57,3903935.0,12.614999999999998,,
53,2020-05-22,13.58,14.0,13.47,13.76,3665200.0,12.742999999999997,,
54,2020-06-08,15.14,15.14,15.14,15.14,133490.0,12.993999999999996,,
55,2020-06-09,16.65,16.65,16.65,16.65,76000.0,13.395999999999997,,
56,2020-06-10,18.32,18.32,18.32,18.32,226503.0,13.968999999999998,,
57,2020-06-11,20.15,20.15,20.15,20.15,163900.0,14.746999999999996,,
58,2020-06-12,22.17,22.17,22.17,22.17,17929323.0,15.751,,
59,2020-06-15,23.17,24.38,21.04,21.04,47228155.0,16.639999999999997,12.583833333333331,
60,2020-06-16,21.44,21.74,19.45,20.79,33829536.0,17.479999999999997,12.725999999999997,
61,2020-06-17,20.74,21.37,20.01,20.14,19156437.0,18.172999999999995,12.85483333333333,
62,2020-06-18,19.73,20.06,18.58,18.75,18568152.0,18.690999999999995,12.960499999999998,
63,2020-06-19,18.8,18.87,18.36,18.48,10551128.0,19.162999999999993,13.070333333333332,
64,2020-06-22,18.45,18.79,18.36,18.57,7383403.0,19.505999999999993,13.177833333333332,
65,2020-06-23,18.58,18.75,17.85,18.0,10102800.0,19.640999999999995,13.278166666666666,
66,2020-06-24,17.95,18.6,17.6,18.39,8719402.0,19.647999999999996,13.390999999999998,
67,2020-06-29,18.38,18.92,17.97,18.9,7421137.0,19.522999999999996,13.512166666666666,
68,2020-06-30,18.83,19.14,18.68,18.95,4806573.0,19.200999999999993,13.636,
69,2020-07-01,18.95,19.93,18.75,19.42,7401002.0,19.038999999999994,13.774333333333333,
70,2020-07-02,19.34,19.91,19.17,19.9,6437019.0,18.949999999999996,13.914333333333332,
71,2020-07-03,19.56,20.2,19.55,19.73,4926101.0,18.909,14.051499999999999,
72,2020-07-06,19.62,20.09,18.95,19.73,7038747.0,19.006999999999998,14.189833333333333,
73,2020-07-07,19.86,19.86,19.17,19.46,6544235.0,19.104999999999997,14.331333333333333,
74,2020-07-08,19.59,20.75,19.34,20.5,6899237.0,19.298,14.488499999999998,
75,2020-07-09,20.38,21.52,20.2,21.4,6772837.0,19.637999999999998,14.656833333333333,
76,2020-07-10,21.4,22.62,21.22,22.08,6153348.0,20.006999999999998,14.839166666666667,
77,2020-07-13,21.73,22.1,20.95,21.92,4997768.0,20.309,15.019166666666667,
78,2020-07-14,22.25,22.25,21.03,21.7,5765986.0,20.584,15.201500000000001,
79,2020-07-15,21.79,21.88,20.78,21.14,5267169.0,20.756,15.374500000000001,
80,2020-07-16,21.22,22.26,19.72,20.02,6136779.0,20.768,15.527666666666667,
81,2020-07-17,20.69,20.69,19.51,19.84,4474116.0,20.779000000000003,15.675,
82,2020-07-20,20.2,21.77,20.2,21.0,4803112.0,20.906000000000002,15.837,
83,2020-07-21,21.33,21.36,20.67,20.74,3634019.0,21.034000000000002,15.985333333333333,
84,2020-07-22,20.75,20.99,20.52,20.86,2500688.0,21.070000000000004,16.1285,
85,2020-07-23,20.85,20.9,19.83,20.5,4214475.0,20.980000000000004,16.258333333333333,
86,2020-07-24,20.5,20.68,19.45,19.6,3025751.0,20.732000000000006,16.380000000000003,
87,2020-07-27,19.84,19.94,19.33,19.6,1277715.0,20.500000000000007,16.507333333333335,
88,2020-07-28,20.3,20.3,19.23,19.38,2034421.0,20.268000000000008,16.6295,
89,2020-07-29,19.31,20.06,19.1,19.99,2937872.0,20.15300000000001,16.764166666666668,
90,2020-07-30,20.01,20.37,19.82,20.2,1612866.0,20.171000000000006,16.90216666666667,
91,2020-07-31,20.3,21.89,20.21,21.88,5496806.0,20.375000000000007,17.07066666666667,
92,2020-08-03,21.78,21.88,21.11,21.7,4940600.0,20.445000000000004,17.23716666666667,
93,2020-08-04,21.6,21.85,20.91,21.5,3661746.0,20.521000000000004,17.400333333333336,
94,2020-08-05,21.86,22.53,21.2,21.9,4048710.0,20.625000000000007,17.564000000000007,
95,2020-08-06,22.19,22.56,21.37,22.53,4175712.0,20.828000000000007,17.74183333333334,
96,2020-08-07,22.5,22.9,21.81,22.39,3766108.0,21.107000000000006,17.919000000000008,
97,2020-08-10,22.75,22.75,21.51,21.65,2996401.0,21.31200000000001,18.08200000000001,
98,2020-08-11,21.8,21.85,21.29,21.4,2721698.0,21.51400000000001,18.244333333333348,
99,2020-08-12,21.4,21.57,20.33,21.47,3784977.0,21.66200000000001,18.413000000000014,
100,2020-08-13,21.68,22.07,21.18,21.95,2405301.0,21.83700000000001,18.586000000000016,
101,2020-08-14,21.95,22.15,21.5,21.53,1906300.0,21.80200000000001,18.74983333333335,
102,2020-08-17,21.47,22.2,21.32,22.2,2748863.0,21.85200000000001,18.91933333333335,
103,2020-08-18,22.22,23.8,21.68,21.86,3632192.0,21.888000000000012,19.07566666666668,
104,2020-08-19,22.1,22.1,21.12,21.26,1684098.0,21.82400000000001,19.219500000000014,
105,2020-08-20,21.24,21.25,20.71,20.76,1612962.0,21.64700000000001,19.35500000000001,
106,2020-08-21,20.87,21.53,20.45,20.86,1485316.0,21.49400000000001,19.492833333333344,
107,2020-08-24,20.86,21.5,20.56,21.4,2175666.0,21.469000000000012,19.64333333333335,
108,2020-08-25,21.5,21.77,21.27,21.36,1272420.0,21.46500000000001,19.797166666666676,
109,2020-08-26,21.35,21.48,20.83,21.18,1397940.0,21.436000000000014,19.947666666666677,
110,2020-08-27,21.1,21.5,20.96,21.48,1528100.0,21.389000000000014,20.099166666666676,
111,2020-08-28,21.52,22.59,21.35,22.04,3189343.0,21.440000000000012,20.24633333333334,
112,2020-08-31,22.02,22.32,21.72,21.94,2401632.0,21.414000000000012,20.38583333333334,
113,2020-09-01,21.78,22.14,21.65,21.96,1303300.0,21.424000000000014,20.52250000000001,
114,2020-09-02,21.95,22.8,21.83,22.2,2530062.0,21.51800000000001,20.640166666666676,
115,2020-09-03,22.13,22.37,21.82,22.02,1768300.0,21.644000000000013,20.729666666666674,
116,2020-09-04,21.6,21.87,21.27,21.39,2910000.0,21.697000000000013,20.780833333333344,
117,2020-09-07,21.66,21.66,20.71,20.96,2667501.0,21.653000000000013,20.79433333333334,
118,2020-09-08,21.19,21.19,20.6,20.79,1461100.0,21.596000000000014,20.77133333333334,
119,2020-09-09,20.8,20.8,20.0,20.11,2396813.0,21.489000000000015,20.75583333333334,
120,2020-09-10,20.3,20.38,19.21,19.27,2313020.0,21.26800000000002,20.730500000000006,
121,2020-09-11,19.6,20.34,19.02,19.98,4239330.0,21.06200000000002,20.72783333333334,
122,2020-09-14,20.44,20.44,19.48,19.58,1418400.0,20.826000000000015,20.74166666666667,
123,2020-09-15,19.75,20.11,19.29,19.74,1703101.0,20.604000000000017,20.76266666666667,
124,2020-09-16,19.7,20.1,19.16,19.28,1205512.0,20.31200000000002,20.774500000000003,
125,2020-09-17,19.25,19.34,19.01,19.22,700136.0,20.032000000000018,20.794833333333337,
126,2020-09-18,19.11,19.48,19.0,19.35,1221668.0,19.828000000000014,20.810833333333335,
127,2020-09-21,19.45,19.45,18.86,19.0,1253400.0,19.632000000000012,20.8125,
128,2020-09-22,19.04,19.04,18.64,18.87,1116100.0,19.440000000000015,20.811166666666665,
129,2020-09-23,18.85,19.1,18.7,18.87,928419.0,19.316000000000013,20.801999999999996,
130,2020-09-24,18.87,18.88,18.2,18.4,1309100.0,19.229000000000013,20.776999999999994,
131,2020-09-25,18.72,18.72,18.13,18.4,1059300.0,19.071000000000016,20.75483333333333,
132,2020-09-28,18.39,18.8,17.51,18.42,1286946.0,18.95500000000002,20.732999999999997,
133,2020-09-29,18.6,18.75,18.4,18.5,820401.0,18.831000000000017,20.716999999999995,
134,2020-09-30,18.74,19.15,17.58,17.81,2646400.0,18.68400000000002,20.672166666666662,
135,2020-10-09,18.2,19.08,17.71,18.72,2173000.0,18.634000000000018,20.627499999999994,
136,2020-10-12,18.91,19.1,17.93,18.09,3474701.0,18.508000000000017,20.560999999999993,
137,2020-10-13,18.06,18.18,17.78,17.93,1435300.0,18.401000000000018,20.494499999999995,
138,2020-10-14,17.88,17.97,17.53,17.7,1889300.0,18.284000000000017,20.42783333333333,
139,2020-10-15,17.72,17.77,16.18,16.78,5705500.0,18.075000000000017,20.35516666666666,
140,2020-10-16,16.82,17.86,16.55,16.98,4729791.0,17.933000000000014,20.304499999999994,
141,2020-10-19,17.23,17.24,16.38,16.38,2091803.0,17.731000000000016,20.246833333333328,
142,2020-10-20,16.38,16.56,15.52,16.42,2341700.0,17.531000000000013,20.170499999999997,
143,2020-10-21,16.53,16.53,15.79,15.96,2519960.0,17.27700000000001,20.09083333333333,
144,2020-10-22,16.0,16.07,15.47,15.87,1460620.0,17.083000000000013,20.007666666666662,
145,2020-10-23,16.06,16.67,15.7,15.95,2542649.0,16.80600000000001,19.93183333333333,
146,2020-10-26,16.01,16.47,15.74,16.01,1996900.0,16.59800000000001,19.872,
147,2020-10-27,16.08,16.15,15.7,15.82,1215934.0,16.387000000000008,19.809,
148,2020-10-28,16.09,16.33,15.7,15.98,2020915.0,16.21500000000001,19.752333333333333,
149,2020-10-29,15.78,16.45,15.72,16.33,2046000.0,16.17000000000001,19.69133333333333,
150,2020-10-30,16.33,16.45,15.49,15.67,2012777.0,16.03900000000001,19.61583333333333,
151,2020-11-02,15.65,15.74,15.31,15.69,1682618.0,15.970000000000008,19.512666666666664,
152,2020-11-03,15.62,16.39,15.55,16.18,2344104.0,15.946000000000009,19.420666666666662,
153,2020-11-04,16.23,16.44,16.0,16.31,1797321.0,15.981000000000009,19.33416666666666,
154,2020-11-05,16.29,16.5,16.2,16.43,1771021.0,16.03700000000001,19.242999999999995,
155,2020-11-06,16.67,16.67,16.22,16.55,1834300.0,16.097000000000012,19.143333333333327,
156,2020-11-09,16.66,17.16,16.55,17.12,3914806.0,16.208000000000013,19.05549999999999,
157,2020-11-10,17.56,17.56,15.9,16.04,3844600.0,16.23000000000001,18.96199999999999,
158,2020-11-11,15.83,16.28,15.82,15.95,1368101.0,16.22700000000001,18.871166666666657,
159,2020-11-12,15.85,15.99,15.66,15.73,938904.0,16.167000000000012,18.775499999999987,
160,2020-11-13,15.79,15.99,15.33,15.84,1195771.0,16.184000000000015,18.67366666666665,
161,2020-11-16,15.93,16.28,15.41,16.22,1475388.0,16.237000000000016,18.585166666666655,
162,2020-11-17,16.18,16.59,16.0,16.25,2339180.0,16.244000000000014,18.485999999999986,
163,2020-11-18,16.43,16.79,16.11,16.25,1783800.0,16.238000000000014,18.392499999999988,
164,2020-11-19,16.16,16.37,16.0,16.21,1245400.0,16.216000000000015,18.308333333333323,
165,2020-11-20,16.15,16.46,16.04,16.3,806105.0,16.191000000000013,18.233999999999988,
166,2020-11-23,16.22,16.47,15.85,15.95,1341213.0,16.074000000000012,18.152166666666655,
167,2020-11-24,16.05,16.05,15.65,15.73,1033700.0,16.043000000000013,18.057666666666655,
168,2020-11-25,15.85,15.88,15.55,15.65,1071100.0,16.013000000000012,17.96249999999999,
169,2020-11-26,15.76,15.86,15.41,15.8,948221.0,16.020000000000017,17.872833333333325,
170,2020-11-27,15.7,16.0,15.2,16.0,1880600.0,16.036000000000016,17.78149999999999,
171,2020-11-30,15.86,16.18,15.84,16.0,907855.0,16.014000000000017,17.680833333333325,
172,2020-12-01,16.0,16.0,15.66,15.95,579600.0,15.984000000000014,17.580999999999992,
173,2020-12-02,15.97,16.32,15.5,16.29,2033500.0,15.988000000000014,17.48649999999999,
174,2020-12-03,16.11,16.32,16.09,16.14,879678.0,15.981000000000014,17.38549999999999,
175,2020-12-04,16.14,16.38,16.11,16.21,695100.0,15.972000000000014,17.288666666666657,
176,2020-12-07,16.21,16.9,16.11,16.6,1606300.0,16.037000000000013,17.20883333333332,
177,2020-12-08,16.48,16.78,16.41,16.55,801600.0,16.119000000000018,17.13533333333332,
178,2020-12-09,16.5,16.74,16.23,16.35,785000.0,16.189000000000014,17.06133333333332,
179,2020-12-10,16.3,16.59,16.27,16.39,763501.0,16.24800000000001,16.999333333333322,
180,2020-12-11,16.39,16.66,15.52,15.7,1226925.0,16.21800000000001,16.93983333333332,
181,2020-12-14,15.68,16.48,15.4,16.46,1833201.0,16.264000000000014,16.881166666666655,
182,2020-12-15,16.38,16.58,16.07,16.35,931300.0,16.304000000000013,16.827333333333318,
183,2020-12-16,16.28,16.99,15.8,16.21,2261767.0,16.296000000000014,16.76849999999998,
