,date,open,high,low,close,volume,10,60,250
0,2020-03-17,6.34,6.45,6.03,6.35,20608091.0,,,
1,2020-03-18,6.41,6.57,6.27,6.27,16040667.0,,,
2,2020-03-19,6.3,6.39,6.1,6.39,15738501.0,,,
3,2020-03-20,6.49,6.55,6.3,6.52,14921106.0,,,
4,2020-03-23,6.29,6.33,6.19,6.19,15033011.0,,,
5,2020-03-24,6.3,6.32,6.17,6.28,12094427.0,,,
6,2020-03-25,6.4,6.4,6.3,6.36,11283850.0,,,
7,2020-03-26,6.32,6.68,6.25,6.54,19758425.0,,,
8,2020-03-27,6.54,6.82,6.53,6.74,16281846.0,,,
9,2020-03-30,6.64,6.75,6.5,6.59,10983643.0,6.423,,
10,2020-03-31,6.67,6.77,6.61,6.69,9808763.0,6.457000000000001,,
11,2020-04-01,6.68,6.8,6.46,6.47,14209378.0,6.477000000000001,,
12,2020-04-02,6.39,6.39,6.15,6.2,27359849.0,6.458000000000001,,
13,2020-04-03,6.26,6.43,6.18,6.23,15263102.0,6.429000000000002,,
14,2020-04-07,6.31,6.37,6.23,6.36,12311121.0,6.446000000000002,,
15,2020-04-08,6.33,6.46,6.29,6.37,10057460.0,6.455000000000003,,
16,2020-04-09,6.4,6.69,6.36,6.69,16107269.0,6.488000000000002,,
17,2020-04-10,6.73,6.83,6.44,6.49,16512441.0,6.483000000000001,,
18,2020-04-13,6.35,6.39,6.17,6.34,13336716.0,6.443000000000002,,
19,2020-04-14,6.27,6.39,6.22,6.36,8052279.0,6.420000000000002,,
20,2020-04-15,6.34,6.47,6.27,6.3,7829450.0,6.381000000000002,,
21,2020-04-16,6.28,6.38,6.25,6.34,7728358.0,6.368000000000002,,
22,2020-04-17,6.37,6.43,6.32,6.34,10014000.0,6.382000000000002,,
23,2020-04-20,6.29,6.36,6.23,6.28,10758105.0,6.387000000000002,,
24,2020-04-21,6.25,6.34,6.22,6.32,9734584.0,6.383000000000003,,
25,2020-04-22,6.28,6.36,6.25,6.35,7872970.0,6.381000000000002,,
26,2020-04-23,6.35,6.35,6.03,6.03,20930616.0,6.315000000000002,,
27,2020-04-24,5.95,5.98,5.73,5.73,17302997.0,6.2390000000000025,,
28,2020-04-27,5.7,5.73,5.44,5.44,14957201.0,6.149000000000003,,
29,2020-04-28,5.5,5.54,5.18,5.5,12930548.0,6.063000000000002,,
30,2020-04-29,5.46,5.48,5.23,5.25,11446296.0,5.958000000000003,,
31,2020-04-30,5.29,5.47,5.24,5.45,8979134.0,5.869000000000002,,
32,2020-05-06,5.37,5.48,5.34,5.47,7204350.0,5.782000000000002,,
33,2020-05-07,5.43,5.46,5.24,5.3,10741078.0,5.684000000000002,,
34,2020-05-08,5.28,5.41,5.27,5.4,7238857.0,5.592000000000001,,
35,2020-05-11,5.4,5.67,5.4,5.67,13456300.0,5.524000000000002,,
36,2020-05-12,5.66,5.88,5.51,5.64,14887284.0,5.485000000000001,,
