,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.13,7.24,7.0,7.04,1196055.0,,,
1,2020-03-19,7.08,7.18,6.95,7.11,1160940.0,,,
2,2020-03-20,7.12,7.29,7.12,7.27,1833420.0,,,
3,2020-03-23,7.13,7.26,7.1,7.15,1150380.0,,,
4,2020-03-24,7.21,7.55,7.21,7.46,4093041.0,,,
5,2020-03-25,7.57,7.83,7.57,7.79,5578927.0,,,
6,2020-03-26,7.78,7.78,7.57,7.64,3418370.0,,,
7,2020-03-27,7.72,7.81,7.61,7.61,2724525.0,,,
8,2020-03-30,7.53,7.53,7.15,7.18,2992882.0,,,
9,2020-03-31,7.25,7.28,7.16,7.18,1122876.0,7.343000000000001,,
10,2020-04-01,7.23,7.23,7.01,7.13,1820194.0,7.351999999999999,,
11,2020-04-02,6.99,7.14,6.98,7.13,1522034.0,7.353999999999999,,
12,2020-04-03,7.13,7.27,7.06,7.15,1949180.0,7.3420000000000005,,
13,2020-04-07,7.24,7.51,7.19,7.47,4475569.0,7.374,,
14,2020-04-08,7.38,7.56,7.37,7.51,2658940.0,7.3790000000000004,,
15,2020-04-09,7.56,7.56,7.41,7.44,1698220.0,7.343999999999999,,
16,2020-04-10,7.43,7.47,7.19,7.26,1750348.0,7.306,,
17,2020-04-13,7.18,7.25,7.06,7.1,1408560.0,7.255,,
18,2020-04-14,7.14,7.23,7.1,7.2,1234684.0,7.257,,
19,2020-04-15,7.2,7.23,7.09,7.11,1365620.0,7.25,,
20,2020-04-16,7.07,7.13,7.02,7.11,1101003.0,7.248,,
21,2020-04-17,7.16,7.17,7.05,7.08,1010800.0,7.243,,
22,2020-04-20,7.12,7.12,6.99,7.01,1725720.0,7.229000000000001,,
23,2020-04-21,6.99,7.11,6.96,7.05,1246620.0,7.187,,
24,2020-04-22,7.03,7.15,6.97,7.11,1345900.0,7.147,,
25,2020-04-23,7.1,7.14,6.97,6.97,1463940.0,7.1,,
26,2020-04-24,6.96,6.99,6.78,6.81,1926640.0,7.055,,
27,2020-04-27,6.88,6.94,6.78,6.8,1564500.0,7.025,,
28,2020-04-28,6.84,6.84,6.51,6.55,2375373.0,6.959999999999999,,
29,2020-04-29,6.55,6.61,6.52,6.57,1086949.0,6.905999999999999,,
30,2020-04-30,6.57,6.7,6.57,6.69,1231786.0,6.863999999999999,,
31,2020-05-06,6.66,6.81,6.61,6.81,1115444.0,6.836999999999999,,
32,2020-05-07,6.8,6.84,6.74,6.78,1357309.0,6.813999999999998,,
33,2020-05-08,6.8,6.91,6.79,6.87,892366.0,6.795999999999999,,
34,2020-05-11,6.87,6.92,6.8,6.83,1238049.0,6.767999999999999,,
35,2020-05-12,6.81,6.89,6.75,6.88,1092776.0,6.758999999999999,,
36,2020-05-13,6.88,6.9,6.8,6.88,1066053.0,6.765999999999998,,
