,date,open,high,low,close,volume,10,60,250
0,2020-03-18,4.76,4.78,4.55,4.55,36765000.0,,,
1,2020-03-19,4.56,4.68,4.48,4.64,41514488.0,,,
2,2020-03-20,4.67,4.7,4.59,4.67,27000433.0,,,
3,2020-03-23,4.5,4.62,4.47,4.5,26120908.0,,,
4,2020-03-24,4.57,4.6,4.48,4.58,25746262.0,,,
5,2020-03-25,4.69,4.7,4.62,4.66,25485918.0,,,
6,2020-03-26,4.62,4.65,4.57,4.59,17329452.0,,,
7,2020-03-27,4.64,4.7,4.59,4.61,24685026.0,,,
8,2020-03-30,4.55,4.57,4.48,4.5,21970700.0,,,
9,2020-03-31,4.55,4.56,4.43,4.44,17574968.0,4.574,,
10,2020-04-01,4.43,4.5,4.38,4.39,18157036.0,4.558,,
11,2020-04-02,4.38,4.47,4.36,4.47,18921110.0,4.5409999999999995,,
12,2020-04-03,4.44,4.47,4.38,4.42,13912494.0,4.516,,
13,2020-04-07,4.5,4.55,4.46,4.53,31260052.0,4.519,,
14,2020-04-08,4.49,4.54,4.47,4.51,20953583.0,4.512,,
15,2020-04-09,4.55,4.61,4.54,4.55,26481370.0,4.5009999999999994,,
16,2020-04-10,4.56,4.58,4.44,4.47,20114755.0,4.488999999999999,,
17,2020-04-13,4.45,4.47,4.41,4.42,13205197.0,4.469999999999999,,
18,2020-04-14,4.44,4.54,4.42,4.51,25573400.0,4.470999999999998,,
19,2020-04-15,4.49,4.54,4.45,4.46,19261860.0,4.472999999999999,,
20,2020-04-16,4.43,4.52,4.41,4.48,20174786.0,4.481999999999999,,
21,2020-04-17,4.5,4.53,4.47,4.47,21023543.0,4.481999999999999,,
22,2020-04-20,4.5,4.51,4.46,4.48,12383122.0,4.4879999999999995,,
23,2020-04-21,4.46,4.47,4.39,4.41,17565771.0,4.475999999999999,,
24,2020-04-22,4.37,4.43,4.36,4.43,11655372.0,4.467999999999999,,
25,2020-04-23,4.43,4.44,4.4,4.4,11926444.0,4.452999999999999,,
26,2020-04-24,4.41,4.42,4.32,4.34,16404436.0,4.4399999999999995,,
27,2020-04-27,4.36,4.37,4.3,4.31,14245404.0,4.428999999999999,,
28,2020-04-28,4.35,4.39,4.23,4.33,21103096.0,4.411,,
29,2020-04-29,4.33,4.38,4.3,4.35,11463394.0,4.3999999999999995,,
30,2020-04-30,4.36,4.47,4.36,4.44,21394378.0,4.395999999999999,,
31,2020-05-06,4.39,4.47,4.38,4.47,17571300.0,4.395999999999999,,
32,2020-05-07,4.47,4.5,4.43,4.43,17050515.0,4.391,,
33,2020-05-08,4.47,4.6,4.46,4.54,34998967.0,4.403999999999999,,
34,2020-05-11,4.54,4.58,4.46,4.5,21358167.0,4.411,,
35,2020-05-12,4.5,4.52,4.43,4.45,15555005.0,4.4159999999999995,,
36,2020-05-13,4.45,4.48,4.43,4.47,13156657.0,4.428999999999999,,
37,2020-05-14,4.44,4.45,4.39,4.4,11785100.0,4.437999999999999,,
38,2020-05-15,4.42,4.44,4.4,4.41,8670477.0,4.446,,
39,2020-05-18,4.41,4.47,4.39,4.44,13726206.0,4.454999999999999,,
40,2020-05-19,4.48,4.49,4.43,4.45,11857519.0,4.4559999999999995,,
41,2020-05-20,4.44,4.47,4.4,4.42,11759700.0,4.451,,
42,2020-05-21,4.43,4.43,4.36,4.36,11552696.0,4.444,,
43,2020-05-22,4.37,4.37,4.27,4.27,16555631.0,4.417,,
44,2020-05-25,4.26,4.31,4.25,4.27,10189020.0,4.394,,
45,2020-05-26,4.28,4.32,4.27,4.31,9013674.0,4.38,,
46,2020-05-27,4.31,4.32,4.27,4.28,7169983.0,4.361,,
47,2020-05-28,4.28,4.38,4.28,4.31,17812571.0,4.352,,
48,2020-05-29,4.29,4.32,4.28,4.3,11566652.0,4.340999999999999,,
49,2020-06-01,4.4,4.49,4.38,4.47,34170121.0,4.343999999999999,,
50,2020-06-02,4.46,4.5,4.44,4.45,19588608.0,4.343999999999999,,
51,2020-06-03,4.47,4.49,4.42,4.43,14786070.0,4.345,,
52,2020-06-04,4.44,4.46,4.41,4.42,10429097.0,4.351,,
53,2020-06-05,4.45,4.5,4.42,4.5,22855512.0,4.374,,
54,2020-06-08,4.51,4.52,4.44,4.45,15063200.0,4.392,,
55,2020-06-09,4.45,4.51,4.43,4.48,17260167.0,4.409000000000001,,
56,2020-06-10,4.47,4.48,4.42,4.43,12762944.0,4.424,,
57,2020-06-11,4.42,4.48,4.4,4.42,16968588.0,4.4350000000000005,,
58,2020-06-12,4.39,4.41,4.35,4.41,18581178.0,4.446000000000001,,
59,2020-06-15,4.41,4.47,4.38,4.41,20527943.0,4.44,4.4476666666666675,
60,2020-06-16,4.43,4.45,4.42,4.45,13926904.0,4.44,4.446000000000001,
61,2020-06-17,4.44,4.45,4.4,4.43,13372017.0,4.44,4.442500000000001,
62,2020-06-18,4.43,4.52,4.41,4.47,22811328.0,4.445,4.439166666666668,
63,2020-06-19,4.46,4.61,4.46,4.58,47314340.0,4.453,4.440500000000001,
64,2020-06-22,4.55,4.83,4.55,4.65,68027863.0,4.473,4.441666666666667,
65,2020-06-23,4.65,4.69,4.59,4.67,35926953.0,4.492,4.441833333333334,
66,2020-06-24,4.68,4.74,4.61,4.62,24889666.0,4.511,4.442333333333335,
67,2020-06-29,4.59,4.59,4.47,4.5,28376120.0,4.519,4.440500000000001,
68,2020-06-30,4.51,4.64,4.5,4.59,33750434.0,4.537000000000001,4.442000000000001,
69,2020-07-01,4.59,4.66,4.58,4.66,33761368.0,4.562,4.445666666666668,
70,2020-07-02,4.64,5.03,4.63,4.99,106813680.0,4.6160000000000005,4.455666666666668,
71,2020-07-03,5.04,5.4,5.0,5.33,176046436.0,4.706,4.470000000000001,
72,2020-07-06,5.5,5.86,5.41,5.86,227040102.0,4.845000000000001,4.494000000000001,
73,2020-07-07,5.93,6.18,5.56,5.81,234074036.0,4.968000000000001,4.515333333333334,
74,2020-07-08,5.71,6.3,5.67,6.13,213640973.0,5.116000000000001,4.5423333333333344,
75,2020-07-09,6.07,6.16,5.9,6.01,164305705.0,5.250000000000001,4.566666666666667,
76,2020-07-10,5.91,6.16,5.86,6.0,151419988.0,5.388000000000001,4.592166666666667,
77,2020-07-13,5.93,6.2,5.88,6.06,146652853.0,5.544000000000001,4.6195,
78,2020-07-14,6.03,6.1,5.84,6.0,121310199.0,5.6850000000000005,4.644333333333334,
79,2020-07-15,6.07,6.08,5.69,5.72,115233340.0,5.791000000000001,4.665333333333335,
80,2020-07-16,5.72,6.1,5.63,5.68,209247802.0,5.860000000000001,4.685333333333334,
81,2020-07-17,5.72,5.76,5.25,5.39,155561138.0,5.866000000000001,4.700666666666667,
82,2020-07-20,5.49,5.93,5.45,5.93,179308696.0,5.873,4.724833333333334,
83,2020-07-21,6.06,6.1,5.86,5.95,157599473.0,5.8870000000000005,4.7505,
84,2020-07-22,5.88,6.18,5.82,5.86,180758346.0,5.86,4.774333333333333,
85,2020-07-23,5.75,5.87,5.6,5.83,132424809.0,5.8420000000000005,4.798166666666666,
