,date,open,high,low,close,volume,120,180,240
0,2018-11-13,3.93,4.07,3.91,4.05,13596837.0,,,
1,2018-11-14,4.07,4.18,4.03,4.08,18945210.0,,,
2,2018-11-15,4.12,4.12,4.05,4.11,12629409.0,,,
3,2018-11-16,4.11,4.14,4.06,4.11,12428776.0,,,
4,2018-11-19,4.12,4.12,4.04,4.11,11014141.0,,,
5,2018-11-20,4.08,4.22,4.07,4.12,17780343.0,,,
6,2018-11-21,4.07,4.19,3.96,4.12,13977942.0,,,
7,2018-11-22,4.13,4.13,4.05,4.07,7142110.0,,,
8,2018-11-23,4.07,4.08,3.87,3.87,11043827.0,,,
9,2018-11-26,3.89,3.9,3.81,3.82,4563400.0,,,
10,2018-11-27,3.8,3.86,3.76,3.8,5012100.0,,,
11,2018-11-28,3.8,3.82,3.72,3.82,4964678.0,,,
12,2018-11-29,3.81,3.86,3.72,3.74,4817010.0,,,
13,2018-11-30,3.71,3.76,3.7,3.75,3433411.0,,,
14,2018-12-03,3.82,3.87,3.79,3.83,5520247.0,,,
15,2018-12-04,3.84,3.99,3.81,3.93,10421465.0,,,
16,2018-12-05,3.86,3.91,3.83,3.87,7707160.0,,,
17,2018-12-06,3.87,3.89,3.78,3.79,4787146.0,,,
18,2018-12-07,3.8,3.8,3.75,3.79,3680610.0,,,
19,2018-12-10,3.77,3.79,3.71,3.74,3146500.0,,,
20,2018-12-11,3.74,3.77,3.72,3.75,2584100.0,,,
21,2018-12-12,3.75,3.82,3.74,3.76,2549600.0,,,
22,2018-12-13,3.76,3.81,3.74,3.8,4514936.0,,,
23,2018-12-14,3.79,3.79,3.68,3.68,4705972.0,,,
24,2018-12-17,3.64,3.68,3.63,3.66,3090403.0,,,
25,2018-12-18,3.66,3.66,3.59,3.62,3432910.0,,,
26,2018-12-19,3.62,3.78,3.59,3.67,6172002.0,,,
27,2018-12-20,3.64,3.68,3.6,3.64,3892800.0,,,
28,2018-12-21,3.63,3.63,3.58,3.6,2730300.0,,,
29,2018-12-24,3.61,3.63,3.58,3.61,2556501.0,,,
