,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.65,5.77,5.57,5.7,5047237.0,,,
1,2018-11-14,5.7,5.82,5.64,5.65,4495098.0,,,
2,2018-11-15,5.65,5.77,5.62,5.73,2880680.0,,,
3,2018-11-16,5.73,5.82,5.7,5.77,3682022.0,,,
4,2018-11-19,5.77,5.82,5.72,5.79,2955447.0,,,
5,2018-11-20,5.77,5.91,5.68,5.7,3564585.0,,,
6,2018-11-21,5.7,5.7,5.59,5.62,2238064.0,,,
7,2018-11-22,5.64,5.68,5.55,5.65,2395840.0,,,
8,2018-11-23,5.59,5.61,5.27,5.37,3826784.0,,,
9,2018-11-26,5.36,5.37,5.22,5.23,2303643.0,,,
10,2018-11-27,5.26,5.29,5.22,5.23,2411868.0,,,
11,2018-11-28,5.24,5.26,5.16,5.26,2633601.0,,,
12,2018-11-29,5.29,5.38,5.24,5.29,3808402.0,,,
13,2018-11-30,5.31,5.33,5.17,5.3,2244967.0,,,
14,2018-12-03,5.39,5.48,5.33,5.45,4460247.0,,,
15,2018-12-04,5.43,5.51,5.32,5.41,4186724.0,,,
16,2018-12-05,5.31,5.34,5.24,5.26,6522743.0,,,
17,2018-12-06,5.22,5.31,5.19,5.21,4005360.0,,,
18,2018-12-07,5.21,5.25,5.19,5.2,2891859.0,,,
19,2018-12-10,5.19,5.19,5.02,5.06,3876138.0,,,
20,2018-12-11,5.07,5.09,5.02,5.07,2701231.0,,,
21,2018-12-12,5.07,5.2,5.05,5.17,4392440.0,,,
22,2018-12-13,5.17,5.22,5.12,5.19,3033563.0,,,
23,2018-12-14,5.19,5.2,5.06,5.06,2642439.0,,,
24,2018-12-17,5.04,5.06,4.92,4.98,3840229.0,,,
25,2018-12-18,4.96,4.96,4.74,4.82,6620560.0,,,
26,2018-12-19,4.8,4.84,4.75,4.77,2979167.0,,,
27,2018-12-20,4.86,4.98,4.85,4.92,6008640.0,,,
28,2018-12-21,4.87,4.9,4.77,4.82,4279162.0,,,
29,2018-12-24,4.82,4.9,4.7,4.87,4100488.0,,,
30,2018-12-25,4.81,4.81,4.63,4.73,5553846.0,,,
31,2018-12-26,4.71,4.75,4.64,4.66,2900720.0,,,
32,2018-12-27,4.73,4.75,4.5,4.55,4545203.0,,,
33,2018-12-28,4.57,4.59,4.47,4.53,4101975.0,,,
34,2019-01-02,4.53,4.58,4.39,4.41,4395979.0,,,
35,2019-01-03,4.43,4.52,4.41,4.46,3375222.0,,,
36,2019-01-04,4.46,4.91,4.41,4.85,16825565.0,,,
37,2019-01-07,4.78,4.9,4.74,4.84,10961292.0,,,
38,2019-01-08,4.82,4.88,4.69,4.85,8585030.0,,,
39,2019-01-09,4.83,4.89,4.8,4.82,6462367.0,,,
40,2019-01-10,4.81,4.81,4.75,4.75,3879644.0,,,
41,2019-01-11,4.75,4.79,4.67,4.75,4514130.0,,,
42,2019-01-14,4.76,4.82,4.7,4.72,4007344.0,,,
43,2019-01-15,4.7,4.82,4.68,4.82,4393685.0,,,
44,2019-01-16,4.81,4.88,4.78,4.87,5547627.0,,,
45,2019-01-17,4.87,4.89,4.78,4.78,5473145.0,,,
46,2019-01-18,4.78,4.99,4.76,4.95,8841547.0,,,
47,2019-01-21,4.94,5.34,4.92,5.21,13723459.0,,,
48,2019-01-22,5.18,5.21,5.06,5.1,7189297.0,,,
49,2019-01-23,5.08,5.24,5.04,5.19,6654722.0,,,
50,2019-01-24,5.19,5.48,5.16,5.43,11634221.0,,,
51,2019-01-25,5.43,5.44,5.32,5.41,5092663.0,,,
52,2019-01-28,5.45,5.5,5.31,5.38,5171817.0,,,
53,2019-01-29,5.35,5.36,5.09,5.21,8145163.0,,,
54,2019-01-30,5.16,5.31,5.09,5.11,3885269.0,,,
55,2019-01-31,5.11,5.28,5.11,5.16,4852414.0,,,
56,2019-02-01,5.21,5.3,5.15,5.28,4972324.0,,,
57,2019-02-11,5.25,5.3,5.05,5.25,8408816.0,,,
58,2019-02-12,5.24,5.41,5.16,5.39,7021617.0,,,
59,2019-02-13,5.38,5.85,5.34,5.54,14979458.0,,,
60,2019-02-14,5.52,5.67,5.43,5.64,7425960.0,,,
61,2019-02-15,5.59,5.72,5.55,5.65,5343983.0,,,
62,2019-02-18,5.67,5.89,5.67,5.85,7163142.0,,,
63,2019-02-19,5.88,6.08,5.71,5.79,9123451.0,,,
64,2019-02-20,5.8,6.0,5.64,5.77,8905737.0,,,
65,2019-02-21,5.77,5.87,5.67,5.7,9684133.0,,,
66,2019-02-22,5.68,5.82,5.67,5.8,5097198.0,,,
67,2019-02-25,5.8,6.04,5.8,6.01,10574652.0,,,
68,2019-02-26,6.02,6.26,5.94,6.14,11513781.0,,,
69,2019-02-27,6.12,6.15,5.96,6.01,6275340.0,,,
70,2019-02-28,6.01,6.13,6.0,6.03,5909197.0,,,
71,2019-03-01,6.06,6.08,5.91,6.0,9191132.0,,,
72,2019-03-04,6.03,6.19,5.94,6.01,9515821.0,,,
73,2019-03-05,5.95,6.18,5.94,6.18,10523876.0,,,
74,2019-03-06,6.16,6.44,6.09,6.4,13789956.0,,,
75,2019-03-07,6.38,6.48,6.25,6.34,11663710.0,,,
76,2019-03-08,6.2,6.4,6.0,6.01,9986671.0,,,
77,2019-03-11,6.05,6.2,6.0,6.2,7900162.0,,,
78,2019-03-12,6.2,6.57,6.17,6.4,10730127.0,,,
79,2019-03-13,6.42,6.45,6.2,6.25,9241418.0,,,
80,2019-03-14,6.25,6.28,5.91,5.99,7783535.0,,,
81,2019-03-15,6.06,6.45,6.04,6.23,14028657.0,,,
82,2019-03-18,6.35,6.64,6.19,6.51,18251202.0,,,
83,2019-03-19,6.51,6.52,6.37,6.45,12221281.0,,,
84,2019-03-20,6.45,6.59,6.32,6.48,8814466.0,,,
85,2019-03-21,6.47,6.54,6.36,6.47,7760679.0,,,
86,2019-03-22,6.48,6.75,6.42,6.74,12671276.0,,,
87,2019-03-25,6.7,7.03,6.59,6.79,15524817.0,,,
88,2019-03-26,6.83,7.22,6.79,6.96,15981148.0,,,
89,2019-03-27,6.97,7.65,6.97,7.65,26817903.0,,,
90,2019-03-28,7.64,7.84,7.17,7.18,24710415.0,,,
91,2019-03-29,7.15,7.42,7.05,7.32,15865549.0,,,
92,2019-04-01,7.43,7.68,7.29,7.58,15662437.0,,,
93,2019-04-02,7.58,7.58,7.26,7.35,13834367.0,,,
94,2019-04-03,7.25,7.41,7.17,7.37,7545420.0,,,
95,2019-04-04,7.39,7.48,7.26,7.31,8672135.0,,,
96,2019-04-08,7.3,7.37,7.04,7.27,14465519.0,,,
97,2019-04-09,7.35,7.42,7.1,7.24,7707880.0,,,
98,2019-04-10,7.12,7.25,7.04,7.18,6663372.0,,,
99,2019-04-11,7.22,7.22,6.98,7.04,6765075.0,,,
100,2019-04-12,7.07,7.18,7.02,7.07,5410848.0,,,
101,2019-04-15,7.12,7.25,6.83,6.88,9376821.0,,,
102,2019-04-16,6.87,7.03,6.72,6.98,6564844.0,,,
103,2019-04-17,6.98,7.1,6.94,6.99,6283486.0,,,
104,2019-04-18,7.0,7.23,6.96,7.1,7851703.0,,,
105,2019-04-19,7.12,7.12,6.86,6.99,7240111.0,,,
106,2019-04-22,7.0,7.07,6.72,6.82,5966696.0,,,
107,2019-04-23,6.82,6.93,6.76,6.79,5427423.0,,,
108,2019-04-24,6.84,6.89,6.74,6.83,3920100.0,,,
109,2019-04-25,6.85,6.92,6.51,6.59,8309451.0,,,
110,2019-04-26,6.56,6.61,6.32,6.44,8217030.0,,,
111,2019-04-29,6.38,6.49,6.16,6.2,7158011.0,,,
