,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.82,7.93,7.62,7.63,7466547.0,,,
1,2020-03-19,7.46,7.85,7.46,7.78,8159814.0,,,
2,2020-03-20,7.9,7.93,7.7,7.9,6229494.0,,,
3,2020-03-23,7.66,7.79,7.58,7.6,6036006.0,,,
4,2020-03-24,7.72,7.76,7.53,7.75,5352432.0,,,
5,2020-03-25,7.86,8.07,7.86,7.93,8030606.0,,,
6,2020-03-26,7.86,7.92,7.77,7.81,5603890.0,,,
7,2020-03-27,7.87,7.93,7.75,7.77,4449377.0,,,
8,2020-03-30,7.7,7.72,7.5,7.59,3991176.0,,,
9,2020-03-31,7.67,7.7,7.56,7.58,3085119.0,7.734,,
10,2020-04-01,7.53,7.7,7.51,7.55,3433018.0,7.726000000000001,,
11,2020-04-02,7.54,7.74,7.5,7.74,4684944.0,7.7219999999999995,,
12,2020-04-03,7.74,7.75,7.61,7.62,4101392.0,7.694,,
13,2020-04-07,7.79,7.86,7.7,7.83,5967111.0,7.7170000000000005,,
14,2020-04-08,7.83,8.0,7.79,7.92,6685717.0,7.734,,
15,2020-04-09,7.99,8.14,7.91,8.1,7754601.0,7.7509999999999994,,
16,2020-04-10,8.08,8.08,7.82,7.83,5477239.0,7.752999999999998,,
17,2020-04-13,7.84,7.84,7.61,7.63,4791812.0,7.738999999999999,,
18,2020-04-14,7.64,7.73,7.64,7.72,3197325.0,7.751999999999998,,
19,2020-04-15,7.73,7.76,7.63,7.64,3877545.0,7.757999999999998,,
20,2020-04-16,7.61,7.69,7.53,7.65,3350194.0,7.767999999999999,,
21,2020-04-17,7.7,7.87,7.68,7.71,5172566.0,7.764999999999999,,
22,2020-04-20,7.71,7.74,7.66,7.72,3583365.0,7.774999999999999,,
23,2020-04-21,7.72,7.77,7.6,7.72,5022771.0,7.7639999999999985,,
24,2020-04-22,7.58,7.71,7.58,7.68,3701327.0,7.739999999999999,,
25,2020-04-23,7.73,7.73,7.61,7.65,4044451.0,7.695,,
26,2020-04-24,7.66,7.69,7.41,7.43,4955623.0,7.654999999999999,,
27,2020-04-27,7.44,7.54,7.35,7.37,3738175.0,7.6290000000000004,,
28,2020-04-28,7.43,7.43,6.9,7.08,5912596.0,7.565,,
29,2020-04-29,7.05,7.1,6.81,6.84,6502446.0,7.485000000000001,,
30,2020-04-30,6.84,7.08,6.84,7.03,4079518.0,7.423,,
31,2020-05-06,6.97,7.26,6.94,7.24,3969175.0,7.376,,
32,2020-05-07,7.29,7.34,7.21,7.25,3757295.0,7.329000000000001,,
33,2020-05-08,7.25,7.34,7.2,7.26,4602386.0,7.283000000000001,,
34,2020-05-11,7.32,7.37,7.16,7.2,3901038.0,7.235000000000002,,
35,2020-05-12,7.26,7.27,6.98,7.06,6000575.0,7.176000000000002,,
36,2020-05-13,7.05,7.05,6.72,6.89,13461100.0,7.1220000000000026,,
37,2020-05-14,6.8,7.08,6.79,6.97,7980112.0,7.0820000000000025,,
38,2020-05-15,6.95,7.01,6.86,6.92,4996806.0,7.0660000000000025,,
39,2020-05-18,6.91,6.94,6.71,6.72,6895182.0,7.054000000000002,,
40,2020-05-19,6.78,6.82,6.72,6.75,3712483.0,7.026000000000002,,
41,2020-05-20,6.74,6.94,6.73,6.78,6285609.0,6.980000000000002,,
42,2020-05-21,6.92,7.46,6.88,7.3,29649970.0,6.985000000000002,,
43,2020-05-22,7.1,7.68,6.87,7.37,30048652.0,6.996000000000002,,
44,2020-05-25,7.1,7.22,7.03,7.07,11224555.0,6.983000000000002,,
45,2020-05-26,7.08,7.2,7.0,7.09,8530355.0,6.986000000000002,,
46,2020-05-27,7.08,7.09,6.92,6.96,7543978.0,6.993000000000002,,
47,2020-05-28,7.06,7.46,7.06,7.12,12964497.0,7.008000000000003,,
48,2020-05-29,7.49,7.83,7.35,7.7,31493535.0,7.086000000000003,,
49,2020-06-01,7.71,8.01,7.62,7.91,28072803.0,7.205000000000003,,
50,2020-06-02,7.95,8.34,7.68,7.71,23720174.0,7.301000000000002,,
51,2020-06-03,7.7,7.96,7.52,7.85,19828070.0,7.408000000000001,,
52,2020-06-04,7.7,7.86,7.58,7.68,16755349.0,7.446000000000002,,
53,2020-06-05,7.6,7.94,7.6,7.83,16359571.0,7.492000000000002,,
54,2020-06-08,7.7,7.77,7.55,7.56,14142275.0,7.541000000000002,,
55,2020-06-09,7.56,7.56,7.4,7.43,10189066.0,7.575000000000003,,
56,2020-06-10,7.41,7.43,7.31,7.34,6104065.0,7.613000000000004,,
57,2020-06-11,7.35,7.52,7.27,7.29,8576427.0,7.630000000000004,,
58,2020-06-12,7.1,7.37,7.1,7.33,7209237.0,7.5930000000000035,,
59,2020-06-15,7.33,7.49,7.27,7.31,7956769.0,7.533000000000004,7.461500000000001,
60,2020-06-16,7.38,7.49,7.34,7.38,6154239.0,7.500000000000004,7.4573333333333345,
61,2020-06-17,7.38,7.42,7.31,7.39,6256625.0,7.454000000000005,7.4508333333333345,
62,2020-06-18,7.39,7.44,7.3,7.34,5081500.0,7.420000000000004,7.441500000000001,
63,2020-06-19,7.34,7.39,7.29,7.39,5841216.0,7.376000000000005,7.438000000000001,
64,2020-06-22,7.38,7.41,7.3,7.31,4446023.0,7.351000000000004,7.430666666666667,
65,2020-06-23,7.31,7.33,7.1,7.2,6449681.0,7.328000000000006,7.4185,
66,2020-06-24,7.24,7.24,7.14,7.15,3596685.0,7.309000000000006,7.4075,
67,2020-06-29,7.14,7.14,6.98,7.01,4543613.0,7.281000000000006,7.394833333333334,
68,2020-06-30,7.06,7.08,7.02,7.04,3187200.0,7.252000000000007,7.385666666666667,
69,2020-07-01,7.08,7.1,6.98,7.04,4303281.0,7.225000000000007,7.376666666666668,
70,2020-07-02,7.02,7.24,6.99,7.21,9173420.0,7.208000000000007,7.371,
71,2020-07-03,7.21,7.49,7.17,7.43,12746311.0,7.212000000000008,7.365833333333334,
72,2020-07-06,7.45,7.76,7.4,7.68,14499425.0,7.246000000000007,7.366833333333334,
73,2020-07-07,7.7,7.82,7.61,7.68,15117933.0,7.2750000000000075,7.3643333333333345,
74,2020-07-08,7.82,8.0,7.7,7.83,13191231.0,7.327000000000007,7.362833333333334,
75,2020-07-09,7.84,8.01,7.8,7.93,13520368.0,7.4000000000000075,7.36,
76,2020-07-10,7.89,8.09,7.8,7.84,15859819.0,7.4690000000000065,7.360166666666667,
