,date,open,high,low,close,volume,120,180,240
0,2018-11-13,4.3,4.38,4.21,4.31,12029891.0,,,
1,2018-11-14,4.27,4.31,4.13,4.25,7967738.0,,,
2,2018-11-15,4.24,4.3,4.19,4.25,5670579.0,,,
3,2018-11-16,4.25,4.39,4.24,4.37,7471904.0,,,
4,2018-11-19,4.34,4.36,4.25,4.3,5738923.0,,,
5,2018-11-20,4.3,4.3,4.13,4.16,3836352.0,,,
6,2018-11-21,4.1,4.18,4.09,4.16,2415881.0,,,
7,2018-11-22,4.16,4.19,4.11,4.18,2166886.0,,,
8,2018-11-23,4.15,4.15,3.98,3.99,3932786.0,,,
9,2018-11-26,3.98,4.03,3.97,4.01,1153153.0,,,
10,2018-11-27,4.01,4.07,4.01,4.03,1430866.0,,,
11,2018-11-28,4.04,4.11,4.0,4.11,1927700.0,,,
12,2018-11-29,4.11,4.15,4.04,4.04,2308341.0,,,
13,2018-11-30,4.04,4.25,4.02,4.2,4449933.0,,,
14,2018-12-03,4.26,4.29,4.2,4.25,4582080.0,,,
15,2018-12-04,4.24,4.28,4.2,4.27,2687500.0,,,
16,2018-12-05,4.15,4.29,4.15,4.25,2519600.0,,,
17,2018-12-06,4.24,4.25,4.15,4.17,1872017.0,,,
18,2018-12-07,4.19,4.21,4.12,4.18,1336737.0,,,
19,2018-12-10,4.14,4.19,4.13,4.14,1400800.0,,,
20,2018-12-11,4.19,4.23,4.14,4.15,2109958.0,,,
21,2018-12-12,4.2,4.37,4.2,4.27,5812855.0,,,
22,2018-12-13,4.26,4.28,4.2,4.26,3683869.0,,,
23,2018-12-14,4.23,4.27,4.16,4.16,2336000.0,,,
24,2018-12-17,4.15,4.15,4.08,4.12,2686842.0,,,
25,2018-12-18,4.11,4.18,4.09,4.16,1899922.0,,,
26,2018-12-19,4.15,4.19,4.1,4.11,1970670.0,,,
27,2018-12-20,4.1,4.16,4.1,4.11,1161332.0,,,
28,2018-12-21,4.07,4.12,4.07,4.11,886480.0,,,
29,2018-12-24,4.11,4.15,4.1,4.13,992108.0,,,
30,2018-12-25,4.11,4.2,4.0,4.17,2695571.0,,,
31,2018-12-26,4.16,4.18,4.11,4.17,1127289.0,,,
32,2018-12-27,4.2,4.24,4.13,4.13,1752089.0,,,
33,2018-12-28,4.11,4.18,4.11,4.18,1176172.0,,,
34,2019-01-02,4.18,4.3,4.18,4.2,2748595.0,,,
35,2019-01-03,4.2,4.26,4.15,4.19,2414779.0,,,
36,2019-01-04,4.18,4.34,4.15,4.34,5281572.0,,,
37,2019-01-07,4.35,4.52,4.35,4.52,7969112.0,,,
38,2019-01-08,4.51,4.56,4.43,4.52,5730859.0,,,
39,2019-01-09,4.51,4.63,4.44,4.47,4611287.0,,,
40,2019-01-10,4.46,4.51,4.43,4.47,2590315.0,,,
41,2019-01-11,4.47,4.52,4.45,4.45,1783222.0,,,
42,2019-01-14,4.47,4.57,4.47,4.52,3632411.0,,,
43,2019-01-15,4.52,4.58,4.45,4.51,2198617.0,,,
44,2019-01-16,4.48,4.53,4.41,4.45,2810579.0,,,
45,2019-01-17,4.45,4.5,4.38,4.43,2751929.0,,,
46,2019-01-18,4.42,4.46,4.39,4.41,1529708.0,,,
47,2019-01-21,4.42,4.45,4.38,4.44,2015922.0,,,
48,2019-01-22,4.47,4.47,4.33,4.4,1960100.0,,,
49,2019-01-23,4.37,4.4,4.34,4.35,1099400.0,,,
50,2019-01-24,4.35,4.39,4.35,4.39,1397173.0,,,
51,2019-01-25,4.38,4.38,4.31,4.32,2961414.0,,,
52,2019-01-28,4.36,4.36,4.26,4.28,1844900.0,,,
53,2019-01-29,4.26,4.28,4.15,4.21,1979692.0,,,
54,2019-01-30,4.24,4.27,4.2,4.26,1164600.0,,,
55,2019-01-31,4.34,4.45,4.27,4.37,4624342.0,,,
56,2019-02-01,4.37,4.39,4.31,4.39,2779100.0,,,
57,2019-02-11,4.44,4.48,4.38,4.44,2130491.0,,,
58,2019-02-12,4.44,4.49,4.41,4.49,2176843.0,,,
59,2019-02-13,4.48,4.52,4.44,4.51,3067332.0,,,
60,2019-02-14,4.53,4.53,4.46,4.46,2806600.0,,,
61,2019-02-15,4.45,4.53,4.45,4.46,2429523.0,,,
62,2019-02-18,4.48,4.63,4.48,4.63,5754386.0,,,
63,2019-02-19,4.66,4.91,4.61,4.72,8002070.0,,,
64,2019-02-20,4.82,4.94,4.71,4.89,9289226.0,,,
65,2019-02-21,4.89,4.94,4.79,4.82,6022596.0,,,
66,2019-02-22,4.78,4.85,4.74,4.85,5522235.0,,,
67,2019-02-25,4.85,5.02,4.84,4.99,8446867.0,,,
68,2019-02-26,4.96,5.22,4.91,5.03,8004054.0,,,
69,2019-02-27,5.04,5.13,4.94,4.97,5683688.0,,,
70,2019-02-28,4.98,5.45,4.92,5.25,10132807.0,,,
71,2019-03-01,5.2,5.43,5.14,5.39,8908710.0,,,
72,2019-03-04,5.33,5.46,5.29,5.32,11532256.0,,,
73,2019-03-05,5.32,5.34,5.17,5.29,11541807.0,,,
74,2019-03-06,5.29,5.34,5.2,5.31,9138801.0,,,
75,2019-03-07,5.3,5.34,5.22,5.28,9881233.0,,,
76,2019-03-08,5.31,5.31,4.94,4.94,9897225.0,,,
77,2019-03-11,4.94,5.09,4.94,5.08,6114352.0,,,
78,2019-03-12,5.15,5.41,5.14,5.28,9964482.0,,,
79,2019-03-13,5.29,5.35,5.18,5.2,6438001.0,,,
80,2019-03-14,5.14,5.23,4.94,5.01,5217501.0,,,
81,2019-03-15,5.04,5.18,4.98,5.18,4000783.0,,,
82,2019-03-18,5.18,5.23,5.13,5.22,3411609.0,,,
83,2019-03-19,5.25,5.5,5.25,5.37,10415220.0,,,
84,2019-03-20,5.36,5.63,5.29,5.61,13741372.0,,,
85,2019-03-21,5.55,5.69,5.54,5.55,10935142.0,,,
86,2019-03-22,5.55,5.58,5.44,5.49,5171464.0,,,
