,date,open,high,low,close,volume,120,180,240
0,2018-11-13,11.74,12.26,11.73,12.25,9341612.0,,,
1,2018-11-14,12.25,12.31,11.95,12.02,7277544.0,,,
2,2018-11-15,12.11,12.15,11.84,12.02,8321602.0,,,
3,2018-11-16,12.05,12.41,11.97,12.23,11108719.0,,,
4,2018-11-19,12.19,12.79,12.19,12.63,13123409.0,,,
5,2018-11-20,12.45,13.0,12.43,12.62,14701032.0,,,
6,2018-11-21,12.52,13.28,12.37,13.28,20799599.0,,,
7,2018-11-22,13.38,13.61,12.56,12.75,23464286.0,,,
8,2018-11-23,12.73,12.73,11.59,11.64,13490088.0,,,
9,2018-11-26,11.64,11.97,11.4,11.84,11171327.0,,,
10,2018-11-27,11.91,11.98,11.63,11.67,6238425.0,,,
11,2018-11-28,11.81,11.85,11.34,11.8,5021088.0,,,
12,2018-11-29,11.89,12.0,11.4,11.41,5749574.0,,,
13,2018-11-30,11.47,12.01,11.47,11.87,9696403.0,,,
14,2018-12-03,12.49,13.05,12.49,12.61,14187515.0,,,
15,2018-12-04,12.62,12.76,12.38,12.61,8323976.0,,,
16,2018-12-05,12.36,12.62,12.24,12.38,5559637.0,,,
17,2018-12-06,12.31,12.42,11.94,12.02,8233505.0,,,
18,2018-12-07,11.97,12.49,11.97,12.48,6696913.0,,,
19,2018-12-10,12.31,12.47,11.93,12.03,6223501.0,,,
20,2018-12-11,12.01,12.56,12.0,12.31,6460035.0,,,
21,2018-12-12,12.42,12.47,11.84,12.13,5440400.0,,,
22,2018-12-13,12.23,12.33,11.99,12.08,4846200.0,,,
23,2018-12-14,12.09,12.18,11.73,11.8,5506300.0,,,
24,2018-12-17,11.74,11.98,11.45,11.5,5963419.0,,,
25,2018-12-18,11.5,11.79,11.32,11.5,7108566.0,,,
26,2018-12-19,11.46,11.55,11.14,11.28,4234394.0,,,
27,2018-12-20,11.22,11.25,10.9,11.19,6047334.0,,,
28,2018-12-21,11.12,11.21,10.9,10.99,4872319.0,,,
29,2018-12-24,11.02,11.09,10.78,10.87,4644208.0,,,
30,2018-12-25,10.84,10.96,10.57,10.88,5979544.0,,,
31,2018-12-26,10.98,10.98,10.51,10.73,7413197.0,,,
32,2018-12-27,10.85,11.07,10.74,10.78,7218936.0,,,
33,2018-12-28,10.73,10.74,10.34,10.74,8182277.0,,,
34,2019-01-02,10.81,10.81,10.42,10.49,4563141.0,,,
35,2019-01-03,10.39,10.64,10.18,10.42,5361504.0,,,
36,2019-01-04,10.21,10.97,10.19,10.84,8010876.0,,,
37,2019-01-07,10.89,11.0,10.71,10.86,5719056.0,,,
38,2019-01-08,10.77,10.98,10.77,10.93,3905534.0,,,
39,2019-01-09,11.0,11.22,10.79,10.86,8245841.0,,,
40,2019-01-10,10.74,11.0,10.59,10.77,6477577.0,,,
41,2019-01-11,10.71,11.0,10.7,10.9,5522779.0,,,
42,2019-01-14,10.97,11.03,10.81,10.89,2964179.0,,,
43,2019-01-15,10.82,11.13,10.75,11.03,4756314.0,,,
44,2019-01-16,11.05,11.17,10.98,11.0,5167879.0,,,
45,2019-01-17,10.99,11.11,10.91,11.01,4286042.0,,,
46,2019-01-18,10.94,11.13,10.89,11.06,4404613.0,,,
47,2019-01-21,11.09,11.22,10.98,11.12,5433085.0,,,
48,2019-01-22,11.08,11.15,10.86,10.94,3658229.0,,,
49,2019-01-23,10.91,10.97,10.76,10.89,3161019.0,,,
50,2019-01-24,10.9,10.97,10.76,10.85,4098874.0,,,
51,2019-01-25,10.74,10.85,10.4,10.42,11064563.0,,,
52,2019-01-28,10.44,11.33,10.44,10.93,15509964.0,,,
53,2019-01-29,10.87,11.18,10.49,10.68,7810863.0,,,
54,2019-01-30,10.64,11.19,10.56,10.8,9727559.0,,,
55,2019-01-31,10.69,11.04,10.53,10.78,7034931.0,,,
56,2019-02-01,10.67,11.04,10.67,10.97,9625476.0,,,
57,2019-02-11,10.99,11.49,10.84,11.41,9013701.0,,,
58,2019-02-12,11.41,11.48,11.2,11.42,7472585.0,,,
59,2019-02-13,11.41,11.84,11.3,11.68,9210158.0,,,
60,2019-02-14,11.65,11.91,11.61,11.74,8898954.0,,,
61,2019-02-15,11.74,11.87,11.49,11.62,7872536.0,,,
62,2019-02-18,11.71,11.9,11.52,11.89,11295477.0,,,
63,2019-02-19,11.88,11.92,11.53,11.67,10549308.0,,,
64,2019-02-20,11.68,11.68,11.45,11.62,8682893.0,,,
65,2019-02-21,11.65,11.66,11.18,11.3,17939247.0,,,
66,2019-02-22,11.3,11.82,11.12,11.75,21403630.0,,,
67,2019-02-25,12.03,12.38,11.73,12.27,30496254.0,,,
68,2019-02-26,12.27,12.89,12.08,12.43,29320461.0,,,
69,2019-02-27,12.43,12.72,12.2,12.32,21114895.0,,,
70,2019-02-28,11.19,12.01,11.19,11.74,40371505.0,,,
71,2019-03-01,11.82,11.92,11.33,11.71,27494228.0,,,
72,2019-03-04,11.7,12.13,11.59,11.71,36148230.0,,,
73,2019-03-05,11.72,12.68,11.66,12.63,53709464.0,,,
74,2019-03-06,12.92,12.92,12.24,12.41,49208172.0,,,
75,2019-03-07,12.38,13.02,12.31,12.9,57478936.0,,,
76,2019-03-08,12.53,12.9,12.44,12.55,42174846.0,,,
77,2019-03-11,12.74,13.22,12.41,13.22,46136915.0,,,
78,2019-03-12,13.22,13.23,12.81,13.03,55284009.0,,,
79,2019-03-13,13.0,13.0,12.35,12.46,37712500.0,,,
80,2019-03-14,12.33,12.47,11.84,12.04,24491099.0,,,
81,2019-03-15,12.09,12.26,11.9,12.01,23802727.0,,,
82,2019-03-18,12.08,12.29,11.9,12.21,33295185.0,,,
83,2019-03-19,12.24,12.44,12.04,12.17,25259589.0,,,
