,date,open,high,low,close,volume,120,180,240
0,2018-11-13,25.1,28.25,25.0,27.73,10368696.0,,,
1,2018-11-14,27.1,27.69,26.59,26.75,6089737.0,,,
2,2018-11-15,26.75,28.36,26.75,27.95,7042420.0,,,
3,2018-11-16,27.68,28.45,27.33,27.72,5520408.0,,,
4,2018-11-19,27.56,27.56,26.12,26.67,5291924.0,,,
5,2018-11-20,26.47,26.88,25.21,25.41,4946484.0,,,
6,2018-11-21,24.95,25.96,24.8,25.7,3784875.0,,,
7,2018-11-22,25.83,26.62,25.71,26.42,5021548.0,,,
8,2018-11-23,26.2,26.21,24.86,26.06,5719529.0,,,
9,2018-11-26,25.7,26.05,24.68,25.95,4159228.0,,,
10,2018-11-27,25.86,27.19,25.75,27.1,6002906.0,,,
11,2018-11-28,26.78,27.6,26.2,27.58,4895671.0,,,
12,2018-11-29,27.9,28.8,26.85,26.98,6338884.0,,,
13,2018-11-30,26.85,27.66,26.05,27.57,3381247.0,,,
14,2018-12-03,28.41,28.49,27.18,27.49,5103228.0,,,
15,2018-12-04,27.3,27.45,26.9,27.26,2426289.0,,,
16,2018-12-05,26.56,27.04,26.41,26.77,1940391.0,,,
17,2018-12-06,26.85,26.97,25.46,25.67,3095214.0,,,
18,2018-12-07,25.5,25.99,25.21,25.88,1570030.0,,,
19,2018-12-10,25.6,25.82,25.21,25.57,1367908.0,,,
20,2018-12-11,25.65,25.83,25.21,25.4,1299308.0,,,
21,2018-12-12,25.63,25.8,25.41,25.71,1197100.0,,,
22,2018-12-13,25.79,25.93,25.22,25.7,1950888.0,,,
23,2018-12-14,25.49,25.58,24.68,24.95,1943395.0,,,
24,2018-12-17,24.71,24.98,24.54,24.8,826162.0,,,
25,2018-12-18,24.6,24.88,24.42,24.75,647384.0,,,
26,2018-12-19,24.74,24.75,23.43,23.7,1759021.0,,,
27,2018-12-20,23.8,24.27,23.66,23.82,1459957.0,,,
28,2018-12-21,23.72,24.93,23.58,24.05,3705346.0,,,
29,2018-12-24,23.93,24.25,23.77,24.04,1531100.0,,,
30,2018-12-25,23.7,23.7,22.58,23.3,2476631.0,,,
31,2018-12-26,23.3,23.47,23.03,23.3,1423646.0,,,
32,2018-12-27,23.52,23.78,22.7,23.1,2491262.0,,,
33,2018-12-28,23.1,23.16,22.5,22.93,1560200.0,,,
34,2019-01-02,22.93,23.32,22.61,23.01,1071646.0,,,
35,2019-01-03,23.0,23.25,22.2,22.66,2099436.0,,,
36,2019-01-04,22.22,23.28,21.83,23.01,2026163.0,,,
37,2019-01-07,23.31,23.44,23.02,23.32,2776491.0,,,
38,2019-01-08,23.33,23.35,22.74,22.77,1866971.0,,,
39,2019-01-09,22.8,23.5,22.66,22.92,4641600.0,,,
40,2019-01-10,22.86,23.03,22.3,22.36,3186331.0,,,
41,2019-01-11,22.29,23.15,22.27,23.14,2766970.0,,,
42,2019-01-14,23.15,23.15,22.51,22.7,2179275.0,,,
43,2019-01-15,22.7,23.3,22.5,23.23,2280610.0,,,
44,2019-01-16,23.16,23.37,22.97,23.01,1883072.0,,,
45,2019-01-17,22.92,23.3,22.7,22.71,2509949.0,,,
46,2019-01-18,22.74,23.62,22.63,23.59,2548717.0,,,
47,2019-01-21,23.43,23.64,23.21,23.29,2275970.0,,,
48,2019-01-22,23.3,23.72,23.2,23.42,2768648.0,,,
49,2019-01-23,23.32,23.39,22.92,23.12,1993200.0,,,
50,2019-01-24,22.95,23.47,22.54,23.41,2906392.0,,,
51,2019-01-25,23.25,23.31,22.92,23.12,1999660.0,,,
52,2019-01-28,23.1,23.3,20.81,20.81,4735291.0,,,
53,2019-01-29,20.0,20.0,18.88,19.73,4312793.0,,,
54,2019-01-30,19.39,19.69,19.32,19.39,1949357.0,,,
55,2019-01-31,19.75,20.37,19.5,19.7,2791200.0,,,
56,2019-02-01,19.86,20.19,19.71,20.05,2008200.0,,,
57,2019-02-11,20.1,20.68,19.88,20.56,2000715.0,,,
58,2019-02-12,20.43,21.18,20.43,20.69,3262600.0,,,
59,2019-02-13,20.69,21.39,20.69,21.26,3316867.0,,,
60,2019-02-14,21.39,21.39,20.98,21.25,2716423.0,,,
61,2019-02-15,21.2,21.5,21.13,21.17,2307507.0,,,
62,2019-02-18,21.33,21.93,21.22,21.8,4317790.0,,,
63,2019-02-19,21.93,22.18,21.36,21.58,5522113.0,,,
64,2019-02-20,21.3,21.62,20.8,21.1,6819112.0,,,
65,2019-02-21,21.15,23.21,21.15,23.21,11208804.0,,,
66,2019-02-22,23.68,24.21,23.0,23.39,15466845.0,,,
67,2019-02-25,23.15,25.08,23.1,24.51,12626146.0,,,
68,2019-02-26,24.78,25.6,23.92,24.58,11127122.0,,,
69,2019-02-27,24.47,25.46,24.3,24.68,8700473.0,,,
70,2019-02-28,24.44,25.13,24.26,24.51,5863681.0,,,
71,2019-03-01,24.48,24.88,24.13,24.5,5600541.0,,,
72,2019-03-04,24.92,25.87,24.63,24.78,10195386.0,,,
73,2019-03-05,24.88,26.2,24.78,26.2,10959957.0,,,
74,2019-03-06,26.99,27.0,25.5,26.33,11322177.0,,,
75,2019-03-07,26.16,28.96,25.88,27.77,13884495.0,,,
76,2019-03-08,26.78,29.77,26.5,27.86,15742884.0,,,
77,2019-03-11,28.4,30.02,27.45,29.96,13942345.0,,,
78,2019-03-12,30.73,32.96,30.73,32.96,10113991.0,,,
79,2019-03-13,34.8,34.9,30.0,31.05,16546901.0,,,
80,2019-03-14,30.0,30.37,27.95,28.4,11278246.0,,,
81,2019-03-15,28.52,30.3,28.46,29.2,8895239.0,,,
82,2019-03-18,28.99,29.55,27.96,29.49,5393313.0,,,
83,2019-03-19,29.35,29.5,28.74,28.87,6114181.0,,,
84,2019-03-20,28.51,29.69,28.04,29.12,6338376.0,,,
85,2019-03-21,29.49,29.57,28.92,29.27,7333189.0,,,
86,2019-03-22,29.16,29.49,28.23,28.85,4657474.0,,,
87,2019-03-25,27.97,28.73,27.83,28.07,4677701.0,,,
88,2019-03-26,28.29,28.44,26.36,26.51,7233687.0,,,
89,2019-03-27,26.91,27.5,26.31,27.15,5364765.0,,,
90,2019-03-28,27.1,27.7,26.7,26.8,4200371.0,,,
91,2019-03-29,27.02,27.7,26.01,27.7,7268653.0,,,
92,2019-04-01,27.7,29.1,27.7,28.88,7743006.0,,,
93,2019-04-02,29.0,29.87,28.8,29.25,7997741.0,,,
94,2019-04-03,29.15,30.25,28.35,29.92,7976473.0,,,
95,2019-04-04,29.91,30.88,28.99,29.16,7836529.0,,,
96,2019-04-08,29.22,29.35,27.73,27.9,6427461.0,,,
97,2019-04-09,27.84,28.88,27.7,28.38,4520947.0,,,
98,2019-04-10,28.41,30.0,28.11,29.61,8645510.0,,,
99,2019-04-11,29.32,29.58,28.2,28.21,5668745.0,,,
100,2019-04-12,28.16,28.8,27.62,28.0,3939316.0,,,
101,2019-04-15,28.51,28.96,27.91,27.91,4144682.0,,,
102,2019-04-16,27.87,28.85,27.0,28.77,5032967.0,,,
103,2019-04-17,28.77,29.16,28.3,28.6,5369445.0,,,
104,2019-04-18,28.58,29.0,28.21,28.98,4954145.0,,,
105,2019-04-19,29.24,29.25,28.33,28.86,4939705.0,,,
106,2019-04-22,29.0,29.63,27.8,28.06,6375105.0,,,
107,2019-04-23,25.25,25.25,25.25,25.25,1071700.0,,,
108,2019-04-24,22.73,24.69,22.73,23.68,19768950.0,,,
109,2019-04-25,22.81,23.63,22.13,22.18,11126719.0,,,
110,2019-04-26,22.02,22.79,21.84,22.45,4903939.0,,,
111,2019-04-29,22.5,22.58,21.15,21.59,6976157.0,,,
112,2019-04-30,21.58,22.08,21.34,21.7,4358900.0,,,
113,2019-05-06,21.0,21.27,19.61,19.85,5783675.0,,,
114,2019-05-07,20.09,21.47,20.09,21.35,7022111.0,,,
115,2019-05-08,20.98,21.78,20.55,21.17,5936521.0,,,
116,2019-05-09,20.83,21.6,20.83,21.14,4055150.0,,,
117,2019-05-10,21.32,21.98,20.82,21.74,4568396.0,,,
118,2019-05-13,21.71,21.78,21.03,21.24,3250399.0,,,
119,2019-05-14,20.73,21.65,20.71,21.46,3759420.0,25.072249999999993,,
120,2019-05-15,21.69,21.8,21.05,21.4,4831200.0,25.019499999999994,,
121,2019-05-16,21.38,21.6,21.12,21.42,3752764.0,24.975083333333327,,
122,2019-05-17,21.35,21.58,20.15,20.4,5090289.0,24.912166666666664,,
123,2019-05-20,20.28,20.98,20.11,20.8,3303400.0,24.854499999999998,,
124,2019-05-21,20.84,20.93,20.31,20.56,4077266.0,24.803583333333332,,
125,2019-05-22,20.5,20.89,20.33,20.49,3242358.0,24.762583333333332,,
126,2019-05-23,20.37,20.43,19.34,19.62,4767839.0,24.711916666666664,,
127,2019-05-24,19.41,19.91,19.38,19.64,3331568.0,24.655416666666664,,
128,2019-05-27,19.69,20.27,19.55,20.19,2883663.0,24.606499999999997,,
129,2019-05-28,20.48,20.57,19.91,19.95,3766504.0,24.556499999999996,,
130,2019-05-29,20.02,20.24,19.77,20.02,2510163.0,24.4975,,
131,2019-05-30,19.93,19.93,19.26,19.72,3607687.0,24.432,,
132,2019-05-31,19.8,19.8,19.38,19.4,3020938.0,24.36883333333333,,
133,2019-06-03,19.42,19.55,18.49,18.49,4517098.0,24.29316666666666,,
134,2019-06-04,18.69,19.06,18.31,18.84,5291555.0,24.221083333333333,,
135,2019-06-05,18.89,18.94,16.96,16.96,12630310.0,24.135249999999996,,
136,2019-06-06,16.96,16.96,16.15,16.5,6355361.0,24.049666666666663,,
137,2019-06-10,16.52,16.93,16.22,16.85,4767579.0,23.97616666666666,,
138,2019-06-11,16.87,17.57,16.67,17.48,5581317.0,23.90616666666666,,
139,2019-06-12,17.54,17.86,17.23,17.29,4270714.0,23.837166666666658,,
140,2019-06-13,17.42,17.92,17.26,17.69,4905659.0,23.77291666666666,,
141,2019-06-14,17.54,17.94,17.02,17.52,4555980.0,23.704666666666657,,
142,2019-06-17,17.53,17.85,17.03,17.82,4274258.0,23.638999999999996,,
143,2019-06-18,17.79,18.47,17.45,18.3,6224536.0,23.58358333333333,,
144,2019-06-19,18.69,20.01,18.39,18.5,6044913.0,23.53108333333333,,
145,2019-06-20,18.59,19.98,18.35,19.5,8517034.0,23.48733333333333,,
146,2019-06-21,19.52,21.34,19.42,20.85,11031181.0,23.46358333333333,,
147,2019-06-24,20.8,20.8,19.51,19.55,8477960.0,23.427999999999997,,
148,2019-06-25,19.67,19.68,18.63,19.05,5262702.0,23.38633333333333,,
149,2019-06-26,18.77,19.16,18.69,18.77,3500127.0,23.342416666666665,,
150,2019-06-27,18.88,19.19,18.62,18.8,3945130.0,23.304916666666664,,
151,2019-06-28,18.89,18.99,18.18,18.42,4473085.0,23.264249999999997,,
152,2019-07-01,18.75,19.27,18.75,19.08,5045998.0,23.230749999999997,,
153,2019-07-02,19.13,19.14,18.73,18.87,4072061.0,23.196916666666663,,
154,2019-07-03,18.86,18.86,18.33,18.39,3103404.0,23.15841666666666,,
155,2019-07-04,18.5,18.72,18.29,18.4,2654418.0,23.12291666666666,,
156,2019-07-05,18.41,18.49,18.02,18.21,2765960.0,23.082916666666662,,
157,2019-07-08,18.29,18.29,17.25,17.3,2904143.0,23.032749999999997,,
158,2019-07-09,17.34,17.64,17.29,17.56,2159900.0,22.989333333333327,,
159,2019-07-10,17.6,17.69,17.37,17.46,1553431.0,22.943833333333327,,
160,2019-07-11,17.46,17.69,17.15,17.26,2083000.0,22.90133333333333,,
161,2019-07-12,17.34,17.5,17.0,17.38,1911343.0,22.85333333333333,,
162,2019-07-15,17.49,17.82,17.01,17.74,3269697.0,22.811999999999998,,
163,2019-07-16,17.73,18.26,17.64,18.24,3499610.0,22.770416666666662,,
164,2019-07-17,18.24,18.25,17.91,18.13,2750110.0,22.729749999999992,,
165,2019-07-18,17.9,17.9,17.25,17.32,3506999.0,22.684833333333327,,
166,2019-07-19,17.35,17.67,17.3,17.42,2215300.0,22.633416666666662,,
167,2019-07-22,17.45,17.57,16.78,16.79,2687262.0,22.579249999999995,,
168,2019-07-23,16.82,17.03,16.8,16.99,2026444.0,22.52566666666666,,
169,2019-07-24,17.03,17.58,17.0,17.51,2969235.0,22.47891666666666,,
170,2019-07-25,17.58,17.65,17.3,17.56,2436927.0,22.43016666666666,,
171,2019-07-26,17.51,17.55,17.26,17.37,2249494.0,22.382249999999996,,
172,2019-07-29,17.39,17.48,17.13,17.23,1897090.0,22.352416666666663,,
173,2019-07-30,17.36,18.05,17.24,17.81,4779682.0,22.33641666666666,,
174,2019-07-31,17.8,17.8,17.25,17.29,3503944.0,22.318916666666663,,
175,2019-08-01,17.3,18.08,17.15,17.88,4906530.0,22.303749999999997,,
176,2019-08-02,17.56,17.57,17.2,17.43,4422155.0,22.281916666666664,,
177,2019-08-05,17.35,17.43,16.76,16.82,3382408.0,22.250749999999996,,
178,2019-08-06,16.2,16.25,15.14,15.18,10607092.0,22.20483333333333,,
179,2019-08-07,15.0,15.38,14.8,15.1,5265677.0,22.153499999999994,22.828777777777773,
180,2019-08-08,15.17,15.31,15.05,15.29,4491192.0,22.103833333333327,22.759666666666664,
181,2019-08-09,15.29,15.39,14.83,14.94,3913669.0,22.05191666666666,22.69405555555555,
182,2019-08-12,15.14,15.36,15.0,15.28,3839277.0,21.997583333333328,22.62366666666666,
183,2019-08-13,15.13,15.68,15.1,15.43,4890276.0,21.946333333333325,22.555388888888885,
184,2019-08-14,15.65,16.07,15.46,15.72,5266245.0,21.90149999999999,22.49455555555555,
185,2019-08-15,15.22,15.93,15.07,15.81,4080328.0,21.839833333333324,22.44122222222222,
186,2019-08-16,15.84,16.15,15.68,15.7,4489256.0,21.77574999999999,22.385666666666662,
187,2019-08-19,15.74,16.38,15.74,16.34,5140520.0,21.707666666666658,22.32966666666666,
188,2019-08-20,16.36,16.68,16.11,16.33,4871263.0,21.638916666666656,22.275611111111107,
189,2019-08-21,16.54,16.6,16.24,16.36,3246072.0,21.569583333333323,22.22233333333333,
190,2019-08-22,16.36,16.48,16.19,16.4,3454003.0,21.501999999999992,22.162888888888887,
191,2019-08-23,16.35,16.51,16.03,16.18,5738014.0,21.432666666666655,22.099555555555554,
192,2019-08-26,15.42,15.63,15.18,15.5,6781626.0,21.35533333333332,22.035777777777774,
