,date,open,high,low,close,volume,120,180,240
0,2018-11-13,8.03,8.77,7.9,7.99,20962238.0,,,
1,2018-11-14,7.7,7.86,7.55,7.57,12111937.0,,,
2,2018-11-15,7.5,7.58,7.35,7.54,7842903.0,,,
3,2018-11-16,7.54,7.66,7.5,7.62,7117441.0,,,
4,2018-11-19,7.62,7.62,7.35,7.56,5371741.0,,,
5,2018-11-20,7.44,8.32,7.41,7.63,11120916.0,,,
6,2018-11-21,7.65,7.96,7.52,7.95,7984968.0,,,
7,2018-11-22,7.95,8.26,7.8,7.98,7548839.0,,,
8,2018-11-23,7.85,7.89,7.2,7.32,6786484.0,,,
9,2018-11-26,7.24,7.46,7.24,7.3,2917982.0,,,
10,2018-11-27,7.42,7.5,7.1,7.22,2823760.0,,,
11,2018-11-28,7.2,7.36,7.12,7.32,3378080.0,,,
12,2018-11-29,7.34,7.44,7.1,7.1,2183400.0,,,
13,2018-11-30,7.11,7.17,6.91,7.08,2806042.0,,,
14,2018-12-03,7.7,7.7,7.39,7.43,6531136.0,,,
15,2018-12-04,7.33,7.53,7.33,7.51,3811993.0,,,
16,2018-12-05,7.38,7.38,7.17,7.22,3650750.0,,,
17,2018-12-06,7.21,7.21,6.94,7.04,3009507.0,,,
18,2018-12-07,6.99,7.08,6.9,6.98,2044852.0,,,
19,2018-12-10,6.98,6.98,6.78,6.84,1697762.0,,,
20,2018-12-11,6.81,6.94,6.81,6.87,1103100.0,,,
21,2018-12-12,6.9,6.99,6.84,6.93,1620601.0,,,
22,2018-12-13,6.98,7.1,6.88,7.03,2552498.0,,,
23,2018-12-14,7.03,7.14,6.83,6.83,2147998.0,,,
24,2018-12-17,6.81,6.99,6.71,6.99,1885502.0,,,
25,2018-12-18,6.96,7.0,6.78,6.87,1493898.0,,,
26,2018-12-19,7.0,7.0,6.85,6.86,878517.0,,,
27,2018-12-20,6.83,6.94,6.82,6.93,1283824.0,,,
28,2018-12-21,6.92,6.96,6.69,6.72,1685744.0,,,
29,2018-12-24,6.78,7.03,6.78,6.9,2414802.0,,,
30,2018-12-25,6.86,7.05,6.52,6.75,2969700.0,,,
31,2018-12-26,6.76,6.82,6.51,6.54,2328523.0,,,
32,2018-12-27,6.65,6.71,6.37,6.39,2038162.0,,,
33,2018-12-28,6.45,6.6,6.37,6.44,1905352.0,,,
34,2019-01-02,6.42,6.56,6.42,6.5,1220100.0,,,
35,2019-01-03,6.5,6.57,6.44,6.47,1341300.0,,,
36,2019-01-04,6.46,6.69,6.37,6.65,2062021.0,,,
37,2019-01-07,6.75,6.85,6.7,6.83,2375188.0,,,
38,2019-01-08,6.87,6.87,6.75,6.76,1689700.0,,,
39,2019-01-09,6.82,6.95,6.79,6.88,2185378.0,,,
40,2019-01-10,6.88,6.92,6.76,6.78,2661932.0,,,
41,2019-01-11,6.78,6.84,6.75,6.8,1318932.0,,,
42,2019-01-14,6.91,6.91,6.72,6.72,1213297.0,,,
43,2019-01-15,6.71,6.85,6.71,6.82,1961280.0,,,
44,2019-01-16,6.88,6.96,6.83,6.88,2060183.0,,,
45,2019-01-17,6.96,6.98,6.69,6.7,2623164.0,,,
46,2019-01-18,6.65,6.78,6.65,6.71,1827114.0,,,
47,2019-01-21,6.77,6.98,6.73,6.81,2128300.0,,,
48,2019-01-22,6.82,6.88,6.67,6.73,1721240.0,,,
49,2019-01-23,6.68,6.68,6.45,6.49,2408178.0,,,
50,2019-01-24,6.46,6.57,6.38,6.52,1496829.0,,,
51,2019-01-25,6.52,6.55,6.43,6.43,1452454.0,,,
52,2019-01-28,6.43,6.58,6.38,6.39,1427764.0,,,
53,2019-01-29,6.44,6.47,6.01,6.2,1701323.0,,,
54,2019-01-30,6.2,6.35,6.19,6.23,1025903.0,,,
55,2019-01-31,6.2,6.29,6.0,6.03,1710404.0,,,
56,2019-02-01,6.01,6.17,6.01,6.16,1130700.0,,,
57,2019-02-11,6.23,6.41,6.19,6.36,1335394.0,,,
58,2019-02-12,6.37,6.54,6.37,6.46,1598261.0,,,
59,2019-02-13,6.48,6.64,6.44,6.64,2173056.0,,,
60,2019-02-14,6.62,6.62,6.5,6.54,2094717.0,,,
61,2019-02-15,6.49,7.19,6.49,7.19,7250435.0,,,
62,2019-02-18,7.38,7.8,7.19,7.5,11940404.0,,,
63,2019-02-19,7.31,7.54,7.26,7.35,7060372.0,,,
64,2019-02-20,7.26,7.41,7.21,7.41,4689640.0,,,
65,2019-02-21,7.38,7.45,7.15,7.22,5696782.0,,,
66,2019-02-22,7.19,7.5,7.14,7.38,5401210.0,,,
67,2019-02-25,7.57,7.98,7.38,7.83,10323572.0,,,
68,2019-02-26,7.73,7.84,7.59,7.61,8522958.0,,,
69,2019-02-27,7.56,8.37,7.52,8.09,14020507.0,,,
70,2019-02-28,7.98,8.83,7.91,8.52,13354092.0,,,
71,2019-03-01,8.39,8.5,8.21,8.41,6480504.0,,,
72,2019-03-04,8.44,8.7,8.2,8.45,8706514.0,,,
73,2019-03-05,8.45,8.49,8.27,8.44,6523044.0,,,
74,2019-03-06,8.45,8.93,8.15,8.86,12632618.0,,,
75,2019-03-07,8.75,8.93,8.6,8.84,10239088.0,,,
76,2019-03-08,8.75,9.4,8.38,8.44,13165258.0,,,
77,2019-03-11,8.6,8.8,8.41,8.72,6578835.0,,,
78,2019-03-12,8.75,9.38,8.68,8.96,11929355.0,,,
79,2019-03-13,8.98,9.1,8.47,8.6,7797700.0,,,
80,2019-03-14,8.51,8.71,7.93,8.16,9841235.0,,,
81,2019-03-15,8.22,8.42,8.15,8.27,4906696.0,,,
82,2019-03-18,8.23,8.61,8.21,8.58,5980658.0,,,
83,2019-03-19,8.66,9.09,8.58,8.7,8619715.0,,,
84,2019-03-20,8.7,8.94,8.57,8.83,6586074.0,,,
85,2019-03-21,9.14,9.16,8.78,8.8,8612120.0,,,
86,2019-03-22,8.88,8.94,8.53,8.8,6549062.0,,,
87,2019-03-25,8.67,9.68,8.55,9.68,22282295.0,,,
88,2019-03-26,9.66,9.66,8.71,8.98,19162776.0,,,
89,2019-03-27,8.93,9.07,8.64,8.71,8025202.0,,,
90,2019-03-28,8.71,8.93,8.39,8.4,7522395.0,,,
91,2019-03-29,8.38,8.63,8.23,8.54,5713954.0,,,
92,2019-04-01,8.66,8.88,8.54,8.85,5173107.0,,,
93,2019-04-02,8.9,9.34,8.88,9.01,8931977.0,,,
94,2019-04-03,8.91,9.85,8.9,9.72,14980637.0,,,
95,2019-04-04,9.63,9.75,9.3,9.37,11639988.0,,,
96,2019-04-08,9.45,9.65,9.08,9.29,8455902.0,,,
97,2019-04-09,9.2,9.42,9.09,9.29,5885042.0,,,
98,2019-04-10,9.28,9.43,9.05,9.43,5297520.0,,,
99,2019-04-11,9.88,10.37,9.88,10.37,8276020.0,,,
100,2019-04-12,10.37,10.37,9.52,9.53,17372600.0,,,
101,2019-04-15,9.7,10.45,9.5,9.82,12664576.0,,,
102,2019-04-16,9.9,10.8,9.83,10.8,13961872.0,,,
103,2019-04-17,11.2,11.88,10.78,11.46,30129497.0,,,
104,2019-04-18,11.06,11.16,10.7,10.83,16353055.0,,,
105,2019-04-19,10.7,11.28,10.7,11.01,10580800.0,,,
106,2019-04-22,11.08,11.78,10.63,10.69,11914753.0,,,
107,2019-04-23,10.96,11.39,10.5,11.1,11314720.0,,,
108,2019-04-24,11.09,11.3,10.68,10.88,7316520.0,,,
109,2019-04-25,10.88,11.12,10.31,10.44,7460602.0,,,
110,2019-04-26,10.3,10.62,10.25,10.35,6025792.0,,,
111,2019-04-29,10.36,10.5,9.32,9.32,9037388.0,,,
112,2019-04-30,9.17,9.74,9.17,9.61,6022277.0,,,
113,2019-05-06,9.05,9.52,8.81,9.08,7234758.0,,,
114,2019-05-07,9.25,9.38,9.01,9.19,5627281.0,,,
115,2019-05-08,8.92,9.06,8.35,8.57,6527532.0,,,
116,2019-05-09,8.63,9.43,8.6,9.43,15779267.0,,,
117,2019-05-10,9.45,9.89,9.12,9.62,16818816.0,,,
118,2019-05-13,9.43,9.61,9.3,9.45,7338424.0,,,
119,2019-05-14,9.34,9.67,9.3,9.33,6187183.0,7.957083333333339,,
120,2019-05-15,9.36,9.69,9.23,9.54,7121426.0,7.970000000000004,,
121,2019-05-16,9.48,9.52,9.38,9.47,4522400.0,7.985833333333337,,
122,2019-05-17,9.45,9.46,8.75,8.91,6617026.0,7.997250000000005,,
123,2019-05-20,8.93,9.05,8.45,8.72,5124800.0,8.006416666666672,,
124,2019-05-21,8.63,8.98,8.63,8.87,4581800.0,8.017333333333339,,
125,2019-05-22,8.92,8.98,8.52,8.68,4038302.0,8.026083333333338,,
126,2019-05-23,8.68,8.78,8.49,8.53,3371004.0,8.030916666666672,,
127,2019-05-24,8.48,8.6,8.35,8.56,2617603.0,8.035750000000004,,
128,2019-05-27,8.56,8.87,8.56,8.76,2754800.0,8.047750000000002,,
129,2019-05-28,8.82,8.85,8.66,8.69,2662000.0,8.059333333333337,,
130,2019-05-29,8.64,8.73,8.57,8.65,2125042.0,8.071250000000003,,
131,2019-05-30,8.61,8.73,8.43,8.6,2261387.0,8.08191666666667,,
132,2019-05-31,8.6,8.69,8.35,8.44,2987045.0,8.093083333333336,,
133,2019-06-03,8.54,8.56,8.05,8.1,3007887.0,8.101583333333336,,
134,2019-06-04,8.11,8.16,7.68,7.79,3484046.0,8.104583333333336,,
135,2019-06-05,7.88,7.99,7.82,7.86,2387300.0,8.107500000000003,,
136,2019-06-06,7.99,7.99,7.67,7.75,1929358.0,8.11191666666667,,
137,2019-06-10,7.75,7.9,7.75,7.86,1746202.0,8.118750000000004,,
138,2019-06-11,7.86,8.16,7.82,8.1,2968788.0,8.128083333333338,,
139,2019-06-12,8.18,8.38,8.11,8.12,3123203.0,8.138750000000003,,
140,2019-06-13,8.29,8.29,8.03,8.16,2211901.0,8.149500000000003,,
141,2019-06-14,8.2,8.22,7.84,7.84,2359744.0,8.157083333333338,,
142,2019-06-17,7.82,8.14,7.82,8.04,2628803.0,8.165500000000003,,
143,2019-06-18,8.08,8.22,7.98,8.04,1528121.0,8.175583333333337,,
144,2019-06-19,8.2,8.38,8.09,8.1,2537863.0,8.184833333333337,,
145,2019-06-20,8.08,8.31,8.04,8.22,2820042.0,8.196083333333338,,
146,2019-06-21,8.23,8.7,8.23,8.42,4537599.0,8.209083333333336,,
147,2019-06-24,8.42,8.43,8.28,8.3,1955716.0,8.220500000000003,,
148,2019-06-25,8.31,8.47,8.25,8.36,2916984.0,8.23416666666667,,
149,2019-06-26,8.36,8.4,8.18,8.19,2424004.0,8.24491666666667,,
150,2019-06-27,8.3,8.34,8.17,8.18,2359515.0,8.256833333333336,,
151,2019-06-28,8.29,8.41,8.11,8.4,2907614.0,8.272333333333338,,
152,2019-07-01,8.51,8.59,8.42,8.56,4416818.0,8.290416666666669,,
153,2019-07-02,8.56,8.57,8.29,8.38,2931752.0,8.306583333333336,,
154,2019-07-03,8.38,8.44,8.21,8.26,1560800.0,8.321250000000003,,
155,2019-07-04,8.25,8.38,8.2,8.24,2109257.0,8.336000000000002,,
156,2019-07-05,8.26,8.45,8.25,8.35,2208542.0,8.35016666666667,,
157,2019-07-08,8.35,8.4,8.02,8.03,2341000.0,8.360166666666668,,
158,2019-07-09,8.09,8.13,8.02,8.07,1207240.0,8.371083333333337,,
159,2019-07-10,8.12,8.23,8.07,8.09,1405642.0,8.381166666666669,,
160,2019-07-11,8.23,8.54,8.17,8.3,4267300.0,8.393833333333337,,
161,2019-07-12,8.39,8.51,8.31,8.48,2690242.0,8.407833333333336,,
162,2019-07-15,8.47,8.5,8.34,8.41,2344300.0,8.42191666666667,,
163,2019-07-16,8.44,8.44,8.22,8.27,2307100.0,8.434000000000003,,
164,2019-07-17,8.27,8.32,8.17,8.23,1541300.0,8.445250000000003,,
165,2019-07-18,8.16,8.2,7.9,7.97,2801600.0,8.455833333333336,,
166,2019-07-19,8.0,8.12,7.97,8.01,1578800.0,8.466666666666669,,
167,2019-07-22,8.05,8.05,7.83,7.85,1481280.0,8.475333333333335,,
168,2019-07-23,7.86,7.98,7.81,7.89,1089798.0,8.485000000000003,,
169,2019-07-24,7.88,8.01,7.83,7.88,1719480.0,8.496583333333337,,
170,2019-07-25,7.87,7.94,7.75,7.82,1409700.0,8.50741666666667,,
171,2019-07-26,7.8,7.89,7.76,7.85,1212700.0,8.519250000000003,,
172,2019-07-29,7.86,8.01,7.86,7.93,1609700.0,8.532083333333336,,
173,2019-07-30,8.04,8.04,7.91,7.95,1015900.0,8.546666666666669,,
174,2019-07-31,7.96,7.96,7.82,7.84,945042.0,8.560083333333333,,
175,2019-08-01,7.81,7.86,7.72,7.8,752800.0,8.574833333333334,,
176,2019-08-02,7.61,7.68,7.55,7.6,1583587.0,8.586833333333333,,
177,2019-08-05,7.6,7.66,7.47,7.48,1433302.0,8.596166666666667,,
178,2019-08-06,7.35,7.35,6.86,7.08,2972587.0,8.601333333333333,,
179,2019-08-07,7.08,7.15,7.0,7.03,1024200.0,8.60458333333333,8.037499999999998,
180,2019-08-08,7.03,7.25,7.03,7.16,1683387.0,8.609749999999998,8.032888888888888,
181,2019-08-09,7.28,7.28,6.99,7.05,1310600.0,8.608583333333332,8.03,
182,2019-08-12,7.07,7.21,7.07,7.2,2048800.0,8.606083333333332,8.02811111111111,
183,2019-08-13,7.2,7.23,7.12,7.12,875600.0,8.604166666666664,8.025333333333332,
184,2019-08-14,7.18,7.32,7.1,7.15,1620400.0,8.601999999999999,8.023055555555556,
185,2019-08-15,7.08,7.19,6.95,7.19,1433500.0,8.60175,8.020611111111112,
186,2019-08-16,7.16,7.25,7.13,7.15,1290500.0,8.599833333333331,8.016166666666667,
187,2019-08-19,7.24,7.4,7.17,7.36,2048929.0,8.595916666666664,8.012722222222221,
188,2019-08-20,7.41,7.41,7.24,7.27,1968400.0,8.593083333333333,8.012444444444444,
189,2019-08-21,7.27,7.34,7.2,7.23,1181300.0,8.585916666666666,8.012055555555555,
190,2019-08-22,7.29,7.31,7.2,7.28,1299700.0,8.575583333333332,8.01238888888889,
191,2019-08-23,7.28,7.34,7.22,7.23,1114700.0,8.56575,8.011888888888889,
192,2019-08-26,7.01,7.17,7.01,7.12,1538002.0,8.554666666666664,8.012,
193,2019-08-27,7.21,7.35,7.21,7.22,1980202.0,8.544499999999998,8.012777777777778,
194,2019-08-28,7.22,7.65,7.22,7.45,3683700.0,8.532749999999998,8.01288888888889,
195,2019-08-29,7.4,7.48,7.35,7.42,2264700.0,8.520916666666663,8.012388888888891,
196,2019-08-30,7.38,7.54,7.2,7.23,2364187.0,8.510833333333329,8.012444444444446,
197,2019-09-02,7.23,7.39,7.23,7.35,1674100.0,8.499416666666662,8.014166666666668,
198,2019-09-03,7.33,7.47,7.33,7.42,1937452.0,8.486583333333328,8.016611111111112,
199,2019-09-04,7.45,7.47,7.37,7.44,1676602.0,8.476916666666662,8.019944444444446,
200,2019-09-05,7.48,7.63,7.42,7.54,2516287.0,8.471749999999997,8.023666666666669,
201,2019-09-06,7.54,7.61,7.51,7.6,1946302.0,8.466166666666663,8.02738888888889,
202,2019-09-09,7.68,7.75,7.58,7.7,2388445.0,8.45883333333333,8.031111111111112,
203,2019-09-10,7.73,7.77,7.62,7.69,1701380.0,8.450416666666664,8.035888888888891,
204,2019-09-11,7.69,8.42,7.65,8.22,7229273.0,8.44533333333333,8.042722222222226,
205,2019-09-12,8.1,8.18,7.87,7.93,5995001.0,8.43808333333333,8.048611111111114,
206,2019-09-16,7.93,8.03,7.89,7.89,2802749.0,8.430499999999997,8.054333333333338,
207,2019-09-17,7.89,7.89,7.59,7.62,2762921.0,8.41333333333333,8.05816666666667,
208,2019-09-18,7.68,8.04,7.59,7.92,4141400.0,8.404499999999997,8.064833333333338,
209,2019-09-19,7.9,7.99,7.7,7.82,2108407.0,8.397083333333331,8.069944444444447,
210,2019-09-20,7.83,7.88,7.72,7.75,1544800.0,8.391666666666664,8.075500000000003,
211,2019-09-23,7.72,7.72,7.48,7.57,2269390.0,8.38358333333333,8.081222222222225,
212,2019-09-24,7.6,7.7,7.56,7.62,1427398.0,8.373333333333331,8.088055555555558,
213,2019-09-25,7.49,7.69,7.49,7.55,1500364.0,8.361166666666664,8.094222222222223,
214,2019-09-26,7.57,7.63,7.32,7.35,1974414.0,8.341416666666664,8.098944444444445,
215,2019-09-27,7.31,7.44,7.31,7.38,1144304.0,8.32483333333333,8.104000000000001,
216,2019-09-30,7.35,7.49,7.31,7.38,776449.0,8.308916666666665,8.108055555555557,
217,2019-10-08,7.38,7.53,7.21,7.26,1108600.0,8.291999999999998,8.110444444444447,
218,2019-10-09,7.16,7.37,7.16,7.37,899600.0,8.274833333333332,8.113833333333334,
219,2019-10-10,7.3,7.51,7.3,7.48,1009369.0,8.250749999999998,8.117166666666668,
220,2019-10-11,7.54,7.76,7.46,7.53,1476150.0,8.234083333333333,8.121333333333334,
221,2019-10-14,7.58,7.75,7.5,7.66,2152500.0,8.216083333333332,8.126111111111113,
222,2019-10-15,7.66,7.95,7.55,7.69,3685046.0,8.190166666666665,8.1315,
223,2019-10-16,7.67,7.83,7.63,7.63,2085870.0,8.158249999999999,8.136000000000003,
224,2019-10-17,7.69,7.7,7.57,7.58,1483668.0,8.131166666666665,8.13988888888889,
225,2019-10-18,7.57,7.69,7.4,7.42,1737468.0,8.101249999999999,8.14388888888889,
226,2019-10-21,7.4,7.5,7.3,7.34,1059702.0,8.07333333333333,8.14738888888889,
227,2019-10-22,7.35,7.5,7.3,7.46,1088300.0,8.042999999999997,8.151000000000002,
228,2019-10-23,7.52,7.52,7.32,7.35,1094052.0,8.013583333333331,8.154444444444445,
229,2019-10-24,7.4,7.44,7.31,7.42,1140300.0,7.988416666666664,8.159611111111113,
230,2019-10-25,7.42,7.49,7.35,7.46,1150511.0,7.964333333333331,8.164833333333336,
231,2019-10-28,7.47,7.77,7.46,7.76,2817163.0,7.95133333333333,8.172222222222224,
232,2019-10-29,7.77,7.82,7.68,7.76,2084764.0,7.935916666666663,8.179833333333335,
233,2019-10-30,7.81,7.82,7.58,7.61,1667900.0,7.923666666666663,8.187666666666667,
234,2019-10-31,7.66,7.66,7.42,7.46,1199466.0,7.909249999999997,8.1945,
235,2019-11-01,7.41,7.67,7.39,7.63,1554004.0,7.9014166666666625,8.20338888888889,
236,2019-11-04,7.63,7.7,7.58,7.59,1215600.0,7.88608333333333,8.211333333333332,
237,2019-11-05,7.65,7.69,7.51,7.66,1490256.0,7.869749999999996,8.218555555555556,
238,2019-11-06,7.66,7.69,7.43,7.46,1418700.0,7.853166666666663,8.224111111111112,
239,2019-11-07,7.46,7.55,7.41,7.46,1277002.0,7.837583333333329,8.228666666666667,7.897333333333334
240,2019-11-08,7.52,7.61,7.47,7.54,1500200.0,7.820916666666663,8.234222222222222,7.895458333333334
241,2019-11-11,7.51,7.53,7.2,7.22,1784902.0,7.802166666666663,8.234388888888889,7.894000000000001
242,2019-11-12,7.22,7.29,7.06,7.15,1260000.0,7.787499999999996,8.232444444444445,7.892375000000001
243,2019-11-13,7.15,7.15,7.03,7.05,1033200.0,7.773583333333329,8.230777777777778,7.8900000000000015
244,2019-11-14,7.12,7.12,7.04,7.07,760854.0,7.75858333333333,8.22888888888889,7.8879583333333345
245,2019-11-15,7.02,7.09,6.9,6.9,1065750.0,7.743749999999996,8.227111111111112,7.884916666666668
246,2019-11-18,6.95,6.98,6.75,6.98,854452.0,7.73083333333333,8.22488888888889,7.880875000000001
247,2019-11-19,6.98,7.17,6.98,7.15,1365900.0,7.71908333333333,8.221111111111112,7.877416666666668
248,2019-11-20,7.19,7.23,7.09,7.15,921100.0,7.705666666666663,8.218555555555557,7.876708333333336
249,2019-11-21,7.1,7.16,7.06,7.11,667406.0,7.692499999999996,8.213111111111113,7.875916666666669
250,2019-11-22,7.09,7.17,6.97,7.05,1213602.0,7.679166666666663,8.204944444444447,7.875208333333335
251,2019-11-25,7.05,7.2,6.98,7.12,829395.0,7.666833333333329,8.197777777777778,7.8743750000000015
252,2019-11-26,7.09,7.22,7.09,7.19,1513406.0,7.656416666666662,8.190777777777779,7.874750000000002
253,2019-11-27,7.2,7.22,7.11,7.19,728404.0,7.64883333333333,8.183833333333334,7.875208333333336
254,2019-11-28,7.21,7.24,7.12,7.15,772600.0,7.643499999999997,8.174333333333335,7.8740416666666695
255,2019-11-29,7.26,7.29,7.18,7.22,717500.0,7.638166666666663,8.165333333333336,7.872833333333336
256,2019-12-02,7.21,7.24,7.11,7.11,780000.0,7.63283333333333,8.157944444444446,7.872375000000003
257,2019-12-03,7.1,7.14,7.05,7.1,705202.0,7.6264999999999965,8.148944444444446,7.872625000000002
258,2019-12-04,7.08,7.15,7.08,7.11,564595.0,7.618249999999997,8.138666666666667,7.873166666666668
259,2019-12-05,7.15,7.18,7.11,7.18,459300.0,7.610416666666663,8.130777777777778,7.8745833333333355
