,date,open,high,low,close,volume,10,60,250
0,2020-09-01,52.0,84.0,52.0,77.2,24891183.0,,,
1,2020-09-02,68.88,72.88,55.0,55.6,17851293.0,,,
2,2020-09-03,50.13,54.97,45.48,45.52,16013578.0,,,
3,2020-09-04,42.1,44.5,40.52,40.91,12604203.0,,,
4,2020-09-07,41.08,53.4,41.08,46.2,18961439.0,,,
5,2020-09-08,42.68,43.0,39.68,40.38,14850275.0,,,
6,2020-09-09,38.38,38.39,35.11,35.3,11927384.0,,,
7,2020-09-10,36.0,36.93,32.6,33.11,9342650.0,,,
8,2020-09-11,32.0,35.75,31.11,34.16,9747658.0,,,
9,2020-09-14,33.36,36.0,33.36,35.54,9334750.0,44.392,,
10,2020-09-15,34.96,38.98,33.88,37.13,12094659.0,40.385000000000005,,
11,2020-09-16,36.1,44.56,35.08,44.56,17295816.0,39.281,,
12,2020-09-17,43.5,52.0,42.05,44.66,20434271.0,39.19500000000001,,
13,2020-09-18,42.86,47.38,41.31,44.16,12845162.0,39.52,,
14,2020-09-21,43.09,45.0,41.1,42.5,9259910.0,39.150000000000006,,
15,2020-09-22,41.0,41.0,37.98,38.05,8723415.0,38.91700000000001,,
16,2020-09-23,38.13,39.93,37.63,39.14,6385418.0,39.301,,
17,2020-09-24,38.7,43.72,37.56,41.65,11346851.0,40.155,,
18,2020-09-25,41.0,42.7,38.38,38.5,7547146.0,40.589,,
19,2020-09-28,38.02,38.95,35.01,35.65,6117844.0,40.599999999999994,,
20,2020-09-29,36.43,36.63,35.0,35.08,4200395.0,40.394999999999996,,
21,2020-09-30,35.36,37.29,35.0,36.04,4968492.0,39.54299999999999,,
22,2020-10-09,36.94,38.95,36.84,38.5,5762087.0,38.927,,
23,2020-10-12,39.1,40.98,38.5,40.25,6846686.0,38.536,,
24,2020-10-13,40.31,40.4,38.86,39.3,5473127.0,38.216,,
25,2020-10-14,38.97,45.0,38.89,43.36,12007037.0,38.747,,
26,2020-10-15,42.06,45.5,40.7,45.38,12297110.0,39.371,,
27,2020-10-16,44.17,46.9,42.24,42.51,9670587.0,39.45700000000001,,
28,2020-10-19,41.38,43.21,40.6,41.85,5777688.0,39.79200000000001,,
29,2020-10-20,41.8,50.22,40.8,50.22,11645073.0,41.24900000000001,,
30,2020-10-21,58.0,60.26,52.52,53.68,22879344.0,43.109000000000016,,
31,2020-10-22,52.03,55.86,51.35,51.57,16156513.0,44.66200000000001,,
32,2020-10-23,50.2,58.03,50.19,53.74,16361706.0,46.186000000000014,,
33,2020-10-26,52.67,57.9,48.0,57.13,15292395.0,47.87400000000001,,
34,2020-10-27,58.88,62.1,55.0,55.0,15444677.0,49.44400000000001,,
35,2020-10-28,52.5,57.88,52.5,56.55,11208392.0,50.76300000000001,,
36,2020-10-29,53.99,55.55,52.22,52.38,9148012.0,51.46300000000001,,
37,2020-10-30,53.0,53.35,46.91,47.84,9827082.0,51.996000000000016,,
38,2020-11-02,47.5,50.15,47.3,49.47,6527349.0,52.75800000000002,,
39,2020-11-03,50.4,53.0,49.82,50.91,7282828.0,52.82700000000001,,
40,2020-11-04,50.21,51.5,48.88,49.55,5252923.0,52.41400000000001,,
41,2020-11-05,51.02,57.6,50.3,57.27,14380327.0,52.984,,
42,2020-11-06,55.86,55.88,52.25,54.05,9904249.0,53.015,,
43,2020-11-09,54.97,55.35,52.5,54.72,8214567.0,52.774,,
44,2020-11-10,54.72,54.72,51.5,53.05,5635573.0,52.57899999999999,,
45,2020-11-11,52.88,56.8,51.88,54.28,9290375.0,52.352,,
46,2020-11-12,53.0,53.8,48.68,49.1,7998391.0,52.024,,
47,2020-11-13,48.6,49.45,47.3,48.77,4169621.0,52.117,,
48,2020-11-16,48.89,50.63,48.88,49.33,4076545.0,52.102999999999994,,
49,2020-11-17,49.0,51.6,48.01,50.3,5363029.0,52.041999999999994,,
50,2020-11-18,49.67,50.24,47.69,47.88,5037153.0,51.875,,
51,2020-11-19,47.3,47.3,45.5,46.28,4378832.0,50.775999999999996,,
52,2020-11-20,46.66,47.5,46.01,46.33,3447943.0,50.004000000000005,,
53,2020-11-23,46.38,47.35,44.58,47.35,4522449.0,49.266999999999996,,
54,2020-11-24,47.1,49.38,46.35,48.73,5698965.0,48.834999999999994,,
55,2020-11-25,48.8,49.5,45.69,46.0,4149635.0,48.00699999999999,,
56,2020-11-26,45.4,46.78,44.8,44.9,3127655.0,47.58699999999999,,
57,2020-11-27,44.99,45.96,43.91,44.47,2851312.0,47.157,,
58,2020-11-30,44.3,44.35,42.96,43.26,3269274.0,46.55,,
59,2020-12-01,43.26,44.07,42.74,43.53,2541358.0,45.873,46.16383333333335,
60,2020-12-02,43.96,44.5,43.2,44.43,3195182.0,45.528,45.61766666666668,
61,2020-12-03,44.28,44.5,42.76,42.92,3398558.0,45.19199999999999,45.40633333333335,
62,2020-12-04,42.42,43.47,42.06,42.93,2221896.0,44.852,45.36316666666668,
63,2020-12-07,42.93,43.99,42.21,42.24,2237455.0,44.340999999999994,45.38533333333335,
64,2020-12-08,42.24,42.75,41.22,41.5,2458197.0,43.617999999999995,45.307000000000016,
65,2020-12-09,41.83,42.44,40.35,42.06,3190275.0,43.224,45.335000000000015,
66,2020-12-10,41.8,46.37,41.01,44.19,6948254.0,43.153,45.483166666666676,
67,2020-12-11,43.59,43.95,41.8,42.03,3770910.0,42.90899999999999,45.63183333333335,
68,2020-12-14,41.85,42.61,40.0,41.0,3329189.0,42.68299999999999,45.74583333333335,
69,2020-12-15,41.0,41.21,39.79,40.16,2652094.0,42.34599999999999,45.82283333333335,
70,2020-12-16,40.16,40.86,38.03,38.3,3233742.0,41.73299999999999,45.84233333333335,
71,2020-12-17,38.11,39.28,37.01,39.09,3007480.0,41.349999999999994,45.751166666666684,
72,2020-12-18,39.03,39.76,38.6,38.61,2293598.0,40.91799999999999,45.65033333333336,
73,2020-12-21,38.97,39.56,38.69,38.93,2126414.0,40.586999999999996,45.56316666666669,
74,2020-12-22,39.08,39.14,37.38,37.51,2553294.0,40.187999999999995,45.480000000000025,
75,2020-12-23,37.47,37.95,36.68,37.55,2298807.0,39.736999999999995,45.47166666666669,
76,2020-12-24,37.88,37.88,35.67,35.67,2498834.0,38.885,45.413833333333365,
77,2020-12-25,35.66,38.0,35.57,36.7,2582265.0,38.352,45.331333333333355,
78,2020-12-28,36.5,36.84,34.82,35.24,2448385.0,37.775999999999996,45.27700000000002,
79,2020-12-29,34.98,35.92,34.8,35.22,1887943.0,37.282000000000004,45.26983333333335,
80,2020-12-30,35.02,36.49,35.02,35.4,2242877.0,36.992000000000004,45.275166666666685,
81,2020-12-31,35.3,37.6,35.3,36.81,3342558.0,36.763999999999996,45.28800000000002,
82,2021-01-04,36.55,38.6,36.55,38.3,3518643.0,36.733,45.28466666666669,
83,2021-01-05,38.3,38.63,37.4,37.92,2981097.0,36.632,45.24583333333336,
84,2021-01-06,38.21,38.59,36.16,36.45,2697358.0,36.525999999999996,45.19833333333335,
85,2021-01-07,36.13,36.88,33.05,33.81,3940571.0,36.152,45.03916666666668,
86,2021-01-08,33.68,34.08,31.9,33.03,2372399.0,35.88799999999999,44.83333333333335,
